LGA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA54280,34,1600,1207,300,2825,0.8,2324,2.6
LGA54310,32,2000,1545,285,3462,0.9,3158,2.8
LGA54340,39,1055,712,200,1646,0.8,1343,2.5
LGA54410,52,867,586,160,1612,0.7,1078,2.2
LGA54480,39,230,1103,105,2187,0.7,1784,2.6
LGA54550,45,1073,882,200,2004,0.7,1446,2.3
LGA54620,46,650,860,148,1875,0.7,1293,2.2
LGA54690,51,748,759,129,1524,0.7,1341,2.2
LGA54760,44,546,1007,169,2225,0.8,1820,2.5
LGA54830,33,1724,812,315,1996,0.8,1716,2.7
LGA54900,41,1000,1001,180,2100,0.7,1715,2.4
LGA54970,37,413,1569,80,988,0.9,966,2.5
LGA55040,33,683,1508,93,2401,0.9,1951,2.5
LGA55110,45,1733,631,300,1651,0.7,1273,2.4
LGA55180,47,1300,675,230,1616,0.7,1211,2.3
LGA55250,34,650,1010,115,1292,0.9,1243,2.4
LGA55320,42,2200,909,400,2654,0.7,2096,2.6
LGA55390,39,397,1722,150,1208,1,1260,2.1
LGA55460,41,1078,755,210,1869,0.7,1380,2.3
LGA55530,47,729,806,150,1937,0.7,1468,2.4
LGA55600,44,1000,803,225,1906,0.7,1445,2.3
LGA55670,42,500,742,190,1676,0.8,1443,2.3
LGA55740,42,3000,1030,300,3456,0.8,2132,2.4
LGA55810,42,542,863,175,1375,0.8,1204,2.1
LGA55880,47,650,868,145,1802,0.7,1396,2.3
LGA55950,44,778,756,155,1875,0.8,1547,2.3
LGA56090,44,1950,817,350,2270,0.7,1907,2.6
LGA56160,36,1800,833,139,1674,0.9,1649,2.6
LGA56230,45,1750,629,300,1742,0.7,1368,2.5
LGA56300,56,1400,581,254,1381,0.8,1094,2.1
LGA56370,47,720,923,150,1875,0.7,1483,2.3
LGA56460,43,1191,734,240,1802,0.7,1310,2.2
LGA56580,43,3500,1178,520,4244,0.8,3226,2.8
LGA56620,30,0,369,65,878,1.2,1228,3.5
LGA56730,43,1393,660,250,1631,0.7,1316,2.4
LGA56790,53,1300,607,250,1450,0.7,1110,2.2
LGA56860,49,1000,640,88,1268,0.7,1087,2.1
LGA56930,42,4167,1501,440,5012,0.7,4565,2.7
LGA57000,43,780,1305,170,2018,0.7,1652,2.3
LGA57080,33,1924,1053,400,2480,1,1931,1.8
LGA57140,52,867,585,200,1340,0.7,996,2.2
LGA57210,48,1278,626,225,1491,0.8,1181,2.3
LGA57280,32,1517,1532,225,3264,0.9,2865,2.7
LGA57350,54,800,607,130,1445,0.7,1129,2.2
LGA57420,42,1029,926,250,2019,0.7,1655,2.2
LGA57490,36,1733,786,330,2077,0.7,1724,2.6
LGA57630,60,1517,675,70,1833,0.6,949,1.5
LGA57700,33,1972,909,380,2242,0.8,2097,3
LGA57770,43,1387,787,220,1818,0.8,1187,2.1
LGA57840,39,2200,1010,360,2761,0.8,2004,2.2
LGA57910,38,1967,912,340,2332,0.8,1786,2.4
LGA57980,40,2539,1210,400,3242,0.9,2140,2.1
LGA58050,35,1842,840,340,2109,0.8,1843,2.8
LGA58190,46,563,701,161,1583,0.8,1125,2.5
LGA58260,42,650,748,120,1696,0.8,1366,2.3
LGA58330,54,1564,624,285,1579,0.7,1272,2.3
LGA58400,55,531,512,120,1125,0.6,864,1.9
LGA58470,37,826,484,75,1312,0.9,1300,2.9
LGA58510,36,2000,987,350,2473,0.8,1844,2.2
LGA58540,48,537,963,150,2200,0.7,1653,2.3
LGA58570,36,2197,1193,400,3050,0.9,2209,2.2
LGA58610,49,875,686,195,1718,0.7,1183,2.2
LGA58680,49,1600,824,200,2100,0.7,1687,2.4
LGA58760,35,1900,817,350,2148,0.8,1894,2.8
LGA58820,48,1625,620,260,1701,0.7,1312,2.4
LGA58890,50,915,804,143,1708,0.7,1325,2.2
LGA59030,48,400,817,85,1465,0.7,1318,2.2
LGA59100,47,867,742,139,1662,0.7,1256,2.4
LGA59170,41,1285,1015,200,2243,0.7,1739,2.4
LGA59250,35,0,1196,118,767,1,1109,2.4
LGA59310,44,993,767,180,1757,0.7,1269,2.3
LGA59320,45,1148,741,150,1663,0.8,1385,2.5
LGA59330,54,650,582,150,1481,0.6,916,1.9
LGA59340,33,2000,1016,230,2082,1,1858,2.7
LGA59350,34,223,1397,150,1583,0.9,1575,2.6
LGA59360,47,790,1128,150,2057,0.6,1370,2
LGA59370,56,1404,604,260,1538,0.7,1127,2.2
LGA59499,0,0,0,0,0,0,0,0
LGA59799,40,1733,2123,0,1375,0.7,2250,1.7
