LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA54200,497,386,236,190,89,13,1700,19,141,242,233,204,138,46,4,1017,337,1225,1695,1304,872,740,321,105,6602,236,566,960,984,856,686,368,87,4737,947,1890,1882,1798,1568,1089,522,131,9836,367,127,110,95,67,43,19,3,821,54,74,124,195,197,170,74,31,920,1368,2089,2116,2092,1832,1301,617,173,11579,14,39,38,54,52,75,61,17,353,315,425,501,438,458,426,379,237,3195,2305,4747,6052,5497,4507,3549,1883,633,29184
LGA54280,203,111,58,14,7,0,631,12,75,91,69,55,17,3,0,310,172,720,610,357,228,93,27,5,2203,52,284,376,311,260,102,17,3,1406,528,1349,1180,1013,754,299,87,11,5219,227,101,62,51,23,13,7,0,471,27,64,67,81,61,39,5,0,345,783,1514,1316,1142,834,346,94,13,6040,10,27,17,21,19,14,8,0,117,408,577,501,452,437,300,127,71,2869,1452,3396,3113,2472,1889,876,284,92,13572
LGA54310,152,86,22,8,0,0,417,10,76,100,69,30,8,0,0,303,70,599,602,334,133,37,3,0,1779,37,255,414,316,189,40,6,0,1247,320,1163,1191,831,438,101,22,0,4069,142,84,58,38,27,5,0,0,356,14,34,56,54,39,11,5,0,212,476,1279,1310,926,504,113,25,0,4640,5,24,20,18,12,6,0,0,84,417,786,781,546,367,121,35,3,3056,1017,3173,3381,2302,1257,333,69,3,11532
LGA54340,10,8,8,0,0,0,31,0,9,11,9,3,0,0,0,33,11,47,55,33,37,23,7,0,214,6,20,20,40,34,20,13,0,159,87,125,95,78,82,45,22,3,530,27,9,6,10,8,3,3,0,79,6,14,12,13,7,9,0,0,58,124,155,120,95,97,49,26,4,668,0,5,0,0,0,5,6,0,19,71,67,73,46,57,53,43,23,433,210,310,283,231,237,157,87,34,1557
LGA54410,3,0,3,0,0,0,12,0,3,0,0,0,0,0,0,3,8,14,13,19,13,3,5,0,70,0,8,9,9,16,14,4,0,43,23,21,25,23,41,21,8,0,160,3,0,0,0,0,0,0,0,6,0,0,5,3,3,5,0,0,10,22,25,30,23,44,22,11,0,183,0,0,3,0,0,0,5,0,8,18,15,14,21,33,17,25,11,158,49,61,66,75,99,59,46,14,474
LGA54480,0,3,0,0,0,0,3,0,0,4,0,0,0,0,0,6,0,13,13,13,4,0,0,0,43,3,4,8,4,4,0,0,0,28,7,14,11,14,10,7,3,0,62,0,0,0,0,0,0,0,0,4,0,0,0,6,4,0,0,0,5,8,20,13,19,8,10,3,0,70,0,0,0,0,0,0,0,0,0,4,5,15,7,4,8,5,0,46,20,40,50,48,25,20,7,0,204
LGA54550,0,3,0,0,4,0,14,0,0,9,0,3,4,0,0,13,12,35,61,32,29,20,9,3,201,3,12,28,21,23,22,13,0,113,26,44,46,38,29,19,8,0,218,9,9,8,4,0,3,0,0,28,0,0,3,3,7,10,0,0,19,37,48,56,47,34,32,9,3,265,0,0,0,3,6,0,5,7,15,10,18,23,29,47,21,35,21,195,60,122,170,135,141,98,67,29,824
LGA54620,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,5,4,14,15,8,9,12,0,0,60,0,6,11,8,8,11,4,0,40,12,19,28,14,17,7,7,0,103,3,0,5,0,0,0,0,0,10,0,0,3,5,4,0,0,0,11,12,25,34,19,17,6,7,0,123,0,0,0,0,0,0,0,0,0,13,8,17,9,23,12,7,6,100,28,55,82,47,55,38,21,6,331
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,8,0,0,0,0,22,0,0,0,9,0,0,0,0,12,0,7,10,10,10,9,5,0,53,0,3,0,5,5,0,0,0,11,0,0,0,0,0,0,0,0,3,0,11,10,11,11,8,5,0,67,0,0,0,0,0,0,0,0,3,4,0,0,3,4,10,3,0,29,8,21,18,33,24,23,12,0,128
LGA54760,3,0,0,0,0,0,6,0,0,3,4,0,0,0,0,10,3,18,22,19,10,3,0,0,64,0,6,9,10,12,6,0,0,41,4,16,15,21,17,10,0,0,89,9,3,0,5,0,0,0,0,15,0,0,3,0,5,4,0,0,9,8,24,20,24,24,14,0,0,112,0,0,0,0,0,0,0,0,4,5,9,17,18,8,9,6,6,82,18,53,75,67,51,38,8,3,326
