LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA59170,7,4,0,0,0,0,12,0,0,0,6,4,0,0,0,13,4,25,31,20,15,3,0,0,95,0,9,18,12,17,12,6,0,72,15,27,38,19,26,8,5,0,138,4,0,3,4,0,0,0,0,14,0,0,0,0,0,6,0,0,8,17,29,44,24,21,16,4,0,158,0,0,0,0,0,0,0,0,7,14,16,21,16,19,21,13,3,118,36,77,115,79,75,49,26,7,465
LGA59250,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,10,0,5,0,3,4,0,27,0,5,4,7,6,0,0,0,25,15,16,18,17,9,0,0,0,79,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,16,18,18,19,9,0,3,0,84,0,0,0,0,0,0,0,0,0,22,42,42,28,15,12,0,0,152,38,82,65,57,27,20,5,0,296
LGA59310,4,0,0,3,0,0,12,0,0,4,8,8,0,0,0,18,4,17,22,15,10,0,3,0,71,0,12,3,5,17,19,6,0,59,14,42,53,26,39,30,10,0,219,9,9,4,0,3,0,0,0,26,0,0,0,3,3,4,0,0,12,24,57,56,34,44,30,11,0,257,0,0,4,0,0,3,0,0,13,9,14,15,16,20,24,8,3,107,45,106,106,76,94,84,26,9,540
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,3,9,8,8,3,0,0,30,0,3,4,5,9,6,0,0,29,5,11,14,7,15,11,6,0,65,0,8,0,0,0,0,0,0,16,0,4,6,0,0,4,0,0,5,13,18,13,9,17,12,6,0,83,0,0,0,0,0,0,0,0,0,4,6,4,10,4,15,10,0,47,13,27,39,34,40,40,12,0,208
LGA59330,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,9,8,0,3,0,0,0,33,0,5,0,4,7,3,0,0,23,8,10,9,11,16,14,0,0,63,4,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,8,16,13,10,15,11,4,0,75,0,0,0,0,0,0,0,0,0,3,10,8,3,7,15,14,0,64,19,35,29,26,30,35,21,5,200
LGA59340,41,28,37,11,5,0,158,5,31,22,21,16,0,0,0,102,42,237,142,112,89,24,5,0,657,13,81,84,66,89,30,3,0,367,75,209,212,213,129,60,21,0,925,26,26,12,10,12,7,0,0,96,11,13,14,17,15,10,3,0,81,116,251,241,243,162,77,20,0,1104,4,14,3,3,4,3,0,0,29,181,267,219,217,175,106,35,18,1216,357,926,756,683,564,246,75,18,3629
LGA59350,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,4,4,23,12,7,3,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,12,7,3,0,0,0,52,0,0,0,0,0,0,0,0,0,22,50,28,22,16,7,7,0,153,30,81,41,36,22,18,7,0,227
LGA59360,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,11,4,24,19,14,11,3,0,0,72,0,7,12,21,9,4,7,0,62,8,42,37,36,35,13,4,0,170,5,4,3,4,0,0,0,0,16,0,0,3,3,0,0,0,0,9,16,44,46,39,34,14,4,0,197,0,0,0,4,0,0,0,0,4,10,46,37,48,38,23,5,3,222,28,131,120,135,97,42,14,8,579
LGA59370,6,9,12,19,6,0,60,0,7,9,4,8,18,3,0,52,8,46,46,43,42,39,28,6,262,0,9,31,40,60,83,38,7,266,26,57,70,83,133,108,38,14,528,10,6,8,7,6,8,0,0,46,7,0,9,4,13,28,8,4,68,45,64,81,91,154,142,44,13,635,0,4,0,0,0,6,4,0,29,22,32,25,49,65,74,71,23,360,85,162,205,237,348,385,195,52,1666
LGA59499,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
LGA59799,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
