LGA_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
LGA50840,0,3,5,0,9,22,11,0,50,0,0,0,3,7,5,0,0,22,5,14,27,33,30,47,17,0,172,3,7,17,25,41,37,20,0,143,40,91,82,115,140,123,38,6,635,12,9,7,0,0,3,4,0,34,0,0,4,4,6,16,8,0,39,49,101,95,126,148,137,44,10,713,0,0,0,4,3,5,3,0,20,20,18,26,43,43,56,26,6,235,72,143,181,240,279,304,121,19,1352,0,6,9,8,6,8,4,0,42,0,6,14,9,18,12,0,0,66,11,31,63,71,59,44,15,4,296,9,22,45,51,61,69,20,0,273,37,49,57,68,80,48,8,0,339,20,9,12,6,6,10,6,0,60,4,3,3,7,11,16,10,0,51,54,65,71,77,92,67,23,0,450,0,0,0,3,5,4,3,0,18,22,15,26,25,43,46,34,11,231,100,147,227,243,285,257,99,17,1373,0,8
LGA50910,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,4,0,5,7,5,5,3,0,0,18,0,3,4,5,0,3,0,0,16,0,9,11,16,15,12,4,3,75,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,4,11,15,13,22,12,4,3,84,0,0,0,0,3,0,0,0,6,10,3,9,6,8,8,3,0,54,12,20,21,26,38,32,7,4,172,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,12,0,9,11,8,7,0,0,0,41,0,3,6,5,0,8,4,0,27,9,15,9,12,6,10,0,0,54,0,0,0,5,0,0,0,0,5,0,0,0,3,0,0,0,0,7,4,18,9,20,6,10,0,0,67,0,0,0,0,0,0,0,0,3,8,5,10,5,6,8,3,0,43,20,33,41,39,29,24,13,0,195,0,0
LGA50980,3,47,42,30,20,6,0,0,151,0,21,20,20,12,11,0,0,92,22,198,160,113,69,39,9,3,609,20,72,129,99,65,37,12,0,437,103,316,371,349,230,119,22,3,1519,40,17,3,6,10,3,0,0,81,15,18,16,17,17,10,3,0,90,155,351,392,377,260,135,26,3,1696,5,3,4,10,3,7,3,0,38,171,227,193,222,167,84,34,9,1098,375,920,944,874,604,316,85,16,4128,0,95,100,51,36,25,6,0,313,3,67,86,45,41,12,4,0,253,56,420,324,219,128,53,12,0,1204,26,150,176,133,117,48,5,0,650,99,186,178,132,78,33,3,0,709,45,45,44,14,10,0,0,0,157,7,20,22,28,27,12,3,0,113,150,248,246,177,115,44,3,0,987,3,3,9,5,8,0,8,0,30,166,292,214,200,152,77,35,8,1141,403,1275,1144,828,606,257,62,18,4590,9,142
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,5,0,0,23,0,3,5,3,4,7,0,0,18,3,12,16,7,18,12,6,0,85,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,0,0,15,5,18,19,12,24,19,6,0,98,0,0,0,0,6,3,0,0,6,7,9,7,7,8,3,3,0,51,19,32,37,36,41,30,14,0,200,0,0,0,0,5,0,0,0,8,0,4,0,0,0,0,0,0,8,6,14,12,13,13,4,0,0,65,0,10,3,4,9,6,0,0,31,0,10,14,6,3,7,0,0,43,4,3,3,0,0,0,0,0,8,0,0,0,5,0,0,0,0,4,4,9,15,9,9,11,0,0,58,0,0,0,0,0,0,0,0,3,16,9,6,9,17,6,7,0,64,25,39,45,37,50,27,6,4,232,0,0
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,8,0,0,0,0,19,0,0,4,0,0,4,0,0,14,6,22,23,10,12,13,6,0,88,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,11,18,22,15,21,13,4,0,97,0,0,0,0,0,0,0,0,0,7,4,8,14,15,17,6,0,75,21,32,37,40,33,36,12,0,215,0,0,0,0,0,0,0,0,0,0,0,5,8,4,0,0,0,16,4,4,12,8,4,8,0,0,37,0,6,3,14,7,10,3,5,35,7,7,9,10,9,4,0,0,44,0,5,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,5,4,8,11,10,11,5,0,0,59,0,0,0,0,5,0,0,0,9,6,4,4,9,15,14,17,5,72,17,26,36,41,44,32,22,10,220,0,0
LGA51190,3,49,72,77,61,46,16,7,328,0,17,25,32,41,32,7,0,162,29,227,204,214,191,146,67,16,1094,28,116,171,156,165,136,71,13,861,296,679,659,619,645,504,232,58,3695,125,65,20,24,14,9,4,0,252,12,18,28,22,35,28,15,5,169,437,761,704,661,694,541,257,64,4110,3,9,17,15,10,17,15,5,93,113,203,171,194,169,158,104,69,1177,621,1380,1380,1364,1326,1070,534,164,7835,7,76,81,65,52,35,13,0,330,4,61,71,85,66,49,17,0,346,93,417,413,344,266,178,75,26,1811,39,186,213,237,281,199,83,39,1278,412,476,432,423,337,178,40,9,2304,107,85,38,43,30,29,10,3,349,25,26,53,67,89,50,19,5,341,544,588,522,531,462,258,72,20,2995,0,10,14,15,16,21,9,4,94,126,179,149,141,169,190,156,124,1227,811,1511,1463,1422,1315,927,422,218,8091,12,120
LGA51260,0,30,53,86,67,76,48,3,368,0,20,51,44,31,40,9,4,192,15,202,316,338,287,286,118,32,1595,18,124,216,251,267,282,154,23,1332,304,711,917,859,779,707,322,75,4665,109,45,21,26,13,18,5,0,237,14,23,28,53,46,48,28,6,240,429,774,962,932,836,773,355,77,5143,6,13,12,12,17,17,11,4,92,118,196,221,249,200,168,145,64,1365,592,1358,1837,1906,1710,1645,844,201,10089,3,70,107,102,67,61,20,0,419,3,56,118,143,107,74,18,6,522,60,431,734,577,417,311,146,35,2711,51,237,369,419,403,311,132,34,1959,247,446,539,516,403,223,61,13,2449,112,44,55,56,52,42,12,3,371,26,39,64,85,100,97,34,7,451,377,522,656,660,552,365,104,27,3266,6,17,18,21,29,37,27,7,157,132,174,176,156,212,249,219,128,1445,640,1499,2178,2078,1779,1402,666,238,10487,3,102
LGA51310,16,220,403,488,344,203,90,32,1795,3,53,85,91,78,40,27,6,386,234,550,746,886,649,382,170,60,3687,37,101,130,172,185,151,100,39,915,99,148,141,155,194,142,93,46,1021,25,10,6,6,7,0,4,0,58,9,7,11,19,15,18,16,9,110,135,163,162,179,214,160,119,56,1186,4,15,11,22,6,10,16,3,83,28,79,73,86,65,75,57,34,506,462,1176,1610,1927,1542,1027,585,228,8553,24,256,430,379,248,108,27,6,1476,14,83,136,205,139,92,28,3,692,248,727,938,971,588,355,182,100,4115,46,94,160,249,286,195,115,56,1201,96,66,81,90,82,54,24,21,503,32,4,10,9,18,9,7,5,99,6,16,18,46,54,37,29,20,225,139,82,106,150,147,103,64,51,828,3,13,21,15,14,20,11,14,106,37,84,65,73,79,97,101,114,640,500,1328,1853,2031,1512,974,523,342,9064,40,472
LGA51330,81,1012,1102,733,475,241,82,11,3745,13,124,169,162,119,89,32,0,711,747,2313,2039,1490,916,652,231,45,8428,397,856,760,572,490,423,197,49,3749,710,1092,1008,1075,1074,846,433,148,6378,270,90,48,33,22,19,9,0,486,49,63,56,80,75,53,41,13,432,1020,1249,1111,1184,1174,918,487,159,7297,30,65,65,61,37,41,36,5,341,390,626,446,353,294,163,151,66,2486,2686,6241,5689,4556,3501,2526,1215,343,26760,70,1178,1137,613,311,143,35,0,3490,40,263,302,286,208,123,35,0,1259,879,2620,2604,1649,937,585,217,44,9536,349,645,855,747,706,479,205,43,4020,590,646,641,603,481,263,72,24,3312,203,72,57,68,64,53,25,9,550,38,74,96,139,164,139,62,19,723,828,791,791,811,712,452,161,51,4588,23,76,53,58,49,64,43,10,377,305,470,351,256,247,254,259,146,2289,2496,6041,6093,4421,3166,2094,955,292,25562,157,2192
LGA51400,0,13,43,53,40,20,8,0,168,0,5,16,24,14,10,0,0,76,15,85,141,168,129,87,14,0,645,10,64,101,129,105,85,27,0,529,185,356,411,465,397,233,87,8,2154,61,14,11,11,3,5,0,0,103,9,8,11,19,21,21,11,0,94,256,374,433,493,425,260,96,8,2342,0,7,6,4,11,8,0,0,40,74,54,84,108,85,64,39,9,526,361,589,840,974,807,546,187,20,4328,4,31,51,43,40,14,4,0,190,8,27,48,62,43,15,4,0,217,30,195,323,304,171,96,29,5,1153,33,101,143,173,152,86,14,5,715,239,296,267,256,179,74,7,3,1321,72,43,43,36,14,8,0,0,215,17,21,31,54,33,23,17,0,197,332,357,338,343,237,111,19,3,1737,0,7,10,4,10,9,3,0,48,66,60,79,80,89,86,49,17,517,464,785,994,1009,735,422,129,32,4566,4,45
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,13,0,0,0,0,6,0,0,0,15,7,3,20,13,11,16,5,0,66,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,3,6,6,20,8,7,19,5,0,76,0,0,0,0,0,0,0,0,4,3,0,11,12,0,12,3,0,38,10,12,36,29,24,31,6,0,149,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,0,4,7,4,0,0,0,0,21,4,0,6,6,3,3,0,0,18,0,8,4,4,3,0,0,0,20,5,3,4,0,0,0,0,0,11,0,0,0,0,5,0,0,0,5,4,13,7,4,8,0,0,0,33,0,0,0,0,0,0,0,0,3,3,3,9,0,8,3,3,0,41,9,25,32,16,22,13,5,6,126,0,4
LGA51540,0,3,4,11,6,0,0,0,28,0,0,0,4,0,0,0,0,19,4,35,21,12,21,18,0,0,115,0,18,24,19,11,22,9,6,105,37,93,75,105,112,63,8,0,497,22,8,0,4,0,0,0,0,38,0,9,5,3,0,8,4,0,33,58,109,83,112,116,76,15,0,565,0,0,0,0,0,0,4,0,5,83,100,67,80,62,45,28,8,471,145,265,208,241,219,161,52,14,1302,0,20,10,9,3,3,0,0,42,0,7,3,9,4,6,0,0,36,18,61,59,48,28,12,5,0,237,8,17,28,22,31,16,6,0,127,29,48,34,45,41,17,3,0,213,15,9,5,0,3,4,0,0,50,7,9,5,5,11,0,0,0,30,46,69,50,53,59,17,3,0,289,0,0,5,0,0,0,0,0,13,65,80,64,70,58,38,34,7,409,136,246,218,212,183,99,41,10,1151,0,23
LGA51610,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,3,0,5,6,11,5,11,0,0,36,0,4,7,11,4,15,0,0,36,11,35,43,43,35,12,8,3,187,5,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,10,14,41,41,45,38,17,7,3,202,0,0,0,0,3,0,0,0,5,13,5,14,26,17,9,3,0,91,22,52,70,102,68,50,20,5,385,0,0,3,6,0,0,0,0,10,0,3,0,4,3,0,0,0,13,0,16,25,25,15,4,0,0,86,0,5,13,16,15,9,6,0,70,9,16,23,14,14,4,0,0,86,0,4,0,0,0,5,0,0,6,0,0,4,4,3,0,0,0,16,12,20,30,23,18,9,5,0,111,0,0,0,0,0,6,0,0,5,11,4,16,17,18,11,4,0,90,25,54,86,85,70,43,7,0,377,0,0
LGA51680,0,0,3,3,10,0,4,0,27,0,0,5,3,7,0,0,0,15,6,18,23,31,31,18,11,0,134,3,12,31,46,40,38,8,0,178,33,116,137,175,180,93,46,5,792,15,9,4,0,4,3,0,0,31,0,6,4,3,6,6,3,4,34,50,124,145,183,192,98,49,14,846,0,0,0,4,0,0,0,0,12,39,26,31,60,63,38,30,5,284,101,185,236,332,338,191,99,13,1492,0,5,11,14,12,6,0,0,43,0,11,12,10,11,3,5,0,47,5,47,68,56,42,24,14,0,260,15,28,57,78,59,32,10,6,275,42,64,81,86,67,30,14,0,371,22,8,6,5,15,7,0,0,57,4,0,10,21,16,6,5,0,66,71,70,93,111,94,40,20,0,494,0,0,0,0,4,0,3,0,7,33,26,25,51,64,42,27,3,270,124,187,261,315,283,141,72,15,1404,0,3
LGA51710,0,0,5,0,0,0,0,0,10,0,0,3,0,0,0,0,0,9,0,7,9,11,0,4,0,0,32,0,3,5,13,12,0,0,0,38,12,35,32,37,37,21,0,0,166,0,5,0,8,0,0,0,0,16,0,0,0,0,0,0,0,0,6,13,39,34,38,34,25,0,0,190,0,0,0,0,0,5,0,0,9,32,144,71,56,21,22,0,0,349,49,198,130,128,68,56,0,0,632,0,0,10,3,4,0,0,0,21,0,4,0,6,3,0,0,0,13,0,13,16,18,9,5,0,0,63,0,10,15,11,9,3,0,0,46,0,17,16,12,4,0,0,0,54,10,0,3,4,4,0,0,0,18,0,0,6,0,0,0,0,0,7,15,22,20,15,8,5,0,0,85,0,0,0,0,0,0,0,0,0,6,26,21,13,26,6,4,0,106,24,79,93,68,50,12,4,0,338,0,4
LGA51750,10,93,116,164,119,96,70,34,707,0,20,24,34,28,25,11,5,140,117,298,231,271,221,201,128,34,1501,17,27,48,61,41,58,59,21,328,41,52,38,47,49,33,27,12,305,8,4,0,0,0,0,4,0,20,0,0,4,3,4,3,3,0,22,47,59,47,50,53,43,34,12,344,0,0,4,10,5,8,3,4,39,40,56,34,42,36,37,44,29,310,236,556,501,624,503,463,351,139,3372,15,139,133,125,82,74,34,10,608,4,42,44,75,61,37,23,5,293,126,288,288,337,249,199,124,66,1671,8,40,52,76,115,101,84,40,514,37,22,25,23,28,15,10,4,161,7,6,6,0,4,4,3,0,27,0,3,7,16,13,24,19,11,101,42,35,30,47,47,36,32,16,281,9,6,13,8,8,15,18,17,86,52,43,29,36,33,47,74,54,363,256,583,588,707,587,510,388,204,3818,24,229
LGA51820,35,467,773,459,320,161,44,7,2263,9,152,191,164,115,57,25,0,711,407,1870,1867,1232,716,399,110,25,6624,212,722,1027,861,596,471,151,21,4056,1007,2530,2530,2255,1893,1228,537,122,12103,308,115,80,64,40,23,6,0,645,53,93,131,141,114,100,24,3,664,1367,2740,2741,2454,2054,1351,576,129,13407,33,61,89,73,57,55,25,14,410,333,612,642,513,375,304,244,143,3171,2401,6624,7332,5748,4228,2803,1176,334,30643,38,746,855,443,233,107,15,6,2437,41,416,448,346,202,92,17,0,1562,670,3065,2879,1619,897,410,127,42,9703,329,1020,1251,1162,878,472,130,41,5289,953,1488,1322,1133,839,350,81,16,6182,306,157,133,122,96,61,14,4,895,84,101,161,253,244,156,62,15,1071,1343,1751,1617,1508,1172,559,156,38,8143,18,53,83,71,64,62,31,12,388,299,494,456,410,377,375,338,259,3014,2745,7540,7591,5561,3819,2074,811,399,30539,72,1216
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,4,0,0,0,0,0,5,0,3,15,9,18,7,0,0,50,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,3,15,9,23,7,0,0,55,0,0,0,0,0,0,0,0,0,9,12,14,13,6,5,5,0,55,9,20,29,25,25,10,7,0,125,0,3,0,0,0,0,0,0,8,0,0,4,0,5,0,0,0,6,0,4,3,4,3,0,0,0,19,0,0,3,0,6,0,0,0,13,9,4,5,0,4,0,0,0,18,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,16,0,8,0,5,0,0,0,27,0,0,0,0,0,0,0,0,5,7,5,8,6,12,7,3,0,53,22,21,27,15,28,7,3,0,127,0,3
LGA51890,0,0,3,5,5,3,0,0,14,0,0,4,0,5,3,0,0,14,4,12,26,13,9,21,11,0,90,0,8,23,17,38,33,9,4,133,88,231,204,222,241,148,70,7,1208,29,17,5,7,0,0,0,0,56,0,4,16,6,9,16,3,0,58,112,247,219,234,253,167,78,7,1317,0,0,3,0,5,10,0,0,29,51,45,51,53,60,61,42,26,385,173,312,328,328,374,293,145,39,1993,0,3,4,5,9,0,0,0,23,0,11,6,4,14,8,0,0,46,7,37,53,46,36,32,9,0,229,3,36,42,58,48,37,18,0,248,91,144,137,137,100,41,10,0,656,33,23,17,12,9,7,0,0,97,6,15,9,18,17,16,5,0,79,125,178,160,168,121,63,20,0,838,0,0,0,8,3,5,0,0,18,49,44,50,36,47,68,46,41,388,190,311,326,323,288,218,98,44,1795,0,3
LGA51960,0,0,6,3,5,3,0,0,16,0,0,0,0,3,0,0,0,4,0,13,7,11,8,0,0,0,44,0,9,3,10,9,3,0,0,34,25,85,56,83,73,40,4,3,375,7,5,5,5,0,0,0,0,17,0,3,0,0,6,4,0,0,10,31,91,61,91,81,44,4,3,406,0,0,0,3,0,4,0,0,8,47,77,70,90,66,37,14,6,405,81,191,152,207,172,87,28,4,918,0,0,0,0,0,0,0,0,9,0,3,6,0,3,0,0,0,16,7,15,13,13,10,5,0,0,64,4,10,21,13,7,9,0,3,64,20,34,38,26,24,6,0,0,151,16,5,7,3,3,0,0,0,33,0,0,11,7,0,4,0,0,20,33,41,51,34,29,12,0,0,204,0,0,0,4,0,0,0,0,4,65,45,67,56,44,29,13,0,324,109,123,160,118,100,55,20,3,679,0,7
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,16,0,0,4,5,5,13,0,0,25,8,20,11,17,37,36,10,0,135,0,0,0,0,0,0,0,0,4,0,4,0,0,3,5,0,0,12,9,20,14,15,39,37,9,0,153,0,0,0,0,0,0,0,0,0,6,8,0,11,19,14,10,7,77,14,41,22,35,67,65,30,4,271,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,12,0,12,8,6,7,4,7,0,48,0,0,5,9,4,7,7,0,30,4,6,3,9,10,3,0,0,44,0,3,0,0,5,3,0,0,14,0,0,4,0,3,5,0,0,13,6,13,8,9,15,15,5,0,69,0,0,0,0,0,0,0,0,3,6,3,5,11,12,9,4,6,64,11,35,33,34,37,48,27,6,225,0,0
LGA52100,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,8,3,0,3,0,0,18,0,0,6,0,4,5,0,0,20,11,21,19,19,14,17,0,0,103,4,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,20,26,26,21,11,18,0,0,116,0,0,0,0,0,0,0,0,4,0,0,0,6,8,7,3,0,30,22,31,41,25,23,27,8,3,185,0,0,0,0,0,0,0,0,5,0,3,3,0,3,0,0,0,7,0,10,10,5,15,10,4,0,58,0,10,5,9,17,4,7,0,47,3,12,17,8,3,0,0,0,44,4,0,3,3,0,0,0,0,13,0,3,7,0,0,0,5,0,12,6,11,28,8,5,5,3,0,75,0,0,0,0,0,3,0,0,3,3,4,0,4,4,10,5,9,36,10,40,42,36,38,30,15,8,230,0,5
LGA52170,4,71,85,115,123,80,42,11,526,0,10,10,19,18,14,10,0,78,62,194,174,233,225,183,87,17,1173,5,19,24,37,46,45,38,13,225,22,37,29,35,30,32,17,5,209,6,0,0,4,6,0,0,0,14,0,3,6,4,3,8,5,5,29,27,37,38,44,44,40,25,9,254,0,4,7,8,7,10,0,0,32,20,38,38,18,40,21,25,21,222,115,378,377,463,495,390,221,74,2517,5,70,70,99,80,62,12,3,398,3,26,25,36,47,38,7,3,185,92,263,220,278,196,144,67,24,1289,9,17,30,53,72,67,43,14,314,15,14,15,21,19,11,3,0,101,5,0,5,5,7,0,6,0,27,0,4,4,11,16,16,18,6,73,17,17,25,32,38,24,20,6,194,0,0,0,8,4,8,9,0,35,16,35,24,18,32,32,36,31,233,148,436,395,529,483,376,206,90,2650,11,135
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,5,0,0,0,26,0,3,0,5,10,5,4,0,23,8,18,10,16,13,12,0,6,89,4,3,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,7,16,17,17,20,17,15,10,6,108,0,0,0,0,5,0,0,0,5,7,5,3,10,14,15,11,0,65,19,35,31,42,44,35,14,7,230,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,9,16,7,3,0,0,0,39,0,3,9,9,9,6,3,0,38,10,15,18,10,12,4,5,0,66,0,0,6,0,0,0,0,0,10,0,0,0,3,0,0,0,0,7,14,16,17,16,12,4,5,0,79,0,0,0,4,0,0,0,0,3,6,6,12,8,11,12,5,4,69,20,33,55,45,40,23,16,4,242,0,0
LGA52310,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,3,0,3,12,6,0,0,20,0,0,9,3,7,5,5,3,32,12,14,9,19,24,18,3,0,97,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,8,14,9,19,22,24,3,0,100,0,0,0,0,0,0,0,0,4,5,0,8,5,9,7,11,3,45,14,23,22,39,51,37,23,6,213,0,3,0,0,9,0,0,0,6,0,0,0,5,3,4,0,0,10,0,5,5,9,13,4,0,0,41,0,0,6,5,9,5,4,0,30,3,4,9,8,12,4,0,0,42,3,3,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,13,11,11,8,14,8,10,3,0,69,0,0,0,0,0,0,0,0,0,3,3,7,4,8,3,9,0,45,23,27,21,38,42,29,12,3,197,0,3
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,4,12,8,8,0,6,0,0,39,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,12,8,8,4,6,0,0,44,0,0,0,0,0,0,0,0,0,0,4,5,8,3,8,3,0,27,3,24,12,20,7,18,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,5,0,0,0,6,5,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,15,0,0,0,0,0,0,0,0,6,4,0,3,0,3,6,0,0,14,5,4,5,5,6,12,0,0,44,0,0
