LGA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
LGA50840,423,306,158,17,163,164,28,75,426,42,329,2176,125,3676,32,12,9,3,4,7,0,6,14,0,7,93,4,153,129,47,40,9,47,53,7,32,55,17,76,302,17,606,14,3,5,4,0,7,0,3,6,4,15,53,4,103,6,4,0,0,4,3,0,0,0,0,3,16,0,32,0,0,0,0,0,0,0,0,0,0,0,6,0,3,8,3,3,0,5,4,3,0,6,0,6,43,3,64,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,5,0,0,0,0,0,3,11,0,11,3,4,0,0,3,0,0,5,5,0,6,33,4,53,13,7,4,0,6,3,0,0,14,0,16,41,0,85,207,80,69,18,75,73,5,43,98,24,130,593,27,1117,15,9,9,0,5,3,0,5,11,3,4,52,348,439,647,392,227,32,240,245,35,127,525,61,459,2823,504,5238,188,175,76,3
LGA50910,124,77,34,25,48,40,17,18,83,13,57,385,30,737,0,0,0,0,0,0,0,0,4,0,0,9,0,17,13,0,3,5,3,0,0,0,7,0,0,15,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,11,22,5,6,7,3,6,0,4,9,0,7,55,3,94,6,0,0,0,0,4,0,0,0,0,0,3,85,102,150,86,46,30,55,51,14,23,93,7,64,447,120,929,51,27,15,0
LGA50980,464,717,216,39,436,291,118,147,740,50,634,8810,662,12228,27,24,9,0,12,13,0,6,20,0,14,245,17,346,49,35,17,5,20,22,6,13,45,9,44,366,15,571,17,13,9,0,8,6,0,4,18,0,14,232,12,300,8,0,3,0,3,6,0,0,0,0,0,114,5,134,0,0,0,0,0,0,0,0,0,0,0,25,0,32,13,19,5,0,20,14,9,5,4,0,8,324,10,407,6,5,0,0,0,0,3,0,4,0,0,137,0,153,4,0,0,0,3,3,0,0,0,0,3,99,4,109,5,5,5,0,3,0,0,0,7,3,18,149,5,186,4,5,0,6,3,5,0,0,3,0,12,157,5,196,123,101,51,8,79,56,19,29,102,9,119,1864,78,2442,7,18,3,4,18,7,7,6,5,3,8,124,2100,2292,598,837,274,52,527,355,140,188,851,72,761,10794,2843,16959,341,497,140,4
LGA51080,78,64,34,4,49,19,5,12,79,4,57,522,33,818,4,0,0,0,0,0,0,0,0,0,3,8,0,18,11,3,6,0,6,4,0,4,5,0,0,19,0,45,0,0,0,0,0,0,0,0,0,0,4,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,3,20,7,8,0,6,10,0,4,13,0,9,49,0,103,7,7,0,0,0,0,0,0,3,0,0,10,109,132,100,78,36,5,61,26,5,16,91,7,66,584,145,1046,39,42,16,0
LGA51120,90,88,30,3,44,31,5,20,72,3,71,405,45,745,4,3,0,0,0,0,0,3,0,0,0,5,0,13,14,3,0,0,8,3,0,5,4,0,0,13,0,34,4,0,0,0,0,0,0,0,0,0,0,4,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,12,24,5,4,0,7,10,4,6,10,0,0,40,6,88,0,0,0,0,0,0,0,0,0,0,0,5,144,151,107,99,38,7,50,41,5,24,82,4,71,452,192,979,41,50,21,0
LGA51190,2780,2371,823,289,1369,1074,231,534,3180,265,2187,13605,1476,24485,103,86,43,3,64,40,9,26,107,10,59,520,49,907,462,186,146,51,201,184,38,106,255,58,256,939,99,2120,88,28,24,17,49,41,6,20,46,11,54,263,20,496,86,16,38,21,69,60,16,15,32,12,46,186,22,429,8,7,0,0,7,5,3,0,7,0,3,84,12,124,39,34,4,0,57,15,4,3,22,3,35,667,37,872,5,6,6,0,9,5,5,0,0,0,12,267,10,307,10,6,5,0,17,0,3,0,4,0,12,342,16,409,12,9,8,0,11,9,0,3,15,4,23,165,6,232,51,36,24,7,16,29,4,8,41,11,53,401,15,595,869,413,288,110,502,386,78,192,522,115,563,3835,292,6491,55,27,15,12,30,21,3,13,39,6,24,114,1746,2004,3703,2812,1125,410,1898,1478,314,745,3741,389,2766,17552,3518,32987,1059,1247,310,13
LGA51260,2992,2562,1056,225,1181,1182,269,543,2961,295,2327,18759,1238,30356,124,81,34,3,35,50,7,24,90,11,78,581,36,992,733,287,251,75,276,290,48,153,342,75,373,1771,114,3654,84,29,46,18,43,42,0,19,49,7,60,530,24,788,36,8,16,8,20,21,3,9,21,4,23,151,11,255,8,0,0,0,4,3,0,0,3,0,3,21,0,42,15,21,4,0,30,17,0,3,13,4,19,418,14,517,8,3,4,0,4,0,0,0,8,0,3,184,4,208,19,7,0,0,23,11,3,0,14,4,19,260,7,337,23,30,9,0,9,14,0,6,33,0,34,252,3,365,53,50,23,6,18,33,3,3,51,8,49,460,16,699,1104,521,388,110,465,474,71,216,623,113,664,4629,234,7850,78,34,32,10,30,35,8,19,44,8,28,231,2018,2435,4179,3125,1477,347,1679,1689,343,774,3633,419,3017,23611,3488,40640,1213,1498,431,3
LGA51310,1217,1437,632,185,365,644,115,204,1487,132,1443,13082,622,19240,33,43,23,0,19,20,6,5,22,0,40,297,13,467,273,149,120,51,89,132,16,58,157,34,189,1544,73,2469,59,54,40,20,26,42,4,17,41,7,63,646,21,927,83,22,41,18,39,52,5,21,35,8,66,385,22,620,14,7,12,3,9,8,0,3,6,0,20,202,5,260,56,51,22,12,42,34,9,16,33,5,89,837,27,1128,17,12,12,8,18,8,3,0,9,0,47,607,6,725,27,35,3,9,33,18,6,4,9,7,31,515,8,648,21,42,15,6,10,17,5,7,46,6,61,535,11,713,50,44,32,6,12,31,5,10,60,5,46,605,24,854,637,448,324,139,292,366,64,140,413,80,649,6172,203,8814,18,7,10,20,14,17,3,5,13,5,28,58,699,820,1874,1889,966,339,671,1023,184,347,1917,214,2119,19317,1519,28876,603,1111,369,4
LGA51330,3063,3485,1196,249,1576,1415,334,628,4136,287,3472,28646,1535,43460,170,154,72,15,105,81,14,29,150,18,117,1238,61,1923,924,395,335,92,427,450,86,215,522,102,534,2661,171,5355,180,57,57,30,86,108,20,39,96,16,118,694,45,1234,227,55,72,32,155,129,19,34,83,29,132,784,47,1401,95,82,40,10,107,52,16,12,100,11,141,1634,67,2153,499,491,243,60,843,371,91,60,307,85,922,9986,279,13208,106,87,66,10,254,63,26,14,89,26,319,6260,117,7248,275,258,104,22,684,213,40,46,162,28,411,10295,254,12258,70,67,34,0,40,19,8,9,81,14,84,675,27,1000,166,144,64,9,144,80,12,24,146,16,191,2110,88,2933,2711,1789,1094,280,2846,1561,337,475,1740,338,2979,36338,1158,48711,70,36,24,20,47,36,13,25,41,12,34,298,3210,3695,5848,5307,2313,546,4465,3013,684,1127,5914,640,6482,65275,5903,95860,1776,2822,769,10
LGA51400,1162,1268,345,52,566,410,91,191,1321,87,1049,8356,557,13318,38,55,14,0,27,13,7,9,40,6,35,305,27,501,223,113,61,16,96,70,21,57,140,9,122,664,52,1282,32,25,6,0,23,14,0,11,23,5,21,135,9,237,15,8,0,0,5,10,0,3,6,4,8,61,4,101,0,0,0,0,7,0,0,0,0,0,3,47,5,60,9,19,3,0,20,5,4,0,5,0,22,355,13,432,0,0,0,0,0,0,0,0,3,0,5,46,0,53,4,3,3,0,16,4,0,0,0,0,12,176,0,211,12,8,4,0,5,0,0,4,11,0,7,86,5,130,45,66,28,3,35,21,3,7,67,0,67,684,20,958,378,288,120,18,235,144,31,92,293,25,298,2567,126,3975,15,13,11,3,13,13,0,4,6,4,7,60,764,880,1561,1571,475,70,812,565,128,285,1619,117,1357,10983,1451,18175,631,821,176,5
LGA51470,42,26,14,0,30,32,4,17,49,6,18,230,5,386,5,0,0,0,0,0,0,0,0,0,0,10,0,16,6,0,9,0,0,7,0,0,3,4,0,14,0,28,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,8,9,0,3,9,0,3,6,4,6,44,3,75,0,0,0,0,0,0,0,0,0,0,0,3,80,90,56,32,24,0,38,37,6,22,53,5,24,274,92,552,23,14,11,0
LGA51540,246,266,79,18,212,161,49,79,219,23,223,2172,194,3371,3,9,0,0,5,3,0,5,8,0,3,89,0,129,33,17,15,7,14,13,3,15,6,3,17,100,6,193,11,0,0,0,4,7,0,0,4,0,4,55,0,75,27,3,6,0,12,8,4,5,4,0,10,75,4,133,0,0,0,0,0,0,0,0,0,0,0,10,0,12,5,6,0,0,8,0,0,0,4,4,17,186,20,244,0,0,0,0,0,0,0,0,0,0,0,62,3,63,5,0,0,0,5,4,0,0,0,0,0,24,3,36,0,0,0,0,0,0,0,0,0,0,0,26,0,31,4,0,3,0,3,0,0,0,5,0,0,35,3,54,84,37,23,6,54,33,15,24,30,12,56,663,45,965,14,5,3,0,10,9,0,0,3,5,0,35,847,917,344,310,111,26,268,206,64,104,248,40,286,2871,1081,5251,123,156,36,0
LGA51610,93,86,27,3,45,31,6,15,80,8,86,739,41,1138,4,0,0,0,3,0,0,0,0,0,4,19,0,32,19,6,5,0,8,18,4,0,9,0,9,44,7,96,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,4,0,0,5,0,12,0,0,4,0,0,0,0,0,0,0,0,19,0,24,25,13,12,0,14,21,3,3,17,0,20,115,14,206,0,0,0,0,0,0,0,0,0,0,8,7,196,208,121,105,44,6,66,49,13,18,95,14,110,859,256,1556,52,57,21,0
LGA51680,311,341,128,9,169,137,39,79,321,35,324,2596,125,3991,19,15,12,0,5,4,3,0,15,3,15,121,4,189,126,72,48,8,65,44,7,16,94,12,74,399,23,789,19,4,4,0,14,17,4,0,9,5,6,41,3,90,3,0,0,0,4,0,0,0,0,0,3,34,4,49,0,0,0,0,0,0,0,0,0,0,0,13,0,11,4,5,3,0,4,6,0,0,6,0,5,52,0,64,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,4,0,0,0,0,0,0,0,0,0,20,0,25,5,5,0,0,0,0,0,0,4,0,3,25,0,36,11,6,3,0,0,6,0,0,11,0,10,71,5,118,181,101,74,11,102,74,13,28,139,19,119,781,38,1381,17,7,0,0,5,6,0,6,16,4,16,108,409,555,514,451,202,28,282,225,53,113,471,55,453,3482,569,5930,204,243,88,0
LGA51710,19,60,7,0,24,10,7,3,28,0,24,528,15,690,0,0,0,0,0,0,0,0,5,0,3,21,30,55,0,0,0,0,0,3,0,0,0,0,3,20,6,38,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,0,0,0,0,0,0,67,67,18,13,5,0,29,10,3,0,4,0,29,309,35,431,0,0,0,0,0,0,0,0,0,0,3,12,5,21,0,0,0,0,0,0,0,0,0,0,4,10,36,49,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,4,0,0,0,0,0,6,34,45,20,21,4,0,42,16,6,4,8,5,42,386,223,733,0,0,0,0,3,0,0,0,0,3,0,26,233,268,38,82,17,0,61,27,13,5,37,5,67,940,472,1692,21,53,13,0
LGA51750,623,549,305,102,187,350,42,123,575,62,501,4598,213,7170,28,13,8,4,4,7,0,3,18,0,13,117,6,186,127,63,67,24,41,80,9,23,90,23,101,692,32,1147,19,15,15,0,12,8,0,10,23,3,20,219,8,302,15,10,3,3,8,9,0,4,7,0,14,111,0,160,4,9,0,0,6,5,0,0,6,0,6,68,0,94,24,18,11,4,16,11,0,3,10,0,34,246,3,345,3,7,5,0,7,7,0,0,4,3,13,401,3,447,15,6,9,0,10,11,0,5,3,0,13,119,0,157,17,12,9,4,10,13,0,0,20,4,13,223,5,294,20,21,19,7,9,24,3,3,26,0,22,261,9,394,266,181,141,40,118,154,23,53,206,35,243,2456,73,3531,17,3,3,0,5,7,0,3,8,0,4,41,515,590,904,735,449,142,310,515,64,176,788,96,752,7091,793,11284,262,406,146,0
LGA51820,4545,6418,1565,287,2348,1914,490,877,7413,427,5704,48048,2823,72904,233,298,72,19,152,108,25,48,273,26,223,2257,115,3386,1265,707,454,105,555,545,109,269,929,122,941,5259,327,9450,199,122,67,22,96,122,14,51,147,24,166,1523,59,2265,987,246,304,154,644,488,108,125,446,132,571,3071,181,5697,55,30,15,4,53,31,7,8,42,3,58,763,19,996,254,280,108,27,386,148,31,32,200,31,466,5465,165,7112,44,38,29,4,83,42,14,11,48,9,143,2335,40,2749,132,96,30,12,253,80,31,12,86,7,174,2528,65,3284,146,118,45,6,74,43,13,14,141,9,138,1271,39,1843,174,198,77,18,160,80,22,27,203,11,225,2516,99,3502,3489,2126,1205,364,2461,1689,373,603,2507,371,3104,26995,1110,40273,85,59,20,14,59,38,13,20,43,11,40,334,4326,4908,8117,8601,2793,657,4868,3637,878,1497,9959,812,8844,75384,8250,118091,2916,4968,1048,15
LGA51860,13,22,3,0,18,7,3,3,10,3,21,327,28,436,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,4,0,0,4,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,0,41,0,56,0,0,0,0,0,0,0,0,0,0,0,14,89,106,16,22,6,0,22,11,3,3,13,0,24,382,114,593,4,12,6,0
LGA51890,834,716,232,53,449,305,68,195,781,88,580,4072,357,7129,21,20,10,0,18,8,0,10,18,5,16,117,9,205,114,38,39,10,57,38,4,33,60,21,54,160,14,431,27,6,8,0,15,7,3,5,10,0,8,41,0,91,23,5,4,0,16,3,0,4,3,0,6,15,3,55,0,4,0,0,0,0,0,0,0,0,0,7,0,14,6,4,6,0,4,3,0,4,0,0,10,58,4,87,0,0,0,0,0,0,0,0,3,0,0,12,5,19,0,0,0,0,0,0,0,0,0,0,0,11,0,21,3,0,0,0,3,4,0,0,9,3,5,10,0,22,11,8,3,0,5,0,0,0,10,0,9,31,11,73,209,81,66,10,123,75,9,53,114,29,108,456,44,1002,32,9,12,0,15,12,0,14,14,0,8,33,577,678,1074,807,313,68,591,390,76,259,908,119,698,4564,976,8812,247,325,75,0
LGA51960,175,205,46,3,134,79,23,49,210,12,141,1307,75,2086,21,23,4,0,20,9,0,13,23,7,9,180,6,274,13,8,3,0,8,5,0,10,11,0,8,43,5,88,0,0,0,0,0,3,0,0,5,0,0,13,0,25,6,0,0,0,9,6,0,4,4,0,0,12,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,6,0,0,3,0,0,0,0,0,5,63,5,81,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,0,7,0,9,7,5,0,0,0,0,0,0,0,0,5,30,0,42,47,47,11,3,45,23,0,21,49,5,38,374,12,575,9,7,5,0,10,0,0,9,4,4,7,47,751,824,230,254,58,6,180,104,22,82,266,18,188,1726,838,3478,89,139,17,0
LGA52030,114,76,42,5,62,52,10,28,58,8,57,449,42,807,0,4,4,0,0,0,0,0,0,0,4,19,0,28,8,0,4,0,5,7,0,0,0,0,0,30,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,4,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,4,3,0,8,7,3,0,3,0,9,73,3,111,3,4,0,0,0,0,0,3,0,0,0,9,128,140,121,80,47,5,72,57,13,28,65,12,64,526,175,1055,41,40,16,0
LGA52100,126,90,34,9,49,40,19,28,71,5,66,466,26,845,6,5,0,0,0,0,0,0,0,0,0,16,0,33,8,5,6,0,5,4,3,0,0,0,4,5,0,35,4,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,3,0,0,0,0,3,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,6,0,6,24,16,5,0,13,11,0,5,9,4,9,45,4,108,0,0,0,0,0,0,0,0,0,0,0,3,52,58,151,108,42,9,67,54,18,33,76,12,76,517,79,1007,68,54,16,0
LGA52170,380,359,220,33,91,209,23,56,360,32,338,3914,178,5660,20,12,0,0,0,4,0,3,7,0,9,94,3,142,72,49,26,10,30,50,4,10,43,6,56,515,28,778,13,11,0,0,10,8,0,0,8,0,12,165,3,213,12,0,3,5,5,8,0,0,0,5,9,89,3,128,0,0,0,0,0,0,0,0,3,0,4,27,0,35,0,3,4,0,3,4,0,0,4,0,3,80,5,118,0,0,3,0,0,3,0,0,5,0,4,48,0,68,4,0,0,0,4,0,0,0,0,0,0,27,0,38,7,9,3,0,8,6,0,3,8,0,8,164,9,218,17,11,14,0,3,4,0,0,6,4,16,146,12,211,154,106,56,18,57,86,17,19,88,14,122,1366,65,1957,7,3,3,0,3,4,4,3,3,0,3,19,319,355,542,472,280,52,150,306,39,80,453,43,462,5298,563,7970,170,273,111,0
LGA52240,82,83,27,0,43,37,3,17,73,14,68,488,28,806,3,8,3,0,3,0,0,0,3,0,5,16,0,32,18,6,6,0,11,16,0,3,4,0,13,37,0,76,0,0,0,0,0,0,0,0,0,0,3,8,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,17,0,17,16,14,9,0,16,12,0,4,12,0,16,100,5,174,0,3,0,0,3,0,0,0,0,0,0,6,102,122,105,102,43,0,62,50,3,21,88,15,89,592,138,1100,51,44,16,0
