LGA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA50840,41,66,156,195,265,281,125,18,3,1157,0,0,8,6,18,19,11,7,0,71,0,5,16,21,13,20,0,0,0,76,3,5,3,3,3,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,10,0,0,0,26,0,0,0,0,0,6,0,0,0,9,18,8,9,27,31,27,0,0,0,123,24,7,15,9,20,25,4,0,0,101,0,0,0,6,6,6,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,0,10,0,0,4,5,9,9,5,0,0,22,0,0,0,12,10,12,4,0,0,38,0,3,9,9,8,8,5,0,0,36,0,0,10,11,18,9,0,0,0,51,3,6,13,36,51,46,11,0,0,167,4,11,20,42,61,74,23,4,0,232,0,0,0,3,3,4,0,0,0,13,3,0,12,3,13,8,7,0,0,42
LGA50910,5,15,27,32,51,55,31,8,0,212,0,0,8,8,6,9,3,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,4,4,3,6,5,0,0,20,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,3,0,0,0,8,0,0,6,10,11,10,3,0,0,33,0,0,0,7,4,3,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA50980,174,245,852,904,805,538,200,18,0,3739,0,16,19,13,5,12,4,0,0,74,0,4,7,6,10,0,0,0,0,29,0,0,11,10,3,11,0,0,0,33,0,0,4,7,6,0,0,0,0,18,3,0,14,32,19,20,9,0,0,97,0,4,8,7,4,4,0,0,0,20,73,28,60,65,63,68,19,0,0,374,57,35,169,57,49,31,16,0,0,406,5,11,48,39,31,24,6,0,0,164,0,0,6,5,11,8,0,0,0,34,0,4,13,11,11,5,5,0,0,47,0,8,16,12,16,4,5,0,0,68,0,8,25,28,26,19,5,0,0,120,4,10,27,41,26,22,9,0,0,141,9,12,69,93,68,47,10,0,0,307,17,36,169,223,163,102,22,0,0,724,31,64,311,293,218,162,37,0,0,1118,7,5,19,18,16,17,6,0,0,81,10,8,26,42,27,16,3,0,0,130
LGA51080,8,15,47,42,53,61,27,10,0,269,0,3,12,17,15,13,8,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,5,0,0,0,12,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,0,0,0,12,0,7,8,11,9,13,0,0,0,38,0,0,5,5,5,8,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3
LGA51120,8,20,36,49,42,45,29,6,0,233,0,0,5,4,14,8,8,3,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,4,0,0,4,0,4,3,0,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,12,0,0,5,11,7,5,0,0,0,34,0,8,4,8,8,6,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,10
LGA51190,434,632,1509,1463,1527,1394,466,61,3,7482,0,8,16,11,9,5,10,0,0,65,3,23,36,34,37,24,5,0,0,150,17,27,63,72,66,33,8,0,0,286,0,7,13,8,15,11,0,0,0,57,9,12,55,51,46,40,8,0,0,214,0,7,13,13,24,11,11,0,0,77,124,102,174,168,180,169,35,0,0,951,198,91,114,119,114,50,18,0,0,712,6,13,22,15,27,39,9,0,0,120,12,8,12,12,6,3,0,0,0,55,0,7,28,26,27,23,5,0,0,115,3,10,25,23,23,20,7,0,0,111,0,14,41,72,52,51,12,0,0,243,7,14,34,53,62,57,11,3,0,239,4,22,76,74,115,86,16,0,0,397,17,32,126,180,293,235,58,3,0,952,39,151,401,350,400,389,92,3,0,1823,13,15,20,8,17,14,4,0,0,89,11,46,58,50,76,46,12,0,0,294
LGA51260,721,582,1486,2021,2180,1785,673,91,13,9546,12,16,25,35,50,49,38,13,0,241,0,8,33,29,59,14,5,0,0,149,26,19,63,98,83,64,27,4,0,374,0,0,0,13,12,7,6,0,0,38,3,9,57,80,83,49,16,0,0,313,5,6,12,23,30,24,7,0,0,105,196,96,158,204,261,252,58,8,0,1221,286,116,215,262,201,159,39,0,0,1290,3,3,20,26,35,34,13,0,0,138,3,3,9,12,13,3,4,0,0,49,0,3,20,39,42,32,7,0,0,152,5,18,36,38,43,29,23,0,0,196,4,17,57,126,129,69,24,5,0,428,16,21,86,118,133,70,22,0,0,468,10,6,51,82,98,61,16,0,0,316,29,35,150,317,378,245,45,4,0,1209,27,81,294,457,499,452,92,3,0,1906,17,3,26,33,32,15,4,0,0,133,25,38,75,86,102,62,11,3,0,397
LGA51310,445,575,1181,1597,1918,1387,475,79,20,7677,0,0,0,3,11,10,0,0,0,19,0,11,64,121,87,30,0,0,0,310,28,10,21,35,18,19,9,3,0,143,0,0,9,24,15,10,0,0,0,59,0,14,34,55,49,36,7,0,0,201,5,10,10,28,25,17,5,0,0,104,131,111,58,67,79,67,16,0,0,524,151,89,80,38,37,16,0,0,0,412,0,4,21,20,27,19,4,0,0,92,4,7,17,10,25,10,0,0,0,77,3,11,47,56,75,41,5,3,0,243,0,5,17,28,34,28,12,3,0,138,3,63,191,263,242,126,27,11,0,925,6,15,31,46,38,32,6,0,0,177,6,10,55,102,114,75,20,0,0,381,32,43,126,181,311,251,75,13,0,1035,34,134,337,405,501,340,102,6,0,1849,33,22,19,30,32,23,6,6,0,163,18,31,36,35,48,26,18,3,0,228
LGA51330,1148,2925,6312,5815,4825,3424,1099,121,7,25681,0,5,25,25,32,4,7,0,0,103,8,23,143,171,92,48,5,0,0,492,27,57,148,152,143,127,38,0,0,684,6,10,27,54,24,15,9,0,0,137,0,48,147,152,111,76,20,0,0,561,7,26,81,112,93,68,19,0,0,407,334,475,511,350,297,249,63,4,0,2283,503,456,458,278,164,146,36,3,0,2047,13,45,114,123,124,76,23,0,0,509,19,28,46,31,25,15,0,0,0,162,0,24,123,162,114,78,25,5,0,533,3,12,64,69,71,54,16,4,0,295,15,157,437,460,285,168,46,5,0,1560,22,99,268,199,142,93,18,5,0,845,23,74,222,327,305,257,55,0,0,1267,78,218,484,671,772,589,137,11,0,2971,80,515,1286,1290,1163,787,204,8,0,5320,67,81,83,76,35,45,9,0,0,397,31,93,177,193,162,120,35,9,0,831
LGA51400,325,354,718,958,1110,871,234,28,0,4605,10,11,15,13,29,25,24,6,0,126,0,14,17,19,35,14,0,0,0,108,13,9,21,40,39,16,0,0,0,139,0,3,8,8,7,4,0,0,0,27,0,14,27,30,36,26,0,0,0,144,4,3,15,8,10,7,0,0,0,44,111,55,87,104,120,57,8,0,0,548,140,45,30,51,34,21,3,0,0,320,0,8,7,19,18,14,4,0,0,66,6,3,9,0,0,0,0,0,0,17,0,3,18,17,18,11,0,0,0,69,3,6,10,15,6,13,0,0,0,57,3,11,34,45,36,25,13,0,0,158,9,4,25,39,45,22,4,0,0,149,3,14,31,72,74,33,4,0,0,229,17,18,74,163,228,136,32,0,0,658,33,83,201,291,309,251,36,0,0,1202,16,6,22,11,11,12,4,0,0,85,11,15,40,40,50,26,9,0,0,194
