LGA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA51260,192,567,168,298,16,1354,156,134,722,352,552,60,1983,4,0,35,36,70,7,153,11,12,52,66,364,19,525,11,6,83,67,189,69,418,545,534,3103,2126,6013,504,12826
LGA51310,197,579,101,89,28,1359,671,178,1267,223,96,65,2502,31,19,106,30,31,0,217,39,10,83,57,91,8,296,80,20,208,51,54,26,440,2654,825,5970,1322,1261,289,12318
LGA51330,418,1552,357,503,55,3759,926,350,2733,950,904,177,6043,51,14,197,106,154,11,530,108,35,324,244,528,41,1283,274,34,535,234,454,224,1746,5799,1540,13903,5356,8087,1186,35879
LGA51400,100,300,81,190,21,745,114,70,446,198,370,39,1239,0,3,10,13,31,3,66,22,8,42,52,184,6,317,3,0,28,20,108,46,213,300,236,1448,901,3105,219,6214
LGA51470,5,5,0,3,6,19,0,0,6,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,3,0,3,4,4,22,22,79,10,147
LGA51540,11,64,17,45,0,151,10,16,56,27,61,15,183,0,0,3,4,3,0,14,0,3,9,3,37,0,50,0,0,9,6,20,23,59,56,45,298,175,664,88,1313
LGA51610,6,23,11,16,4,62,0,3,23,12,19,5,65,0,0,0,4,0,0,3,0,0,0,0,22,0,20,0,0,0,0,8,0,8,12,15,98,79,245,33,482
LGA51680,15,68,21,56,6,175,14,8,54,54,60,6,200,0,0,4,3,7,0,15,4,0,3,6,66,3,80,0,0,6,9,70,17,100,47,45,301,328,1006,106,1834
LGA51710,3,16,4,14,0,45,0,0,3,4,11,0,20,0,0,3,0,3,0,8,0,0,4,0,14,0,11,0,0,0,5,10,7,20,30,26,88,76,250,30,495
LGA51750,64,197,42,31,6,490,210,67,444,61,38,18,841,17,0,44,14,13,7,92,15,3,43,16,25,3,103,35,0,67,13,16,18,154,963,303,2210,420,380,110,4385
LGA51820,620,2039,591,938,101,5025,818,499,3193,1247,1585,216,7560,42,12,211,105,229,24,629,73,39,293,289,1216,44,1948,131,36,457,288,819,249,1987,3964,1933,13604,7149,16365,1576,44595
LGA51860,0,10,0,7,0,20,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,14,9,9,24,12,69,16,137
LGA51890,20,71,34,96,10,238,8,8,67,45,132,12,267,0,0,0,0,12,0,12,0,0,6,17,90,0,108,0,0,4,8,44,6,59,37,42,220,229,1466,68,2061
LGA51960,7,19,7,24,5,76,3,6,12,11,6,4,42,0,0,0,0,0,0,3,0,0,0,0,19,0,20,0,0,0,0,11,11,24,16,17,85,71,447,64,710
LGA52030,4,12,0,5,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,8,0,9,0,11,4,9,44,26,130,10,226
LGA52100,3,16,3,5,0,26,0,0,5,10,14,0,29,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,4,5,0,10,10,10,59,47,154,7,282
LGA52170,38,149,22,14,5,309,176,41,394,42,27,20,702,13,0,30,0,4,0,52,11,0,29,10,14,5,67,36,8,65,11,5,23,152,724,187,1773,295,284,100,3357
LGA52240,4,7,0,7,0,22,0,0,6,0,11,0,18,0,0,0,0,0,0,0,0,0,0,4,8,0,9,0,0,0,0,4,3,7,7,7,56,41,140,26,275
LGA52310,3,4,8,8,0,27,3,4,9,3,14,0,37,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,9,0,7,8,7,43,36,113,11,223
LGA52380,0,0,0,0,3,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,8,35,15,69
LGA52450,7,21,0,27,0,55,0,6,14,3,6,0,22,0,0,0,0,0,0,3,0,0,0,0,9,0,9,0,0,0,0,6,0,14,11,9,63,25,176,19,298
LGA52520,3,24,4,5,0,39,5,0,11,3,7,0,28,0,0,4,0,0,0,4,0,0,0,0,14,0,14,0,0,0,3,9,3,12,10,5,93,46,144,17,332
LGA52590,14,43,13,13,4,87,0,3,26,17,19,3,69,0,0,4,5,10,0,19,0,0,0,4,28,0,29,0,0,4,4,25,5,37,20,27,185,162,472,53,927
LGA52660,46,169,67,136,8,439,27,34,236,136,260,16,707,0,0,9,7,15,3,35,4,3,21,23,165,8,225,3,0,25,25,85,29,167,106,124,847,653,2652,169,4545
LGA52730,38,99,29,53,4,264,44,26,95,54,62,16,289,0,0,5,4,13,0,30,6,0,9,11,30,4,67,10,5,11,7,16,10,64,159,106,518,303,706,78,1873
LGA52800,38,116,20,77,5,278,34,14,97,26,80,6,257,3,0,21,7,19,8,48,0,0,3,10,40,3,61,0,0,3,0,18,13,41,86,63,322,162,563,65,1263
LGA52870,27,70,24,39,3,190,11,20,70,38,91,9,241,0,0,5,0,10,0,19,3,0,9,4,50,4,70,8,0,14,7,35,11,68,68,77,363,302,913,76,1795
LGA52940,0,13,0,6,0,24,0,0,9,7,3,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,3,7,37,37,81,10,168
LGA53010,0,10,0,3,0,18,0,0,7,0,9,4,24,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,4,0,55,23,65,12,161
LGA53080,0,4,0,3,0,10,0,0,7,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,3,8,27,20,56,11,123
LGA53150,79,189,28,27,5,440,141,57,287,60,46,10,600,12,8,30,7,8,0,67,9,0,31,15,36,0,91,13,3,29,17,16,11,94,502,261,1388,379,548,84,3156
LGA53220,15,80,21,34,11,182,14,11,42,23,43,7,146,0,0,3,6,14,0,24,0,3,12,15,63,3,96,0,0,8,0,32,9,57,129,53,542,420,1896,117,3158
LGA53290,61,196,75,109,13,476,23,22,149,80,164,17,459,0,0,8,0,11,5,27,0,0,4,29,190,3,232,0,0,24,13,75,24,141,107,129,783,575,2094,209,3899
LGA53360,11,44,7,18,5,95,10,3,33,13,24,5,85,3,0,4,3,9,0,24,0,0,0,5,23,0,39,7,0,16,5,38,9,75,62,30,296,173,574,60,1206
LGA53430,301,724,161,145,35,1900,469,170,1106,264,244,50,2304,56,25,157,51,58,4,357,46,19,115,66,178,8,424,78,26,200,69,113,64,545,2276,864,5253,1732,2646,362,13128
LGA53570,14,41,16,21,0,92,8,3,33,32,24,9,105,0,0,9,5,0,0,8,0,0,0,6,37,0,45,4,0,5,8,27,17,58,50,38,272,231,712,103,1406
LGA53640,4,11,7,6,0,34,4,0,11,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,13,0,15,0,0,0,0,4,3,11,13,11,85,46,139,16,307
LGA53710,0,12,0,10,0,22,3,0,11,9,4,5,22,0,0,0,0,0,0,0,0,0,0,0,10,5,18,0,0,0,0,3,0,8,4,3,46,32,123,20,226
LGA53780,332,1283,464,812,87,3528,662,287,2473,1228,1663,223,6548,41,11,166,115,198,20,547,82,32,291,303,1058,59,1818,172,25,423,267,759,282,1927,3792,1181,11016,6540,14383,1514,38424
LGA53800,158,618,208,430,39,1577,171,133,766,431,650,67,2219,3,3,20,10,37,6,82,8,8,37,79,419,15,574,12,4,34,51,201,54,351,479,434,2323,1820,6057,431,11550
LGA53920,16,56,5,42,8,134,0,4,21,8,42,7,88,0,0,0,0,3,0,4,3,0,3,0,7,0,18,0,0,0,0,15,13,31,37,25,119,42,230,34,482
LGA53990,128,388,135,281,16,1005,68,49,372,214,543,35,1291,0,4,14,12,55,0,83,3,4,23,51,258,8,347,5,8,28,25,165,39,266,269,282,1643,1258,5022,326,8799
LGA54060,11,34,13,26,3,99,4,4,31,24,29,7,97,0,0,0,4,0,0,6,0,0,0,4,18,0,25,0,4,3,3,24,4,40,19,30,145,151,463,50,851
LGA54130,6,19,7,10,0,36,0,0,5,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,3,0,8,8,13,87,40,156,21,319
LGA54170,1137,3495,1004,1246,133,8173,1021,620,3957,1712,1841,306,9457,55,26,343,158,282,30,890,108,64,391,439,1418,55,2473,141,49,547,339,870,227,2174,5379,3124,19581,10284,20498,1904,60775
LGA54200,261,882,297,469,42,2245,234,165,1055,558,718,71,2800,14,8,91,53,121,14,303,35,19,85,163,653,27,979,36,17,153,120,395,90,806,1328,792,4960,3263,8367,667,19375
LGA54280,102,385,89,211,18,899,124,68,394,209,257,36,1092,0,0,13,18,34,0,70,6,4,24,53,391,13,492,9,5,31,34,196,55,337,564,280,1929,1212,5099,381,9454
LGA54310,90,333,82,169,12,756,77,72,246,97,144,14,647,0,0,16,8,25,8,66,6,3,38,46,187,11,283,23,9,52,37,201,39,356,379,275,1596,1093,4169,278,7794
LGA54340,14,43,12,35,8,131,6,7,52,32,40,5,147,0,0,0,0,3,0,6,0,0,0,5,40,0,49,0,0,0,0,21,11,31,33,30,175,116,508,63,924
LGA54410,0,20,3,9,0,30,0,0,17,7,13,0,39,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,5,9,4,54,30,130,14,244
LGA54480,4,3,3,10,0,18,0,0,8,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,6,41,24,57,7,142
LGA54550,5,38,3,6,0,57,3,0,23,9,8,0,44,0,0,0,0,0,0,0,3,0,4,3,12,0,21,0,0,6,0,12,9,29,11,14,179,84,203,36,527
LGA54620,0,8,5,5,0,17,0,0,8,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,5,4,8,10,5,53,35,102,9,209
LGA54690,0,5,0,3,0,13,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,9,46,6,84
LGA54760,0,17,5,7,5,36,0,0,10,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,6,8,65,29,94,9,208
LGA54830,142,412,172,281,26,1170,181,137,893,503,799,78,2589,15,5,44,30,79,10,173,18,12,65,109,422,16,635,39,10,97,89,335,84,657,944,459,3555,2320,6484,551,14317
LGA54900,5,17,4,8,0,34,0,0,14,10,6,0,30,0,0,4,0,0,0,4,0,0,0,0,14,0,12,0,0,0,3,6,0,13,9,9,100,64,176,29,377
LGA54970,0,8,0,0,3,13,0,0,4,0,8,5,17,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,3,4,3,12,3,60,48,161,20,295
LGA55040,3,10,3,8,0,33,6,0,3,8,9,0,21,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,3,4,16,7,61,65,226,20,394
LGA55110,306,1081,372,684,70,2724,233,180,1188,829,1429,116,3978,10,8,51,51,123,18,260,16,16,82,179,686,34,1016,32,14,106,140,491,141,923,995,771,4546,4072,12173,981,23539
LGA55180,26,114,28,75,11,269,22,11,94,61,125,12,327,0,5,9,4,17,0,34,0,0,9,9,89,8,110,6,0,14,6,41,24,90,97,72,491,353,1299,132,2448
LGA55250,0,11,3,12,6,40,3,0,4,6,7,0,23,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,3,3,3,10,16,7,59,37,139,16,276
LGA55320,720,2346,489,531,86,5298,1201,548,3277,828,780,166,6803,58,17,250,101,151,21,595,89,41,328,219,550,36,1264,188,41,579,206,382,189,1582,5899,2464,16602,5349,8302,1131,39745
LGA55390,0,3,0,0,5,7,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,5,3,4,22,15,98,8,157
LGA55460,7,56,12,27,3,108,0,7,34,22,30,5,106,0,0,3,0,5,0,4,3,0,0,0,42,0,51,0,0,0,0,7,7,14,39,28,167,83,436,44,797
LGA55530,0,0,0,4,0,3,0,0,5,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,36,8,46,3,95
LGA55600,12,45,5,27,0,96,4,4,19,14,28,0,60,0,0,0,0,0,0,3,0,0,0,0,27,0,29,0,0,0,5,0,5,13,21,22,131,70,300,31,580
LGA55670,8,7,4,18,3,41,0,0,4,0,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,14,31,19,70,11,145
LGA55740,56,176,32,17,4,410,185,49,349,56,44,15,700,6,0,22,9,8,0,46,12,7,40,15,40,0,108,37,11,59,15,22,13,156,789,240,1673,389,415,92,3596
LGA55810,3,6,0,4,0,14,0,0,7,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,22,20,54,10,114
LGA55880,3,7,0,3,0,15,0,3,3,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,4,5,21,13,70,5,118
LGA55950,3,10,5,5,0,28,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,3,3,10,27,21,74,7,138
LGA56090,208,628,218,294,32,1602,148,129,654,321,446,61,1764,16,4,54,32,72,7,184,18,13,72,101,451,14,667,25,10,96,80,250,59,523,854,631,3116,2114,5447,430,12597
LGA56160,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,13,0,29
LGA56230,50,139,68,132,18,433,21,24,141,129,242,14,582,0,0,4,15,35,8,59,4,4,19,21,164,11,223,0,0,16,16,104,28,164,111,114,597,673,2693,203,4387
LGA56300,11,9,4,4,0,40,3,8,14,15,11,3,56,0,0,0,0,0,0,6,0,0,3,0,11,0,13,5,0,0,4,9,0,14,21,26,86,74,151,23,375
LGA56370,0,14,0,0,0,23,0,0,4,6,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,8,6,40,23,67,14,154
LGA56460,27,74,25,51,7,191,11,10,115,42,88,10,279,0,0,4,0,7,0,12,0,0,5,12,52,0,69,0,0,0,3,19,12,43,43,50,325,199,635,73,1320
LGA56580,94,389,64,51,14,980,652,146,1095,130,65,41,2123,20,17,54,9,14,3,119,34,0,74,19,46,4,180,91,13,170,27,34,17,353,2285,566,4421,761,705,184,8922
LGA56620,6,24,0,3,0,35,0,0,13,4,3,0,25,0,0,0,0,4,0,9,0,0,4,0,0,0,6,0,0,0,0,0,0,0,7,9,46,13,38,0,108
LGA56730,40,102,31,78,11,294,44,17,115,95,126,18,414,0,0,5,6,11,3,21,0,0,8,14,111,7,134,5,0,11,4,57,23,96,126,97,452,360,1428,146,2613
LGA56790,15,31,13,30,9,94,6,4,27,12,29,4,79,3,0,0,0,0,0,14,0,0,0,4,14,0,22,0,0,0,0,20,4,30,15,27,133,96,375,54,704
LGA56860,0,0,0,4,0,3,0,0,7,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,24,5,52
LGA56930,0,26,0,5,0,47,32,3,60,4,0,4,112,0,0,0,0,0,0,5,0,0,6,0,3,0,10,6,0,9,3,5,0,24,117,18,297,58,43,19,552
LGA57000,0,4,0,4,0,8,0,0,6,0,5,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,33,23,77,4,150
LGA57080,87,405,76,60,21,1077,498,103,887,201,150,43,1880,29,8,111,47,40,10,243,43,15,96,62,128,7,347,132,13,222,66,59,62,550,2990,549,5994,1718,1918,394,13565
LGA57140,0,14,0,6,0,16,0,0,7,12,8,0,31,0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,4,0,11,0,8,45,34,115,12,211
LGA57210,10,52,24,51,0,154,11,10,52,49,59,8,186,0,0,4,5,6,0,12,0,0,0,4,32,4,50,0,0,13,7,28,8,50,48,36,300,231,709,72,1402
LGA57280,50,214,44,110,9,472,47,37,219,102,144,18,562,0,4,5,8,9,0,25,11,0,15,21,116,8,184,5,4,25,11,107,44,194,209,148,991,761,2882,206,5194
LGA57350,5,7,3,8,0,22,0,0,9,8,12,0,23,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,9,38,23,82,4,155
LGA57420,0,18,3,10,4,47,7,0,18,6,5,5,38,0,0,0,0,0,0,5,0,0,4,0,5,0,15,0,0,3,5,13,5,18,28,9,136,88,276,35,582
LGA57490,474,1633,661,1354,121,4602,372,344,1866,1414,2280,204,6481,10,15,76,89,237,16,449,24,25,130,247,1203,70,1696,43,21,220,244,985,230,1740,1603,1318,7526,7453,22109,1535,41553
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,19,0,26
LGA57700,94,345,157,281,23,960,88,107,471,339,428,53,1481,0,0,21,24,78,6,131,10,3,46,78,464,9,611,12,3,63,61,267,74,480,400,334,1873,1790,5572,410,10372
LGA57770,0,11,0,10,0,20,0,0,7,4,0,0,11,0,0,7,3,3,0,18,0,0,0,0,4,0,10,0,0,0,0,8,9,16,24,3,78,54,144,15,317
LGA57840,297,987,178,169,32,2264,630,204,1503,316,285,71,3015,41,14,147,41,69,7,325,58,21,153,83,207,19,544,119,23,249,94,117,84,685,3281,1102,8160,2231,2954,476,18200
LGA57910,1372,4074,972,1102,170,9369,2500,971,6913,2193,2282,409,15274,141,81,655,294,369,41,1584,201,81,768,659,1614,124,3440,394,80,1139,556,949,411,3521,11942,4787,35023,13696,20810,2866,89123
LGA57980,126,324,53,37,12,880,456,105,856,118,89,43,1670,33,9,72,19,17,3,144,28,8,54,24,42,3,163,61,12,117,28,22,27,274,1992,522,3660,697,752,181,7801
LGA58050,498,1649,606,1158,107,4474,632,396,2763,1701,2479,277,8249,27,16,154,118,310,20,649,64,30,290,388,1714,54,2542,113,19,405,343,1076,310,2264,3076,1651,11883,8778,22451,1937,49776
LGA58190,0,9,0,3,0,13,0,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,17,39,5,87
LGA58260,0,5,6,4,0,15,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,3,7,29,25,59,6,132
LGA58330,13,36,22,36,5,123,9,19,39,47,64,7,181,8,0,3,5,8,0,21,0,4,6,8,43,0,53,0,0,6,6,30,13,57,46,58,182,210,637,71,1198
LGA58400,0,0,0,0,0,5,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,36,9,60
LGA58470,0,3,0,4,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,22,0,36
LGA58510,222,662,148,155,23,1620,414,162,1082,341,357,61,2418,41,8,138,58,89,7,336,33,23,143,90,213,22,519,82,12,204,73,132,75,578,2504,849,6360,2265,3473,450,15899
LGA58540,3,10,0,7,0,19,0,0,6,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,5,0,7,0,0,0,0,3,4,4,4,3,48,35,101,7,198
LGA58570,299,735,120,136,28,1792,633,228,1366,266,256,53,2802,63,19,220,81,64,11,456,54,18,157,91,202,12,538,69,24,259,77,100,66,595,3075,1234,8103,2229,2786,441,17862
LGA58610,0,17,3,6,0,39,0,3,21,8,19,3,59,0,0,0,0,5,0,3,0,0,0,0,20,0,24,0,0,3,0,8,3,14,8,12,97,47,194,14,377
LGA58680,0,8,0,5,0,12,0,0,3,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,3,0,6,20,25,68,4,120
LGA58760,736,2689,1031,1596,188,6966,835,595,4019,2578,3405,379,11800,45,23,232,155,390,35,879,89,42,429,601,2273,116,3549,137,51,485,432,1385,438,2930,4005,2341,17003,12620,30214,2723,68902
LGA58820,9,31,14,34,0,91,0,0,32,25,49,9,119,0,0,0,0,4,0,7,0,0,0,4,31,0,36,3,0,4,3,18,8,39,21,18,134,145,649,73,1041
LGA58890,3,14,3,6,0,18,0,0,3,5,4,0,16,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,6,51,26,103,11,198
LGA59030,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,34,0,64
LGA59100,7,7,4,3,0,19,0,0,4,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,4,0,8,0,7,41,28,66,9,142
LGA59170,0,14,7,6,0,34,3,0,17,4,8,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,8,10,5,82,58,129,24,305
LGA59250,5,4,0,0,0,10,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,9,5,27,17,72,7,129
LGA59310,5,17,3,6,0,44,4,0,9,5,10,3,33,0,0,0,0,0,0,0,0,0,5,5,17,0,24,0,0,0,0,8,0,7,9,17,66,43,190,11,334
LGA59320,0,9,0,0,0,16,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,28,22,55,11,121
LGA59330,0,9,3,7,0,14,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,5,3,3,22,15,53,6,101
LGA59340,22,128,39,62,15,293,41,37,155,70,76,24,398,0,0,6,0,13,0,27,9,0,13,6,59,4,92,8,0,11,11,45,36,101,144,95,585,323,876,135,2162
LGA59350,0,3,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,4,44,3,77
LGA59360,3,8,3,9,0,24,3,0,12,4,8,0,29,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,6,4,15,4,11,64,49,172,20,322
LGA59370,15,45,15,24,4,104,14,7,35,28,46,3,131,0,0,3,5,6,0,14,0,0,0,0,28,0,33,0,0,10,8,17,12,49,42,27,178,141,386,54,833
LGA59499,3,21,14,8,0,60,6,14,55,21,37,7,130,0,0,13,0,4,0,17,0,0,5,3,25,0,40,4,0,9,4,23,10,52,82,42,305,175,483,45,1126
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,17,3,31,3,3,35,29,110,12,199
