LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
LGA51860,302,292,593,23,15,37,49,39,88,8,8,17,20,21,36,32,36,65,45,42,85,27,31,53,53,54,111,30,32,63,18,12,33,3,0,11,275,271,546,29,14,42,0,0,0,0,0,0,0,0,0,0,0,0,222,215,436,31,24,51,61,46,113,193,189,381,250,237,490,4,4,3,41,30,71,3,0,3,0,0,0,8,8,16,76,102,174,10,14,27,34,17,53,6,0,8,15,7,19,38,47,86,247,238,491,113,106,222
LGA51890,4468,4347,8812,263,210,472,573,527,1098,289,244,528,219,201,423,440,474,920,489,493,976,523,600,1120,652,642,1301,656,567,1220,285,286,568,77,101,183,4069,4056,8126,392,286,687,190,170,364,4,0,4,5,0,11,200,178,374,3610,3512,7129,490,520,1006,3985,3886,7873,116,121,233,3940,3885,7824,43,59,108,513,466,981,184,145,330,14,32,50,41,112,158,906,1212,2115,579,522,1101,1279,1180,2456,305,235,531,186,127,315,12,10,21,3930,3902,7831,440,315,752
LGA51960,1881,1601,3478,128,109,243,227,220,451,97,112,204,94,112,208,266,191,461,235,241,471,308,229,533,300,212,513,176,128,297,49,32,86,8,7,14,1785,1530,3315,91,69,165,140,171,306,3,0,0,0,3,6,144,173,311,1131,956,2086,293,285,578,1350,1148,2503,85,105,190,1273,1085,2358,16,25,39,166,164,337,44,46,89,6,15,25,28,39,70,377,389,766,168,155,322,422,322,744,100,67,168,63,28,96,7,0,12,1346,1242,2587,1385,509,1892
LGA52030,577,482,1055,36,25,61,39,34,71,12,14,27,18,12,32,53,49,98,44,45,89,60,55,107,133,88,220,118,96,215,55,48,103,13,13,23,506,428,934,69,53,121,10,18,31,0,0,0,0,0,0,10,18,31,448,362,807,46,62,111,484,409,895,9,15,21,481,399,879,7,9,12,33,27,67,5,7,14,0,0,0,3,14,15,161,149,317,41,47,87,175,130,296,32,30,59,15,14,26,0,0,0,465,390,859,101,95,194
LGA52100,503,505,1007,23,37,60,50,60,111,26,9,35,32,22,52,50,50,105,61,55,118,55,57,110,70,72,147,84,77,156,33,38,75,19,25,42,448,453,903,55,46,99,7,18,24,0,0,0,0,0,0,7,17,26,430,412,845,47,62,108,464,450,916,15,18,28,454,447,897,3,9,16,41,54,100,10,6,18,0,9,9,4,16,17,198,174,375,45,53,102,106,111,224,31,16,46,21,18,34,0,0,0,427,432,861,52,51,104
LGA52170,3943,4027,7970,193,157,352,464,424,891,285,274,556,227,227,451,438,472,908,411,431,841,509,581,1094,559,556,1113,472,482,959,292,283,577,91,125,219,3615,3747,7364,331,276,606,10,18,29,0,0,0,0,0,0,10,18,29,2817,2842,5660,945,1011,1960,3541,3566,7113,212,290,504,3521,3578,7097,59,58,120,446,413,863,260,252,512,129,134,267,106,161,270,2599,2693,5294,160,181,343,226,288,516,77,72,147,29,27,51,3,0,5,3583,3716,7300,161,183,342
LGA52240,572,532,1100,37,28,66,76,73,151,24,22,43,20,22,45,44,43,90,59,80,132,82,70,159,99,77,178,77,62,134,43,38,85,4,5,15,511,466,975,62,61,120,8,17,25,0,0,0,0,0,0,11,17,25,428,375,806,79,94,174,484,453,936,17,20,42,477,439,917,9,7,13,65,70,132,10,12,22,5,0,7,0,20,20,165,188,354,47,57,99,131,103,231,34,18,52,35,8,39,0,0,3,481,435,921,72,56,129
LGA52310,470,426,902,17,15,29,57,52,111,15,13,28,17,26,41,35,40,74,43,35,75,72,69,142,83,81,166,85,65,151,39,23,61,10,8,12,426,399,828,43,26,75,8,4,14,0,0,0,0,0,0,8,4,14,366,319,689,62,65,127,428,379,803,6,10,23,407,367,774,3,3,10,47,47,91,11,5,17,0,3,3,3,11,15,133,166,301,47,39,80,116,94,216,45,19,65,18,3,17,0,0,4,403,375,779,48,38,84
LGA52380,147,73,215,0,3,3,0,4,4,4,0,4,8,5,14,33,8,35,10,5,20,25,8,31,18,16,35,36,24,58,12,5,11,0,0,0,133,69,198,13,6,18,7,5,14,0,0,0,0,0,0,14,5,14,89,36,121,41,26,60,119,55,174,10,6,17,118,46,162,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,49,29,80,14,10,26,37,10,48,12,4,10,8,5,8,0,0,0,62,51,112,343,105,447
LGA52450,680,618,1302,41,39,84,88,90,179,78,59,144,26,30,56,83,67,152,70,86,155,75,62,136,91,68,154,76,73,151,36,22,64,14,13,27,615,574,1189,67,51,113,24,13,42,0,0,6,0,0,0,22,16,41,547,465,1010,82,107,185,599,532,1124,41,43,82,601,531,1134,5,11,20,78,80,161,63,50,111,3,7,11,9,17,24,219,200,424,66,64,125,157,142,292,32,28,61,28,11,44,0,0,3,547,539,1078,149,89,236
LGA52520,720,660,1379,44,64,108,89,102,192,28,22,46,36,33,69,91,88,176,115,98,211,86,72,155,115,89,204,72,43,118,25,33,63,7,27,36,664,601,1265,56,58,113,42,42,82,0,0,0,0,4,4,38,45,84,476,445,926,127,111,238,533,498,1036,72,60,135,536,516,1051,7,11,19,80,82,156,18,14,28,6,0,4,7,14,18,269,248,520,48,44,87,101,110,215,29,14,38,25,16,41,0,0,5,574,527,1107,157,127,283
LGA52590,1790,1567,3355,93,76,162,181,123,309,64,55,117,57,46,108,182,185,368,186,176,364,234,185,413,287,300,589,335,270,599,141,127,265,25,41,65,1525,1399,2922,263,171,432,45,49,95,0,0,0,0,0,0,48,49,96,1322,1160,2486,245,256,498,1520,1373,2885,70,69,138,1487,1337,2824,21,16,34,171,112,280,30,31,58,4,9,13,18,30,54,504,589,1088,170,153,321,466,377,842,122,84,205,55,30,86,3,6,14,1399,1334,2727,567,350,914
LGA52660,7281,7406,14686,485,465,954,1068,975,2041,421,423,842,366,318,688,914,931,1843,956,974,1927,892,960,1851,883,920,1805,753,736,1489,394,510,900,154,195,347,6640,7021,13656,643,384,1028,196,222,420,3,3,5,9,9,17,206,229,435,5623,5744,11364,1200,1289,2483,6382,6543,12934,437,493,930,6408,6604,13012,132,130,261,1006,912,1915,282,295,572,74,70,135,113,264,382,2150,2711,4859,744,759,1501,1805,1643,3453,371,294,670,188,176,372,22,15,30,6505,6850,13353,367,371,737
LGA52730,3084,3226,6310,155,148,306,403,383,779,212,183,395,61,60,126,169,226,393,308,376,691,390,441,833,520,533,1055,512,528,1042,277,260,542,67,86,155,2709,2937,5652,368,286,656,31,42,75,0,4,4,0,0,0,31,47,77,2082,2155,4240,675,760,1432,2697,2785,5481,89,152,238,2666,2790,5458,36,33,74,352,328,684,153,145,298,17,11,28,48,133,174,1218,1492,2704,237,232,464,622,556,1179,136,109,244,56,47,101,0,3,7,2512,2751,5265,539,524,1062
