SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED51104,143,132,271,38,49,87,57,116,173,91,268,357,219,629,849,327,417,742,773,247,1024,715,385,1102,828,452,1278,1046,377,1430,855,303,1160,889,258,1145,2035,360,2396,1517,40,1560,1222,85,1312,689,8,691,1471,81,1556,2053,73,2129,147,116,268,15135,4398,19534
SED51205,142,238,377,56,79,136,74,195,274,73,345,419,213,836,1044,262,453,723,781,355,1130,690,469,1160,946,586,1533,980,473,1452,827,407,1233,866,259,1118,1898,431,2329,1370,125,1495,1029,135,1168,592,53,646,1200,136,1334,1136,217,1349,123,144,266,13253,5933,19183
SED51304,96,99,201,58,55,118,51,98,153,30,120,152,161,425,589,133,310,442,378,256,631,417,221,641,580,207,785,596,179,774,438,162,599,477,111,591,1159,234,1389,934,20,952,1107,84,1190,819,10,829,3537,122,3661,966,66,1030,94,82,184,12033,2878,14907
SED51401,108,153,262,57,56,109,62,186,248,63,334,394,198,989,1192,236,468,701,786,251,1040,589,377,962,639,387,1030,724,279,1006,460,240,702,519,182,700,1054,283,1337,748,17,772,555,54,610,310,11,319,751,63,822,1176,39,1220,182,202,381,9223,4578,13803
SED51504,102,143,241,45,65,114,47,149,193,37,258,290,119,509,626,135,410,546,272,317,594,323,365,688,471,382,852,593,340,932,403,293,696,494,209,707,1005,444,1447,843,50,894,869,108,979,648,29,678,4393,261,4654,860,111,973,81,82,159,11738,4542,16280
SED51605,102,114,209,49,44,89,45,87,134,61,210,270,141,468,599,180,259,439,522,229,747,466,290,761,585,375,958,722,353,1066,613,327,941,670,253,923,1787,382,2170,1504,51,1554,1308,92,1400,864,19,882,2184,123,2308,1262,91,1355,79,94,171,13135,3853,16987
SED51706,100,139,243,60,46,109,48,134,182,54,322,384,252,836,1087,244,394,639,857,289,1151,657,321,984,768,336,1109,833,258,1081,569,219,790,650,201,847,1476,286,1760,1180,26,1203,990,88,1074,577,8,585,1207,66,1275,1387,56,1444,148,138,290,12062,4162,16223
SED51804,106,181,290,66,79,143,36,167,201,36,294,327,101,588,691,110,452,566,241,334,571,287,383,664,357,409,766,449,343,789,298,300,598,408,256,665,797,518,1309,680,46,723,723,190,912,548,22,568,5022,512,5537,986,120,1111,68,139,204,11303,5326,16627
SED51902,94,97,195,55,32,83,41,77,122,50,139,186,164,319,489,167,250,414,527,164,694,491,193,683,593,277,867,767,214,984,631,213,845,776,179,954,1718,256,1977,1358,23,1385,1204,65,1269,717,8,723,1906,68,1974,1520,71,1596,125,69,194,12909,2731,15639
SED52006,184,193,371,63,49,114,61,154,214,71,297,362,247,872,1122,274,590,866,1068,323,1391,867,323,1189,904,332,1237,877,201,1079,535,210,746,578,163,748,1186,298,1488,875,22,895,831,81,913,504,6,507,1358,88,1447,1555,70,1621,149,151,307,12189,4431,16613
SED52102,95,142,241,49,49,101,39,105,143,69,235,305,163,539,702,196,417,616,583,255,839,503,318,821,689,403,1098,789,334,1122,619,284,899,679,187,872,1530,330,1861,1232,39,1280,957,82,1040,571,7,583,1199,87,1282,1188,101,1289,127,112,239,11273,4039,15311
SED52205,103,218,322,45,84,128,68,244,311,74,511,582,208,995,1207,213,550,767,576,377,946,545,504,1051,592,567,1158,618,470,1087,549,404,957,519,358,883,1227,653,1883,981,101,1076,933,199,1140,633,30,662,2195,275,2474,1020,244,1264,99,182,278,11192,6968,18157
SED52301,108,130,239,40,55,95,61,183,243,56,328,387,178,705,880,206,461,670,636,300,931,523,365,890,536,386,925,629,292,923,537,225,759,530,201,730,1214,326,1538,953,29,977,790,70,853,482,10,492,996,81,1076,1220,74,1294,119,142,258,9810,4349,14158
SED52404,96,103,201,41,42,85,53,88,145,51,201,254,158,439,597,163,338,496,513,236,747,506,246,758,636,287,924,664,233,902,528,218,750,557,179,740,1348,318,1670,1193,40,1232,1104,70,1179,777,12,795,2456,85,2539,1164,84,1247,100,70,167,12110,3301,15406
SED52505,121,83,207,40,29,69,46,62,104,49,98,146,122,204,331,141,158,298,406,112,520,446,193,637,652,235,883,772,258,1031,743,213,956,845,190,1038,2131,310,2443,1803,30,1835,1742,83,1823,1129,20,1145,2773,91,2867,1457,68,1522,99,45,146,15522,2486,18011
SED52604,93,124,208,43,34,78,40,77,116,58,195,253,145,452,599,168,306,472,467,222,693,464,269,736,553,293,849,629,271,909,515,214,726,565,190,755,1262,300,1565,1068,44,1113,1091,85,1175,727,19,740,2317,85,2403,1195,75,1275,99,78,173,11501,3315,14822
SED52702,92,101,191,47,50,95,57,111,168,40,195,231,150,500,651,144,339,485,521,206,728,467,233,702,659,231,892,666,187,855,447,139,583,552,119,667,1152,197,1351,1009,15,1020,983,43,1031,711,5,716,2251,75,2325,1159,40,1199,102,88,186,11202,2876,14078
SED52803,52,115,166,27,39,62,37,105,142,32,177,208,97,394,489,120,175,298,279,156,435,226,229,459,250,294,546,321,262,579,271,342,617,323,300,626,962,594,1560,852,47,894,898,159,1060,579,26,603,1759,174,1932,891,94,991,144,146,288,8117,3818,11942
SED52903,44,79,121,38,42,78,85,157,241,99,235,326,239,222,453,193,131,323,349,121,473,331,160,488,390,238,630,368,252,619,258,278,533,302,222,529,734,364,1095,620,57,674,620,67,693,351,23,374,860,110,963,1001,91,1089,208,162,371,7075,3013,10089
SED53004,88,118,210,53,36,92,42,92,131,55,192,249,169,583,758,137,403,546,545,235,776,534,264,794,711,278,985,731,229,957,558,178,735,570,162,734,1342,283,1624,1289,23,1311,1127,63,1187,815,10,816,2088,69,2155,1056,51,1109,82,79,160,11987,3355,15344
SED53105,93,127,218,32,41,73,46,132,180,77,252,334,185,575,757,276,334,612,582,223,801,595,358,954,669,432,1101,786,354,1141,759,333,1087,771,227,991,1679,381,2058,1386,49,1435,1179,87,1269,733,21,752,1405,79,1478,1336,110,1443,109,104,219,12689,4220,16908
SED53204,80,92,168,31,27,58,42,78,115,53,127,180,147,373,514,173,218,388,459,164,623,457,190,642,596,221,816,762,210,974,732,192,920,763,153,912,1850,241,2094,1642,24,1663,1292,65,1355,882,18,894,1922,70,1992,1171,38,1210,101,71,175,13163,2544,15710
SED53306,128,197,324,58,75,132,67,219,294,93,515,615,259,1316,1572,417,840,1258,1065,460,1522,896,474,1370,868,435,1306,912,284,1202,565,261,827,610,184,795,1295,358,1656,909,29,940,750,71,818,432,16,454,1069,105,1175,1434,83,1518,177,246,419,12018,6172,18190
SED53402,100,223,319,43,71,113,53,223,270,50,427,479,148,929,1078,157,610,768,463,424,884,399,555,954,514,629,1144,625,559,1183,514,473,984,557,388,947,1217,759,1971,1069,96,1161,1088,179,1264,820,37,862,2445,240,2685,883,187,1067,78,155,235,11228,7157,18385
SED53502,111,208,313,34,65,101,66,194,258,55,420,474,201,930,1132,257,579,838,671,349,1021,609,460,1071,715,559,1273,876,436,1312,610,363,974,699,273,975,1586,400,1988,1247,32,1281,1000,99,1102,620,17,637,1452,111,1560,1227,110,1333,137,205,342,12170,5803,17976
SED53602,183,214,393,56,55,111,86,217,305,99,413,509,279,949,1229,329,407,732,867,314,1175,839,446,1291,891,509,1400,1085,414,1501,814,276,1091,803,190,989,1472,294,1764,926,50,976,661,63,726,392,21,412,735,81,820,990,117,1105,142,162,303,11652,5196,16851
SED53701,128,157,288,52,42,96,61,154,212,67,292,362,227,805,1035,205,387,593,739,254,991,587,357,945,570,331,908,677,247,928,447,229,680,539,151,692,1075,244,1314,799,17,823,649,58,711,397,10,403,913,89,996,1400,42,1439,203,174,375,9749,4044,13791
SED53802,160,208,370,52,67,120,41,202,237,78,331,404,246,887,1128,272,479,750,762,314,1080,655,436,1088,746,481,1226,903,408,1314,700,366,1066,723,300,1022,1606,432,2036,1214,59,1276,990,120,1104,584,28,608,1419,117,1535,929,141,1070,115,135,246,12207,5491,17698
SED53902,88,209,294,36,87,131,58,181,238,43,369,414,145,888,1031,164,716,883,484,437,925,450,547,996,583,627,1207,643,572,1216,488,450,936,519,350,877,1186,693,1881,932,66,1004,848,201,1047,645,29,676,2629,282,2917,742,154,897,92,144,239,10799,6997,17793
SED54006,148,120,258,62,51,120,63,131,195,84,315,400,255,781,1033,270,450,716,926,246,1171,665,305,974,739,292,1033,776,189,968,530,187,720,613,141,760,1325,285,1612,1054,19,1074,851,70,921,474,12,485,1213,90,1302,1579,70,1645,167,170,333,11784,3932,15716
SED54104,129,213,342,40,87,125,47,178,224,38,370,408,105,596,702,122,566,689,247,396,634,309,445,748,424,529,957,496,504,999,370,482,856,504,376,876,1027,799,1828,793,88,881,774,253,1027,599,53,647,4520,629,5151,828,149,981,55,109,168,11430,6824,18247
SED54203,38,72,115,16,15,30,28,84,110,29,145,173,105,244,349,84,134,222,235,116,351,188,155,344,206,166,376,224,145,372,176,107,286,225,117,338,490,285,776,371,17,385,362,83,443,246,11,259,588,81,669,566,59,630,104,129,225,4282,2167,6449
SED54304,147,375,520,37,84,123,51,234,280,43,458,500,122,727,845,123,598,722,316,483,795,354,615,971,497,884,1380,588,826,1408,503,850,1356,555,771,1326,1375,1576,2946,1192,220,1404,1149,521,1675,827,116,942,3663,884,4546,951,373,1320,64,160,223,12544,10755,23301
SED54403,45,74,114,15,17,37,25,62,89,38,97,140,76,89,161,70,68,145,129,90,220,137,113,249,194,182,383,203,258,461,221,327,550,314,334,653,846,773,1616,835,51,887,1057,277,1343,811,46,855,3110,397,3512,1033,103,1140,121,106,230,9305,3469,12771
SED54505,133,114,252,76,58,133,70,107,172,58,200,258,178,539,713,170,357,529,490,222,712,477,259,738,686,225,907,760,182,948,551,167,719,595,99,698,1387,200,1582,1120,28,1153,1137,52,1195,739,9,749,2711,82,2796,1037,44,1083,71,76,151,12448,3029,15478
SED54605,133,173,305,42,72,114,64,200,267,70,482,551,238,1135,1374,287,764,1059,849,406,1252,720,498,1222,792,509,1303,772,383,1159,619,333,956,601,241,839,1175,353,1520,869,36,905,702,78,778,430,12,444,963,87,1047,1143,98,1242,137,229,368,10605,6096,16698
SED54701,97,129,222,58,65,120,47,174,218,54,284,338,188,766,958,165,455,621,595,298,898,500,389,892,594,475,1068,685,305,991,493,253,743,590,179,764,1202,297,1496,803,29,829,652,82,735,317,13,328,885,99,985,1134,73,1214,170,225,397,9228,4584,13811
SED54804,92,173,267,32,82,114,54,211,262,48,363,410,132,791,919,165,514,682,368,385,753,418,402,819,508,493,997,552,476,1024,417,441,857,463,413,881,1206,813,2024,1095,107,1201,1135,265,1403,790,64,862,3128,397,3524,1077,303,1380,87,143,226,11771,6827,18603
SED54905,118,258,377,43,97,134,68,179,248,48,330,376,141,674,816,179,583,756,357,377,727,360,456,822,473,552,1025,604,480,1086,463,478,941,498,362,860,1119,714,1836,899,90,990,882,204,1090,615,37,644,3285,381,3667,817,205,1023,77,123,205,11052,6585,17632
SED55005,126,125,254,37,33,74,45,68,115,74,200,269,179,410,593,227,310,533,630,193,820,547,236,784,669,309,976,892,239,1128,780,203,980,788,171,963,1797,262,2058,1463,27,1491,1236,49,1287,718,10,732,1753,65,1819,1264,71,1336,108,74,181,13334,3059,16389
SED55102,91,116,208,41,24,67,53,82,139,70,145,219,135,357,492,199,198,399,532,164,695,493,221,717,668,323,990,801,275,1069,637,226,864,726,173,908,1747,276,2019,1290,31,1325,1084,74,1157,687,3,693,1743,67,1809,1691,72,1767,131,67,204,12839,2905,15736
SED55202,167,178,342,47,49,99,66,185,251,90,388,473,243,929,1165,277,561,840,826,348,1178,818,459,1275,951,484,1436,1030,357,1391,799,291,1087,823,223,1044,1717,293,2007,1112,52,1161,813,68,887,432,17,454,797,71,870,1100,97,1194,142,142,284,12257,5174,17430
SED55306,115,112,228,57,51,103,62,139,197,54,277,336,208,738,948,229,579,803,780,371,1156,645,385,1032,864,378,1248,907,291,1196,644,197,836,657,144,798,1401,242,1639,1069,37,1111,802,63,862,495,10,503,1217,83,1293,1460,115,1574,129,165,296,11779,4397,16174
SED55405,108,268,377,31,106,138,39,256,291,61,511,567,150,974,1123,189,760,946,442,455,901,437,596,1033,512,705,1214,736,596,1332,553,541,1101,608,401,1007,1396,862,2259,1099,172,1271,1004,253,1256,703,79,785,2117,334,2452,887,377,1264,74,173,247,11159,8406,19568
SED55504,110,111,222,38,37,76,54,81,139,64,195,256,154,494,643,208,442,654,574,234,809,566,297,863,663,330,990,840,271,1113,674,249,921,792,164,955,1769,291,2055,1550,35,1580,1235,62,1296,743,13,759,1688,87,1770,1512,59,1572,152,132,284,13390,3574,16967
SED55605,94,100,194,36,30,68,51,79,136,67,178,245,178,445,620,256,295,548,629,187,819,630,226,854,639,298,935,730,242,971,703,237,935,705,178,895,1681,349,2029,1350,31,1375,1195,77,1267,711,8,720,1714,61,1773,1776,89,1865,142,62,203,13271,3184,16452
SED55706,126,141,269,67,94,158,80,201,288,65,368,429,292,1021,1315,279,604,883,896,387,1279,750,473,1225,889,436,1321,943,261,1209,610,222,830,698,146,843,1284,242,1518,939,29,964,663,66,720,356,14,367,767,103,864,1374,103,1483,144,185,336,11211,5094,16300
SED55802,95,126,220,44,44,90,40,91,131,36,164,205,161,413,576,211,243,448,610,183,792,562,270,832,804,382,1188,920,363,1285,877,292,1168,887,234,1126,2173,347,2524,1688,50,1741,1167,63,1236,762,19,782,1450,70,1522,1434,93,1532,129,80,207,14065,3538,17602
SED55905,107,158,268,48,59,106,67,191,254,70,328,398,191,903,1093,203,481,682,631,288,919,511,361,870,607,415,1024,679,336,1023,546,288,837,583,241,821,1333,378,1715,1062,46,1106,960,95,1047,653,19,670,1464,104,1568,904,114,1018,102,156,257,10720,4950,15669
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
