SED_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SED51104,1261,1366,880,564,812,283,151,5312,514,427,205,108,133,19,13,1417,489,450,222,116,117,26,13,1426,1244,1156,612,331,346,63,27,3787,26,23,4,4,5,0,0,64,3534,3430,1926,1121,1402,396,195,11998,154,217,180,120,185,59,45,949,113,142,88,54,44,11,6,459,109,148,76,50,57,12,13,464,336,461,291,193,208,29,18,1530,21,20,7,15,10,0,0,71,731,978,636,435,503,111,79,3464,4265,4406,2564,1553,1904,500,271,15469
SED51205,2214,1724,844,503,600,378,257,6522,219,167,81,42,64,15,10,602,249,157,75,43,62,22,16,623,544,505,277,170,187,63,33,1776,10,17,7,3,0,0,0,45,3242,2564,1284,765,909,484,319,9572,111,149,99,73,129,71,45,680,53,49,43,24,23,6,7,207,26,45,20,27,35,14,14,175,152,180,127,113,119,32,8,730,25,15,16,0,4,0,3,63,358,443,307,235,311,126,80,1858,3605,3004,1594,997,1219,611,394,11429
SED51304,485,667,443,303,357,205,117,2573,294,351,215,129,194,95,50,1333,255,319,215,150,162,70,27,1195,1022,1314,862,552,654,267,126,4798,3,3,3,0,4,0,0,24,2063,2659,1742,1130,1368,639,316,9915,7,39,46,40,47,23,16,216,22,28,28,29,38,14,8,174,12,31,34,19,25,7,14,146,60,126,124,79,112,43,17,563,7,4,0,0,0,0,0,12,116,223,230,169,221,90,59,1110,2175,2885,1973,1300,1585,728,378,11029
SED51401,109,131,71,46,52,4,0,418,70,85,43,22,28,3,0,259,160,152,66,41,33,6,0,453,1075,1255,713,393,318,37,9,3793,7,5,4,4,0,0,0,22,1423,1621,902,503,434,53,11,4950,7,11,9,0,11,3,0,40,12,28,18,12,8,3,0,91,21,26,22,10,17,0,0,100,219,317,223,150,150,7,0,1071,13,12,3,10,3,0,0,38,276,398,273,185,193,15,4,1342,1698,2023,1171,688,631,68,13,6288
SED51504,605,915,567,381,454,253,110,3279,277,293,210,148,219,106,51,1302,250,362,213,125,162,80,55,1246,908,1041,772,491,659,366,175,4410,7,4,8,0,4,0,0,20,2048,2611,1768,1145,1485,797,395,10256,27,76,81,52,72,42,22,371,27,44,42,42,46,18,12,232,9,38,23,14,33,28,15,165,37,99,80,68,113,49,27,477,6,13,0,0,3,0,0,32,107,275,229,182,262,135,78,1276,2160,2882,2000,1331,1753,940,474,11533
SED51605,919,922,480,307,448,239,155,3471,277,276,146,94,129,54,34,1012,379,346,178,116,145,59,25,1249,1270,1220,770,521,591,189,92,4651,12,11,8,6,0,0,0,29,2848,2773,1579,1046,1308,549,314,10409,46,97,70,43,66,29,29,387,61,68,55,32,41,16,14,286,22,54,35,34,32,12,11,197,168,288,203,138,165,47,25,1033,9,14,0,0,4,0,0,36,315,529,367,247,308,104,73,1941,3168,3298,1940,1298,1618,652,384,12350
SED51706,238,236,147,107,109,25,10,869,190,178,113,79,82,8,0,656,182,212,104,61,79,10,3,656,1491,1658,953,661,709,75,28,5576,8,7,3,5,0,0,0,30,2107,2296,1323,917,982,123,35,7786,16,27,14,17,18,4,0,97,29,60,28,21,26,4,0,168,25,34,14,21,30,3,0,139,274,423,297,201,224,15,5,1442,3,13,9,13,0,0,0,42,350,555,370,271,307,29,7,1888,2458,2854,1691,1187,1284,151,49,9671
SED51804,340,445,300,229,329,200,134,1978,217,260,192,128,174,111,61,1142,228,285,182,149,193,106,54,1197,870,962,695,459,728,459,186,4356,0,4,0,5,0,0,0,12,1652,1961,1373,966,1426,875,430,8679,11,49,52,29,59,35,29,257,7,40,31,31,43,28,14,196,9,32,30,32,38,29,12,189,46,103,117,93,148,76,39,625,0,8,0,3,0,0,0,13,79,230,227,189,292,165,88,1279,1735,2188,1600,1155,1718,1043,521,9961
SED51902,533,630,363,231,312,137,52,2254,362,374,192,132,184,51,11,1321,346,363,197,125,127,36,17,1215,1744,1644,922,617,639,142,80,5796,18,23,8,9,0,0,0,55,2995,3034,1685,1121,1266,368,163,10639,32,70,44,31,41,16,12,256,62,80,45,27,43,8,3,274,35,54,31,33,40,13,0,198,244,327,209,152,150,26,15,1123,3,5,5,5,3,0,0,33,384,536,337,252,277,63,29,1875,3378,3575,2030,1369,1543,433,190,12519
SED52006,258,302,266,183,269,88,51,1408,165,141,94,74,96,33,7,612,238,228,123,81,90,24,4,786,869,974,607,386,467,119,55,3478,6,15,10,0,4,0,0,38,1537,1658,1102,725,924,264,113,6324,25,56,42,29,55,22,9,239,49,82,51,19,28,9,11,246,33,72,31,28,38,13,0,214,236,364,265,196,189,42,17,1315,8,9,9,6,0,0,0,41,348,584,398,280,319,84,33,2045,1892,2242,1500,1007,1245,342,147,8370
SED52102,868,824,459,271,331,160,106,3022,209,160,86,73,78,28,21,664,226,191,79,68,79,22,8,692,1072,1014,584,380,431,125,46,3646,16,16,10,10,6,0,0,50,2400,2200,1217,797,925,336,187,8075,34,88,69,40,51,23,20,324,32,61,34,30,36,14,7,209,25,41,40,18,24,7,8,163,197,339,266,190,195,33,17,1237,11,17,9,5,3,0,0,49,304,549,414,272,310,74,53,1976,2707,2749,1633,1072,1237,415,248,10053
SED52205,452,316,155,106,160,70,51,1306,281,253,139,94,114,47,28,947,350,258,132,82,101,53,21,999,857,685,363,273,302,132,66,2681,4,7,3,0,0,0,0,11,1947,1513,788,554,676,304,165,5951,36,52,40,46,58,22,12,264,46,61,43,34,43,17,9,252,34,64,33,23,36,11,12,211,144,219,155,125,149,58,34,887,17,6,9,3,0,0,0,40,272,402,279,230,284,110,69,1656,2222,1915,1065,786,966,415,234,7603
SED52301,174,227,149,89,100,16,10,772,94,115,75,40,44,10,5,381,143,129,59,54,63,0,3,467,1251,1278,758,497,581,57,12,4425,10,8,0,0,0,0,0,14,1675,1758,1047,693,796,78,30,6061,12,22,25,9,25,0,0,92,31,54,44,19,25,3,4,173,21,22,27,17,33,5,0,113,316,484,339,222,226,20,4,1607,13,23,7,14,0,0,0,56,386,599,429,283,304,24,8,2040,2059,2356,1476,973,1095,103,41,8104
SED52404,587,572,400,277,419,227,126,2610,314,308,181,122,131,66,29,1163,334,333,204,123,129,54,30,1207,1019,993,576,401,455,184,78,3705,6,4,4,0,0,0,0,20,2261,2210,1376,926,1135,533,265,8703,25,56,45,36,72,36,24,292,31,50,46,30,48,6,9,220,34,37,35,25,43,15,6,184,89,179,159,93,124,59,22,729,4,9,3,4,3,0,0,21,184,333,291,194,288,107,57,1459,2441,2545,1667,1118,1419,642,325,10159
SED52505,2416,2539,1233,717,891,507,301,8606,357,285,167,131,144,63,29,1178,363,281,161,89,111,42,26,1080,1136,974,566,358,460,166,81,3745,4,10,5,0,0,0,3,18,4271,4092,2135,1295,1607,776,440,14619,78,134,103,77,117,64,54,615,29,68,53,29,36,11,6,227,31,43,30,12,17,4,3,148,97,155,125,93,120,30,15,641,0,7,5,4,3,0,0,21,240,401,310,221,294,111,78,1647,4511,4491,2440,1521,1900,888,519,16270
SED52604,565,685,494,392,552,266,154,3114,253,290,145,73,150,53,29,996,262,264,120,104,131,56,21,975,619,655,422,273,344,116,60,2484,7,12,4,7,0,0,0,27,1713,1909,1192,851,1183,489,273,7600,31,90,64,58,95,53,36,433,30,54,36,38,46,15,11,225,25,53,31,26,22,7,12,183,82,156,98,80,99,29,26,567,13,5,3,5,4,0,0,24,179,356,229,213,262,103,82,1425,1888,2260,1419,1066,1447,587,358,9023
SED52702,152,261,238,172,217,93,60,1203,195,266,205,142,178,64,29,1064,244,300,183,124,148,53,32,1088,912,1142,808,550,650,226,114,4405,8,8,3,0,4,0,0,25,1512,1970,1443,984,1194,439,237,7774,11,25,29,18,22,7,12,119,15,41,26,14,31,7,7,149,11,34,36,25,21,12,6,140,85,159,142,101,114,33,18,654,0,4,6,0,0,0,0,15,125,263,242,155,185,57,40,1073,1635,2235,1680,1140,1382,500,277,8847
SED52803,433,495,245,157,177,22,8,1540,168,151,76,38,44,0,0,474,213,193,95,57,54,0,0,607,1154,1022,546,368,349,13,7,3462,18,13,0,0,0,0,0,30,1982,1873,971,621,626,41,11,6116,34,47,31,26,36,4,0,174,38,47,21,18,16,0,0,134,25,29,16,14,14,0,0,91,234,281,204,139,101,10,0,961,16,19,16,8,0,0,0,63,339,418,280,198,169,15,0,1421,2321,2290,1253,814,792,53,16,7539
SED52903,176,144,76,30,45,4,0,479,80,72,38,24,14,3,0,237,116,114,47,24,25,3,0,336,1291,1322,772,426,302,23,3,4141,17,18,12,5,0,0,0,54,1684,1672,940,514,394,36,3,5245,9,14,7,8,6,3,0,46,6,12,5,11,4,0,0,45,8,18,14,14,4,0,0,56,537,691,439,268,207,14,0,2158,24,44,22,14,0,0,0,107,577,777,491,305,233,15,5,2414,2262,2456,1432,822,623,54,10,7658
SED53004,536,580,386,265,346,187,106,2412,293,301,207,117,150,55,22,1146,293,309,162,88,143,54,27,1075,970,1028,620,395,487,209,80,3790,10,0,0,0,0,0,0,13,2109,2225,1369,871,1130,502,237,8439,27,57,52,37,52,29,17,264,21,63,44,37,50,20,14,248,23,58,35,24,33,7,11,198,80,173,141,107,136,56,21,711,10,4,0,0,0,0,0,20,162,352,267,207,280,115,59,1442,2271,2573,1636,1075,1407,617,297,9883
SED53105,1127,1206,599,368,451,211,132,4084,344,303,146,89,83,18,9,997,387,294,146,91,82,19,21,1043,1349,1258,682,418,422,96,38,4269,8,11,10,6,0,0,0,37,3213,3079,1576,976,1037,348,199,10427,74,116,98,60,74,41,20,484,99,89,71,41,43,5,9,352,36,69,33,29,25,4,5,197,334,462,262,205,172,31,11,1479,21,19,4,4,4,0,0,58,567,753,467,345,315,83,44,2568,3778,3833,2043,1318,1349,436,237,12998
SED53204,1319,1495,820,583,781,434,259,5691,365,321,174,109,172,63,34,1239,333,312,154,101,115,42,14,1071,1099,1143,638,429,491,128,94,4013,3,6,9,3,3,0,0,30,3123,3267,1792,1221,1557,663,406,12044,54,112,76,73,115,69,52,551,39,48,43,34,47,16,7,229,27,62,32,34,33,8,9,211,127,224,141,103,121,42,27,790,15,10,7,0,3,0,4,37,265,462,301,247,318,133,99,1819,3390,3726,2089,1472,1878,798,505,13862
SED53306,424,489,317,207,299,98,54,1897,192,184,97,55,67,18,8,621,232,198,109,91,72,25,12,733,1103,1013,625,401,403,89,31,3657,9,10,9,0,0,0,0,31,1956,1902,1154,749,842,235,104,6944,32,70,55,39,61,23,12,291,63,93,71,32,35,10,5,309,56,58,42,38,31,8,6,240,424,551,317,226,240,43,17,1813,20,13,11,4,4,0,0,55,593,791,500,337,365,83,40,2709,2548,2692,1655,1091,1210,313,144,9652
SED53402,687,575,313,155,215,132,80,2152,318,234,137,95,112,48,13,964,305,231,115,73,88,34,27,877,911,731,408,283,322,175,75,2898,7,4,4,0,0,0,0,20,2227,1770,977,611,739,393,193,6913,55,74,53,56,65,38,29,367,40,57,28,29,28,18,11,203,29,38,32,23,15,15,10,157,92,162,103,80,103,36,14,593,10,16,0,4,3,0,0,28,224,341,215,195,205,102,61,1345,2449,2112,1196,809,942,490,252,8253
SED53502,592,623,314,203,251,145,53,2180,249,215,121,94,97,33,16,825,287,232,101,62,67,22,21,788,1179,996,549,362,422,111,65,3684,6,10,9,6,0,3,0,27,2313,2070,1084,723,842,308,153,7497,44,62,56,39,58,25,15,304,58,82,47,26,41,12,7,278,28,45,28,24,40,12,9,190,297,383,244,187,233,55,23,1415,16,20,16,0,0,0,0,50,451,589,388,283,372,107,59,2242,2763,2662,1477,1003,1213,413,212,9739
SED53602,1499,1553,836,484,692,406,272,5741,205,170,85,61,62,23,17,619,177,129,65,38,55,13,13,493,528,399,220,147,194,70,42,1604,28,28,7,3,0,0,0,74,2428,2279,1219,742,1009,517,342,8539,194,287,184,162,199,118,74,1222,45,71,29,31,48,11,7,246,34,51,37,24,28,12,0,188,250,299,205,119,148,28,16,1058,25,30,27,5,6,0,0,90,548,733,477,342,422,167,107,2800,2974,3015,1701,1085,1438,688,452,11344
SED53701,107,119,94,73,91,16,10,515,102,111,65,54,55,9,10,398,175,155,102,61,49,4,0,542,992,1189,713,383,387,54,8,3736,4,6,9,4,0,0,0,30,1379,1582,977,579,585,89,34,5220,4,12,11,5,6,0,6,45,20,38,21,16,13,0,0,115,18,19,21,16,17,0,0,83,168,228,187,117,124,8,3,836,12,15,9,7,4,0,0,46,221,308,248,171,169,10,4,1132,1605,1894,1225,749,757,95,40,6353
SED53802,1165,1011,471,313,420,278,158,3814,213,183,87,71,84,51,22,704,237,201,102,56,80,32,16,733,689,532,340,216,309,114,62,2259,4,10,3,4,0,0,0,27,2316,1934,1008,659,889,473,253,7534,100,156,86,63,91,52,36,586,46,58,43,37,37,20,7,242,37,48,46,24,25,18,10,202,128,172,142,95,126,41,23,732,15,19,6,6,4,3,0,43,320,459,317,217,284,129,83,1804,2633,2393,1322,881,1170,602,335,9342
SED53902,666,607,289,194,276,182,116,2317,240,202,119,67,89,52,26,789,260,239,103,71,92,49,30,845,687,606,377,258,358,184,101,2575,9,11,3,3,0,0,0,25,1857,1658,894,593,813,470,274,6554,44,91,68,45,57,36,42,379,35,54,46,30,29,20,9,218,16,33,35,26,18,20,9,149,62,114,90,60,98,37,27,496,8,12,5,0,3,0,0,24,165,310,238,157,204,106,90,1261,2016,1961,1128,746,1018,579,365,7822
SED54006,176,227,173,109,163,25,16,892,127,162,113,85,78,17,4,594,179,180,110,73,101,11,5,658,1296,1492,972,658,718,105,32,5269,10,10,6,14,0,0,0,40,1793,2068,1379,941,1060,164,59,7462,9,29,20,19,27,3,0,112,41,53,33,28,33,3,0,198,29,32,18,19,22,4,0,127,237,371,278,203,203,28,12,1323,12,9,7,5,0,0,0,32,323,496,360,270,291,40,12,1795,2116,2568,1735,1213,1349,203,73,9257
SED54104,610,801,512,319,376,236,119,2972,212,274,177,106,135,105,44,1051,228,310,192,120,150,85,33,1124,701,782,486,321,455,306,104,3148,9,7,6,0,0,0,0,22,1760,2171,1370,869,1111,728,297,8317,22,79,78,64,67,47,36,405,18,35,35,26,42,30,13,203,7,40,29,18,35,11,12,155,39,90,69,68,101,59,49,482,3,0,5,0,0,0,0,6,95,237,216,170,256,151,110,1240,1858,2412,1588,1047,1365,880,408,9557
SED54203,120,101,44,28,25,0,0,322,73,55,23,10,20,0,0,178,143,95,39,18,12,0,0,308,655,722,352,181,152,11,3,2069,4,6,7,4,0,0,0,21,991,978,459,242,208,13,6,2897,5,9,12,3,8,0,0,36,4,6,5,0,4,0,0,26,3,8,9,7,0,0,0,26,153,201,138,67,78,5,4,642,4,9,3,0,0,0,0,16,163,231,169,85,91,5,4,751,1157,1212,629,323,303,16,4,3648
SED54304,770,516,258,126,143,102,50,1956,232,197,108,77,83,48,15,757,312,233,102,57,69,31,16,820,789,617,418,229,264,131,51,2501,5,0,4,5,0,0,0,14,2105,1563,888,487,560,310,136,6051,41,71,49,50,48,35,25,322,27,46,28,30,42,19,5,198,18,27,17,23,27,20,6,131,46,108,73,51,74,28,20,396,4,7,3,0,0,0,0,18,138,261,167,153,188,100,59,1063,2245,1819,1057,643,747,412,191,7117
SED54403,530,498,269,158,189,11,7,1653,266,190,94,36,38,0,0,624,349,326,160,75,56,3,0,967,1824,1828,944,559,483,15,7,5669,18,20,4,5,3,0,0,55,2982,2864,1474,840,770,35,7,8972,18,29,19,18,31,3,0,113,15,34,21,13,18,0,0,99,18,29,12,13,13,0,0,89,216,328,195,147,115,11,0,1008,18,16,11,7,4,0,0,54,285,429,260,193,177,18,0,1369,3268,3293,1732,1031,950,53,8,10336
SED54505,1026,1947,1298,854,1098,670,382,7277,126,167,142,87,108,74,37,756,182,242,160,99,119,57,35,901,385,542,460,315,406,208,80,2393,3,3,5,5,0,0,0,25,1728,2897,2079,1359,1731,1017,533,11343,42,124,145,124,184,96,66,786,8,22,38,25,42,11,0,146,17,24,32,31,49,17,9,172,44,96,79,71,100,34,15,437,3,7,3,0,0,0,0,17,113,271,297,246,376,155,87,1548,1839,3176,2375,1607,2114,1171,620,12897
SED54605,254,311,214,145,179,70,28,1202,177,194,105,48,73,16,10,621,214,215,114,65,72,17,6,706,762,741,492,292,343,82,43,2762,7,10,7,6,5,0,0,33,1425,1475,929,550,675,187,96,5329,30,41,44,26,49,19,12,218,50,55,64,36,28,10,7,244,20,59,42,33,40,4,7,204,254,329,203,177,181,30,11,1181,19,8,6,0,0,0,0,39,374,482,366,271,299,64,38,1888,1792,1956,1297,818,971,250,126,7218
