SED_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SED51104,180,237,141,189,156,59,55,65,14,1096,264,305,275,658,321,154,91,110,46,2224,561,332,2976,1176,708,364,704,641,117,7577,39,19,73,102,114,91,51,107,5,597,39,45,64,109,113,66,47,52,3,537,32,45,18,37,29,13,14,32,3,232,34,37,60,80,61,31,42,53,74,463,1779,3548,3860,2941,2023,953,1107,1213,295,17719
SED51205,89,180,184,170,137,51,92,94,11,1021,176,180,447,479,241,127,226,237,27,2134,295,195,1634,766,424,228,435,420,69,4466,22,13,47,72,48,59,40,84,3,379,29,20,58,86,60,25,43,53,8,388,27,40,34,39,26,22,30,26,0,250,26,39,86,70,44,31,45,60,86,477,1533,4869,3169,2809,2078,999,1410,1641,335,18838
SED51304,197,339,124,143,155,59,24,28,12,1082,239,300,172,191,201,93,25,27,8,1261,441,220,1209,410,329,187,162,185,52,3194,23,18,28,45,49,29,12,26,0,222,53,44,35,42,97,45,11,22,0,349,34,60,10,15,27,10,5,9,3,178,42,66,24,31,42,27,8,11,40,292,2976,6516,1886,1367,1764,706,322,399,210,16148
SED51401,149,102,36,79,66,33,24,22,6,508,173,94,62,160,115,35,44,49,0,738,655,134,1250,459,341,177,444,394,56,3911,54,7,43,61,75,45,35,65,5,395,78,5,24,44,42,32,31,48,5,318,23,13,9,15,7,0,4,11,0,85,85,16,41,50,22,24,48,45,44,386,1854,1539,1550,1040,852,392,671,726,145,8783
SED51504,205,270,104,129,148,58,20,66,12,1009,198,249,142,204,155,100,41,83,8,1183,286,156,690,313,205,130,80,153,24,2044,19,12,18,27,27,33,6,16,0,163,43,39,31,49,68,33,12,25,5,290,27,68,9,24,20,10,5,20,3,179,39,71,19,33,44,23,5,29,34,304,3476,8401,1399,1521,1712,796,368,909,203,18781
SED51605,179,232,150,145,161,54,45,61,12,1047,288,287,283,399,351,131,83,111,22,1951,559,304,2515,823,659,316,492,457,99,6236,40,33,63,73,82,66,44,82,3,477,63,29,54,80,117,45,32,37,7,460,19,44,42,32,24,13,7,16,4,196,49,70,59,56,53,26,25,42,44,425,2278,5044,3562,2149,2250,873,867,994,269,18293
SED51706,126,153,100,124,83,18,42,33,8,685,174,159,193,267,182,58,68,68,22,1197,489,258,2648,881,656,306,775,574,108,6701,38,16,71,72,81,93,52,115,5,530,40,20,38,87,76,47,44,51,7,413,14,15,7,10,10,8,5,19,3,87,42,37,33,48,35,33,50,63,40,386,1380,2589,3239,1687,1358,637,1097,1022,222,13230
SED51804,219,304,62,106,146,68,17,26,11,943,201,156,82,130,119,81,17,38,12,828,267,86,414,228,127,88,50,97,26,1388,18,12,16,21,23,15,4,9,4,132,33,41,12,32,49,35,4,7,4,214,32,91,7,12,19,7,0,8,6,183,56,71,15,29,35,20,5,11,35,274,3714,8730,870,1161,1508,725,173,334,276,17502
SED51902,165,208,116,126,175,41,52,35,17,948,275,213,221,414,340,107,89,67,17,1738,671,306,2909,857,757,301,678,495,115,7091,27,17,57,66,96,68,51,70,0,473,62,32,67,92,105,51,47,34,11,502,17,31,26,15,25,7,23,22,4,165,40,44,46,59,58,30,43,39,74,431,1931,3288,3693,2009,1952,740,1091,868,285,15861
SED52006,134,150,97,139,124,47,34,22,10,760,177,189,166,297,170,91,74,74,18,1255,398,209,2015,766,410,277,545,386,93,5116,15,13,41,63,65,52,36,67,4,355,31,19,34,69,65,41,39,40,3,345,17,26,18,16,24,6,8,5,0,128,34,35,48,44,56,42,39,40,41,370,1259,2438,2540,1660,1139,646,846,710,192,11437
SED52102,91,136,134,118,127,32,51,40,7,737,211,190,230,305,275,78,105,73,31,1491,440,258,2135,731,601,277,579,415,97,5532,23,13,49,53,92,73,50,83,3,438,35,22,49,80,98,24,38,32,11,382,18,26,29,10,23,8,11,11,0,124,37,28,52,44,51,23,49,32,46,364,1392,2780,2945,1729,1729,661,1011,822,245,13307
SED52205,156,317,148,138,121,35,23,41,16,1002,258,235,228,266,182,83,41,75,22,1389,405,266,1533,550,307,155,252,308,59,3832,25,21,32,59,39,44,23,38,3,284,52,42,43,78,70,36,25,38,3,387,33,48,26,23,21,13,10,17,0,188,35,60,32,65,32,25,23,34,54,347,2526,6799,2457,1865,1462,636,494,750,247,17237
SED52301,117,172,62,83,65,29,29,30,13,598,163,192,116,345,198,56,41,59,14,1184,413,246,1920,765,531,275,454,459,68,5134,43,18,48,89,101,111,52,92,6,563,38,15,32,60,60,31,20,48,0,317,11,21,16,15,9,8,13,20,5,116,29,49,25,47,37,28,26,35,38,313,1221,2810,2313,1654,1193,615,662,803,163,11435
SED52404,199,318,127,156,174,52,29,34,8,1104,269,267,220,301,291,99,27,60,19,1551,505,299,2075,577,490,243,273,333,54,4858,18,10,33,47,42,42,13,31,0,242,54,31,46,77,113,25,16,30,8,404,28,51,24,21,28,8,5,6,3,176,34,57,32,54,51,34,12,32,38,339,2442,5248,2847,1727,1860,697,437,628,195,16072
SED52505,227,314,197,186,178,68,80,45,12,1316,335,346,351,447,407,141,159,106,31,2316,533,274,1951,752,635,279,390,335,79,5228,26,20,34,66,76,69,34,55,9,382,65,31,51,84,119,46,24,37,4,466,41,49,28,26,36,12,21,19,0,237,36,84,55,61,53,23,40,32,56,444,2761,7689,3369,2584,2765,1087,1107,956,307,22617
SED52604,209,311,142,150,197,61,22,47,18,1152,261,250,223,347,273,115,49,81,18,1610,467,256,1988,680,507,255,319,338,94,4894,28,14,31,62,59,58,25,43,10,325,57,46,55,70,116,49,16,30,7,454,25,34,30,25,25,12,7,8,0,165,39,63,31,53,51,28,16,29,48,358,2263,4639,2765,1924,1876,800,534,706,257,15758
SED52702,184,321,111,136,177,58,29,29,9,1056,241,221,188,213,230,71,42,51,17,1266,547,266,1739,525,452,181,304,254,82,4354,22,10,42,52,50,41,27,53,0,305,40,29,34,72,102,30,26,28,3,363,20,29,12,15,28,12,10,3,0,136,43,50,44,35,44,23,17,19,40,308,2216,4510,2384,1393,1596,529,496,520,203,13849
SED52803,68,92,52,48,68,10,44,24,6,415,145,131,145,199,156,47,111,45,13,1006,405,202,2481,427,423,158,831,296,81,5303,26,15,73,68,78,37,93,77,6,471,32,20,37,45,51,26,68,19,6,300,15,9,16,8,15,10,9,12,0,99,26,32,49,45,39,21,79,61,49,400,1129,2305,3046,1060,1029,376,1382,635,181,11129
SED52903,91,151,36,99,62,26,13,36,6,522,185,173,62,242,147,45,19,52,5,934,414,258,988,492,352,130,239,324,68,3266,27,47,15,77,67,32,13,27,9,316,33,32,16,62,46,15,10,27,9,244,16,11,5,8,6,3,4,12,3,76,24,72,45,72,47,29,26,67,67,449,1427,2791,1293,1452,1046,378,362,678,201,9623
SED53004,173,328,145,142,176,53,29,28,8,1074,257,272,212,284,296,102,49,38,9,1523,432,264,1847,625,553,265,303,325,57,4673,19,14,29,46,60,50,14,47,3,282,37,11,35,80,132,37,27,23,7,388,26,33,20,16,14,21,5,9,0,142,29,52,29,48,53,24,13,26,30,298,2015,5115,2595,1689,1960,733,504,612,163,15390
SED53105,123,157,140,111,129,50,53,31,3,797,243,261,263,444,298,106,119,113,16,1862,442,285,2285,902,630,303,577,479,93,5992,25,25,69,86,98,85,58,96,4,547,33,30,49,95,93,38,36,60,7,436,18,38,33,17,17,9,19,20,0,166,26,48,58,50,62,30,55,61,45,440,1586,3827,3300,2255,1953,820,1091,1049,228,16111
SED53204,141,233,131,155,189,59,58,53,13,1027,310,286,267,437,350,165,90,101,17,2026,515,253,2067,772,682,288,437,384,65,5452,27,19,42,82,86,72,33,68,4,429,48,32,55,90,110,49,25,61,5,477,22,38,31,24,31,17,17,11,4,208,31,52,46,66,56,36,34,54,46,426,2158,4545,3048,2190,2289,990,865,937,235,17256
SED53306,91,130,110,108,84,29,37,30,7,623,177,186,185,356,174,107,61,68,14,1338,410,234,1918,904,443,301,602,477,85,5371,29,12,64,83,47,63,45,94,0,440,25,19,37,82,68,39,37,40,6,350,15,17,18,12,12,13,11,14,4,125,30,26,41,62,33,21,33,42,38,335,1183,2325,2527,1933,1092,701,911,865,175,11712
SED53402,163,273,164,173,149,48,35,40,3,1054,242,313,264,305,264,119,65,111,19,1703,361,258,1220,540,401,209,233,252,43,3511,20,21,22,63,63,42,25,40,0,294,34,29,24,67,79,24,26,28,7,322,17,45,23,27,22,15,7,14,5,171,36,62,28,48,40,22,16,26,51,326,2733,7304,2182,1939,2058,818,576,795,229,18634
SED53502,103,221,129,128,144,45,44,28,10,853,232,267,223,396,278,109,92,108,24,1735,499,301,2170,808,624,313,516,434,100,5774,34,19,62,76,97,75,57,74,10,502,48,27,45,98,99,42,40,52,5,453,22,29,28,19,32,14,8,14,0,166,37,41,38,67,44,33,50,42,63,413,1656,3677,2962,2096,1809,777,931,906,268,15079
SED53602,83,112,98,120,75,34,44,78,9,650,130,172,226,400,205,100,123,132,21,1507,215,155,1386,852,384,233,401,545,83,4249,21,17,54,80,40,61,33,113,7,434,32,25,45,122,59,38,47,67,6,444,14,21,18,42,25,13,22,34,10,203,25,35,67,71,34,29,56,76,74,456,945,2440,2196,2268,1307,747,973,1349,251,12481
SED53701,195,103,49,90,100,19,38,42,5,657,224,99,91,185,160,47,45,71,9,934,741,197,1497,416,405,162,548,451,71,4495,39,9,23,51,75,29,40,77,7,353,70,25,25,50,55,19,29,46,6,331,28,18,11,11,28,7,5,16,3,124,95,28,51,49,42,26,48,95,37,472,2024,1664,1842,1023,1080,366,815,940,157,9907
SED53802,127,184,145,160,155,59,47,61,15,942,257,224,306,412,300,117,98,124,26,1867,347,170,1614,599,478,232,305,335,57,4136,30,21,37,55,65,63,18,47,0,343,34,32,39,92,84,36,30,42,6,389,20,31,20,24,30,12,12,22,4,170,32,57,51,64,60,19,33,48,51,428,1790,4497,2662,2106,2020,915,791,968,260,16003
SED53902,177,257,140,138,148,71,31,49,9,1018,232,231,198,310,233,124,55,91,19,1499,304,189,1059,425,348,167,173,214,43,2927,16,19,22,48,51,47,14,27,0,246,48,38,33,62,85,40,9,17,4,337,33,46,16,27,30,12,4,23,7,188,35,55,43,33,44,19,19,37,40,313,2518,6794,1940,1753,1961,894,468,729,234,17296
SED54006,101,134,73,115,72,21,34,42,4,601,171,160,158,243,163,57,55,74,15,1096,445,246,2472,788,518,257,708,520,103,6061,41,12,67,70,85,68,62,96,7,508,38,29,49,74,54,26,49,53,5,366,15,17,27,14,10,5,15,28,4,127,50,23,47,54,34,36,60,70,46,404,1228,1951,3007,1561,1125,517,1033,1036,209,11662
SED54104,168,282,85,97,117,55,21,23,12,854,170,181,133,151,150,77,19,53,7,946,188,111,413,230,167,108,68,112,22,1410,13,7,16,49,23,39,8,23,0,176,35,34,11,33,59,23,5,20,4,231,25,94,8,23,19,6,0,10,8,206,39,78,14,31,32,15,3,17,32,263,3334,10799,1053,1374,1815,788,241,529,259,20198
SED54203,69,59,45,47,39,16,30,17,3,328,93,74,71,117,75,20,57,63,5,580,300,128,1289,242,241,87,485,277,89,3129,22,21,25,46,35,22,30,52,3,253,30,11,10,18,15,12,23,30,4,146,10,6,7,4,4,4,3,9,4,54,27,25,22,28,21,27,49,50,39,285,842,1117,1593,682,563,243,751,650,167,6604
SED54304,270,372,201,140,174,70,26,46,16,1315,342,350,337,402,263,138,81,161,27,2092,428,279,1143,512,368,211,196,228,55,3421,28,15,21,63,61,41,20,35,0,283,58,43,37,67,83,37,15,28,3,369,36,90,24,37,34,10,9,33,3,284,52,96,38,42,39,31,18,34,72,422,4116,11765,2529,2376,2634,1062,545,1086,338,26454
SED54403,120,138,160,88,86,32,54,37,7,727,226,199,308,263,235,54,133,88,21,1518,596,323,3993,466,632,163,1055,533,185,7950,41,24,110,60,116,57,93,91,11,603,38,33,52,57,64,32,69,42,4,383,10,12,29,9,15,10,16,22,0,122,44,34,65,43,49,20,81,65,75,477,1705,2930,5131,1285,1533,480,1641,1085,342,16131
SED54505,149,250,131,115,129,58,52,50,18,952,149,182,183,221,228,86,56,66,13,1180,288,149,900,377,242,142,193,196,42,2528,10,6,34,50,44,40,23,35,6,243,42,29,27,57,65,22,16,18,0,280,25,73,19,18,23,9,6,14,4,189,25,48,25,40,27,18,9,33,34,265,2249,7009,1863,1558,1899,728,533,660,231,16734
SED54605,105,150,107,109,111,29,40,42,11,705,151,187,172,305,221,72,58,61,11,1241,363,225,1985,939,449,235,450,455,95,5187,33,7,63,82,63,55,45,76,0,424,32,21,38,80,64,36,35,28,4,334,12,25,10,18,19,8,15,12,0,131,19,33,45,73,46,25,32,39,45,361,1113,2200,2569,1923,1209,545,727,796,195,11280
SED54701,214,96,49,63,62,29,28,31,3,565,244,103,81,180,143,42,52,72,7,924,758,149,1357,451,372,191,465,510,72,4324,67,14,45,45,68,38,51,86,10,422,83,10,25,42,53,13,24,45,0,299,25,13,3,8,7,4,12,24,4,108,101,30,55,41,37,30,50,115,40,489,2274,1830,1704,981,969,398,737,1024,171,10085
SED54804,213,346,136,146,166,72,20,45,15,1156,306,337,224,313,305,112,48,71,21,1736,430,241,1642,475,386,208,233,249,65,3932,18,14,33,49,58,37,24,24,0,257,63,49,43,75,97,38,19,24,0,405,33,65,20,20,24,13,10,11,4,195,46,62,52,47,42,35,12,22,68,373,3204,7998,2522,1872,2084,876,474,670,284,19985
SED54905,182,271,91,103,129,60,34,34,8,920,235,224,146,232,221,115,36,63,20,1293,286,178,826,356,314,179,129,165,37,2471,9,9,24,51,50,28,12,22,0,216,35,30,25,36,66,38,7,14,5,254,26,48,9,24,31,8,3,16,3,173,29,78,20,37,33,24,9,17,46,301,2886,8161,1568,1531,1928,834,397,583,245,18140
SED55005,143,198,183,119,149,52,63,69,8,983,222,227,258,382,306,116,139,101,17,1766,390,224,1828,756,550,291,466,421,63,4995,15,13,51,71,74,84,50,78,6,436,41,26,45,81,89,49,34,51,7,414,16,34,30,34,36,20,25,15,3,204,30,73,46,49,49,23,34,39,68,407,1784,4557,2919,2181,2079,948,1077,1041,265,16841
SED55102,171,217,136,147,166,50,43,40,16,990,280,247,233,418,295,138,93,81,22,1808,673,327,2583,922,726,357,692,443,107,6829,47,18,54,82,95,78,52,96,0,528,58,37,46,99,103,43,51,55,7,497,14,42,23,19,33,17,18,16,5,181,32,36,53,59,69,36,41,39,60,423,1987,3096,3319,2187,1934,871,1110,879,259,15642
SED55202,68,154,134,105,122,47,62,59,12,771,141,178,264,388,222,95,148,110,11,1560,302,183,1798,788,452,242,515,513,70,4857,14,18,45,70,63,85,57,99,8,452,17,25,53,86,72,28,40,52,8,386,14,30,31,22,21,15,19,25,0,174,30,26,50,63,37,25,53,64,53,409,1013,2655,2773,2102,1590,756,1132,1197,226,13445
SED55306,197,230,94,121,123,80,37,76,13,970,242,169,206,281,193,112,33,92,11,1341,569,194,2223,716,517,307,469,563,89,5649,32,16,49,71,69,99,28,97,3,468,63,25,32,106,56,45,36,61,3,438,29,36,10,14,24,10,6,19,0,144,50,38,37,60,39,60,32,50,39,415,2000,3280,2865,1749,1357,854,686,1162,205,14165
SED55405,127,229,170,119,109,59,53,71,18,945,221,272,332,441,271,125,94,195,19,1973,323,265,1261,567,403,224,292,307,58,3690,37,16,57,72,70,68,32,53,0,407,30,31,35,64,70,21,24,32,4,307,18,62,30,25,25,13,20,23,3,214,34,49,37,62,42,22,24,51,75,393,2391,7333,2576,2439,2117,1013,944,1404,321,20548
SED55504,180,236,136,167,180,56,41,44,6,1041,303,318,220,488,328,134,102,93,29,2008,573,332,2678,914,689,328,477,545,108,6635,31,14,47,85,95,75,36,86,0,472,44,37,53,99,126,59,40,60,13,526,20,37,34,23,37,14,17,17,4,202,47,52,54,70,48,36,29,52,87,479,1927,3835,3514,2377,2060,927,873,1062,300,16882
SED55605,163,204,140,162,117,50,40,44,15,938,275,262,280,452,260,125,90,73,26,1844,602,357,3000,1218,651,363,679,590,124,7576,41,9,61,89,85,100,61,112,0,566,48,30,60,109,78,56,50,58,4,486,17,34,28,27,15,10,13,15,4,166,21,35,57,65,51,35,43,46,49,397,1703,3056,3790,2473,1559,847,1031,1012,259,15723
SED55706,213,212,94,125,99,62,33,82,15,932,221,157,132,239,144,65,53,121,14,1147,720,171,1737,651,345,245,425,564,79,4943,50,21,54,56,70,61,32,88,3,438,91,21,41,72,69,53,30,53,3,433,35,19,16,8,13,12,5,20,5,131,84,28,52,61,35,31,45,73,35,439,2321,2793,2341,1538,1060,688,689,1269,197,12888
SED55802,113,173,139,157,166,47,100,56,9,971,276,264,316,557,330,152,156,107,21,2188,546,315,2428,1072,713,354,670,485,92,6680,29,23,49,74,81,75,61,88,7,490,45,31,75,128,112,75,43,48,10,568,23,44,45,24,25,14,29,24,6,233,46,39,44,75,66,39,31,36,74,453,1836,3618,3545,2860,2195,1056,1372,1092,272,17849
SED55905,122,205,116,112,124,43,37,49,14,819,180,207,229,278,216,115,44,67,11,1355,391,215,1711,574,456,202,285,334,64,4246,31,19,39,56,78,69,26,58,0,375,28,33,44,54,81,37,25,37,7,352,19,55,27,19,25,5,16,20,5,182,29,43,50,47,45,30,30,38,64,368,1639,4384,2524,1634,1615,711,567,753,233,14056
SED59494,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
SED59797,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
