SED_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SED51104,3,0,0,0,1902,1906,44,5,0,5,1673,1724,1202,95,75,8,2631,4008,2296,185,235,3,1181,3899,2349,232,407,25,665,3674,1646,129,378,28,261,2441,1182,83,229,67,61,1623,728,34,79,106,17,962,202,3,15,86,0,309,9642,760,1421,329,8383,20540,0,0,0,0,1810,1812,98,16,0,3,1626,1738,1716,177,143,5,2515,4553,2513,275,360,36,1151,4337,2304,273,666,71,555,3875,1471,159,689,135,194,2654,1079,87,422,270,50,1908,606,27,139,386,13,1168,105,6,29,317,8,460,9893,1013,2452,1217,7930,22506,8,0,0,0,3708,3716,141,11,6,3,3302,3462,2919,264,215,13,5150,8561,4805,458,598,38,2327,8228,4648,505,1077,98,1222,7549,3119,289,1065,164,457,5095,2256,176,656,338,103,3526,1328,55,222,491,34,2133,308,9,42,400,8,769,19540,1772,3871,1550,16312,43040
SED51205,0,0,0,0,1311,1316,80,3,0,0,2116,2201,2065,43,85,5,3051,5247,2832,134,210,8,1203,4383,1843,155,275,19,652,2942,1468,118,361,41,400,2393,1319,74,299,92,174,1957,724,46,99,99,48,1011,174,10,16,103,3,308,10495,585,1356,367,8959,21756,5,0,0,0,1148,1154,240,12,0,0,1726,1979,2658,114,119,5,2161,5064,2614,138,263,24,927,3968,1647,175,402,69,514,2803,1496,132,539,185,289,2648,1196,83,435,365,124,2202,480,22,176,440,42,1149,80,0,34,360,10,476,10412,682,1963,1448,6944,21454,10,0,0,4,2465,2470,316,22,8,4,3838,4181,4718,159,202,14,5209,10309,5445,273,472,26,2131,8351,3491,328,675,82,1165,5744,2966,252,904,225,691,5042,2517,155,735,457,301,4161,1203,67,273,535,86,2159,251,12,50,466,9,791,20905,1262,3318,1818,15901,43207
SED51304,4,0,0,0,1379,1376,0,0,0,0,1025,1028,360,8,15,0,1159,1543,1944,64,109,0,540,2663,2277,109,242,13,376,3014,1924,57,240,25,207,2452,2220,39,230,76,78,2654,1168,15,89,124,25,1426,206,9,13,93,0,321,10102,304,944,334,4795,16475,0,0,0,0,1232,1235,14,0,0,5,916,932,610,16,18,3,995,1645,2209,99,164,4,523,3008,2231,121,296,30,326,3005,2046,79,343,87,151,2706,2164,54,361,324,73,2980,791,22,172,422,41,1444,117,0,30,370,11,532,10177,406,1384,1242,4273,17480,4,0,0,0,2609,2614,13,0,0,5,1943,1960,970,24,33,5,2156,3186,4156,168,273,9,1068,5672,4505,231,535,44,699,6014,3970,132,583,118,352,5158,4387,98,592,400,149,5630,1958,39,257,547,66,2866,324,8,43,459,15,853,20284,709,2326,1574,9064,33955
SED51401,0,0,0,0,946,952,16,0,0,0,854,871,540,44,28,0,1384,2003,1108,85,114,13,774,2092,1372,129,296,23,682,2497,1746,197,508,69,538,3051,1757,150,514,149,244,2822,893,51,213,143,76,1373,226,12,27,124,10,398,7655,673,1688,533,5514,16062,0,0,0,0,838,839,39,4,0,0,652,696,698,47,38,8,991,1785,1171,105,139,15,596,2022,1425,172,333,49,476,2459,1770,173,504,149,262,2855,1562,90,387,329,103,2467,651,20,158,474,38,1341,112,7,41,366,12,531,7430,621,1592,1382,3965,14989,0,0,0,0,1780,1789,59,7,0,0,1499,1568,1240,89,66,10,2379,3784,2273,193,252,27,1367,4114,2799,296,624,75,1162,4958,3514,369,1009,215,802,5907,3318,244,894,481,348,5284,1539,77,371,618,115,2719,333,17,64,493,20,929,15089,1294,3281,1918,9477,31051
SED51504,0,0,0,0,1618,1618,18,0,0,0,1194,1220,757,16,29,0,1567,2383,2173,85,136,3,702,3098,2357,80,192,7,427,3070,1759,70,304,19,273,2428,1269,38,225,46,176,1756,824,28,111,75,75,1114,305,9,34,131,23,499,9467,334,1033,290,6057,17186,5,0,0,0,1381,1380,37,4,6,0,1091,1138,1118,36,42,0,1459,2652,2410,97,166,10,601,3287,2371,125,346,49,453,3344,1661,82,402,97,253,2501,1190,56,391,237,137,2017,665,29,191,405,71,1358,162,3,40,595,50,843,9615,428,1585,1389,5501,18517,5,0,0,0,2998,2997,59,5,6,0,2286,2354,1878,48,74,5,3027,5032,4581,187,300,14,1306,6385,4724,207,540,60,878,6408,3424,156,706,116,527,4926,2463,93,618,285,311,3777,1485,58,300,480,146,2471,464,9,73,721,75,1345,19082,760,2624,1685,11552,35703
SED51605,0,0,0,0,1551,1557,18,0,0,0,1533,1553,1017,37,45,4,2310,3410,2457,129,226,6,1001,3819,2432,154,288,25,539,3443,1781,101,312,33,226,2453,1148,57,197,69,65,1534,522,17,83,73,16,706,117,0,12,67,6,190,9495,494,1165,270,7246,18663,0,0,0,0,1492,1495,44,0,0,0,1494,1534,1405,87,82,5,2012,3591,2660,174,299,32,833,3993,2403,173,473,51,473,3569,1636,115,479,123,206,2565,981,53,340,221,51,1649,362,4,108,278,7,766,56,0,19,173,8,257,9540,610,1807,884,6581,19417,0,0,0,0,3043,3044,61,0,0,0,3032,3095,2418,122,130,7,4321,6997,5114,302,524,38,1831,7819,4834,328,767,71,1013,7014,3417,216,792,157,433,5013,2124,103,536,291,116,3183,890,15,195,349,25,1471,171,0,25,243,13,447,19032,1098,2971,1154,13828,38083
SED51706,0,0,0,0,1323,1328,27,5,0,0,1017,1054,743,34,39,3,1545,2360,1528,131,179,6,832,2673,1725,153,299,20,581,2778,2014,130,483,42,359,3025,1901,96,411,122,160,2694,942,30,126,136,39,1268,211,0,19,107,6,346,9087,589,1550,437,5865,17522,0,0,0,0,1276,1275,60,0,0,3,860,929,1011,79,56,12,1380,2542,1702,167,228,23,719,2850,1843,187,427,55,495,3007,2073,138,567,133,254,3161,1702,79,396,331,74,2586,696,21,131,510,28,1382,86,3,19,351,16,476,9180,677,1843,1416,5099,18206,0,0,0,0,2603,2605,92,6,0,4,1880,1979,1759,114,96,17,2921,4907,3227,298,406,31,1557,5520,3567,342,725,71,1071,5783,4086,268,1047,177,611,6185,3601,182,808,448,232,5282,1638,48,261,639,67,2651,295,3,36,456,24,823,18262,1260,3391,1850,10966,35729
SED51804,0,0,0,0,1607,1608,10,0,0,0,1220,1234,430,23,15,0,1760,2229,1410,56,115,0,695,2273,2092,112,251,16,434,2907,1964,90,324,24,360,2762,1688,59,320,80,212,2357,1158,27,184,128,88,1585,343,13,36,168,16,580,9096,373,1248,417,6396,17532,0,0,0,0,1648,1648,15,0,0,0,1299,1317,597,23,40,0,1671,2333,1718,86,142,7,578,2537,2283,151,365,42,408,3244,1969,101,491,94,303,2953,1597,53,520,261,147,2582,899,26,271,525,83,1804,196,7,90,596,37,925,9269,455,1921,1528,6172,19345,0,0,0,0,3256,3259,20,0,0,0,2523,2549,1028,49,50,5,3435,4564,3128,145,253,8,1272,4805,4370,261,624,60,843,6153,3931,189,821,118,657,5715,3286,116,846,348,361,4944,2056,56,447,649,168,3392,536,17,129,764,53,1506,18368,830,3170,1946,12568,36885
SED51902,0,5,0,0,1487,1490,54,0,0,0,1260,1313,1104,71,51,0,1768,2995,2097,128,192,4,934,3355,2102,159,323,9,635,3231,2011,96,385,38,267,2799,1501,42,249,80,82,1956,709,23,68,107,27,929,129,0,11,63,12,218,9713,525,1291,303,6465,18295,0,0,0,0,1523,1523,90,8,0,0,1148,1245,1553,122,91,3,1608,3378,2170,157,255,11,783,3374,2097,146,431,54,477,3205,1907,129,456,144,187,2818,1340,49,290,250,56,1987,490,9,113,231,16,859,61,0,11,166,0,243,9716,615,1647,859,5793,18637,0,5,0,0,3011,3018,143,8,0,0,2408,2557,2661,192,147,3,3371,6374,4272,284,446,21,1714,6734,4199,307,756,62,1110,6435,3919,221,842,181,447,5619,2842,95,540,331,138,3950,1199,37,181,341,40,1795,195,0,28,224,15,464,19427,1142,2932,1168,12261,36933
SED52006,0,0,0,0,1216,1223,12,0,0,5,927,941,430,33,28,3,1282,1782,1121,116,151,4,708,2096,1538,140,316,21,485,2499,1939,141,444,39,308,2869,2448,109,478,125,157,3317,1537,44,179,191,34,1987,311,9,19,147,4,486,9332,591,1620,532,5131,17193,0,0,0,0,1153,1159,26,6,0,6,908,937,655,76,70,4,1152,1955,1329,158,211,16,621,2341,1661,172,475,55,464,2828,2075,153,597,135,247,3210,2391,101,557,384,90,3527,1152,37,231,580,18,2015,147,3,39,445,10,637,9428,708,2185,1619,4666,18606,0,0,0,0,2374,2373,37,6,0,3,1835,1877,1091,109,94,3,2431,3737,2453,275,359,23,1333,4435,3205,315,794,68,951,5328,4012,293,1044,171,559,6082,4845,208,1034,510,247,6845,2684,78,416,769,53,4001,454,11,60,591,11,1125,18766,1296,3797,2150,9792,35800
SED52102,0,0,0,0,1252,1256,22,0,0,0,1286,1309,849,60,45,0,1889,2837,1833,139,198,7,1042,3221,1570,169,344,18,644,2742,1495,104,410,43,388,2442,1242,68,272,80,118,1783,609,26,94,119,16,870,197,4,16,69,4,289,7813,571,1386,346,6646,16757,0,0,4,0,1212,1217,48,5,0,0,1093,1154,1235,68,66,3,1558,2931,1893,163,243,26,822,3140,1522,193,418,46,498,2674,1515,140,485,135,245,2515,1129,80,381,307,76,1973,477,15,137,382,24,1035,82,8,33,251,5,376,7910,675,1770,1146,5527,17026,3,0,4,0,2464,2472,76,5,3,0,2384,2466,2080,126,109,3,3449,5774,3730,296,446,28,1863,6361,3091,363,757,63,1136,5415,3010,248,897,180,630,4961,2369,144,655,388,195,3758,1089,43,235,500,42,1912,274,10,50,321,6,667,15725,1249,3152,1491,12170,33786
