SED_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
SED51104,1819,3100,594,170,947,766,193,440,3429,185,2449,19784,1296,30458,198,275,67,17,138,83,20,47,229,20,213,1877,106,2863,1264,906,405,132,627,555,114,283,1162,129,1000,6709,438,11353,126,70,57,25,49,50,17,26,104,14,123,665,33,1091,79,24,32,14,57,55,3,17,72,5,73,401,20,670,34,15,14,0,34,24,5,5,17,0,36,389,34,539,50,64,17,9,78,35,6,9,50,13,73,1106,63,1453,5,6,7,0,14,3,3,0,5,0,22,277,12,343,39,25,7,5,53,16,3,5,26,6,44,556,12,736,40,28,15,10,18,23,3,8,59,0,64,404,18,605,154,202,65,9,140,69,12,20,225,16,240,2514,87,3459,1986,1606,681,206,1202,916,191,415,1945,201,1893,14907,819,23108,43,21,12,6,26,23,7,13,29,6,23,198,2585,2910,3852,4728,1283,377,2170,1701,388,872,5404,396,4366,34883,4695,56481,1357,2395,396,3
SED51205,1626,1950,559,90,939,701,220,422,2473,167,1823,15266,857,23261,83,88,39,9,63,39,9,21,103,10,72,741,47,1149,545,234,177,47,282,265,63,143,297,67,271,1114,91,2579,101,36,29,20,64,53,10,20,59,10,65,332,22,629,156,28,44,17,112,85,24,22,58,18,88,407,36,825,46,56,22,5,86,22,14,3,47,12,103,1019,52,1364,318,328,111,31,540,198,48,33,184,49,516,5600,182,7487,47,33,31,4,122,34,18,11,39,12,126,2858,64,3288,132,115,44,11,340,102,21,23,92,13,187,6331,160,7298,41,33,12,3,27,14,6,5,54,3,44,272,13,439,84,82,24,3,95,42,10,12,81,14,90,1424,66,1865,1570,1035,530,145,1737,860,205,306,1017,202,1572,20098,715,26918,47,30,15,12,35,28,6,8,25,14,22,179,2439,2743,3247,3007,1108,248,2717,1587,434,736,3514,380,3420,35537,4017,52916,902,1516,316,0
SED51304,2170,2366,976,176,802,1078,159,347,2090,226,2170,18762,1054,28644,71,64,45,6,29,47,4,17,59,6,76,607,28,935,610,336,246,58,206,293,47,99,325,68,456,2938,169,4938,121,55,58,13,56,81,12,17,62,10,108,815,29,1237,122,36,62,20,84,70,14,15,46,16,90,578,47,995,26,16,10,0,22,7,4,4,25,6,19,167,5,255,77,57,46,11,67,57,17,11,37,9,71,581,21,911,18,5,8,0,30,9,0,7,9,0,25,422,8,518,39,18,18,3,49,24,0,5,17,9,52,242,8,406,43,37,35,6,17,19,0,0,44,3,52,454,18,651,136,123,69,14,55,89,14,28,122,23,151,1281,56,1912,1271,742,592,137,623,684,113,194,745,142,1094,8090,381,12749,36,14,14,4,12,19,0,4,3,3,21,79,924,1092,3480,3123,1592,314,1441,1778,272,544,2846,368,3284,26933,2370,42494,1115,1655,531,0
SED51401,3220,2781,1051,212,1763,1426,330,708,2771,305,2194,16005,1102,27611,116,94,38,8,65,60,12,38,87,14,74,543,93,1016,495,195,130,37,234,216,45,132,233,51,244,814,66,2030,87,30,19,11,45,46,10,30,35,9,42,265,12,505,50,9,15,3,31,25,7,4,19,7,17,118,18,243,3,0,6,0,0,4,0,0,0,0,4,18,75,110,19,29,3,0,34,19,6,0,22,3,33,448,60,624,0,0,4,0,0,0,0,0,0,0,6,52,12,68,12,8,3,0,18,11,0,5,4,3,11,167,72,288,21,13,7,0,4,5,0,3,14,0,10,78,9,148,46,28,12,0,30,17,8,6,29,5,35,267,42,451,853,408,244,65,462,404,89,212,441,92,467,2770,454,5474,141,72,43,21,48,54,13,32,66,14,40,249,3801,4359,4211,3265,1333,291,2281,1887,434,948,3282,414,2702,19024,5355,37453,1394,1554,476,4
SED51504,1868,2210,867,271,605,884,160,333,2279,179,2122,18647,891,27781,55,66,41,4,28,34,8,9,52,11,57,496,25,770,384,236,184,69,121,157,23,69,266,47,295,2112,100,3439,104,62,42,14,36,50,11,22,54,14,91,803,36,1184,136,37,51,34,68,70,18,23,67,24,114,644,36,1040,26,16,11,9,27,19,0,3,22,0,28,294,7,401,77,76,55,25,93,63,15,19,61,12,153,1324,35,1833,27,24,25,3,54,33,8,8,30,6,82,1172,10,1427,58,66,23,11,85,39,14,5,30,13,71,2503,27,2811,32,59,22,11,5,13,0,6,65,0,74,746,11,993,86,74,53,12,30,50,6,16,93,9,101,1025,41,1440,986,711,507,193,547,525,104,173,746,136,1067,11122,333,15345,31,9,12,19,19,28,7,9,21,4,31,108,1037,1236,2896,2929,1385,489,1169,1443,277,516,3046,316,3218,29872,2261,44359,889,1646,530,5
SED51605,1675,2567,543,53,925,697,181,304,2800,161,2207,20368,1200,30095,97,125,27,5,61,31,5,20,99,11,86,1011,50,1478,466,273,173,23,206,193,48,114,349,41,350,2130,131,3692,62,37,22,9,38,32,5,30,40,3,56,509,17,741,313,71,106,29,190,150,25,40,127,43,202,1245,68,2114,19,11,3,6,18,15,4,0,19,0,28,319,9,406,88,114,34,11,163,53,19,12,85,17,167,2428,71,3090,20,21,15,0,41,11,11,0,25,8,71,1149,10,1339,43,35,13,3,93,35,12,5,34,0,73,974,22,1262,51,38,19,0,43,14,5,9,54,4,52,456,15,679,72,81,36,9,68,18,6,12,67,3,96,1030,38,1421,1217,810,448,88,927,563,140,244,897,120,1174,11256,428,16222,19,10,7,0,9,9,5,7,6,5,16,119,1665,1850,2908,3390,998,141,1864,1267,326,550,3703,283,3397,31746,3294,48164,1199,2057,422,8
SED51706,3618,3207,1069,190,1754,1293,266,662,3603,330,2761,20752,1495,34539,105,115,43,4,75,54,10,28,91,12,82,779,58,1253,637,248,179,40,266,226,38,147,304,60,308,1247,98,2777,92,36,32,5,42,49,7,25,51,15,62,328,11,596,63,21,15,7,49,25,8,15,25,3,38,107,14,267,6,5,4,0,8,4,0,4,5,0,0,55,0,72,22,20,17,3,33,15,0,4,10,6,45,469,24,624,0,0,0,0,4,0,0,0,4,0,12,208,4,239,14,0,5,0,13,4,3,0,4,0,11,228,5,276,23,13,5,0,15,12,4,9,22,4,15,119,13,203,61,64,15,4,41,24,3,14,70,5,73,574,36,862,1011,521,319,75,552,413,71,236,576,97,647,4127,268,7175,89,39,41,11,50,46,11,26,44,8,28,187,2332,2738,4718,3767,1423,274,2354,1756,349,927,4226,438,3430,25064,4090,44451,1522,1786,418,6
SED51804,2215,2054,1154,281,663,1209,157,422,2306,262,2160,19242,984,29184,81,61,27,6,13,38,10,18,52,0,40,476,22,735,468,262,243,67,137,262,37,96,291,56,380,2647,115,4292,98,64,40,16,40,44,3,18,56,7,75,873,21,1214,73,24,46,17,46,54,12,21,53,8,76,491,25,758,27,16,8,0,13,13,4,3,19,3,22,222,3,311,73,61,23,6,48,53,11,10,63,6,106,875,33,1237,24,26,21,4,23,18,5,4,25,9,42,883,10,1046,33,18,10,5,38,35,4,6,23,4,34,500,11,647,49,65,36,4,26,40,5,13,71,12,66,843,30,1150,97,79,63,14,27,59,12,19,99,11,99,1011,40,1470,1027,669,517,131,415,610,95,203,744,118,942,8816,306,12860,35,20,15,3,16,19,7,6,24,3,19,136,1853,2083,3283,2743,1685,413,1100,1841,258,629,3074,384,3122,28192,3144,44128,988,1510,579,5
SED51902,1960,2908,704,81,1081,827,179,403,3128,188,2433,21819,1608,33225,127,122,48,5,70,48,14,31,119,22,108,1024,83,1604,959,416,322,65,419,392,86,218,524,87,586,2686,217,5416,120,49,57,11,73,59,8,27,53,14,98,492,32,888,70,16,16,10,47,31,0,9,28,15,36,242,16,425,14,6,0,0,0,6,0,3,12,0,7,112,11,163,37,49,21,0,64,23,3,3,29,3,63,696,27,952,7,3,3,0,4,0,3,0,5,0,8,125,4,148,29,18,11,0,71,26,4,0,12,4,39,777,23,970,31,25,14,0,15,13,5,6,36,3,22,242,12,379,83,77,25,3,67,33,3,8,72,7,94,1143,54,1556,1478,778,505,92,839,627,126,309,896,152,1065,7540,478,12508,49,20,12,7,23,17,9,10,24,7,16,180,1726,2012,3490,3706,1218,175,1942,1467,310,730,4052,351,3514,29544,3810,47752,1388,2045,479,4
SED52006,3514,2418,1218,234,1575,1533,329,669,2836,355,2499,16756,1243,28874,167,126,71,19,74,85,14,34,124,21,120,928,58,1539,1153,430,379,91,444,516,106,254,537,111,640,3145,225,6187,130,40,63,5,67,63,12,29,46,13,69,457,24,810,70,17,21,10,50,39,9,20,22,5,33,182,21,366,13,3,3,0,8,3,0,0,8,5,9,70,5,104,34,29,21,0,47,22,9,0,26,5,44,674,27,874,8,4,7,0,10,9,3,0,4,0,11,145,3,180,24,10,12,6,20,17,0,5,8,3,11,167,7,254,43,17,5,5,14,10,3,8,30,5,24,222,9,352,66,57,38,4,53,53,5,13,62,8,77,749,28,1074,1703,751,611,136,787,815,156,356,872,180,1040,6745,407,11739,94,42,35,10,54,52,18,24,40,21,42,162,1759,2150,5316,3213,1868,379,2410,2400,500,1044,3748,564,3576,23663,3414,42755,1133,1282,423,5
SED52102,2112,2576,680,150,1259,918,213,479,2946,208,2088,17377,1125,27612,111,145,46,7,86,83,11,36,123,8,86,1028,62,1620,570,266,188,36,314,264,51,160,325,73,315,1385,88,2988,92,29,38,11,54,62,11,27,35,18,71,361,19,661,77,17,30,18,54,42,11,10,48,19,39,273,14,520,22,9,6,3,17,15,5,3,14,3,23,182,14,260,118,126,34,9,175,58,12,10,69,22,170,1865,64,2515,12,9,3,0,16,5,0,0,10,0,40,524,10,615,71,58,20,10,162,60,18,6,44,8,92,1831,58,2279,28,13,7,3,25,11,3,9,18,0,20,162,8,258,69,51,33,0,70,26,4,13,66,0,91,697,32,1027,1171,733,405,98,977,617,122,269,752,147,955,8307,366,12748,32,26,12,6,31,19,4,14,24,11,23,121,1776,2007,3314,3330,1099,249,2264,1555,340,756,3722,375,3061,25805,3268,42371,1156,1756,358,4
SED52205,2006,2371,766,159,857,863,182,401,3281,205,2387,17167,1083,27344,80,79,31,3,35,45,9,17,113,12,88,690,33,1088,563,290,213,41,208,263,43,123,429,52,423,2332,185,4246,100,84,44,6,40,49,12,25,99,15,114,1181,51,1642,574,144,185,141,350,274,67,66,276,77,357,1324,94,2795,19,10,7,0,23,9,3,0,15,5,20,179,7,258,57,58,24,10,56,21,12,11,62,7,66,809,24,1099,16,10,9,0,6,0,0,0,18,0,30,316,11,401,28,16,5,0,37,16,0,0,23,3,25,268,12,388,72,52,25,4,26,31,3,11,94,7,68,744,20,1032,62,48,21,5,39,42,6,9,69,0,60,588,28,885,1563,803,566,217,813,747,148,268,1205,183,1260,8420,470,13835,51,24,7,5,31,19,10,15,31,3,15,136,2435,2698,3622,3200,1336,380,1709,1627,340,680,4523,385,3659,25724,3990,43870,1149,1739,448,9
SED52301,2632,2995,983,276,1725,1294,391,637,3108,282,2331,17791,1543,29833,88,75,35,8,39,44,7,20,70,13,50,413,34,738,355,152,118,41,167,148,36,80,192,39,209,834,57,1749,65,27,22,8,36,22,5,17,33,4,32,250,14,429,53,11,18,12,41,39,5,8,22,8,28,113,9,245,0,3,0,0,0,0,0,0,0,0,3,52,0,59,29,46,11,0,57,13,8,0,22,0,63,738,24,954,9,0,4,0,0,0,0,0,0,0,5,104,0,117,6,20,4,0,23,6,0,5,5,0,18,261,14,338,17,19,6,4,13,15,3,5,22,3,31,121,11,218,36,44,19,3,36,26,0,3,54,0,59,477,24,698,671,387,238,81,424,312,70,147,421,72,496,3357,192,5556,54,26,17,12,34,27,5,27,35,15,36,159,3239,3548,3351,3401,1244,373,2180,1638,471,805,3567,367,2858,21312,4976,38940,1086,1638,382,3
SED52404,1858,2234,672,90,785,830,133,316,2250,150,1884,17446,1016,26249,99,98,38,0,39,48,12,21,85,8,82,763,53,1193,793,440,316,37,279,372,42,159,442,77,551,3939,229,6481,131,53,64,10,56,83,16,19,74,13,98,920,42,1378,112,43,52,12,83,67,19,17,53,14,94,638,32,1025,24,11,13,0,17,7,0,0,14,5,16,166,12,258,62,42,22,6,71,34,9,8,36,4,63,574,16,846,13,11,11,0,28,7,0,0,15,0,30,296,6,384,30,24,16,7,47,35,11,6,17,5,34,262,5,404,38,33,19,0,18,16,0,3,48,0,44,438,6,613,119,109,58,3,65,58,9,15,104,4,126,1245,42,1805,1422,864,604,74,706,726,116,248,883,126,1148,9234,449,14391,38,9,9,3,14,12,0,6,14,3,13,93,1049,1231,3319,3105,1288,166,1501,1570,252,568,3157,281,3042,26780,2519,41866,1206,1788,461,8
SED52505,1327,2189,530,91,732,576,127,207,2203,117,1994,20315,1939,29575,75,101,24,6,48,47,3,8,83,7,67,984,90,1437,478,252,157,43,239,223,38,85,301,45,325,2232,165,3848,54,37,26,9,26,39,11,10,41,5,48,389,22,620,51,18,22,11,40,34,7,13,27,10,64,387,27,606,30,26,8,0,29,14,8,4,30,0,42,646,32,814,200,237,103,16,362,153,38,18,134,19,412,4853,150,6321,33,24,21,3,87,32,9,4,26,5,100,2036,39,2363,139,158,50,13,396,101,24,16,94,14,273,5627,147,6789,44,37,14,0,21,14,0,4,37,5,48,506,24,700,108,116,39,7,124,61,10,8,98,11,157,2087,85,2768,1221,1013,469,108,1368,721,144,174,866,131,1534,19753,774,26268,19,4,3,0,13,5,3,8,6,0,6,106,1200,1359,2558,3205,1006,192,2110,1308,279,391,3072,246,3541,40172,3917,57203,1107,1933,417,7
SED52604,1400,1832,478,112,637,589,129,262,2184,142,1735,14071,777,21379,98,88,45,9,35,43,12,14,73,15,101,746,37,1144,1103,588,408,88,485,467,69,199,685,109,814,5156,326,8833,133,62,53,14,58,64,6,26,93,21,105,899,47,1385,94,23,38,15,55,63,9,7,39,9,66,529,29,840,41,15,9,6,24,23,7,4,19,9,34,314,15,449,89,63,23,5,83,49,11,9,49,10,99,898,27,1276,14,10,0,5,19,13,4,0,9,0,29,391,10,490,47,16,11,4,53,40,5,6,24,11,38,447,15,624,25,32,13,8,18,18,6,6,41,6,46,387,10,544,194,154,87,16,99,83,8,27,172,12,201,1802,63,2625,1831,1057,702,172,927,846,131,298,1206,193,1524,11576,582,18199,28,10,9,4,14,7,0,5,18,9,14,92,1393,1554,3259,2896,1187,287,1585,1443,257,573,3408,341,3272,25736,2755,41137,1249,1666,475,3
SED52702,2170,2236,883,133,954,939,166,389,2536,225,2320,17418,1012,27349,118,71,39,7,51,52,12,25,93,16,83,640,38,1058,926,389,362,81,384,449,73,180,407,94,550,2641,201,5331,148,60,58,19,61,86,13,42,80,14,115,681,35,1181,116,26,36,10,66,78,22,26,38,9,72,295,18,607,13,6,6,0,7,3,0,0,4,0,11,62,3,99,47,32,16,3,37,24,5,3,25,3,54,380,24,563,7,4,6,0,4,3,0,4,3,0,11,136,0,161,49,19,20,11,37,31,5,13,14,5,32,138,5,274,43,44,23,0,22,24,8,5,39,6,36,261,9,424,105,60,37,13,48,45,6,25,71,7,83,657,25,1027,1572,713,601,147,711,794,142,314,789,162,1045,5878,362,10730,40,14,18,3,16,28,11,12,19,5,26,99,1196,1402,3784,2972,1497,288,1678,1762,318,711,3349,392,3390,23393,2571,39482,1217,1551,495,4
SED52803,1580,1970,508,95,1136,673,226,372,1937,155,1518,15541,1370,23696,154,222,63,8,170,87,21,49,150,21,139,2004,131,2890,141,66,31,16,93,77,17,52,109,13,105,596,44,1060,21,16,7,0,14,18,0,7,20,6,19,231,7,321,25,3,5,3,29,22,9,8,16,6,17,147,10,243,3,0,0,0,0,0,0,0,8,0,8,132,6,154,45,42,10,0,56,9,3,8,15,4,59,1090,43,1314,0,7,0,0,5,5,0,0,0,0,3,232,6,254,12,9,4,0,35,7,6,3,8,0,17,508,13,586,11,12,3,0,6,4,7,5,12,0,13,188,9,247,33,49,24,0,47,14,0,3,59,6,67,914,32,1192,449,431,154,35,457,246,66,129,403,54,455,6043,302,8272,47,27,14,0,25,24,4,21,18,9,23,210,4617,4943,2078,2433,677,131,1619,944,296,516,2360,217,1986,21797,6287,36906,994,1404,326,8
SED52903,915,1435,374,99,1297,705,296,272,1264,122,1305,18572,1922,26195,42,35,20,0,28,24,3,12,30,0,32,526,26,718,77,61,27,3,41,39,6,24,72,10,69,617,21,945,20,24,10,0,14,8,3,9,24,0,18,378,15,493,12,3,6,0,3,0,0,4,4,0,11,162,8,196,0,0,0,0,0,0,0,0,0,0,0,45,0,47,16,23,4,0,23,10,9,5,6,3,16,514,22,628,3,7,0,0,0,0,3,0,0,0,8,203,9,231,5,9,0,0,11,6,0,0,0,4,8,196,0,233,13,4,11,0,7,5,0,4,12,0,24,198,8,263,9,16,0,6,11,3,0,0,9,0,21,260,12,340,203,172,80,14,145,98,29,53,158,18,198,3103,131,4087,16,31,11,3,41,22,17,8,15,9,22,291,4647,5067,1136,1640,467,116,1486,827,342,340,1436,153,1517,21963,6699,35352,623,940,236,12
SED53004,2296,2525,875,181,1052,1042,190,385,2497,191,2320,17122,1028,27406,127,97,40,4,53,65,5,22,81,10,77,717,44,1153,813,374,276,78,320,342,45,152,445,58,524,2989,183,5422,124,63,48,15,42,60,3,18,72,16,95,833,43,1270,136,35,33,14,100,74,8,6,50,12,87,484,21,849,9,12,7,0,18,9,0,0,18,0,8,240,0,308,84,45,22,11,85,47,8,9,40,12,95,730,16,1070,18,11,14,0,20,12,6,0,11,0,33,428,10,530,55,30,23,3,64,41,10,15,27,0,37,363,21,576,48,38,13,0,20,10,3,3,50,4,40,301,13,475,92,101,49,5,59,59,14,19,111,3,126,1026,27,1512,1502,817,523,141,774,714,97,252,899,117,1118,8106,390,13168,30,14,6,6,19,25,6,10,21,7,18,112,941,1133,3834,3353,1405,324,1851,1784,290,651,3417,313,3455,25344,2355,41711,1212,1894,456,7
SED53105,1859,3040,576,100,1162,723,206,427,3542,160,2409,19326,2256,31112,139,215,41,3,116,62,19,41,160,17,132,1352,107,2097,697,337,196,85,361,304,81,176,472,90,490,1919,159,3954,78,46,22,15,47,61,8,36,61,11,65,347,23,622,102,32,29,10,87,54,16,24,52,16,88,496,42,842,15,17,5,0,11,3,4,0,15,4,27,321,31,428,76,124,29,3,170,53,16,9,68,9,226,2599,89,3300,7,17,4,0,15,6,6,0,11,3,48,705,19,832,60,36,15,8,127,38,6,6,38,7,89,1711,53,2084,46,40,16,0,27,17,4,0,37,0,53,367,19,557,76,88,30,7,86,40,10,14,96,7,96,1185,61,1648,1302,955,389,127,1048,638,167,312,1007,161,1308,10997,612,16355,41,15,16,9,26,21,3,12,28,6,5,142,1998,2236,3204,4008,980,237,2230,1381,378,748,4574,322,3730,30463,4860,49705,1164,2024,351,7
SED53204,1367,2366,535,68,781,642,149,267,2193,122,1958,19885,1030,28340,84,102,27,0,48,46,3,19,77,5,67,785,46,1179,454,240,161,39,218,207,38,78,332,52,306,2088,98,3565,68,41,18,6,30,30,4,5,51,9,63,476,18,700,222,71,76,18,186,127,20,34,119,27,173,1306,59,2041,48,58,9,4,50,21,3,5,31,9,61,730,38,990,144,180,62,17,273,88,28,27,123,27,296,2830,100,3833,21,11,3,0,33,11,3,0,12,3,33,545,17,659,105,62,21,15,192,97,14,23,50,13,149,2095,78,2690,28,30,17,0,29,13,3,3,35,5,44,297,14,451,97,104,40,13,145,66,20,14,107,17,167,2184,73,2850,1273,893,439,119,1196,699,138,213,938,158,1360,13344,531,18956,33,14,7,3,12,5,0,0,15,3,13,106,1128,1300,2667,3279,990,197,1988,1345,293,477,3144,287,3328,33343,2692,48598,1029,1830,401,0
