SED_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED52803,13059,11692,24751,890,861,1747,123,84,204,97,81,182,162,119,290,61,42,104,1766,1596,3356,22,20,46,30,28,58,3,0,7,4,0,4,2270,1972,4239,158,130,293,92,51,140,3410,3016,6427,3234,1990,5227,19712,16696,36408
SED52903,11611,11894,23503,1016,1203,2222,99,120,223,104,137,235,149,182,331,28,32,61,1036,1257,2293,10,16,26,95,105,198,4,3,10,0,0,3,1528,1853,3383,95,89,179,71,63,135,2705,3217,5919,2857,2588,5447,17172,17698,34869
SED53004,17678,18496,36179,245,253,501,33,48,78,50,50,106,33,44,73,3,3,6,1401,1518,2921,5,0,5,0,10,9,0,0,3,0,0,0,1531,1670,3197,92,96,182,27,21,49,1888,2040,3933,650,516,1169,20220,21053,41274
SED53105,19406,19635,39040,471,535,1010,56,55,118,59,54,109,47,36,82,20,19,32,2220,2388,4600,19,19,35,20,28,46,9,5,13,0,0,0,2440,2604,5042,130,130,263,67,47,108,3110,3324,6426,2495,999,3494,25008,23959,48966
SED53204,20517,21309,41831,344,367,715,37,42,78,35,48,86,32,25,57,12,17,29,1668,1792,3462,6,5,16,13,8,24,0,0,0,5,0,4,1812,1940,3748,116,133,251,42,27,72,2318,2468,4788,760,543,1307,23598,24319,47922
SED53306,16895,18810,35708,621,736,1356,79,69,152,60,62,126,83,91,173,24,24,47,2041,2394,4438,22,16,34,20,23,53,4,8,12,4,3,11,2341,2694,5035,100,115,215,90,110,198,3149,3660,6808,1653,1497,3149,21702,23962,45668
SED53402,16964,17446,34408,489,528,1017,57,68,124,88,80,170,55,44,105,22,19,45,2213,2345,4560,8,10,17,11,11,23,0,3,8,0,0,0,2450,2599,5047,139,161,301,50,63,118,3130,3347,6478,1060,935,2003,21156,21734,42890
SED53502,18423,18871,37299,358,403,764,44,53,92,39,45,84,52,48,101,14,18,32,2273,2468,4740,6,10,16,16,13,31,0,0,0,0,0,0,2441,2663,5101,137,127,261,74,66,138,3011,3253,6267,1500,1260,2765,22942,23394,46333
SED53602,19617,19783,39406,381,360,740,47,35,74,72,42,116,23,34,59,5,9,18,1821,1803,3622,7,4,18,16,8,22,0,3,0,0,5,5,1988,1947,3934,171,172,349,58,40,100,2608,2519,5122,1563,1436,2998,23788,23744,47530
SED53701,14916,13986,28904,649,664,1312,29,25,58,28,33,66,56,56,114,27,25,55,1359,1340,2700,7,8,16,20,18,35,0,0,0,0,0,0,1520,1516,3040,89,84,173,29,38,62,2291,2300,4591,2518,1982,4500,19727,18263,37992
SED53802,18330,18976,37300,423,462,885,49,47,101,59,44,107,33,44,80,12,10,25,1982,1987,3966,8,4,11,13,11,22,4,3,9,0,0,0,2153,2168,4324,138,134,269,56,45,102,2775,2805,5581,1049,939,1995,22153,22723,44874
SED53902,16043,17599,33640,384,452,834,67,81,143,112,120,233,68,60,128,21,16,36,2169,2320,4493,14,7,17,13,12,27,6,13,25,0,0,0,2466,2632,5099,182,199,380,52,33,78,3085,3310,6394,989,907,1892,20115,21812,41928
SED54006,17197,17225,34425,719,781,1501,43,37,79,41,40,76,31,44,74,16,20,39,1681,1823,3508,15,19,31,17,17,33,0,3,4,0,0,0,1845,2002,3847,76,93,170,57,47,100,2705,2917,5622,1632,1309,2941,21540,21456,42991
SED54104,17190,18191,35385,882,953,1834,128,152,281,165,187,356,86,96,182,34,39,67,2444,2781,5225,12,14,28,20,18,37,13,20,33,0,0,0,2904,3305,6206,463,452,915,27,30,57,4282,4732,9016,985,926,1910,22455,23849,46307
SED54203,7818,6601,14426,589,556,1149,55,46,103,44,52,93,101,89,189,32,37,67,1128,988,2117,12,6,18,48,33,73,6,0,6,0,0,0,1419,1260,2675,75,52,126,34,33,69,2120,1904,4022,2492,1644,4134,12427,10155,22581
SED54304,18722,17991,36711,870,866,1734,266,205,475,284,257,538,234,203,440,75,57,132,3759,3856,7612,20,19,43,30,37,70,21,12,27,0,0,0,4683,4651,9338,564,553,1123,109,83,194,6234,6152,12388,2365,1626,3985,27313,25770,53088
SED54403,15649,12877,28535,1908,1935,3841,155,107,265,147,116,267,291,233,523,75,49,120,2197,1958,4153,18,21,39,57,47,103,11,5,14,0,6,3,2950,2536,5492,163,148,309,86,67,149,5107,4687,9797,5327,3079,8409,26085,20652,46735
SED54505,18948,19914,38865,492,573,1066,60,63,119,70,62,132,31,24,63,24,20,43,1799,1797,3591,9,4,12,6,5,8,10,10,20,0,4,4,2015,1993,4004,241,249,491,32,30,62,2777,2841,5621,608,529,1137,22335,23292,45628
SED54605,15723,16169,31893,422,436,857,113,90,208,147,103,248,84,76,158,25,33,58,1740,1874,3607,9,15,27,30,24,53,5,16,19,0,0,0,2157,2231,4388,125,118,245,75,65,142,2776,2859,5631,1747,1223,2977,20249,20253,40498
SED54701,14415,13879,28296,1068,1099,2168,25,21,48,51,43,94,61,45,106,29,16,49,1049,1097,2143,12,8,21,7,17,26,4,0,4,0,0,0,1235,1249,2478,117,67,182,43,33,82,2460,2452,4910,2129,1898,4031,19005,18230,37233
SED54804,16749,18283,35031,572,714,1282,115,127,239,137,138,277,101,126,223,19,16,35,2274,2624,4903,12,8,22,17,21,36,18,14,33,0,0,3,2693,3080,5771,246,262,507,60,54,117,3572,4105,7676,1307,1170,2472,21626,23558,45182
SED54905,16422,17197,33616,569,591,1159,82,79,160,106,117,227,80,75,149,20,21,42,2315,2467,4782,14,15,25,17,17,37,11,17,26,0,4,4,2646,2811,5455,259,243,504,78,78,157,3549,3721,7277,975,960,1933,20943,21880,42822
SED55005,21274,21905,43177,450,441,896,59,58,117,60,59,125,39,36,72,26,27,51,1852,1973,3830,3,4,6,14,11,25,6,8,12,8,8,15,2070,2177,4256,194,206,398,35,29,70,2755,2861,5617,973,818,1792,24999,25588,50590
SED55102,19368,19772,39138,447,480,928,58,55,111,86,62,149,55,58,112,18,14,26,1959,2109,4070,11,12,22,10,9,19,7,13,18,0,0,0,2207,2335,4537,110,119,229,57,34,89,2821,2968,5790,3164,992,4160,25351,23724,49079
SED55202,19569,20017,39592,433,451,888,56,37,89,58,33,93,46,45,90,20,22,37,1890,1965,3850,7,10,14,16,13,35,4,3,9,0,0,0,2095,2126,4222,130,185,318,51,40,89,2707,2807,5508,1485,1346,2828,23760,24171,47925
SED55306,16619,17623,34238,1122,1223,2345,61,68,134,77,72,149,53,58,111,19,13,30,1737,1912,3647,11,16,30,13,18,25,0,0,0,0,0,0,1973,2163,4130,112,124,243,63,41,101,3264,3552,6813,1506,1344,2855,21390,22517,43911
SED55405,17624,17509,35133,787,677,1468,126,88,212,177,130,306,84,74,162,28,21,51,3438,3206,6648,14,12,21,17,20,36,14,11,30,0,0,3,3903,3564,7469,325,293,612,94,56,146,5103,4591,9697,1677,1534,3212,24412,23634,48040
SED55504,20172,21090,41267,448,523,969,45,51,99,40,42,85,31,53,87,8,4,15,1983,2106,4088,6,5,14,11,12,25,4,4,9,0,0,0,2143,2281,4421,118,112,232,50,45,93,2760,2962,5723,1053,797,1849,23980,24851,48835
SED55605,19645,20197,39835,660,741,1400,107,111,217,101,78,180,82,92,177,34,20,52,1925,2113,4039,13,28,42,24,17,39,13,5,21,0,0,0,2291,2470,4763,127,129,258,53,52,107,3137,3392,6527,1347,904,2258,24123,24489,48620
SED55706,16568,16689,33256,1081,1146,2224,53,55,112,63,66,133,44,38,84,19,22,37,1386,1534,2921,17,16,39,13,23,39,0,0,0,3,0,8,1605,1755,3360,148,90,238,47,65,109,2880,3054,5933,2079,1771,3855,21526,21509,43041
SED55802,21494,21986,43477,451,483,934,53,49,99,62,75,144,64,58,120,25,23,43,2230,2393,4616,7,3,17,17,18,34,7,3,12,0,4,4,2466,2624,5090,149,179,327,72,62,132,3138,3350,6484,1088,1076,2169,25717,26410,52128
SED55905,15815,16960,32771,288,318,604,36,38,74,63,57,120,39,45,87,11,9,18,1816,2062,3870,7,8,17,5,10,18,0,3,12,0,0,0,1985,2232,4215,104,113,215,61,74,132,2433,2740,5171,1062,1026,2093,19312,20723,40030
SED59494,650,443,1089,269,221,487,144,127,273,133,121,259,180,191,365,40,42,86,775,793,1565,27,17,42,30,25,58,3,12,8,0,0,0,1335,1324,2661,99,96,192,43,20,61,1743,1662,3403,2228,1281,3513,4620,3386,8005
SED59797,200,24,229,0,0,0,7,0,3,0,0,0,6,3,10,0,0,0,31,4,39,0,0,0,3,0,3,0,0,0,0,0,0,46,9,55,10,0,14,0,0,0,55,10,71,200,19,216,455,58,514
