SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED51104,18553,50654,760,1198,136,216,902,1421,50,72,3,9,0,0,0,0,11,34,67,120,0,0,5,3,0,0,0,0,4,3,15,28,19534,52222,1656,..,21188,52222
SED51205,14784,40280,2904,6406,539,1171,3444,7571,436,860,191,333,122,247,102,158,32,68,881,1664,16,27,0,0,0,0,15,50,34,78,41,83,19183,49674,1765,..,20949,49674
SED51304,12791,36397,1187,2210,507,1107,1697,3312,257,327,32,52,110,173,0,0,14,31,418,583,0,0,0,0,0,0,0,0,0,0,5,21,14907,40315,932,..,15840,40315
SED51401,13125,29979,401,609,21,43,420,650,44,60,0,0,0,0,0,0,8,8,53,71,57,92,26,43,8,7,27,39,117,184,88,184,13803,31064,3567,..,17365,31064
SED51504,10565,30592,1623,3272,1255,2786,2880,6061,1152,2109,1152,2160,334,510,171,298,18,26,2823,5107,0,3,0,0,0,0,4,3,5,10,8,11,16280,41780,1288,..,17563,41780
SED51605,14493,41590,854,1537,165,313,1012,1848,282,416,351,545,461,748,160,232,11,24,1270,1958,4,4,200,294,0,0,3,3,200,300,12,22,16987,45716,1047,..,18032,45716
SED51706,15139,38427,693,1125,9,26,704,1147,168,244,0,0,0,0,0,0,4,10,172,255,89,134,70,103,20,31,7,20,178,288,33,63,16223,40185,1784,..,18010,40185
SED51804,10019,28371,1300,2643,1546,3081,2846,5720,716,1094,1046,1476,1688,2831,291,463,6,17,3743,5881,0,0,0,0,0,0,7,15,7,15,12,15,16627,40005,2194,..,18819,40005
SED51902,15285,43824,165,289,0,3,163,290,15,20,0,0,0,0,0,0,28,59,47,83,7,13,91,146,3,11,15,28,116,198,26,62,15639,44458,979,..,16622,44458
SED52006,14918,35901,944,1408,412,741,1353,2151,34,55,57,108,57,101,63,111,10,17,215,392,43,63,67,88,7,13,0,0,126,172,0,0,16613,38614,4143,..,20753,38614
SED52102,14327,38017,627,1091,44,90,667,1180,17,32,0,0,0,0,0,0,20,44,45,77,126,190,94,136,10,18,34,87,265,434,13,26,15311,39728,972,..,16287,39728
SED52205,11610,28468,2518,4500,1323,2526,3842,7022,456,645,668,1016,1132,1723,184,296,55,119,2498,3795,11,14,132,195,0,9,23,50,160,263,42,76,18157,39623,2108,..,20267,39623
SED52301,12206,30816,1225,1953,295,591,1516,2542,198,315,15,14,0,3,0,0,12,15,227,343,85,118,28,45,19,31,14,28,152,227,65,109,14158,34037,2013,..,16168,34037
SED52404,14009,37384,1049,1871,205,382,1251,2254,84,123,11,20,3,0,0,0,30,63,130,214,0,0,6,7,0,0,0,0,6,7,6,11,15406,39872,930,..,16343,39872
SED52505,17221,52310,627,1442,88,208,718,1653,35,63,0,0,0,0,0,0,20,39,54,103,0,3,0,0,0,0,0,13,4,12,8,33,18011,54119,860,..,18870,54119
SED52604,12615,34418,629,1103,652,1389,1277,2495,68,122,335,539,469,780,0,0,22,46,895,1486,4,5,0,0,0,0,16,42,20,53,8,20,14822,38465,956,..,15780,38465
SED52702,13414,35812,474,669,41,67,515,737,42,65,0,0,0,0,0,0,32,53,69,122,10,22,0,5,4,21,38,96,59,139,20,43,14078,36851,958,..,15037,36851
SED52803,9798,25897,1462,2688,229,472,1688,3160,167,275,0,0,0,0,0,0,4,7,170,283,76,115,106,160,0,3,28,45,210,320,73,140,11942,29801,2713,..,14652,29801
SED52903,7820,24748,876,1827,273,523,1147,2346,253,552,0,0,0,0,0,0,3,6,253,562,477,915,16,30,50,128,84,226,623,1303,242,472,10089,29429,2054,..,12143,29429
SED53004,13720,36902,1356,2410,134,212,1488,2622,21,29,0,0,0,0,0,0,17,32,36,58,83,112,4,9,0,0,4,10,89,128,5,8,15344,39722,741,..,16080,39722
SED53105,15394,42843,788,1490,267,508,1051,1995,298,414,130,224,0,0,0,0,16,34,444,674,3,9,0,0,3,8,4,3,9,16,10,22,16908,45548,1274,..,18187,45548
SED53204,14546,44416,997,2042,114,248,1108,2291,0,0,0,0,0,0,0,0,4,10,4,10,9,21,0,0,33,51,0,0,40,66,13,18,15710,46802,614,..,16323,46802
SED53306,14136,35408,2505,3860,646,1054,3153,4912,387,553,134,250,145,262,94,180,26,43,791,1288,18,31,61,78,0,5,7,7,86,118,28,51,18190,41779,2955,..,21149,41779
SED53402,11206,28161,2013,3701,2029,3827,4044,7524,1579,2443,782,1168,469,638,269,437,9,16,3106,4700,0,4,0,0,0,0,5,9,10,12,23,40,18385,40431,2410,..,20789,40431
SED53502,14481,37224,2179,3756,458,774,2638,4531,241,365,223,328,100,165,53,73,12,34,634,967,48,75,119,162,0,5,22,44,198,286,30,80,17976,43087,1700,..,19676,43087
SED53602,13405,38143,2733,5498,414,838,3145,6337,261,395,0,0,17,20,0,0,20,50,300,465,0,0,0,0,0,0,0,0,0,0,13,23,16851,44964,1318,..,18170,44964
SED53701,12933,30578,310,530,78,155,388,688,90,132,0,0,0,0,0,3,3,4,95,141,117,188,69,101,47,83,32,69,258,434,113,188,13791,32021,5920,..,19709,32021
SED53802,12931,33462,4098,8504,566,1126,4659,9631,84,118,0,0,0,0,0,0,4,8,92,124,0,0,0,0,0,0,4,4,4,4,16,31,17698,43256,1273,..,18974,43256
SED53902,9445,24221,3916,7282,1444,3116,5356,10399,1954,3043,491,713,424,601,94,141,6,6,2964,4507,0,0,0,0,0,0,12,29,16,30,9,16,17793,39179,1695,..,19490,39179
SED54006,14743,37626,548,855,40,73,586,930,14,16,0,0,0,0,0,0,8,27,19,45,260,362,41,69,20,42,18,24,332,500,35,66,15716,39163,2743,..,18459,39163
SED54104,9203,25716,919,1815,1869,3822,2785,5637,1403,2404,1791,2779,2335,3821,694,1183,9,28,6231,10216,0,0,0,0,0,0,12,12,12,19,25,49,18247,41636,2336,..,20589,41636
SED54203,5146,13787,399,699,65,110,469,810,154,219,7,3,0,0,0,0,0,9,162,227,428,887,36,70,30,58,24,76,514,1086,156,344,6449,16258,2491,..,8942,16258
SED54304,6705,17323,1343,2650,2181,4499,3526,7148,1054,1674,2614,4313,4464,7459,4822,8476,8,13,12967,21937,0,0,0,0,0,0,51,94,51,94,51,77,23301,46572,4688,..,27992,46572
SED54403,9821,29372,1421,3027,416,918,1837,3946,400,604,168,260,114,195,137,198,0,0,817,1264,121,239,36,58,15,25,23,73,201,399,98,191,12771,35164,4318,..,17086,35164
SED54505,13290,39499,1270,2801,105,306,1377,3105,569,1176,0,0,207,305,0,6,20,55,795,1542,0,0,0,0,0,0,0,8,0,8,8,12,15478,44173,929,..,16399,44173
SED54605,13337,31612,1255,1766,429,693,1685,2458,1014,1456,148,227,275,426,27,49,15,31,1481,2184,111,149,70,93,0,0,0,7,180,252,16,16,16698,36523,2197,..,18898,36523
SED54701,12604,29996,762,1160,41,70,803,1235,117,146,4,14,0,0,0,0,4,3,130,163,98,140,20,36,18,26,27,51,156,254,122,269,13811,31911,3897,..,17697,31911
SED54804,9544,24735,4519,8306,2642,5559,7167,13866,840,1207,331,459,487,806,159,291,3,10,1823,2762,40,69,7,10,6,3,0,0,52,90,16,28,18603,41486,2125,..,20728,41486
SED54905,8646,23172,2725,4904,3461,6693,6183,11590,879,1503,781,1188,582,999,529,865,9,9,2777,4562,0,0,0,0,0,0,3,6,3,6,20,37,17632,39369,2400,..,20031,39369
SED55005,15578,47099,686,1510,36,86,729,1597,40,86,18,24,0,0,0,0,16,32,67,148,0,0,0,0,0,0,11,17,8,17,8,20,16389,48876,767,..,17159,48876
SED55102,15200,43312,351,785,89,178,442,960,39,62,0,0,0,0,0,0,32,54,69,119,10,14,0,0,4,9,4,8,15,31,19,41,15736,44466,1221,..,16956,44466
SED55202,14701,40621,1974,3522,226,398,2196,3915,379,717,97,163,0,0,0,0,24,50,500,932,0,0,0,0,0,0,22,31,20,33,13,21,17430,45519,1247,..,18680,45519
SED55306,14357,35954,1193,1954,205,412,1394,2368,31,52,0,0,18,25,0,0,26,61,79,148,91,155,170,244,20,30,14,49,298,478,44,92,16174,39041,5480,..,21652,39041
SED55405,11348,28143,3759,7901,1618,3471,5375,11371,1011,1738,709,1164,966,1479,116,208,4,15,2811,4609,0,0,0,0,0,0,3,4,3,4,27,50,19568,44180,2125,..,21692,44180
SED55504,15796,44986,920,1557,50,99,966,1653,0,4,37,51,0,0,0,0,33,78,67,127,100,120,18,18,0,4,13,32,132,183,5,10,16967,46964,959,..,17932,46964
SED55605,15860,44673,488,792,52,93,537,883,8,14,0,0,0,0,0,0,15,46,22,65,4,3,0,0,0,0,0,0,4,3,28,73,16452,45700,1304,..,17757,45700
SED55706,15226,35487,622,1005,105,188,729,1197,86,124,0,0,0,0,0,0,8,16,100,147,76,129,54,120,15,29,12,29,157,300,86,166,16300,37300,5414,..,21715,37300
SED55802,16235,47447,956,1824,227,443,1183,2273,12,24,110,185,0,0,0,0,20,43,142,253,7,12,24,26,0,0,0,0,26,40,22,37,17602,50046,891,..,18490,50046
SED55905,12812,32565,1882,3158,202,371,2088,3536,390,617,324,494,0,0,0,0,34,77,752,1187,0,0,0,3,0,0,0,0,0,3,21,25,15669,37310,1250,..,16926,37310
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,13,3,15,0,..,3,15
