SED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SED51104,0,0,5,14,10,4,0,0,0,34,2168,3737,2009,3857,1313,810,620,330,143,14979,0,0,0,9,3,0,4,0,0,16,0,0,0,3,0,0,0,0,0,8,0,0,0,47,9,0,0,0,0,59,0,0,0,0,3,0,0,0,0,11,3,0,3,18,11,11,6,0,0,50,0,0,6,5,3,4,0,5,0,16,0,0,0,24,5,7,0,0,0,47,0,0,0,7,3,4,10,0,0,28,0,5,8,13,0,6,6,0,5,47,10,252,593,1170,939,741,432,346,99,4582,0,0,0,5,0,0,5,0,0,10,0,0,3,11,3,3,0,6,0,24,0,0,8,24,25,12,20,14,6,105,0,0,0,0,0,3,4,3,0,15,0,0,0,14,0,0,3,0,0,15,0,14,15,169,24,10,13,18,3,272,5,9,8,8,9,0,0,0,0,36,0,0,5,10,4,4,3,0,0,31
SED51205,4,13,32,105,15,9,6,0,0,187,1795,2238,1693,2915,1075,956,795,323,91,11876,0,6,6,68,26,6,4,0,0,125,0,0,0,9,0,4,0,0,0,11,0,0,4,20,0,0,0,0,0,29,0,9,8,8,4,6,3,0,0,40,0,7,0,3,7,8,0,0,0,26,0,0,0,9,7,12,3,0,0,29,11,23,106,474,145,95,59,11,11,935,0,0,0,0,6,0,8,9,0,30,0,8,9,15,3,0,0,5,4,34,0,25,40,179,147,246,221,176,66,1099,0,0,0,0,0,0,0,0,0,8,0,0,0,16,3,4,0,0,0,20,0,0,0,12,12,7,15,14,5,58,0,0,0,0,0,0,0,0,0,0,0,0,42,105,7,24,15,5,0,197,21,104,366,1623,186,101,69,42,13,2517,9,33,70,250,79,31,36,5,0,515,0,6,12,49,15,8,7,3,0,102
SED51304,0,0,0,0,0,0,0,0,0,0,1150,2784,1922,2652,1773,1345,1530,770,180,14105,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,4,0,0,0,10,0,0,0,18,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,3,3,25,18,12,6,3,3,71,0,0,0,4,0,0,0,0,0,10,0,9,4,49,12,15,11,4,0,109,0,0,0,3,0,3,12,4,0,34,0,0,0,3,0,4,5,5,0,18,5,130,155,327,407,389,338,228,54,2034,0,0,0,0,0,3,0,0,0,0,0,0,0,17,4,3,0,0,0,28,0,0,0,23,21,14,30,19,6,116,0,0,0,0,5,4,9,8,6,31,0,5,6,10,3,4,8,0,0,29,0,10,3,49,32,26,22,17,4,162,0,6,0,10,0,7,4,5,0,27,0,5,0,27,6,5,0,0,0,50
SED51401,0,0,0,13,0,0,0,0,0,15,893,1966,1489,2929,1760,2094,1926,900,263,14230,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,9,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,8,0,0,0,0,0,0,0,4,0,6,0,0,0,4,0,0,0,7,0,11,0,3,13,70,103,247,238,143,29,852,0,0,0,10,0,0,0,0,0,12,0,0,4,10,6,4,0,0,0,24,0,0,0,0,3,11,31,11,5,66,0,0,0,0,0,0,4,0,0,7,0,0,0,4,0,0,0,0,0,5,0,0,0,56,7,10,7,4,4,93,0,0,0,6,0,0,0,0,0,9,0,0,4,26,0,0,0,0,0,31
SED51504,0,0,0,0,0,0,0,0,0,6,1094,2776,2181,2781,1750,1406,940,609,293,13829,0,0,0,11,3,0,0,0,0,12,0,0,0,4,3,5,3,0,0,15,0,0,4,41,0,3,0,0,0,60,0,0,4,0,0,0,0,0,0,3,0,12,15,25,22,21,4,8,0,119,3,0,0,10,0,4,3,0,0,24,0,37,31,155,58,26,34,10,7,361,0,0,0,0,4,8,3,7,0,30,0,3,3,3,3,7,0,5,3,33,6,88,108,288,288,288,201,129,49,1450,0,0,0,0,0,0,5,0,0,3,0,5,5,23,12,3,7,0,0,67,0,4,5,15,19,15,16,13,0,89,0,0,0,0,0,3,11,4,5,26,0,17,8,21,24,7,18,5,0,99,5,37,36,275,68,37,31,20,5,511,0,7,12,21,5,3,0,3,3,53,0,4,0,25,14,8,0,6,6,62
SED51605,0,0,0,8,3,0,0,0,0,9,1623,2957,2309,4100,1867,1167,663,255,75,15015,0,3,0,9,10,0,3,0,0,23,0,0,0,27,9,20,7,8,0,72,0,0,4,24,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,4,3,18,12,3,0,4,0,41,0,0,0,8,8,3,3,0,0,14,0,18,45,167,81,35,30,6,0,388,0,0,4,42,23,35,59,38,11,213,0,0,0,8,0,4,3,0,0,17,0,51,92,397,283,344,167,103,24,1476,0,0,0,4,0,3,0,0,0,13,0,0,0,20,7,3,3,0,0,34,0,4,0,21,13,15,13,4,0,70,0,0,0,0,0,3,0,0,0,7,3,0,13,28,5,4,5,0,0,62,3,18,39,249,71,40,21,11,5,460,0,0,11,56,27,16,6,7,0,124,0,5,9,46,10,9,4,0,0,77
SED51706,0,0,0,6,0,3,0,0,0,9,1314,2876,2048,3884,2012,2121,1867,799,203,17129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,5,0,0,20,0,0,0,0,3,0,0,0,0,7,0,0,0,16,3,0,0,0,0,26,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,15,33,143,162,272,282,189,39,1135,0,0,0,4,6,0,0,0,0,11,0,7,0,7,0,0,5,0,0,23,0,0,0,3,5,14,33,15,0,72,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,0,0,0,10,0,0,7,67,14,16,3,3,0,111,0,7,4,4,0,0,0,6,0,19,0,4,0,8,0,0,0,0,0,11
SED51804,0,0,0,0,0,0,0,0,0,0,897,2230,2205,2746,1745,1591,1398,994,336,14136,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,6,0,0,0,11,0,3,0,31,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,4,0,5,10,26,22,20,14,0,0,103,0,6,0,16,7,0,4,0,0,28,0,29,37,70,41,28,14,12,4,235,0,0,3,0,0,7,7,3,0,24,0,0,0,3,4,0,3,0,4,15,11,100,143,305,312,376,306,207,81,1851,0,0,0,0,0,0,0,0,0,7,0,5,16,49,9,7,5,0,0,92,0,0,3,26,22,11,22,21,3,107,0,0,0,0,0,4,0,0,4,16,0,22,20,22,16,7,0,7,0,94,0,12,9,42,35,23,22,13,3,165,0,0,5,14,4,8,8,0,4,43,0,0,7,11,13,10,8,3,0,51
SED51902,0,0,0,12,0,0,0,0,0,22,1723,3419,2280,4370,1916,1437,1021,377,99,16647,0,0,0,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,10,12,13,10,7,0,0,62,0,0,0,5,0,4,3,0,0,11,0,0,0,7,0,3,0,0,0,15,0,0,0,7,0,0,3,4,5,18,0,0,0,0,0,0,0,0,0,5,0,33,90,316,425,659,430,285,61,2303,0,0,5,12,6,0,3,0,0,23,0,0,5,9,6,5,5,0,0,34,0,0,3,0,13,9,21,15,4,67,0,0,0,0,0,0,0,0,0,6,0,0,5,4,0,4,0,0,0,12,6,23,17,257,44,28,20,12,0,396,0,3,5,17,0,0,0,0,0,23,0,0,0,11,0,3,6,0,0,16
SED52006,0,0,0,0,0,0,0,0,0,0,954,2103,1632,2686,1508,1673,2039,1127,286,14006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,3,0,6,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,4,7,8,7,9,4,3,45,0,0,0,0,0,0,0,0,0,7,0,0,0,3,11,3,0,0,0,18,0,0,0,0,5,0,9,5,0,15,0,0,0,0,0,0,6,4,0,13,0,91,178,258,362,543,568,431,98,2528,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,3,0,4,0,17,0,0,3,7,8,3,35,24,3,83,0,0,0,0,0,3,0,3,0,11,0,0,3,6,4,4,3,0,0,12,0,4,0,39,11,14,9,15,3,100,5,9,3,8,4,5,5,0,0,35,0,4,6,9,4,0,0,0,0,17
SED52102,0,8,40,117,32,11,3,0,0,216,1450,2528,1904,3550,1606,1385,1021,396,118,13969,0,3,7,28,20,4,0,0,0,69,0,0,0,5,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,10,0,0,0,6,8,7,7,5,0,24,0,4,5,6,0,5,0,0,0,25,0,0,6,7,4,3,0,0,0,23,0,11,10,92,16,15,13,3,0,151,0,0,0,0,4,4,3,0,0,9,0,0,0,5,0,0,3,3,0,9,0,20,46,186,182,307,220,203,71,1240,0,0,6,0,0,0,0,0,0,8,0,0,5,6,0,9,4,0,0,25,0,0,4,11,6,11,22,15,8,70,0,0,0,5,0,0,0,0,0,6,0,0,0,16,3,3,4,0,0,30,3,63,63,399,90,48,40,25,7,730,5,10,20,44,17,6,3,0,0,107,0,0,5,13,4,0,0,0,0,26
SED52205,0,0,0,0,0,0,0,0,0,5,1156,1745,1706,3847,1777,1493,1087,451,119,13393,0,0,0,0,0,0,0,0,0,7,0,0,0,21,9,7,15,10,0,60,0,0,0,17,3,9,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,3,34,18,17,16,3,0,94,0,0,0,18,4,3,0,4,0,40,0,8,7,20,3,7,0,3,0,46,0,0,0,25,11,24,53,52,41,201,0,0,0,4,5,4,9,3,0,23,10,34,70,431,300,427,305,176,52,1784,0,0,0,0,5,0,0,0,0,5,0,9,9,83,21,10,8,0,0,132,0,8,13,70,33,23,29,15,0,190,0,0,0,0,0,0,0,0,4,7,0,0,5,18,5,3,0,0,0,36,5,0,6,55,16,19,24,5,5,132,3,5,3,9,4,4,0,0,0,37,0,0,7,14,4,5,0,0,0,34
