SED_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED51104,1086,1381,3271,3277,3044,1704,284,18,0,14069,644,271,1045,871,663,849,1538,1056,397,7339,81,90,235,178,167,99,84,93,66,1099,1812,1738,4553,4337,3875,2654,1908,1168,460,22506,339,1333,4015,4065,3992,2043,280,7,0,16074,1206,1024,1780,1924,1559,1035,319,37,0,8889,49,103,419,289,276,178,26,9,0,1349,38,54,175,116,70,50,8,6,0,514,1633,2520,6389,6386,5901,3313,628,52,0,26826,124,176,205,153,168,107,17,0,0,939,333,103,140,126,82,96,23,0,0,911,456,277,346,277,240,203,44,0,0,1851,2088,2803,6735,6667,6140,3513,672,54,0,28680,1438,478,1317,1075,947,1307,2712,1918,674,11860,182,184,510,492,460,269,146,160,92,2507,3716,3462,8561,8228,7549,5095,3526,2133,769,43040
SED51205,595,1480,3703,2822,2056,1579,379,29,0,12641,499,373,1059,938,618,966,1739,1037,410,7643,62,128,303,202,131,102,90,83,73,1168,1154,1979,5064,3968,2803,2648,2202,1149,476,21454,163,1197,4639,4169,2756,1887,371,23,0,15203,796,1589,2520,1799,1226,1031,437,53,3,9449,30,64,303,209,126,110,45,0,0,880,19,110,226,110,92,41,12,3,0,609,1005,2953,7687,6290,4195,3072,858,77,3,26148,48,123,267,183,159,132,24,0,0,931,193,140,161,113,71,73,21,4,0,770,248,259,428,293,223,198,38,3,0,1704,1248,3218,8119,6582,4419,3276,898,79,8,27847,1085,698,1500,1270,1008,1533,3100,1927,668,12791,137,264,687,499,312,234,170,158,116,2570,2470,4181,10309,8351,5744,5042,4161,2159,791,43207
SED51304,838,827,1374,2550,2598,1878,602,45,5,10718,386,88,204,401,345,776,2298,1339,488,6316,10,16,66,59,63,49,83,67,40,449,1235,932,1645,3008,3005,2706,2980,1444,532,17480,160,680,1690,3086,3518,2220,497,39,0,11893,1186,897,737,1558,1534,1332,798,108,3,8153,38,50,178,224,127,177,81,9,0,881,11,12,36,47,44,23,12,0,0,190,1396,1640,2643,4915,5223,3749,1387,160,7,21117,23,34,56,54,72,61,21,0,0,328,265,58,37,58,50,44,24,0,0,536,291,88,95,112,120,110,38,0,0,861,1686,1730,2740,5026,5343,3864,1428,160,7,21975,906,197,310,492,488,1167,4043,2593,785,10979,21,41,136,160,182,134,157,113,57,997,2614,1960,3186,5672,6014,5158,5630,2866,853,33955
SED51401,408,483,1173,1440,1764,1739,595,102,9,7709,339,125,428,362,422,853,1659,1044,441,5670,90,85,191,219,268,258,212,189,86,1604,839,696,1785,2022,2459,2855,2467,1341,531,14989,292,706,1681,1840,2324,2283,746,114,12,9994,428,269,615,854,922,1109,554,148,9,4901,29,39,169,108,154,227,126,13,3,874,29,28,56,57,62,42,43,25,14,349,778,1048,2523,2856,3454,3670,1462,299,43,16128,48,69,102,91,91,106,21,0,0,527,51,21,40,37,57,41,34,4,0,283,98,93,143,125,145,148,50,0,0,809,876,1136,2663,2986,3603,3822,1514,302,40,16932,725,242,687,648,749,1453,3279,2053,739,10586,189,190,434,480,604,636,490,361,147,3531,1789,1568,3784,4114,4958,5907,5284,2719,929,31051
SED51504,800,999,2274,2693,2757,1705,492,59,3,11781,561,105,278,504,519,738,1461,1228,775,6177,20,29,100,87,68,56,70,58,62,563,1380,1138,2652,3287,3344,2501,2017,1358,843,18517,109,669,2727,3406,3654,2223,406,38,3,13236,1182,1170,1287,1777,1593,1145,619,116,17,8909,62,68,186,159,115,166,52,13,0,824,10,29,72,52,38,29,13,4,0,243,1361,1930,4270,5394,5403,3567,1086,174,24,23208,15,39,82,73,97,66,12,3,0,386,206,63,48,67,52,45,24,0,0,504,218,102,131,139,150,111,34,4,0,889,1578,2037,4408,5530,5553,3673,1123,178,25,24096,1379,265,407,641,712,1129,2524,2187,1230,10467,44,52,218,215,148,127,130,111,90,1135,2997,2354,5032,6385,6408,4926,3777,2471,1345,35703
SED51605,982,1291,2913,3201,2904,1703,337,14,0,13346,471,187,538,675,558,776,1244,677,222,5346,38,60,140,125,114,80,64,70,34,723,1495,1534,3591,3993,3569,2565,1649,766,257,19417,317,1217,3898,4243,3989,2257,352,13,0,16286,1239,1078,1409,1869,1523,1079,376,41,0,8620,40,62,337,246,203,171,40,7,0,1109,23,40,94,78,58,47,5,0,0,348,1613,2390,5737,6439,5775,3557,775,56,0,26353,53,105,140,115,108,68,14,0,0,609,225,95,82,94,72,61,16,0,0,655,281,206,229,206,186,130,31,0,0,1267,1892,2601,5962,6647,5957,3685,810,58,0,27620,1073,358,716,849,783,1146,2243,1299,390,8854,75,135,317,318,270,181,129,116,62,1605,3044,3095,6997,7819,7014,5013,3183,1471,447,38083
SED51706,805,699,1770,2242,2364,1841,387,59,5,10172,409,181,627,485,508,1169,2041,1187,370,6984,60,44,139,124,132,160,151,138,100,1045,1275,929,2542,2850,3007,3161,2586,1382,476,18206,387,905,2331,2691,2933,2216,404,44,3,11914,880,445,1016,1424,1315,1250,500,81,5,6926,63,72,239,212,242,294,71,16,0,1207,28,45,77,73,64,55,16,12,11,371,1355,1467,3667,4401,4557,3818,990,153,12,20419,62,70,135,86,93,102,20,0,0,562,128,58,52,65,60,65,17,0,0,445,191,126,188,156,151,164,34,0,0,1009,1543,1594,3851,4553,4708,3982,1025,158,12,21428,922,282,751,643,738,1841,3923,2246,633,11971,145,105,301,323,333,367,334,247,171,2332,2605,1979,4907,5520,5783,6185,5282,2651,823,35729
SED51804,796,1071,1912,1980,2556,1823,667,133,6,10945,804,180,302,464,591,1021,1797,1554,796,7513,47,60,122,92,98,111,125,114,131,892,1648,1317,2333,2537,3244,2953,2582,1804,925,19345,81,636,2506,2506,3340,2302,604,88,3,12074,1129,1241,914,1174,1444,1382,971,250,20,8519,63,70,205,169,109,122,79,23,0,843,12,30,46,35,42,22,17,13,4,224,1293,1967,3678,3887,4938,3826,1673,376,27,21658,17,33,83,71,111,75,18,0,0,415,200,78,54,38,57,57,20,8,0,503,213,107,137,107,167,136,38,7,0,916,1502,2076,3815,3996,5108,3961,1711,388,27,22571,1664,367,462,590,828,1526,3008,2787,1283,12519,85,104,288,220,221,235,224,217,194,1791,3259,2549,4564,4805,6153,5715,4944,3392,1506,36885
SED51902,998,995,2536,2615,2559,1833,423,37,3,11995,491,198,704,621,524,870,1504,781,219,5913,36,54,138,136,118,110,63,49,22,732,1523,1245,3378,3374,3205,2818,1987,859,243,18637,427,1143,3231,3550,3499,2434,401,33,4,14724,1094,718,1289,1480,1365,1188,516,80,3,7737,51,78,317,234,226,218,70,7,0,1194,34,36,93,83,73,57,14,8,3,398,1606,1979,4932,5344,5164,3904,1003,120,9,24059,76,80,108,97,88,64,10,0,0,521,177,52,81,65,47,63,15,0,0,502,257,128,190,160,132,126,29,0,0,1017,1857,2114,5121,5503,5295,4031,1030,120,9,25080,1061,335,944,897,824,1340,2790,1579,411,10179,95,112,310,337,314,249,129,88,40,1673,3018,2557,6374,6734,6435,5619,3950,1795,464,36933
SED52006,740,749,1374,1762,2199,1833,382,39,0,9073,375,147,504,487,525,1273,3042,1855,531,8744,37,34,83,88,112,99,108,121,103,786,1159,937,1955,2341,2828,3210,3527,2015,637,18606,243,674,1603,2024,2595,2113,373,23,0,9643,905,620,809,1063,1213,1197,513,70,0,6379,59,63,169,172,221,293,72,13,0,1058,27,31,87,64,49,42,18,7,0,322,1222,1384,2669,3328,4076,3640,979,114,3,17412,62,80,128,109,122,114,20,4,0,632,185,57,68,61,66,97,29,4,0,570,248,136,199,172,183,208,53,5,0,1201,1470,1521,2865,3497,4263,3850,1032,117,8,18613,817,265,652,671,760,1984,5569,3668,959,15334,90,96,218,272,304,251,243,216,158,1854,2373,1877,3737,4435,5328,6082,6845,4001,1125,35800
SED52102,728,920,2144,2400,2090,1581,392,26,4,10282,427,173,625,604,465,833,1507,941,340,5916,55,62,161,138,120,104,71,73,41,826,1217,1154,2931,3140,2674,2515,1973,1035,376,17026,265,951,2879,3391,2972,2139,429,17,0,13050,814,755,1183,1370,1032,966,403,44,3,6579,35,59,243,178,153,160,43,6,3,888,23,66,102,77,84,50,11,3,0,419,1134,1836,4415,5024,4236,3311,894,67,9,20930,63,89,141,142,105,95,14,0,0,649,194,62,77,78,60,49,15,0,0,536,260,148,219,222,161,143,25,0,0,1188,1390,1985,4632,5243,4403,3458,917,71,9,22118,973,340,786,781,729,1253,2689,1717,592,9867,104,133,352,336,283,250,146,116,72,1801,2472,2466,5774,6361,5415,4961,3758,1912,667,33786
SED52205,588,1084,2748,2443,2387,2001,517,45,3,11820,355,179,441,507,487,876,1760,1145,592,6332,46,89,227,152,145,115,119,125,132,1143,982,1354,3421,3089,3018,2988,2403,1308,724,19299,141,771,3424,3041,3049,2116,432,31,0,13007,736,1027,1391,1529,1365,1405,622,91,8,8178,32,72,283,269,142,195,55,5,0,1043,20,30,84,62,49,38,5,0,0,296,929,1900,5181,4908,4600,3747,1117,125,9,22527,31,64,130,115,134,130,20,0,0,616,171,88,101,60,81,86,28,0,0,624,198,146,231,183,218,221,47,0,0,1243,1128,2046,5413,5089,4820,3970,1162,126,9,23763,753,341,676,761,834,1510,3197,2131,982,11189,92,172,521,400,393,302,234,224,197,2537,1968,2554,6608,6249,6049,5787,4598,2483,1186,37487
SED52301,763,753,1616,1821,2129,1616,411,33,9,9150,347,184,523,411,415,749,1439,965,389,5420,95,92,215,236,192,160,160,115,86,1349,1203,1031,2345,2470,2735,2523,2007,1115,481,15919,359,854,2052,2228,2583,1972,415,26,5,10490,898,496,930,1046,1113,1034,452,71,3,6042,37,58,211,146,188,204,71,6,0,927,22,24,68,49,62,41,9,11,7,286,1314,1426,3265,3473,3944,3253,943,115,14,17751,54,82,100,98,105,81,9,0,0,526,118,39,54,63,59,73,18,0,0,438,175,124,159,157,169,154,30,0,0,962,1491,1545,3423,3633,4114,3403,970,117,8,18708,764,324,747,651,719,1283,2651,1781,679,9592,222,183,459,512,460,390,302,222,143,2896,2478,2051,4630,4792,5294,5085,3919,2122,832,31196
SED52404,820,882,2092,2497,2391,1985,509,24,0,11200,412,123,340,424,397,845,1836,915,305,5602,28,19,72,60,63,74,52,47,35,448,1259,1026,2505,2983,2851,2901,2395,988,340,17253,225,839,2727,3208,3218,2261,408,15,0,12891,1043,829,1022,1502,1366,1409,642,63,3,7871,39,43,290,230,148,186,62,8,0,1006,13,26,53,65,25,21,14,0,0,225,1320,1736,4090,4995,4758,3875,1127,78,3,21983,32,63,93,87,105,107,9,0,0,496,224,54,49,64,50,48,27,0,0,519,260,116,138,153,157,157,43,6,0,1015,1582,1853,4228,5149,4913,4027,1163,84,5,23002,947,246,473,571,580,1278,3381,1760,512,9749,55,60,192,198,178,159,117,83,43,1084,2578,2153,4895,5923,5665,5461,4659,1927,564,33828
