SED_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED53602,90,109,195,230,256,490,0,0,4,0,0,0,90,46,137,8243,6246,14484,503,697,1197,135,0,135,51,4,52,38,8,44,188,61,253,71,55,129,9641,7477,17121,99,115,213,0,0,0,0,0,0,70,77,151,3,17,18,4,0,11,181,212,389,0,0,0,0,0,0,30,29,59,19,24,43,9,10,18,59,63,123,107,48,154,338,325,665,36,57,97,7,10,16,7,4,9,46,69,117,337,509,848,829,1078,1901,84,54,141,11281,9511,20790
SED53701,12,6,10,215,79,295,0,0,0,0,0,0,6,5,6,5263,4599,9863,356,361,722,228,10,236,32,10,35,46,24,67,317,87,406,559,425,987,7028,5605,12636,0,0,0,0,0,0,0,0,0,14,18,28,0,7,3,0,0,0,12,25,38,0,0,0,0,0,0,10,7,7,3,4,10,13,4,20,25,13,33,97,33,134,135,67,208,0,6,6,11,0,12,5,0,6,14,13,30,993,1148,2146,1049,941,1989,105,74,180,9333,7853,17184
SED53802,58,91,151,507,550,1055,0,4,0,0,0,0,49,60,102,8348,6869,15220,468,638,1109,109,10,117,72,3,75,81,19,95,201,61,254,65,69,136,9961,8366,18326,60,73,134,0,0,0,0,0,0,70,62,133,3,14,16,3,0,3,133,146,283,0,0,0,0,0,0,43,49,96,24,47,69,18,10,26,85,109,190,71,48,125,293,300,594,21,22,44,8,3,17,6,0,6,37,31,62,614,801,1414,932,1363,2291,48,34,81,11881,10890,22769
SED53902,92,104,198,950,855,1805,4,0,5,0,0,0,56,69,127,7129,6318,13450,378,628,1009,53,0,53,55,12,68,175,44,220,181,52,234,170,185,360,9255,8270,17525,81,112,194,0,0,0,0,0,0,18,22,40,7,4,8,8,3,15,119,143,257,0,0,0,0,0,0,30,29,55,28,33,64,17,14,33,73,80,152,88,50,141,282,272,551,29,26,50,15,10,20,3,0,8,42,36,82,936,1039,1981,934,1481,2423,40,35,75,11495,11134,22627
SED54006,22,25,53,276,75,349,5,0,4,0,0,0,16,4,18,6167,5832,11993,515,449,966,185,11,196,41,5,44,25,16,44,296,110,405,176,157,336,7716,6684,14399,8,0,8,0,0,0,0,0,0,27,27,53,0,0,0,0,0,0,32,33,62,0,0,0,0,0,0,43,8,51,8,10,18,20,3,22,69,21,89,110,41,153,204,91,304,17,14,28,14,3,14,7,0,6,36,20,54,527,696,1223,1454,1334,2787,81,46,120,10017,8872,18889
SED54104,436,373,806,1101,980,2074,0,0,0,3,0,3,68,85,155,5915,5424,11336,406,668,1069,17,0,17,77,17,92,477,200,679,132,58,193,830,859,1688,9461,8660,18122,121,143,263,0,0,0,0,0,0,11,19,35,9,12,21,13,11,26,157,184,343,0,0,0,0,0,0,29,24,55,21,29,51,38,19,50,88,74,159,89,62,145,332,318,649,23,27,52,17,14,27,9,5,15,46,45,92,1391,1491,2881,964,1518,2484,45,35,84,12243,12068,24311
SED54203,4,6,4,879,205,1085,4,0,7,0,0,0,8,6,15,2458,2084,4540,362,278,643,79,13,94,35,18,48,91,133,227,317,77,399,529,677,1207,4773,3504,8272,5,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,12,5,20,5,0,7,27,5,29,41,18,53,62,47,108,106,62,172,0,0,0,11,4,17,15,0,15,24,4,34,271,343,616,662,487,1151,86,62,149,5923,4466,10389
SED54304,345,328,674,2113,1978,4088,4,4,9,0,0,0,146,171,313,7336,6179,13516,494,806,1299,54,5,60,119,26,142,492,177,667,368,127,495,1912,1467,3375,13381,11259,24644,214,288,506,0,0,0,0,0,0,18,17,30,7,16,26,30,10,37,274,327,599,6,0,6,0,0,0,22,37,54,17,50,63,59,66,127,102,152,251,151,72,219,521,548,1075,48,59,104,35,16,57,10,6,19,94,79,173,1578,1390,2970,1467,1927,3395,88,54,141,17126,15265,32392
SED54403,12,9,20,1014,193,1208,3,0,9,0,0,0,52,29,81,8428,6428,14856,910,653,1557,168,3,173,115,21,138,102,42,148,605,185,794,450,564,1013,11873,8126,19999,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,43,29,68,8,10,17,49,10,56,103,44,143,181,58,240,290,103,395,6,4,4,34,9,39,16,4,19,48,13,64,147,407,558,1412,1141,2557,110,61,172,13881,9853,23732
SED54505,269,197,465,193,166,357,0,0,5,0,0,0,32,18,52,7117,6357,13473,329,567,896,57,0,56,29,0,30,125,27,158,164,28,192,72,102,179,8388,7476,15862,491,310,806,0,0,0,0,0,0,128,83,205,24,31,44,13,0,18,652,420,1072,0,0,0,0,0,0,12,8,25,17,40,56,9,4,12,42,49,94,80,62,146,780,533,1314,114,74,187,4,10,19,4,0,3,127,89,217,981,961,1941,876,1319,2190,41,30,72,11192,10399,21593
SED54605,165,204,372,195,106,297,3,0,3,0,0,0,20,8,30,5746,5039,10786,402,368,771,90,5,99,52,3,57,47,16,63,310,85,400,191,138,330,7230,5975,13206,89,104,192,0,0,0,0,0,0,65,78,150,9,18,27,11,3,15,175,201,386,0,0,0,0,0,0,7,3,8,7,9,15,5,0,6,19,14,32,81,44,121,281,257,538,48,58,103,12,4,15,5,6,12,69,63,129,398,549,948,1101,1192,2294,59,44,99,9135,8083,17216
SED54701,3,0,4,215,79,295,0,0,5,0,0,0,4,3,9,6054,4799,10855,375,376,745,191,4,200,40,7,50,63,39,97,169,64,233,551,523,1082,7678,5896,13576,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,4,6,0,0,0,0,0,0,8,7,12,4,4,6,0,3,5,16,8,26,76,48,121,92,60,152,0,0,0,8,0,8,8,4,10,18,4,21,1058,1089,2139,765,950,1711,104,71,173,9706,8061,17768
SED54804,261,248,511,235,172,407,0,0,0,0,0,0,45,39,78,7825,7808,15636,392,522,914,64,0,68,92,7,96,177,36,214,334,85,423,154,167,325,9576,9096,18668,330,255,580,0,0,0,0,0,0,150,160,311,17,22,37,11,3,11,502,440,940,0,0,0,0,0,0,22,25,39,6,12,13,13,6,17,42,38,82,100,45,145,643,527,1166,42,37,80,11,8,10,7,3,6,56,45,102,1085,1344,2427,1199,1793,2991,44,32,78,12603,12832,25435
SED54905,148,113,261,849,750,1597,20,17,40,0,0,0,57,66,119,6976,6272,13250,368,647,1020,38,0,38,50,5,59,274,67,342,192,56,245,176,207,385,9149,8203,17359,126,119,242,3,0,4,0,0,0,29,31,59,11,9,21,12,3,11,176,160,338,12,3,10,0,0,0,28,23,53,16,35,47,22,14,36,73,80,151,77,52,132,325,290,621,31,46,80,11,8,20,8,3,11,51,58,109,1161,1204,2362,1000,1495,2497,65,31,96,11753,11289,23038
SED55005,166,187,352,250,156,407,0,0,3,0,0,0,49,24,77,9476,7618,17093,512,664,1176,135,4,141,43,3,45,43,3,44,263,50,315,59,74,131,10995,8787,19780,290,224,512,0,0,0,0,0,0,153,105,266,18,19,41,5,0,4,469,353,820,0,0,0,0,0,0,20,19,39,13,28,40,12,0,12,45,56,97,101,47,147,612,456,1073,67,89,160,7,7,12,0,0,0,77,96,178,595,837,1433,1091,1381,2470,57,38,91,13424,11607,25028
SED55102,37,52,89,253,96,349,0,0,0,0,0,0,21,15,30,8185,7610,15795,521,510,1030,263,10,269,48,4,51,26,10,35,392,90,484,201,141,340,9932,8540,18473,49,36,84,0,0,0,0,0,0,122,109,234,13,14,27,0,0,0,184,160,343,0,0,0,0,0,0,12,13,24,6,13,20,20,6,29,38,33,70,97,49,140,316,236,557,24,32,56,8,4,14,9,3,9,39,42,80,703,1162,1860,1426,1609,3031,66,38,108,12485,11628,24114
SED55202,242,270,510,211,153,366,6,5,11,0,0,0,67,43,107,8229,6056,14281,524,608,1133,137,7,138,41,3,51,42,5,48,229,54,286,88,76,159,9810,7289,17091,130,183,312,0,0,0,0,0,0,65,91,155,25,20,40,11,4,15,228,300,528,0,0,0,0,0,0,7,17,23,9,23,31,14,7,16,24,48,73,109,51,163,365,392,758,47,76,124,9,8,12,5,0,11,65,81,144,330,513,840,1021,1206,2225,65,34,97,11650,9511,21163
