SED_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SED51104,754,1262,3315,3282,2981,1719,363,37,0,13716,4,10,45,30,14,14,0,0,0,117,0,30,113,85,68,30,6,0,0,334,13,14,75,59,75,27,7,0,0,269,4,6,21,30,24,15,0,0,0,90,11,38,126,100,104,45,9,0,0,423,4,17,50,53,53,32,7,0,0,213,240,264,358,305,329,220,27,0,0,1742,387,198,170,141,101,63,7,0,0,1065,3,19,46,44,51,29,4,0,0,195,4,7,21,18,11,3,0,0,0,63,12,31,106,107,92,49,0,0,0,397,0,12,47,47,50,25,6,0,0,183,6,39,140,160,126,69,13,0,0,553,15,47,132,137,130,65,11,0,0,542,3,44,150,163,160,88,25,0,0,641,34,100,375,482,467,216,41,0,0,1716,61,261,747,829,808,488,85,3,0,3284,23,21,29,56,43,15,4,0,0,200,47,71,228,141,129,55,10,0,0,675
SED51205,535,1589,4213,3614,2251,1594,488,47,4,14330,0,0,20,16,10,3,0,0,0,50,0,15,89,95,40,24,0,0,0,261,8,30,100,94,79,66,20,0,0,393,0,11,18,31,7,9,0,0,0,81,0,22,88,58,42,27,7,0,0,248,3,9,59,49,45,40,5,3,0,215,137,240,367,195,154,123,37,0,0,1252,187,267,364,177,106,74,23,3,0,1198,4,33,85,67,70,39,9,0,0,305,3,13,29,19,13,7,3,0,0,79,0,18,81,88,45,33,12,0,0,272,0,15,40,38,12,17,9,0,0,134,4,65,262,212,114,64,18,0,0,735,10,74,197,102,92,67,16,0,0,565,10,30,157,161,145,126,21,6,0,647,20,96,279,290,280,229,56,0,0,1250,29,266,870,693,526,399,103,4,0,2892,25,29,50,52,21,21,3,0,0,200,15,62,137,113,93,59,13,6,0,492
SED51304,684,838,1303,2435,2690,1910,797,116,5,10780,3,5,4,3,14,9,0,3,0,37,0,14,65,111,72,36,3,0,0,310,11,13,14,44,54,39,14,0,0,191,0,0,15,38,15,9,5,0,0,76,6,20,54,110,89,59,14,0,0,352,0,8,18,34,38,37,9,0,0,152,220,170,93,122,148,138,47,3,0,954,279,121,42,52,40,26,10,0,0,570,4,7,24,35,30,20,12,0,0,138,4,8,17,20,13,11,4,3,0,82,0,7,50,102,103,72,21,0,0,366,0,5,31,52,54,45,15,6,0,209,11,59,151,324,233,120,56,6,0,952,4,18,26,63,52,42,19,3,0,232,0,31,70,174,192,132,27,0,0,630,44,66,180,433,620,459,122,6,0,1923,32,146,350,535,560,471,140,7,0,2252,34,22,27,43,46,27,9,0,0,209,26,42,59,86,88,50,26,4,0,375
SED51401,423,578,1403,1478,1760,1991,889,197,32,8751,29,30,108,153,220,264,149,47,0,1009,5,16,50,48,47,29,5,0,0,194,11,20,31,35,44,33,8,4,0,181,0,0,8,6,12,15,0,0,0,40,0,14,27,43,38,32,5,0,0,159,6,20,34,14,48,28,15,3,0,168,112,68,78,126,162,153,47,4,0,752,106,55,79,78,106,99,29,0,0,549,5,13,22,26,58,61,31,4,0,211,4,0,8,10,3,7,4,0,0,33,0,8,24,23,28,17,0,4,0,111,4,6,4,6,6,10,4,0,0,52,6,20,48,45,47,30,11,3,0,214,7,13,23,34,47,44,15,3,0,192,3,33,98,134,135,125,28,4,0,570,8,44,199,258,286,239,57,7,0,1099,26,65,201,229,313,355,120,0,0,1314,0,4,10,14,20,15,4,0,0,58,6,18,34,53,45,50,10,5,0,218
SED51504,659,979,2063,2779,2721,1910,605,113,20,11856,0,0,7,7,12,16,4,0,0,42,3,12,91,161,125,35,3,0,0,435,34,12,37,57,38,27,13,0,0,226,0,0,20,25,19,12,0,0,0,86,0,22,49,83,68,41,10,5,0,277,4,15,30,43,44,34,8,3,0,179,201,160,141,112,137,107,35,3,0,891,252,138,145,72,63,27,9,4,0,706,6,5,31,35,42,23,14,0,0,148,4,12,19,22,36,14,0,0,0,109,0,14,62,107,108,54,12,6,0,360,0,5,33,46,54,45,15,7,0,210,10,80,254,361,310,164,33,6,0,1217,8,40,148,126,64,47,14,5,0,451,0,15,91,174,177,103,20,0,0,592,48,92,210,295,480,360,103,12,0,1599,56,225,666,701,696,440,129,5,0,2918,34,38,35,41,37,21,10,0,0,223,21,38,65,78,68,42,21,3,0,337
SED51605,771,1186,2929,3370,2974,1905,454,40,0,13628,4,6,7,20,17,5,5,0,0,66,4,25,100,107,65,31,3,0,0,332,21,30,77,125,135,73,11,0,0,477,3,4,22,34,19,11,0,0,0,96,8,24,113,121,82,51,8,0,0,410,8,18,50,64,63,40,6,0,0,245,249,241,268,209,254,193,33,5,0,1448,320,148,127,97,100,46,6,0,0,847,3,21,70,65,85,38,18,0,0,302,3,10,12,11,7,0,0,0,0,50,0,21,84,136,99,36,8,0,0,380,0,17,40,43,39,22,12,0,0,178,6,59,214,238,135,57,16,6,0,739,9,41,98,92,94,69,18,0,0,413,3,38,157,210,178,107,18,5,0,714,38,108,339,463,520,243,51,0,0,1757,59,274,723,742,664,488,76,9,0,3028,40,18,35,53,24,17,3,0,0,194,45,62,164,133,119,67,14,0,0,605
SED51706,653,811,1967,2235,2273,2057,615,99,12,10725,13,16,37,48,53,73,59,15,3,311,10,42,74,70,75,39,6,0,0,308,26,43,86,111,98,50,5,0,0,421,0,17,22,27,25,12,0,0,0,111,9,20,72,79,76,72,7,3,0,329,10,6,26,20,31,16,4,0,0,112,191,93,224,242,273,222,33,4,0,1283,274,85,113,111,105,70,17,0,0,773,5,19,29,45,66,47,15,3,0,222,6,5,8,9,7,9,4,0,0,36,0,9,34,45,36,25,7,0,0,151,3,9,32,35,28,21,7,0,0,129,6,16,71,93,64,52,20,4,0,319,15,22,66,69,54,54,17,4,0,300,6,12,98,117,167,96,18,0,0,516,16,41,190,331,408,303,45,5,0,1333,53,138,332,526,539,483,97,7,0,2174,19,9,31,27,21,12,4,0,0,122,23,35,103,101,95,52,15,0,0,423
SED51804,602,935,1829,1973,2473,2064,1018,248,23,11158,10,3,9,12,9,8,21,6,0,79,0,13,113,131,102,34,4,0,0,396,21,20,30,42,46,28,19,6,0,214,0,0,16,16,16,11,0,0,0,57,6,9,40,50,55,48,14,6,0,225,4,11,21,20,42,23,10,10,0,139,197,158,90,103,140,100,44,5,0,835,211,182,99,54,60,40,11,5,0,665,9,11,11,25,37,22,4,0,0,111,3,5,26,15,25,7,8,0,0,95,4,13,44,72,93,49,25,4,0,308,7,18,37,52,71,69,30,10,0,288,6,123,270,294,338,193,75,17,0,1328,3,23,43,49,50,35,11,3,0,218,0,24,86,107,121,92,37,5,0,476,81,97,190,242,414,377,121,14,0,1548,29,195,560,470,628,503,171,18,0,2583,35,36,43,38,42,22,11,5,0,226,38,51,59,62,66,49,21,6,0,355
SED51902,740,1050,2496,2817,2676,2135,586,94,10,12593,9,13,25,38,42,45,27,8,0,200,6,22,98,87,70,37,4,0,0,340,22,34,93,114,111,73,15,0,0,452,0,0,21,18,20,6,5,0,0,72,9,19,132,110,95,75,16,0,0,456,8,16,60,76,60,42,13,0,0,276,226,181,266,231,257,200,44,5,0,1415,315,95,83,65,88,49,9,0,0,696,7,22,73,81,103,60,21,0,0,365,5,12,8,8,11,8,3,0,0,57,4,12,48,61,60,34,3,0,0,226,9,18,47,41,46,31,8,0,0,188,16,46,138,163,146,88,25,0,0,621,18,26,77,95,72,53,11,0,0,354,14,36,132,187,175,134,20,0,0,686,44,98,273,369,392,279,69,0,0,1519,64,176,569,532,527,403,89,0,0,2356,27,39,50,43,42,23,9,0,0,222,32,43,149,106,104,56,15,0,0,510
SED52006,588,695,1387,1657,1988,1907,621,81,3,8921,0,0,3,4,17,18,7,0,0,44,3,28,70,75,85,47,3,0,0,315,22,25,55,71,64,54,18,4,0,308,0,0,6,12,14,8,0,0,0,36,3,4,39,48,62,69,19,3,0,249,0,7,8,7,19,22,5,0,0,75,206,158,164,178,241,177,38,3,0,1170,257,91,113,97,82,64,12,0,0,727,7,5,12,24,30,49,12,4,0,142,0,0,5,5,11,4,5,0,0,31,0,11,24,32,36,37,4,0,0,149,3,3,24,56,52,41,7,4,0,191,5,28,59,66,89,64,21,0,0,331,5,26,34,64,88,65,21,0,0,299,5,15,57,87,121,89,19,5,0,398,16,50,162,289,415,314,55,0,0,1299,38,143,311,404,498,479,81,0,0,1962,11,20,18,21,22,25,4,0,0,134,24,30,77,76,80,59,17,5,0,366
