SED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED51104,..,73,84,41,37,44,31,4,0,319,..,87,251,217,298,444,415,335,151,2201,71,100,80,35,35,36,38,26,0,423,6281,3384,4287,4130,3663,2480,1792,1025,281,27322,..,124,2670,4370,4146,2779,2063,1155,203,17513,..,691,2425,1275,797,361,145,40,14,5750,..,91,621,824,787,394,149,70,25,2977,12785,..,..,..,..,..,..,..,..,12785,..,2684,..,..,..,..,..,..,..,2684,..,2232,757,191,115,53,7,0,0,3356,..,312,216,84,86,127,167,86,45,1132,..,130,154,61,40,28,10,4,4,427,..,162,244,107,96,83,56,15,0,759,..,182,588,535,681,731,632,460,208,4019,143,187,166,80,73,65,55,30,7,803,12926,6796,7844,7526,6826,4624,3283,1877,500,52194
SED51205,..,296,357,117,58,76,48,13,0,964,..,126,312,232,259,446,561,400,202,2529,52,76,62,34,32,36,38,22,12,354,4511,2953,4756,3748,2647,2526,2089,1077,369,24676,..,232,3934,4884,3146,2633,2304,1092,203,18430,..,486,1304,705,431,273,116,35,3,3358,..,56,267,453,522,365,206,122,66,2065,9204,..,..,..,..,..,..,..,..,9204,..,2227,..,..,..,..,..,..,..,2227,..,1270,1022,320,187,94,16,4,0,2912,..,514,498,140,125,229,197,114,54,1861,..,370,617,170,65,44,16,5,0,1287,..,736,1085,362,197,188,110,25,3,2703,..,245,735,648,595,833,908,585,277,4826,91,137,136,101,64,55,59,30,13,692,9287,6265,9589,7783,5333,4715,3934,2020,627,49556
SED51304,..,54,89,28,14,29,28,22,8,268,..,21,69,74,93,220,510,450,225,1656,22,39,38,18,18,25,41,9,0,217,4108,2106,1546,2926,2893,2552,2747,1324,394,20603,..,17,920,3944,4242,3631,3942,1778,269,18736,..,87,772,669,494,332,148,38,3,2556,..,5,49,262,438,224,113,73,39,1219,8332,..,..,..,..,..,..,..,..,8332,..,2693,..,..,..,..,..,..,..,2693,..,1217,702,207,143,51,10,0,0,2327,..,122,63,31,30,62,91,57,40,506,..,56,73,21,19,17,10,3,0,198,..,104,188,59,38,62,51,39,18,552,..,50,138,170,246,376,732,616,291,2625,55,85,66,44,41,39,60,20,9,416,8388,4440,2970,5401,5684,4797,5163,2635,665,40151
SED51401,..,39,32,21,34,60,45,23,4,258,..,60,117,81,213,417,461,410,178,1947,40,64,45,27,39,80,70,32,13,422,2806,1228,1551,1756,2090,2477,2118,1128,337,15507,..,43,1045,1864,2239,2782,2706,1264,250,12200,..,370,830,556,545,519,240,68,4,3140,..,25,181,305,329,193,118,78,47,1282,5584,..,..,..,..,..,..,..,..,5584,..,707,..,..,..,..,..,..,..,707,..,887,372,179,135,72,14,0,0,1652,..,131,55,41,48,103,108,70,52,607,..,56,59,23,31,20,21,5,0,219,..,111,104,58,83,123,100,42,3,616,..,183,313,244,549,973,1048,702,266,4274,101,139,103,89,104,149,153,67,21,921,5678,2652,3064,3366,4076,4936,4502,2287,646,31205
SED51504,..,145,244,33,27,24,35,10,5,517,..,76,259,196,212,361,517,477,326,2428,21,49,38,33,25,26,32,15,8,243,3979,2434,2495,3166,3237,2375,1848,1221,566,21317,..,35,1627,4266,4479,3141,2170,1323,367,17415,..,164,1005,686,490,365,155,69,15,2945,..,11,56,275,486,258,88,64,71,1315,8376,..,..,..,..,..,..,..,..,8376,..,3164,..,..,..,..,..,..,..,3164,..,925,566,134,97,80,11,0,0,1813,..,182,154,40,30,70,108,68,47,704,..,71,133,38,8,11,0,0,0,257,..,272,565,111,69,57,73,17,8,1171,..,165,500,452,419,619,787,634,436,4020,53,89,77,67,50,44,53,25,11,465,8420,5078,4687,6059,6132,4639,3453,2199,958,41630
SED51605,..,93,138,38,37,30,25,3,0,365,..,129,282,190,186,345,347,224,112,1813,51,73,43,33,33,33,29,16,5,316,4792,2931,3422,3838,3415,2426,1563,699,224,23308,..,54,2246,4750,4496,3126,1951,808,146,17572,..,429,1716,955,616,328,154,39,4,4246,..,35,261,527,603,297,119,59,30,1938,9696,..,..,..,..,..,..,..,..,9696,..,2656,..,..,..,..,..,..,..,2656,..,1807,925,210,117,53,12,0,0,3118,..,229,189,87,81,116,134,87,45,971,..,137,147,62,54,28,14,6,0,444,..,213,356,128,98,77,46,18,0,930,..,216,624,527,451,603,522,316,163,3424,79,131,113,86,57,48,39,25,6,577,9774,5908,6573,7330,6570,4676,2983,1355,399,45574
SED51706,..,48,55,30,46,64,43,20,6,307,..,57,101,111,218,402,454,449,203,1984,52,80,49,33,38,72,68,20,16,422,3997,2041,2353,2704,2808,2838,2265,1201,352,20558,..,77,1563,2937,3185,3433,2992,1391,222,15795,..,455,1333,817,720,585,287,60,12,4276,..,37,288,513,453,182,115,72,46,1709,8188,..,..,..,..,..,..,..,..,8188,..,1482,..,..,..,..,..,..,..,1482,..,1462,461,207,114,68,21,0,0,2333,..,154,102,38,49,112,93,59,35,639,..,141,106,55,35,34,11,3,0,392,..,128,141,63,103,131,100,30,10,709,..,132,306,333,509,781,848,641,271,3825,131,170,118,89,89,115,119,40,18,887,8323,4243,4418,5039,5253,5442,4589,2296,618,40224
SED51804,..,200,307,42,28,41,25,21,3,661,..,130,258,233,181,402,622,649,413,2885,45,63,71,30,28,47,39,23,6,350,3296,2659,2096,2394,3082,2712,2307,1568,667,20779,..,11,877,2857,4043,3494,2838,1735,439,16299,..,173,1062,578,490,416,278,101,23,3127,..,6,39,205,534,309,108,52,60,1299,6675,..,..,..,..,..,..,..,..,6675,..,3285,..,..,..,..,..,..,..,3285,..,833,574,119,87,54,17,0,0,1683,..,165,86,10,16,48,53,62,41,490,..,61,100,24,12,10,8,0,3,214,..,361,619,100,63,68,43,36,10,1299,..,221,511,464,427,729,985,904,527,4764,90,114,143,64,60,76,62,45,7,660,6767,5251,4014,4423,5730,5199,4389,2924,1108,39801
SED51902,..,34,49,24,44,50,19,13,0,240,..,37,132,111,148,261,320,184,73,1275,73,84,64,17,21,32,36,15,3,348,5092,2658,3195,3222,3027,2631,1875,804,191,22692,..,125,2451,3905,3815,3537,2588,1107,161,17696,..,415,1544,1001,795,506,185,27,9,4468,..,54,298,458,459,213,100,66,33,1681,10350,..,..,..,..,..,..,..,..,10350,..,2164,..,..,..,..,..,..,..,2164,..,1886,723,201,130,73,4,0,0,3015,..,208,118,56,71,137,159,102,61,915,..,117,110,60,46,32,23,9,5,402,..,80,120,79,98,105,56,19,0,563,..,84,333,315,343,451,500,309,112,2447,119,166,115,66,56,51,57,26,11,664,10473,5295,5822,6129,5818,5102,3681,1666,386,44370
SED52006,..,42,58,25,53,73,62,12,0,327,..,48,97,89,196,409,645,574,264,2317,55,62,37,25,41,61,68,43,14,404,3349,1996,1845,2224,2654,2908,3114,1812,485,20375,..,33,988,2164,2832,3414,4054,2316,377,16174,..,316,1022,697,618,525,344,128,16,3662,..,54,271,476,514,265,118,82,61,1840,6636,..,..,..,..,..,..,..,..,6636,..,1731,..,..,..,..,..,..,..,1731,..,1276,454,178,141,65,20,3,0,2134,..,185,66,46,63,81,78,68,39,626,..,92,63,33,30,29,10,0,0,259,..,89,138,60,105,134,121,38,3,693,..,98,274,255,391,760,1075,857,377,4085,86,125,96,59,82,112,124,70,17,767,6725,4007,3368,3973,4771,5376,5951,3567,886,38624
SED52102,..,39,73,43,50,47,33,4,4,298,..,49,125,130,204,337,465,361,161,1823,55,77,45,27,37,37,13,24,8,314,3969,2261,2767,2990,2524,2375,1862,954,302,20005,..,58,1898,3451,2820,2721,2179,989,216,14338,..,402,1377,836,593,368,161,40,0,3772,..,37,249,551,538,336,150,78,39,1965,8154,..,..,..,..,..,..,..,..,8154,..,1893,..,..,..,..,..,..,..,1893,..,1524,771,275,146,55,9,0,0,2779,..,251,201,91,89,153,166,83,41,1075,..,133,149,59,52,39,11,8,0,459,..,150,264,137,148,128,71,15,8,916,..,104,334,448,539,704,739,516,223,3591,115,139,91,77,65,56,31,35,6,628,8276,4697,5327,5914,4989,4555,3520,1764,536,39585
SED52205,..,288,437,98,73,95,69,17,3,1079,..,104,314,302,373,629,708,462,267,3158,40,90,78,53,33,58,38,20,14,428,2983,2141,3077,2874,2823,2783,2230,1151,475,20535,..,32,1174,2532,2576,2541,2159,1168,247,12431,..,311,1885,1242,850,572,311,64,8,5251,..,22,182,424,627,405,169,121,92,2039,5994,..,..,..,..,..,..,..,..,5994,..,1617,..,..,..,..,..,..,..,1617,..,1025,518,211,190,112,30,0,0,2091,..,188,122,40,67,94,110,55,54,733,..,93,187,79,37,26,22,4,0,445,..,493,867,253,165,193,146,44,7,2180,..,197,689,724,865,1202,1222,696,384,5977,91,157,166,115,88,99,70,29,22,846,6082,4133,5791,5633,5459,5258,4242,2187,813,39602
SED52301,..,100,78,36,37,57,31,19,0,357,..,116,192,115,248,401,441,338,189,2037,75,91,44,40,55,81,68,31,9,491,3429,2002,2088,2200,2460,2288,1788,974,320,17547,..,69,1240,2102,2507,2412,2033,1000,213,11572,..,510,1116,681,597,503,191,52,22,3677,..,66,297,480,465,265,127,90,36,1826,6858,..,..,..,..,..,..,..,..,6858,..,1245,..,..,..,..,..,..,..,1245,..,1180,392,196,133,58,15,0,0,1972,..,258,99,66,81,99,114,75,30,816,..,115,85,39,25,23,15,8,0,312,..,190,194,90,82,113,76,27,9,774,..,222,415,347,581,843,770,525,265,3964,144,166,100,85,113,128,130,50,11,924,6998,4012,3940,4081,4579,4451,3464,1833,582,33945
SED52404,..,55,109,24,23,43,38,13,0,303,..,45,131,94,136,321,452,316,175,1661,53,62,33,26,23,35,32,14,7,291,3818,2207,2391,2901,2752,2744,2267,955,312,20344,..,28,1441,3555,3560,3523,3144,1202,201,16651,..,245,1450,871,567,366,155,29,7,3691,..,14,136,379,528,322,131,83,45,1639,7770,..,..,..,..,..,..,..,..,7770,..,2386,..,..,..,..,..,..,..,2386,..,1298,749,230,143,64,16,0,0,2488,..,157,104,38,49,88,102,60,48,639,..,84,81,39,20,22,9,4,0,261,..,157,253,89,75,75,69,20,4,746,..,86,280,309,373,566,684,431,221,2954,99,107,74,65,46,63,60,19,8,552,7873,4563,4567,5580,5362,5094,4368,1853,524,39779
SED52505,..,63,106,29,23,25,13,7,0,260,..,50,212,145,120,208,289,156,47,1224,45,67,53,28,29,29,24,7,3,282,6440,3063,4413,5020,3200,2748,1910,635,165,27601,..,93,3931,7640,4687,3893,2782,857,129,24014,..,297,1496,755,465,314,125,23,3,3482,..,24,188,456,490,293,106,54,40,1652,12960,..,..,..,..,..,..,..,..,12960,..,3312,..,..,..,..,..,..,..,3312,..,1659,1124,222,115,60,14,0,0,3194,..,307,331,100,55,155,195,111,48,1304,..,140,219,73,42,27,10,5,0,510,..,139,300,103,54,44,34,10,3,691,..,103,448,336,252,347,418,195,76,2181,90,113,109,67,48,58,42,12,3,546,13050,6178,8147,9763,6207,5194,3736,1275,303,53844
SED52604,..,111,111,36,37,47,35,8,3,380,..,64,129,87,144,317,406,278,127,1557,39,49,41,27,25,29,25,12,9,253,3211,2435,2150,2512,2969,2995,2004,854,292,19422,..,37,1189,3047,3971,4212,2818,1005,184,16465,..,280,1116,648,516,366,142,26,4,3099,..,27,144,356,469,303,123,51,40,1516,6631,..,..,..,..,..,..,..,..,6631,..,2391,..,..,..,..,..,..,..,2391,..,1628,842,201,112,45,13,0,0,2842,..,156,92,38,29,78,102,92,66,645,..,117,125,44,33,18,6,5,0,352,..,285,340,126,89,100,61,28,3,1034,..,140,353,296,328,567,633,388,167,2876,79,109,90,70,52,53,43,25,7,518,6708,5167,4294,4818,5591,5747,3945,1613,474,38359
SED52702,..,14,29,15,26,35,44,13,5,177,..,29,34,47,124,271,399,454,255,1604,46,72,51,22,26,38,36,22,7,318,3277,1944,1431,2288,2905,2692,2427,1430,487,18869,..,23,935,2764,3803,3619,3382,1821,355,16704,..,128,641,623,668,485,249,64,11,2869,..,9,93,272,359,255,115,91,58,1253,6692,..,..,..,..,..,..,..,..,6692,..,2159,..,..,..,..,..,..,..,2159,..,1463,669,214,170,79,20,0,0,2616,..,100,51,37,47,80,115,107,62,608,..,82,77,21,39,32,18,8,0,277,..,42,51,38,55,89,79,23,3,376,..,64,105,144,265,491,642,636,346,2692,94,130,86,58,51,64,61,41,18,604,6790,4195,2706,4172,5458,5193,4680,2790,860,36841
