SED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SED51104,898,2616,2539,9290,138,15482,11,100,77,1097,18,1298,563,32,37,44,0,677,123,32,14,93,6,261,619,116,74,203,7,1020,15016,2379,2187,6935,188,26701,744,14,63,26,3,843,305,12,16,57,0,389,837,131,107,560,15,1649,87,40,18,60,0,203,70,7,3,24,0,106,794,39,27,42,0,906,2979,358,273,1608,52,5279,621,211,137,780,17,1760,69,0,4,3,0,79,25,18,10,14,0,61,49,26,11,45,0,127,72,18,16,26,0,124,1320,157,89,53,12,1623,603,205,105,55,8,971,270,38,26,108,10,442,82,11,16,18,0,124,162,12,11,10,0,191,3220,404,388,1489,40,5539,66,6,5,8,0,81,1482,77,76,17,5,1662,166,28,11,46,0,247,44,8,3,11,0,61,104,8,9,0,0,120,630,59,64,76,5,827,5172,427,475,458,66,6588,336,36,34,177,2735,3320,29021,4350,3853,16040,3227,56481
SED51205,880,1556,1229,5677,120,9460,26,59,37,817,19,967,6925,53,167,68,49,7263,94,28,18,77,0,220,392,112,111,229,6,844,4766,1274,1043,4787,107,11987,1924,20,66,15,9,2039,159,3,24,41,0,229,346,90,65,413,14,930,66,22,6,50,0,152,48,7,4,11,0,68,3874,62,28,42,16,4012,1028,212,162,1287,17,2705,800,200,103,639,14,1757,615,3,20,0,0,638,113,15,14,33,0,165,12,11,7,23,0,50,30,5,0,12,0,50,332,36,27,14,3,414,201,71,44,22,0,338,229,23,11,43,3,309,90,5,11,15,0,111,70,10,4,0,0,79,919,259,234,1141,13,2569,66,3,0,4,0,74,215,25,23,12,9,282,197,6,16,26,0,248,308,0,8,9,0,322,457,26,11,3,0,491,136,25,25,60,0,257,13471,460,441,421,85,14887,580,32,24,78,2556,3269,34057,2736,2282,10869,2975,52916
SED51304,404,2386,1841,9495,51,14181,10,11,7,204,0,236,976,40,84,73,6,1182,201,104,30,232,0,566,554,129,86,232,0,1007,7153,1904,1477,8069,49,18643,115,7,31,13,0,161,210,25,32,54,4,321,719,129,133,608,9,1598,215,72,16,170,0,474,57,18,7,4,3,90,669,62,34,38,0,799,1909,446,304,2545,10,5210,1052,343,175,1097,11,2686,71,0,8,0,0,80,22,5,7,22,0,54,145,39,26,117,0,327,41,11,8,27,0,84,126,34,13,0,0,170,240,140,64,33,0,475,343,55,45,101,9,554,98,5,24,22,0,156,14,4,0,0,0,15,1777,463,311,2153,16,4719,82,11,9,19,0,116,770,74,66,12,0,927,151,12,21,45,0,230,38,11,8,9,0,71,118,12,8,9,0,147,354,49,30,130,0,567,2443,410,407,456,17,3729,152,25,7,105,1049,1332,16500,4029,2982,17800,1187,42494
SED51401,275,1298,1260,12041,229,15100,3,78,28,1607,36,1752,98,4,11,22,5,146,39,20,9,85,3,151,297,93,54,158,8,613,3307,1334,1160,9917,219,15942,400,0,40,3,3,451,78,8,10,64,0,162,321,85,100,739,18,1263,18,3,3,31,0,65,38,13,4,7,0,60,188,8,6,15,0,222,580,192,175,2145,38,3131,263,121,66,661,9,1108,6,0,0,0,0,9,0,3,0,0,0,9,15,0,0,11,0,27,22,9,0,20,0,41,199,21,43,10,3,276,192,77,63,19,0,351,172,24,25,106,4,335,29,8,5,22,5,58,6,0,0,0,0,12,797,276,247,2237,33,3590,34,3,0,0,0,36,123,12,15,9,0,161,36,5,0,29,0,71,4,0,5,0,0,13,22,0,0,0,4,24,109,26,11,96,0,235,850,179,158,348,19,1550,60,19,20,196,4135,4429,6706,2310,2055,21744,4643,37453
SED51504,447,2297,1775,8663,54,13238,0,18,13,221,3,259,2819,94,145,93,5,3160,189,69,59,265,0,578,505,153,81,219,4,957,5228,1975,1451,7472,79,16206,191,4,49,0,3,246,253,38,34,75,0,397,644,113,109,607,3,1473,251,97,51,312,0,711,83,12,11,23,0,124,1356,63,53,50,6,1524,1622,479,320,2691,32,5138,1048,344,180,1081,9,2666,99,4,8,6,0,124,26,0,5,7,0,51,102,36,23,85,0,249,31,9,3,20,0,64,81,9,14,13,0,110,201,117,94,31,0,442,294,52,42,104,0,487,135,11,19,19,3,181,15,0,4,0,0,13,1312,454,280,2151,18,4219,88,10,15,20,0,133,560,57,79,9,0,700,169,9,6,45,0,237,125,12,11,16,0,168,219,6,30,11,0,256,225,47,39,130,0,438,5329,455,506,481,20,6794,129,26,4,68,1165,1388,19212,4014,3063,16704,1363,44359
SED51605,693,2239,1893,9226,84,14129,8,55,48,762,9,882,2497,40,98,50,15,2706,779,201,95,455,9,1542,409,117,94,231,0,843,5930,1805,1591,7031,106,16462,1564,6,90,15,4,1683,202,17,20,40,0,283,462,130,95,523,8,1219,46,19,17,57,3,142,67,11,10,16,0,101,1212,59,34,33,0,1348,1344,292,256,1658,15,3562,1418,554,308,1924,19,4225,275,0,11,0,0,285,51,11,9,6,0,79,32,11,9,23,4,79,55,24,13,46,0,139,482,69,26,23,0,605,345,147,82,40,4,625,274,52,42,93,0,463,167,7,15,17,0,205,59,0,4,0,0,65,1559,435,318,1736,13,4053,451,16,11,26,4,515,628,55,63,20,0,766,242,19,18,57,0,337,82,9,6,4,0,96,131,7,11,0,0,155,215,48,37,83,0,381,5020,540,598,701,38,6898,251,23,11,108,1741,2123,21861,4048,3348,16909,2004,48164
SED51706,341,1976,1594,14379,147,18442,3,98,45,1169,20,1329,258,9,20,40,0,326,22,19,12,63,0,120,464,135,105,292,0,994,4577,2032,1582,12225,207,20620,290,5,57,5,0,362,77,22,7,66,0,179,407,155,93,843,8,1496,25,8,7,77,0,119,17,6,3,11,0,34,254,27,3,42,0,324,782,308,238,2554,37,3921,542,301,114,1634,19,2609,56,0,12,0,0,67,6,3,3,5,0,18,13,4,3,23,0,36,17,8,6,27,0,48,411,74,45,16,4,554,223,114,75,49,4,461,205,52,28,143,0,423,33,12,9,13,0,64,19,0,0,0,0,23,1009,419,326,2611,35,4402,15,8,0,11,0,34,354,19,35,20,0,427,46,10,8,61,0,121,8,3,0,0,0,17,63,0,5,0,0,66,166,56,31,142,3,399,1346,239,185,449,19,2238,78,22,21,224,2436,2790,9484,3581,2697,25870,2818,44451
SED51804,385,2208,1971,9248,73,13885,6,29,10,266,0,317,1613,64,129,90,4,1905,159,64,33,223,7,484,478,132,90,193,4,895,5996,2222,1661,9566,101,19545,104,4,40,6,0,149,322,45,29,99,0,500,655,181,132,704,8,1680,170,83,39,260,0,539,65,12,15,17,0,118,561,44,65,35,0,697,1591,479,314,3228,20,5634,693,267,133,842,8,1939,57,8,15,4,4,80,27,6,5,20,0,55,46,5,13,42,0,98,23,15,4,30,0,70,42,6,12,3,0,67,178,49,52,24,0,309,308,44,50,104,0,503,128,23,5,19,0,178,8,0,0,0,0,8,1555,554,402,3007,24,5540,67,6,10,12,0,93,498,65,82,11,0,657,140,11,15,40,0,211,102,25,12,12,0,147,77,7,13,6,0,99,264,45,35,136,0,486,3025,456,523,509,20,4531,84,19,12,98,1890,2107,15022,4107,3361,19534,2109,44128
SED51902,630,2842,2328,11742,102,17641,14,90,74,885,15,1080,337,22,36,41,5,441,83,36,10,122,3,254,1005,327,235,613,6,2181,8208,2474,2177,9032,147,22037,404,15,39,8,3,465,173,29,22,48,0,271,473,132,124,671,12,1417,41,14,11,57,0,122,55,15,5,13,0,90,855,47,24,37,0,974,1378,310,281,1799,20,3790,621,238,158,1041,5,2065,24,0,10,3,0,35,18,7,5,14,0,43,15,6,3,9,0,30,30,21,5,27,0,80,425,78,54,28,6,590,365,170,93,53,6,683,153,33,32,99,0,309,43,20,3,31,0,96,41,9,4,0,3,51,1644,455,375,1842,27,4344,47,6,0,10,0,63,532,86,57,18,3,695,97,12,6,36,0,151,39,10,3,8,0,63,57,0,4,0,4,60,266,63,43,98,5,471,3376,469,371,491,17,4729,166,32,24,162,2183,2568,17041,4582,3740,19905,2476,47752
SED52006,382,1987,1726,10665,153,14913,15,68,59,787,12,930,275,21,24,36,0,353,95,39,18,73,5,222,571,124,96,209,9,1004,7967,1945,1616,9820,174,21523,365,4,77,14,3,451,154,11,18,62,0,252,500,95,89,773,8,1465,58,29,9,58,0,148,45,9,0,20,0,81,216,11,15,21,0,274,1486,325,192,2371,30,4409,400,193,76,718,10,1404,55,0,3,0,0,60,10,0,0,8,0,13,13,0,3,7,0,19,50,8,7,38,0,102,387,72,46,34,3,546,306,107,82,51,3,561,173,22,23,83,0,305,75,13,10,16,0,115,45,13,0,0,0,56,1653,371,334,2220,26,4614,32,9,6,18,0,57,407,33,44,19,3,504,79,11,7,49,0,144,19,3,3,7,0,35,72,0,5,0,0,85,363,58,40,108,0,567,1645,270,285,406,21,2630,109,26,12,210,1856,2220,14049,3403,2802,20269,2235,42755
