SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED51804,4886,993,840,0,0,6732,3549,643,533,0,0,4722,816,501,1514,0,3,2834,56,278,118,0,0,449,12,27,17,0,0,53,384,208,408,0,0,1002,151,17,27,0,0,194,7,5,3,0,0,14,1423,1035,2082,4,3,4543,94,130,248,0,3,476,70,38,45,0,0,155,10019,2846,3743,7,12,16627
SED51902,4080,25,23,86,12,4222,9342,45,12,5,11,9408,856,32,0,0,0,886,10,6,0,0,0,13,3,24,0,0,0,29,624,12,8,4,0,647,58,5,6,9,0,70,9,0,0,0,0,11,1554,84,6,12,5,1663,153,9,6,9,4,177,163,3,4,3,0,177,15285,163,47,116,26,15639
SED52006,6054,401,82,68,0,6609,5888,186,39,8,0,6119,1728,258,66,7,0,2048,22,36,0,0,0,60,16,75,0,0,0,88,825,95,19,5,0,944,62,42,4,9,0,114,13,8,0,0,0,23,2662,518,84,19,0,3282,150,210,6,3,0,365,163,42,5,26,0,238,14918,1353,215,126,0,16613
SED52102,4045,116,10,154,0,4313,7079,149,7,13,0,7255,1609,139,9,7,0,1769,191,64,0,0,0,249,16,19,0,0,0,36,923,44,0,12,0,979,101,11,8,68,0,186,16,0,0,0,0,18,2860,269,20,83,9,3238,166,110,4,6,0,290,186,23,0,12,0,215,14327,667,45,265,13,15311
SED52205,4163,814,454,94,17,5544,4588,944,515,7,6,6062,1284,839,904,3,6,3037,330,477,222,0,0,1038,49,120,36,0,0,203,847,391,260,6,3,1509,88,39,39,42,0,205,7,17,8,0,0,32,2605,1877,1466,53,12,6016,129,119,29,3,0,281,126,77,29,0,9,251,11610,3842,2498,160,42,18157
SED52301,4016,302,21,104,25,4468,4758,186,20,9,5,4978,1463,452,103,4,9,2029,294,184,41,0,0,525,60,44,0,0,0,107,1075,159,21,0,0,1258,172,48,0,21,7,250,17,7,0,0,0,25,3080,898,169,24,16,4193,176,85,5,3,4,276,172,46,14,5,5,246,12206,1516,227,152,65,14158
SED52404,5069,422,50,0,0,5547,6615,410,42,0,0,7069,1307,211,16,0,0,1532,43,35,0,0,0,75,10,9,0,0,0,13,735,129,20,0,0,881,44,4,0,0,0,40,12,4,0,0,0,15,2145,386,30,0,5,2562,88,21,5,0,0,113,95,16,0,6,0,125,14009,1251,130,6,6,15406
SED52505,4074,245,15,0,0,4333,10262,280,16,5,11,10568,1892,127,18,0,0,2038,18,0,0,0,0,19,8,0,0,0,0,6,649,49,8,0,0,699,62,8,0,0,0,65,9,0,0,0,0,9,2635,179,30,0,0,2838,124,8,0,0,0,134,126,4,5,0,0,133,17221,718,54,4,8,18011
SED52604,4414,321,121,4,0,4857,6088,308,159,0,0,6554,1233,360,457,6,7,2060,69,89,16,0,0,168,14,12,0,0,0,31,570,130,101,5,0,813,36,6,13,5,0,59,8,6,3,0,0,15,1935,604,591,14,6,3146,83,17,16,0,0,112,103,31,17,0,4,158,12615,1277,895,20,8,14822
SED52702,5940,198,16,34,6,6198,6102,47,14,8,8,6174,562,68,14,0,0,645,9,40,0,0,0,54,5,50,3,0,0,56,513,55,8,9,5,591,29,0,0,8,4,36,9,3,0,0,0,11,1128,217,30,14,6,1396,130,35,8,0,0,179,115,20,5,0,0,140,13414,515,69,59,20,14078
SED52803,2132,115,14,75,20,2358,4291,248,12,12,0,4561,1391,687,83,4,0,2170,340,238,12,0,3,600,91,65,12,0,3,171,718,110,10,9,8,856,362,114,12,84,10,580,12,20,0,3,0,35,2919,1235,131,102,31,4414,220,30,7,12,13,280,236,56,12,10,10,332,9798,1688,170,210,73,11942
SED52903,937,59,13,278,46,1327,1619,94,23,40,18,1794,684,287,100,12,12,1089,1885,352,41,3,16,2294,883,61,14,13,7,982,495,71,28,30,28,649,655,122,23,89,35,927,40,8,0,0,3,49,4640,896,210,147,103,5998,388,52,0,66,36,550,234,50,11,88,47,427,7820,1147,253,623,242,10089
SED53004,5455,554,12,76,6,6097,6448,404,6,5,0,6867,983,166,6,0,0,1162,33,28,0,0,0,58,11,24,0,0,0,36,576,117,0,0,0,697,39,11,0,8,0,56,6,0,0,0,0,12,1647,347,9,8,0,2011,82,160,4,5,0,253,89,31,0,9,0,120,13720,1488,36,89,5,15344
SED53105,2866,133,47,4,0,3052,8711,281,75,0,4,9062,2278,335,149,0,0,2764,198,123,87,0,0,405,59,34,31,0,3,131,913,68,41,0,0,1019,79,3,9,0,0,90,14,7,0,0,0,25,3546,569,314,0,6,4431,82,56,5,3,0,147,191,13,11,0,0,211,15394,1051,444,9,10,16908
SED53204,3401,244,4,30,3,3681,8923,338,0,0,5,9266,1286,292,0,0,0,1580,36,112,0,0,0,152,13,4,0,0,0,13,488,75,0,0,0,558,60,7,0,7,0,70,7,4,0,0,0,9,1886,491,0,7,0,2383,204,12,0,0,0,217,141,21,0,0,4,158,14546,1108,4,40,13,15710
SED53306,3999,739,211,53,3,5014,5943,330,127,0,5,6396,2173,645,261,3,3,3089,272,334,33,0,5,640,152,78,68,0,9,306,1138,228,50,0,0,1425,73,56,4,14,3,154,31,16,4,0,0,43,3835,1361,424,22,15,5660,155,624,11,0,0,792,197,99,14,6,5,326,14136,3153,791,86,28,18190
SED53402,3524,662,288,4,0,4479,4886,1140,640,0,8,6676,1474,1133,1388,0,7,3994,169,394,181,0,0,746,20,60,69,0,0,150,826,409,401,0,0,1641,70,57,52,0,3,174,3,14,8,0,0,34,2566,2070,2096,0,6,6746,110,93,39,0,0,250,119,72,41,0,3,239,11206,4044,3106,10,23,18385
SED53502,4247,418,28,131,8,4824,7332,443,58,9,9,7854,1330,901,411,3,6,2646,214,353,55,0,4,625,30,77,22,0,0,130,892,292,38,11,5,1243,74,49,0,36,0,163,12,16,0,5,0,35,2570,1687,523,47,11,4841,149,18,7,5,3,190,181,66,10,7,3,268,14481,2638,634,198,30,17976
SED53602,3882,389,23,0,0,4294,5365,933,63,0,0,6358,1832,596,71,0,4,2502,376,696,83,0,0,1153,64,81,4,0,0,144,1148,273,25,0,4,1447,288,58,13,0,0,355,43,11,0,0,0,56,3749,1711,195,0,7,5661,147,38,5,0,0,191,260,76,6,0,0,344,13405,3145,300,0,13,16851
SED53701,5658,103,10,134,44,5949,4308,30,3,30,22,4390,527,37,14,7,0,573,197,79,15,0,0,299,54,41,17,0,0,112,941,43,12,12,12,1019,332,20,3,22,16,384,16,4,0,0,0,16,2067,213,60,43,31,2413,627,28,3,19,8,680,273,19,15,38,12,356,12933,388,95,258,113,13791
SED53802,4913,805,29,5,0,5746,4712,1450,18,0,0,6185,1749,1337,18,0,3,3105,163,310,10,0,0,481,22,65,5,0,0,90,943,450,4,0,3,1399,118,75,0,0,0,196,22,15,0,0,0,34,3012,2254,37,0,9,5307,153,80,9,0,0,238,143,73,5,0,3,227,12931,4659,92,4,16,17698
SED53902,3894,1338,323,0,3,5559,3529,1582,499,0,0,5610,1065,1468,1287,4,3,3839,33,75,123,0,0,230,13,34,88,0,0,135,615,545,329,0,0,1489,72,61,34,0,0,167,11,17,9,0,0,34,1814,2198,1872,8,3,5896,137,182,213,3,0,536,76,53,60,0,0,193,9445,5356,2964,16,9,17793
SED54006,5260,136,4,210,14,5632,6325,34,3,17,4,6388,1274,99,5,5,4,1381,139,73,3,0,0,213,19,42,0,0,0,67,982,81,6,14,3,1081,156,15,0,69,3,248,22,4,0,0,0,27,2593,306,13,83,15,3014,355,79,0,3,4,442,211,22,0,10,0,245,14743,586,19,332,35,15716
SED54104,4430,748,1015,0,7,6209,2993,615,925,3,4,4536,1120,909,2757,4,4,4796,8,54,363,0,0,428,5,30,81,0,0,116,417,317,675,0,5,1409,40,43,77,0,0,156,0,7,13,0,0,17,1590,1357,3961,4,6,6919,137,49,256,0,0,443,62,22,62,0,4,152,9203,2785,6231,12,25,18247
SED54203,1124,60,0,275,39,1499,896,22,0,57,13,991,306,69,28,5,5,421,630,90,25,3,8,757,165,29,55,5,0,255,322,58,3,22,13,424,1157,79,26,67,25,1348,23,0,8,0,0,35,2605,323,143,113,53,3237,386,32,11,36,42,514,137,25,5,26,20,209,5146,469,162,514,156,6449
SED54304,2356,685,1470,4,0,4515,2616,1030,2543,15,5,6212,905,1005,6634,21,16,8571,34,196,399,0,0,630,9,49,157,0,7,215,588,380,1328,13,9,2320,37,48,154,0,3,238,7,11,41,0,0,58,1574,1692,8706,29,29,12032,108,88,121,0,0,325,47,26,137,0,10,225,6705,3526,12967,51,51,23301
SED54403,710,86,22,80,23,928,2183,221,23,20,5,2448,1508,502,377,10,7,2411,909,250,63,0,5,1224,229,24,11,0,0,266,314,89,23,4,4,434,3101,513,225,48,17,3903,19,10,0,0,0,26,6075,1386,706,59,34,8260,676,94,57,24,22,873,176,51,8,11,10,258,9821,1837,817,201,98,12771
SED54505,5751,347,134,0,4,6236,5029,361,125,0,0,5517,1574,300,103,0,0,1978,26,56,36,0,0,117,5,20,27,0,0,53,603,135,42,0,3,785,54,14,17,0,0,78,11,7,4,0,0,15,2271,528,227,0,0,3031,138,120,291,0,0,549,106,18,25,0,4,149,13290,1377,795,0,8,15478
SED54605,5003,466,286,130,3,5879,5042,237,206,6,0,5490,1689,447,632,0,0,2767,151,162,121,0,0,437,23,49,24,0,0,94,976,190,137,3,0,1310,154,21,22,29,0,232,11,7,5,0,0,27,3003,877,942,37,4,4858,116,59,16,4,0,194,179,50,41,3,5,271,13337,1685,1481,180,16,16698
SED54701,5086,123,20,90,38,5356,3514,47,3,13,11,3587,739,188,32,0,5,963,403,166,7,0,0,584,83,78,33,0,0,184,1179,86,11,13,13,1298,454,33,3,20,12,526,28,16,5,0,0,49,2886,567,87,38,26,3604,890,32,5,7,36,977,229,37,10,8,4,285,12604,803,130,156,122,13811
SED54804,3223,1451,232,37,8,4951,4154,2346,345,8,0,6856,1097,1859,739,0,4,3708,188,418,149,0,0,758,10,66,16,0,0,89,569,687,175,0,6,1436,64,52,17,3,0,139,5,13,3,0,0,27,1931,3104,1104,10,0,6150,136,184,98,3,0,419,101,83,37,0,7,228,9544,7167,1823,52,16,18603
SED54905,3450,1598,504,0,3,5558,3105,1392,475,0,7,4979,1038,1933,1101,0,3,4074,314,204,123,0,0,647,8,56,36,0,0,96,482,661,328,5,0,1481,37,37,28,0,0,100,9,11,5,0,0,31,1897,2900,1620,5,8,6430,122,229,162,0,0,508,75,67,20,0,3,160,8646,6183,2777,3,20,17632
SED55005,3883,93,14,4,5,3995,8427,175,15,0,0,8622,1786,230,20,3,4,2046,170,25,0,0,0,194,21,26,0,0,0,48,831,48,0,0,0,883,120,8,3,0,0,127,14,3,0,0,0,22,2939,346,28,3,5,3317,138,103,12,0,0,253,194,10,3,0,3,211,15578,729,67,8,8,16389
SED55102,3399,56,18,11,0,3491,8899,198,19,0,3,9122,1536,75,10,0,3,1624,131,67,0,0,0,196,42,7,0,0,0,52,735,34,10,0,3,787,98,0,0,0,0,101,15,0,0,0,0,16,2558,183,25,0,5,2776,146,5,5,0,0,155,187,3,0,0,4,199,15200,442,69,15,19,15736
SED55202,4396,468,44,3,3,4917,6728,380,96,0,3,7199,1698,509,167,6,3,2384,242,186,52,0,0,484,40,87,63,0,0,192,1073,162,51,3,0,1284,154,39,10,0,0,207,23,16,4,0,0,50,3240,996,341,8,3,4595,131,289,7,5,0,440,207,63,8,3,0,270,14701,2196,500,20,13,17430
SED55306,5303,341,29,152,9,5830,5605,221,11,16,4,5855,1526,239,3,6,4,1773,263,221,0,0,0,479,26,68,0,0,0,94,1019,84,14,15,5,1138,149,19,4,77,5,243,16,8,0,0,0,18,2989,630,20,91,18,3751,262,156,17,25,0,461,199,46,0,10,15,265,14357,1394,79,298,44,16174
SED55405,2935,757,261,0,6,3961,3952,1142,433,4,3,5531,2326,1823,1334,5,4,5494,408,482,106,0,3,999,62,152,87,0,0,300,1145,689,283,0,3,2116,113,86,48,0,0,250,29,26,18,0,0,72,4085,3254,1881,5,12,9230,258,128,183,0,0,574,121,95,50,0,12,275,11348,5375,2811,3,27,19568
SED55504,3494,232,10,68,3,3804,9174,179,13,6,0,9372,1646,154,29,0,0,1824,158,121,3,0,0,277,28,36,0,0,0,68,835,71,4,12,0,924,111,15,3,23,0,156,9,0,0,0,0,15,2792,397,40,39,0,3267,166,137,0,9,0,308,178,24,0,14,0,214,15796,966,67,132,5,16967
SED55605,3344,124,5,0,0,3477,8788,71,8,5,22,8887,2225,94,7,0,0,2330,165,68,0,0,0,231,19,24,0,0,0,41,928,26,0,0,0,956,116,9,0,0,0,121,11,3,0,0,0,13,3465,221,9,0,0,3702,84,102,0,0,0,187,172,26,0,0,3,204,15860,537,22,4,28,16452
SED55706,6490,137,8,89,18,6747,4963,125,14,17,15,5132,1203,136,19,3,7,1362,288,120,11,0,0,420,60,53,15,0,0,131,1232,51,18,3,7,1316,233,9,5,36,20,297,20,4,0,0,0,20,3035,372,63,43,33,3544,465,84,10,3,11,582,265,18,0,6,6,300,15226,729,100,157,86,16300
SED55802,3227,341,13,24,3,3601,10241,346,14,0,8,10606,1519,202,103,0,0,1829,170,144,3,0,0,313,20,8,0,0,0,30,672,51,3,0,3,731,102,12,0,0,3,115,13,6,0,0,0,13,2499,416,108,0,7,3029,118,59,0,0,0,173,153,24,0,7,5,190,16235,1183,142,26,22,17602
SED55905,4476,570,85,0,9,5133,5424,506,155,0,0,6088,1407,280,221,0,3,1915,377,295,94,0,3,768,32,41,43,0,0,122,660,154,61,0,0,875,61,16,7,0,0,97,14,9,3,0,0,26,2559,802,437,0,4,3797,200,167,67,0,0,434,160,42,12,0,4,220,12812,2088,752,0,21,15669
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
