SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED53602,970,573,653,673,531,408,297,148,44,4300,9449,6357,7441,6653,5775,5322,4201,2171,751,48121
SED53701,811,466,513,603,745,875,706,375,91,5187,6368,3247,3488,4230,5274,6510,5759,2743,694,38315
SED53802,537,375,510,507,390,344,242,174,76,3149,7581,5124,7398,6678,5425,5075,4414,2739,994,45426
SED53902,390,296,449,406,366,311,235,228,157,2832,6168,4678,6818,6188,5372,4820,3918,2760,1649,42377
SED54006,714,509,411,493,590,567,462,265,137,4150,8170,4641,4325,5194,5740,6091,5539,2876,825,43391
SED54104,362,427,487,397,333,322,330,196,98,2941,7246,6912,6806,6082,5637,5152,4801,2891,1157,46676
SED54203,808,539,858,759,669,536,294,133,26,4622,4387,2320,3910,3557,3189,2907,1772,691,139,22875
SED54304,387,656,1487,856,663,492,319,158,63,5073,6142,6122,14219,9480,6403,5383,3574,1590,733,53651
SED54403,1701,1056,2133,1967,1437,1037,259,44,12,9650,11039,5006,9467,9168,6631,4492,1275,288,55,47427
SED54505,336,300,172,281,329,278,220,177,106,2202,9193,6057,3536,6529,6544,5195,4999,2773,1084,45908
SED54605,578,600,605,491,494,496,347,311,250,4166,6276,4531,4728,4608,5126,5975,5101,3201,1311,40861
SED54701,1016,520,503,582,620,623,482,296,76,4730,7292,3751,4262,4553,4935,5437,4267,2382,778,37662
SED54804,443,351,778,576,401,315,277,203,180,3531,7474,4555,8535,7490,5697,4692,3673,2370,1256,45753
SED54905,370,377,507,353,369,370,321,233,226,3124,6172,5893,6624,5690,5250,5140,4763,2494,1228,43240
SED55005,698,415,442,486,452,337,201,115,70,3207,11638,6858,6493,8477,6941,5002,3601,1587,598,51193
SED55102,848,679,1094,1161,925,574,288,112,19,5708,11171,6201,6695,7562,7062,5541,3624,1517,321,49692
SED55202,850,473,537,599,527,407,299,223,184,4089,9640,5888,6624,7068,5940,5199,4513,2600,1027,48500
SED55306,771,353,435,575,561,485,421,264,83,3952,8493,3926,4130,5820,6063,5844,5866,3104,1085,44333
SED55405,478,598,933,621,474,366,215,224,274,4190,6839,7078,10916,7605,5281,4409,3299,1973,1221,48622
SED55504,715,416,459,497,490,385,239,117,44,3367,11105,6176,6743,7490,6526,5058,3736,1979,643,49470
SED55605,946,544,523,618,636,401,189,104,56,4015,11427,6834,6161,6774,7253,5613,3115,1572,478,49231
SED55706,860,412,435,603,781,697,590,273,96,4756,7573,3656,3828,5249,6052,6861,6345,2963,924,43443
SED55802,789,484,725,592,481,369,199,82,45,3753,11826,6723,9109,8117,6368,5439,3170,1629,591,52973
SED55905,497,410,458,444,392,347,250,185,153,3144,6419,5026,5670,5229,5098,5089,4092,2638,1222,40484
SED59494,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
SED59797,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
