SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED51104,27465,29017,56481,2303,2178,4484,4617,4330,8953,1906,1812,3716,1724,1738,3462,4008,4553,8561,3899,4337,8228,3674,3875,7549,2441,2654,5095,1623,1908,3526,962,1168,2133,309,460,769,25415,27977,53395,2051,1037,3091,622,637,1253,24,31,56,18,20,36,664,679,1344,14979,15482,30458,10870,12285,23153,22544,23891,46433,3213,3756,6969,22159,23617,45774,663,627,1292,4356,4068,8427,1307,1306,2620,448,545,994,663,1391,2052,10386,12599,22992,2520,2576,5095,4705,4665,9365,973,949,1918,356,382,738,74,102,178,24876,27284,52163,1028,1185,2216
SED51205,26739,26175,52916,1964,1832,3798,3020,2895,5915,1316,1154,2470,2201,1979,4181,5247,5064,10309,4383,3968,8351,2942,2803,5744,2393,2648,5042,1957,2202,4161,1011,1149,2159,308,476,791,25582,25377,50961,1160,801,1959,435,493,935,8,5,17,9,16,25,458,517,978,11876,11389,23261,13425,13519,26946,13074,12738,25810,12016,11970,23986,18702,18266,36964,500,429,929,2812,2683,5498,1028,915,1944,1030,976,2001,1349,1933,3285,13692,13623,27313,1683,1512,3189,3142,3165,6312,782,743,1517,699,770,1468,279,352,631,24881,24662,49541,1194,1195,2381
SED51304,20828,21667,42494,1180,1066,2247,3175,3120,6289,1376,1235,2614,1028,932,1960,1543,1645,3186,2663,3008,5672,3014,3005,6014,2452,2706,5158,2654,2980,5630,1426,1444,2866,321,532,853,19624,20805,40427,1200,865,2064,130,122,251,7,3,8,0,3,3,134,129,257,14105,14540,28644,6140,6639,12783,18268,18747,37015,1954,2417,4374,18993,19743,38734,398,392,788,3097,3026,6128,1200,1103,2296,473,491,960,456,686,1137,11045,11692,22738,1335,1332,2665,2586,2961,5554,592,579,1171,220,277,495,27,38,64,19611,20658,40269,372,555,928
SED51401,19318,18135,37453,982,944,1932,2272,2202,4475,952,839,1789,871,696,1568,2003,1785,3784,2092,2022,4114,2497,2459,4958,3051,2855,5907,2822,2467,5284,1373,1341,2719,398,531,929,17620,16909,34534,1696,1221,2919,930,950,1883,10,9,19,3,8,13,949,968,1918,14230,13382,27611,2731,2771,5500,16075,15390,31461,738,875,1605,15971,15330,31299,214,218,427,1985,1919,3903,520,539,1060,89,120,213,166,474,644,5582,6142,11721,1627,1683,3308,4521,3935,8455,1097,867,1963,757,513,1270,44,35,84,15577,15473,31050,4589,2523,7107
SED51504,21770,22583,44359,1159,1087,2247,3429,2982,6412,1618,1380,2997,1220,1138,2354,2383,2652,5032,3098,3287,6385,3070,3344,6408,2428,2501,4926,1756,2017,3777,1114,1358,2471,499,843,1345,20724,21725,42452,1049,858,1904,147,127,273,3,10,10,3,0,4,151,138,286,13829,13950,27781,7316,8060,15375,16898,17060,33961,4170,4834,9000,18493,19033,37524,395,384,780,3351,2918,6272,1429,1273,2704,679,688,1364,796,1163,1960,13040,13799,26840,1039,1040,2073,1632,2073,3706,546,543,1090,196,308,502,49,74,120,20339,21365,41701,739,784,1524
SED51605,23802,24366,48164,1693,1592,3290,3438,3357,6795,1557,1495,3044,1553,1534,3095,3410,3591,6997,3819,3993,7819,3443,3569,7014,2453,2565,5013,1534,1649,3183,706,766,1471,190,257,447,22556,23579,46138,1246,787,2034,430,429,861,8,4,12,5,5,10,446,437,887,15015,15083,30095,7782,8474,16254,17819,17948,35768,4904,5510,10412,20242,20710,40950,522,490,1010,3273,3197,6474,1192,1193,2388,535,663,1191,702,1148,1854,10571,12024,22598,2046,1876,3918,3747,3375,7119,775,712,1490,458,502,964,91,138,224,22315,23339,45656,662,681,1343
SED51706,22058,22398,44451,1371,1246,2624,3155,2942,6101,1328,1275,2605,1054,929,1979,2360,2542,4907,2673,2850,5520,2778,3007,5783,3025,3161,6185,2694,2586,5282,1268,1382,2651,346,476,823,20062,21048,41104,1998,1352,3341,635,637,1275,4,4,15,13,18,35,658,664,1321,17129,17408,34539,3429,3766,7191,19541,19949,39489,1063,1233,2300,19471,19936,39405,346,351,690,2944,2746,5690,873,868,1740,156,178,334,287,770,1050,6200,8069,14267,2326,2351,4674,5692,5086,10781,1202,942,2148,633,509,1139,55,45,106,19614,20542,40156,1413,1178,2593
SED51804,21235,22899,44128,983,872,1856,2715,2667,5390,1608,1648,3259,1234,1317,2549,2229,2333,4564,2273,2537,4805,2907,3244,6153,2762,2953,5715,2357,2582,4944,1585,1804,3392,580,925,1506,19752,21634,41387,1481,1258,2740,158,158,320,5,3,7,0,4,5,160,166,326,14136,15051,29184,6066,6821,12889,18078,19150,37226,2117,2720,4839,18614,19899,38512,326,312,639,2603,2554,5153,1438,1509,2945,731,789,1517,677,1009,1692,13414,14539,27949,991,1070,2061,1425,1904,3331,458,527,990,172,197,369,24,27,50,19089,20790,39881,1322,1530,2850
SED51902,23843,23904,47752,1800,1720,3517,3755,3543,7304,1490,1523,3018,1313,1245,2557,2995,3378,6374,3355,3374,6734,3231,3205,6435,2799,2818,5619,1956,1987,3950,929,859,1795,218,243,464,22282,22955,45246,1563,942,2510,544,534,1073,15,14,24,19,19,36,580,564,1135,16647,16582,33225,6093,6445,12545,20248,20665,40916,2131,2327,4451,20613,21084,41696,500,442,938,3563,3351,6911,1040,1135,2178,318,398,717,447,947,1395,8243,10082,18321,2283,2204,4482,5182,4381,9565,1045,791,1841,383,313,690,67,39,105,21678,22728,44402,1018,711,1729
SED52006,20686,22076,42755,1006,996,1999,2485,2472,4953,1223,1159,2373,941,937,1877,1782,1955,3737,2096,2341,4435,2499,2828,5328,2869,3210,6082,3317,3527,6845,1987,2015,4001,486,637,1125,18326,20575,38898,2358,1499,3856,460,447,905,8,14,26,7,21,31,475,481,961,14006,14867,28874,5468,6298,11758,18482,19789,38269,996,1373,2368,18064,19496,37565,304,301,606,2368,2337,4700,856,901,1757,231,320,552,331,761,1094,7125,8463,15582,2036,2201,4235,5048,5326,10379,1167,1046,2214,542,532,1074,47,49,90,18221,20353,38576,645,796,1441
SED52102,21236,21136,42371,1518,1312,2824,2961,2800,5754,1256,1217,2472,1309,1154,2466,2837,2931,5774,3221,3140,6361,2742,2674,5415,2442,2515,4961,1783,1973,3758,870,1035,1912,289,376,667,19991,20382,40372,1244,754,2003,634,644,1282,14,11,16,18,11,29,668,667,1333,13969,13645,27612,6175,6588,12766,16194,16033,32228,3860,4132,7987,17955,17843,35798,421,368,791,2774,2630,5404,889,910,1797,372,413,783,488,886,1377,7897,8927,16822,1922,1865,3788,4243,3854,8097,981,799,1777,488,478,971,161,168,329,19635,20068,39695,883,826,1706
SED52205,21467,22406,43870,1243,1121,2363,2028,1988,4017,990,982,1968,1201,1354,2554,3185,3421,6608,3153,3089,6249,3034,3018,6049,2798,2988,5787,2194,2403,4598,1174,1308,2483,457,724,1186,19921,21286,41216,1544,1116,2663,416,451,868,11,7,16,9,14,22,441,467,904,13393,13953,27344,6617,7247,13861,16602,17101,33705,3325,4038,7358,17988,19080,37069,352,298,653,1893,1874,3768,730,762,1491,444,600,1047,748,1339,2086,10888,12372,23258,1467,1236,2701,2878,2768,5649,628,655,1282,656,781,1435,147,169,316,19046,20513,39556,2095,1794,3896
SED52301,19214,19725,38940,1164,1158,2318,2765,2655,5422,1272,1203,2478,1019,1031,2051,2287,2345,4630,2324,2470,4792,2557,2735,5294,2558,2523,5085,1911,2007,3919,1001,1115,2122,349,481,832,17522,18550,36072,1693,1176,2867,1774,1868,3635,12,12,26,33,19,52,1811,1900,3715,14790,15039,29833,2565,3001,5564,15821,16363,32184,1353,1595,2949,16298,16983,33283,272,282,555,2470,2354,4826,751,796,1540,138,217,347,342,821,1168,5445,6906,12352,1982,2134,4110,4483,3890,8372,990,874,1860,653,530,1177,88,100,189,16422,17584,34006,2423,2229,4648
SED52404,20723,21144,41866,1297,1241,2542,2846,2647,5495,1322,1259,2578,1130,1026,2153,2391,2505,4895,2942,2983,5923,2814,2851,5665,2561,2901,5461,2264,2395,4659,945,988,1927,220,340,564,19463,20341,39807,1256,801,2061,194,190,376,8,5,13,0,0,0,195,194,386,13135,13113,26249,6885,7518,14407,18203,18300,36502,1795,2311,4106,18407,18857,37267,413,385,798,2759,2556,5315,1044,1064,2108,452,486,938,473,855,1329,9874,11085,20962,1752,1577,3329,3278,3125,6411,681,591,1272,237,285,523,39,37,82,19499,20338,39834,400,396,802
SED52505,28626,28579,57203,2354,2242,4601,4377,4297,8675,1674,1616,3282,1681,1534,3215,4357,4641,8994,5375,5200,10577,3368,3298,6669,2674,2857,5528,1936,2005,3943,690,673,1363,144,209,354,27336,27906,55244,1290,672,1960,536,317,855,0,0,4,16,16,26,551,332,885,14993,14588,29575,12836,13474,26308,16817,16966,33790,9943,10757,20697,22560,22946,45509,735,668,1406,4229,4159,8390,1349,1414,2765,698,734,1436,874,1404,2279,14374,15415,29789,1728,1641,3367,3778,3243,7022,651,627,1279,303,361,662,125,136,262,26289,27659,53949,1505,662,2162
SED52604,20589,20551,41137,1032,926,1962,2549,2370,4921,1393,1278,2675,1543,1305,2847,2363,2281,4646,2516,2613,5130,2924,3072,5995,3052,3163,6213,2113,2176,4287,845,947,1790,246,413,666,19285,19826,39115,1300,719,2016,210,154,358,5,11,17,12,17,27,227,179,402,10829,10550,21379,8880,9357,18235,17350,17169,34520,2310,2690,4997,17566,17634,35205,341,284,632,2460,2270,4733,1071,1058,2130,642,628,1274,647,970,1609,10224,10828,21058,1724,1704,3432,3207,3047,6251,620,541,1158,224,251,478,32,51,85,18957,19466,38423,1010,1019,2030
SED52702,19514,19969,39482,885,834,1719,2747,2566,5312,1368,1235,2602,1024,834,1865,1437,1514,2944,2090,2368,4464,2831,3014,5848,2759,2854,5613,2464,2610,5076,1475,1539,3019,427,585,1017,18140,19102,37242,1374,863,2238,251,254,503,8,0,14,3,8,3,262,262,526,13583,13760,27349,5161,5592,10752,17732,18049,35781,982,1276,2257,17684,18153,35837,232,264,497,2651,2475,5124,1051,1004,2055,397,383,779,405,738,1146,8784,10159,18940,1636,1510,3149,3578,3218,6800,722,640,1368,319,317,637,36,40,80,17987,18844,36832,594,665,1260
SED52803,19984,16922,36906,1384,1276,2657,2600,2431,5031,1012,945,1959,1397,1143,2534,3366,2781,6151,3001,2537,5538,2812,2271,5079,2541,1985,4521,1339,1011,2347,456,396,852,87,153,230,18710,16007,34722,1273,916,2190,1609,1491,3104,36,20,55,46,43,81,1689,1555,3247,12662,11032,23696,4316,3978,8298,14470,12643,27111,2233,2244,4477,14227,12587,26815,297,329,628,2235,2105,4347,560,515,1077,167,165,332,470,684,1149,5764,5973,11729,1888,1518,3405,4205,3004,7204,836,587,1427,424,352,773,92,58,146,15350,14399,29748,11409,3968,15377
SED52903,17430,17919,35352,1385,1276,2660,2854,2752,5608,1077,1128,2204,1082,1167,2256,2790,3320,6111,2513,2801,5310,2362,2320,4679,1899,1899,3798,1080,891,1971,320,295,612,66,81,139,16068,16688,32757,1368,1232,2598,7006,7257,14263,33,40,71,145,170,312,7187,7462,14646,13054,13150,26195,1852,2250,4090,10982,11280,22268,3458,3886,7341,13843,14266,28115,274,247,520,2312,2214,4529,441,505,948,69,106,175,271,607,874,4666,6137,10799,1509,1629,3140,3136,2579,5716,760,640,1398,674,493,1165,171,144,318,14233,15129,29363,11117,10311,21427
SED53004,20431,21278,41711,1189,1136,2324,2782,2678,5464,1283,1220,2505,1136,953,2082,1995,2085,4081,2848,2930,5778,2687,2801,5483,2474,2839,5312,2551,2726,5276,1123,1287,2415,365,628,994,19327,20561,39889,1102,713,1822,159,199,358,9,3,11,4,5,16,171,215,385,13462,13944,27406,6340,6847,13186,17684,18286,35964,2105,2478,4585,18320,19135,37455,378,381,760,2705,2582,5285,1021,1038,2060,458,431,886,456,743,1197,9711,10633,20342,1659,1700,3358,3445,3487,6934,640,651,1296,285,388,673,55,80,143,19269,20404,39674,436,585,1018
SED53105,25394,24307,49705,2050,1909,3957,3955,3612,7570,1440,1328,2766,1653,1451,3106,4089,3968,8063,4430,4237,8675,3227,2920,6149,2208,2253,4462,1460,1569,3026,680,750,1430,201,312,516,24076,23546,47624,1315,762,2083,1157,675,1832,12,12,23,49,20,71,1214,708,1922,16147,14961,31112,8020,8360,16382,18273,18203,36473,4599,5072,9672,20119,20165,40285,588,567,1156,3730,3397,7131,1000,974,1975,411,457,863,618,1199,1819,9414,10630,20043,2066,1876,3950,5052,3921,8971,920,835,1754,496,481,981,141,95,232,22421,23062,45489,2177,948,3125
SED53204,23945,24654,48598,1791,1694,3484,3830,3662,7497,1703,1635,3336,1611,1468,3081,3015,3432,6445,3824,4060,7886,3389,3443,6825,2459,2540,5001,1482,1637,3118,641,796,1439,192,281,478,22880,24068,46953,1068,579,1646,223,236,457,9,7,19,12,4,16,243,252,491,14073,14266,28340,9139,9866,19001,15571,15929,31506,7494,8018,15515,21017,21655,42667,546,495,1036,3694,3538,7231,1347,1373,2719,609,662,1277,542,1016,1559,10967,12091,23062,1839,1725,3564,3326,3265,6590,744,735,1480,449,563,1012,237,331,569,22759,23979,46731,452,438,891
SED53306,21975,24212,46195,1368,1371,2738,2903,2921,5819,1292,1241,2531,1244,1331,2575,2521,2830,5351,2556,2835,5392,2638,2828,5464,2584,3012,5601,2541,2887,5432,1736,1996,3731,610,953,1567,20120,22942,43064,1859,1272,3133,738,838,1576,21,17,40,11,13,22,769,869,1639,14526,15886,30411,5831,6811,12645,18676,20590,39260,1680,2091,3774,18456,20455,38916,374,356,728,2699,2706,5397,854,877,1730,249,376,619,383,894,1278,7167,8575,15737,2104,2366,4475,4893,5357,10251,1168,1223,2388,704,735,1439,72,57,132,19570,22181,41751,1262,1558,2822
SED53402,21437,22006,43449,1311,1256,2569,2276,2063,4341,942,887,1823,1245,1367,2612,3780,4003,7785,3692,3624,7319,2832,2915,5748,2404,2390,4792,1773,1894,3671,857,1022,1873,324,589,910,20268,21077,41346,1166,930,2100,280,295,571,13,8,27,13,9,20,304,316,621,13179,13444,26626,7228,7665,14893,15981,16062,32040,4385,5008,9398,17958,18524,36483,382,376,757,2166,1964,4131,738,752,1491,543,618,1164,993,1438,2427,12009,12838,24848,1320,1244,2565,2386,2403,4783,544,513,1057,414,548,971,89,148,239,19818,20556,40381,1000,1018,2020
SED53502,23218,23685,46900,1473,1418,2893,2821,2691,5507,1380,1214,2594,1504,1457,2958,3367,3423,6790,3212,3164,6372,3001,3087,6092,2827,2910,5743,2095,2285,4384,1142,1368,2510,394,647,1049,21721,22712,44431,1495,973,2472,1004,1045,2043,18,12,35,16,11,25,1040,1068,2108,15542,15683,31235,6225,6812,13045,18325,18488,36815,3389,3913,7302,19720,20126,39844,424,389,814,2643,2509,5150,960,855,1815,356,471,825,554,1026,1581,9070,10154,19226,2062,2015,4078,4540,4360,8901,977,875,1848,603,685,1292,111,132,242,21026,21986,43014,1662,1672,3333
