SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED54505,0,42,39,123,39,13,11,0,0,277,0,4,8,5,11,5,3,0,0,23,0,19,42,85,41,23,17,5,0,232,0,5,4,14,11,15,10,8,5,73,0,0,0,0,0,6,0,0,0,7,0,7,27,44,66,89,85,56,29,403,3,129,196,268,218,168,145,49,14,1190,0,42,98,153,103,116,88,53,13,662,7,84,159,219,219,133,67,33,18,940,0,19,7,92,21,19,19,5,0,175,0,16,5,43,31,15,13,0,0,128,0,6,0,22,6,4,0,0,0,38,0,44,35,30,21,25,17,9,0,182,0,15,18,71,61,43,20,11,0,239,3,0,0,17,10,22,25,10,0,94,0,0,20,34,44,41,21,9,4,176,13,206,168,379,219,195,150,108,40,1476,25,104,109,255,158,133,122,135,73,1101,1892,7299,6057,10066,6544,5195,4999,2773,1084,45908
SED54605,0,3,0,9,3,0,0,0,0,18,0,0,0,5,11,8,0,0,0,28,4,45,50,142,88,56,33,3,0,414,0,3,4,18,7,6,13,6,3,63,0,0,4,8,8,4,0,0,0,22,0,9,39,74,94,189,177,121,49,756,0,0,0,13,17,16,10,7,0,66,0,23,51,126,90,70,40,21,3,415,0,7,0,7,6,3,0,0,0,16,0,0,0,10,0,0,0,0,0,8,0,20,21,53,43,14,9,0,0,165,0,0,0,0,0,0,0,0,0,4,0,9,15,34,13,17,25,7,0,126,0,7,14,41,24,12,6,3,0,106,0,0,10,32,22,40,53,28,10,194,0,0,0,20,18,12,12,7,0,73,3,42,55,203,134,171,167,116,44,933,79,216,445,834,341,348,261,269,230,3028,1917,4356,4531,9341,5126,5975,5101,3201,1311,40861
SED54701,0,5,0,5,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,16,9,58,31,209,61,39,17,3,0,428,0,0,0,0,4,0,3,0,4,10,0,0,0,0,0,0,0,0,0,3,0,0,4,34,18,44,30,33,0,166,0,0,0,16,11,10,13,5,0,53,10,41,55,168,89,62,30,12,4,468,0,8,0,16,4,7,0,5,0,37,0,0,0,15,0,0,0,0,0,19,0,29,36,35,5,11,3,0,0,129,0,0,0,0,0,0,0,0,0,0,0,5,3,21,10,9,12,4,0,67,0,4,3,19,10,5,0,0,0,40,0,0,0,8,6,10,3,0,0,30,0,5,8,29,21,14,8,0,0,80,3,13,27,170,54,61,49,32,10,426,225,560,405,995,562,581,459,292,69,4152,2317,4972,3751,8816,4935,5437,4267,2382,778,37662
SED54804,0,4,0,14,0,3,0,0,0,14,0,0,0,0,17,4,6,0,0,32,0,11,14,91,17,25,9,0,0,174,0,0,0,61,19,17,31,10,10,160,0,0,0,3,0,0,0,0,0,6,4,14,28,177,59,82,68,43,16,485,0,23,21,91,34,24,28,8,9,233,3,30,107,451,152,115,64,28,7,962,0,3,4,21,12,5,9,6,3,67,0,8,0,23,9,0,6,0,0,41,0,9,12,45,16,7,6,0,0,101,0,0,0,13,3,0,5,0,0,17,10,23,20,122,33,32,25,13,0,282,0,3,7,29,23,29,16,3,5,114,0,0,0,57,25,20,17,10,5,120,0,3,19,104,37,46,24,14,0,242,12,87,84,769,227,187,126,82,25,1598,87,138,183,991,244,205,198,194,169,2410,2793,4687,4555,16028,5697,4692,3673,2370,1256,45753
SED54905,0,0,37,76,5,5,3,0,0,128,0,0,6,9,9,14,3,0,0,38,7,18,47,124,36,34,23,8,0,278,0,4,0,39,13,23,35,7,9,129,0,0,0,0,0,0,0,0,0,4,3,4,22,68,72,84,90,55,25,424,6,18,66,198,78,81,83,27,13,561,3,22,87,231,117,124,74,30,11,702,0,8,11,84,28,18,20,5,0,176,0,0,3,47,6,4,10,0,0,84,5,19,19,82,34,19,12,0,4,195,5,0,0,19,4,6,5,3,4,41,10,40,32,78,29,32,21,11,3,263,5,11,24,74,51,49,18,6,0,234,0,4,7,13,12,18,15,5,4,79,0,4,12,68,29,42,21,4,0,187,17,82,146,776,239,188,165,93,37,1757,64,114,201,584,220,232,233,218,206,2082,2024,4147,5893,12313,5250,5140,4763,2494,1228,43240
SED55005,11,101,73,330,77,28,12,0,0,627,0,5,7,14,14,5,5,0,0,47,5,78,178,359,198,107,46,8,0,973,0,0,4,24,7,5,15,0,5,70,0,0,0,8,5,0,0,0,0,19,0,14,23,61,62,80,73,38,16,371,4,54,131,207,181,171,103,18,10,872,3,48,162,275,259,177,50,29,10,1022,4,38,64,253,111,69,38,17,4,593,3,8,3,95,15,3,4,0,0,126,3,19,49,78,51,13,3,0,0,223,0,0,0,16,13,4,0,0,0,38,7,12,20,19,30,18,15,4,0,127,0,8,15,88,30,25,9,3,0,171,0,4,0,18,15,17,14,6,0,80,0,17,39,87,71,29,5,7,0,251,9,163,235,617,301,218,127,44,20,1737,82,225,192,579,256,178,142,105,72,1828,3530,8110,6858,14967,6941,5002,3601,1587,598,51193
SED55102,0,0,7,38,3,0,0,0,0,57,0,0,0,9,10,10,0,0,0,32,0,45,96,202,98,52,15,0,0,505,0,0,4,29,16,11,12,3,0,76,0,0,0,4,0,0,0,0,0,4,0,11,35,90,80,139,86,30,10,476,0,3,26,56,34,37,17,7,0,175,5,51,126,285,221,121,56,24,3,893,0,4,11,28,29,7,6,0,0,87,0,0,0,15,4,0,0,0,0,21,0,13,28,66,31,8,0,0,0,147,0,0,0,8,4,0,0,0,0,10,0,21,15,38,20,31,16,14,0,157,0,5,8,70,30,21,7,0,0,150,0,0,7,25,20,22,18,8,0,106,0,10,48,133,72,56,27,6,0,355,4,67,238,629,297,211,131,68,17,1658,101,299,256,736,425,313,189,86,22,2423,3363,7806,6201,14257,7062,5541,3624,1517,321,49692
SED55202,15,120,108,343,46,17,18,4,0,669,0,4,20,16,23,5,4,0,0,70,3,214,403,624,403,156,53,12,7,1870,0,0,4,15,12,12,23,6,0,73,0,0,0,11,13,4,5,0,0,28,0,6,0,32,52,87,94,99,13,386,0,17,39,116,67,105,85,36,5,478,0,24,55,97,80,50,45,25,3,386,4,25,39,233,65,27,24,15,5,431,0,3,0,66,3,6,0,0,0,74,5,48,97,141,48,36,5,0,0,369,0,5,3,27,12,13,0,0,0,63,0,8,8,32,6,28,21,3,0,109,0,15,15,90,42,36,21,7,0,234,0,0,0,10,10,24,22,13,9,80,0,0,18,48,22,25,14,3,0,127,8,110,226,615,284,193,156,107,23,1732,177,339,269,789,339,270,242,182,179,2783,3239,6401,5888,13694,5940,5199,4513,2600,1027,48500
SED55306,0,3,5,4,5,0,0,0,0,26,0,0,0,5,3,9,0,0,0,14,0,11,29,74,22,20,7,0,0,168,0,0,0,11,8,5,6,3,0,30,0,0,0,0,0,0,0,0,0,0,0,5,11,44,35,60,83,44,8,301,0,0,0,16,12,14,5,3,0,52,0,24,37,142,121,74,66,20,17,508,0,9,4,15,10,0,0,4,0,46,0,0,0,42,0,0,0,0,0,51,0,11,10,43,24,14,3,0,0,101,0,0,0,3,0,0,0,0,0,6,4,19,12,52,23,26,45,8,0,187,0,7,8,32,13,3,3,0,0,69,0,0,0,17,20,23,23,14,3,92,0,0,0,27,34,31,17,0,0,109,3,36,27,175,108,110,90,63,28,632,100,329,183,767,403,356,350,251,94,2829,2281,6207,3926,9951,6063,5844,5866,3104,1085,44333
SED55405,5,15,145,318,9,6,8,6,0,515,0,4,6,16,15,4,0,0,0,43,0,33,168,267,92,65,23,5,0,648,0,3,4,37,14,16,17,14,11,116,0,0,0,0,0,0,0,0,0,7,0,0,11,97,49,69,59,35,20,340,0,13,80,233,58,57,37,22,6,509,0,3,56,178,54,40,27,10,6,382,0,10,51,176,39,19,12,5,7,332,4,6,0,164,3,6,3,0,0,189,0,20,53,126,42,25,10,3,3,276,0,6,0,24,10,19,11,3,0,72,6,19,22,103,24,29,20,4,0,222,7,42,60,190,63,29,21,3,4,427,0,0,3,27,9,18,12,8,3,88,0,9,30,72,27,11,12,4,0,172,20,164,299,1502,255,179,122,63,47,2655,107,166,390,1133,323,257,169,198,244,2993,2679,4161,7078,18521,5281,4409,3299,1973,1221,48622
