SED_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SED51104,0,0,8,7,9,3,0,0,0,19,0,19,39,105,43,13,19,7,0,249,0,6,0,16,7,10,15,4,0,54,0,6,4,4,3,0,0,0,0,16,0,0,3,12,4,0,0,0,0,24,0,0,0,0,0,4,0,4,0,4,0,7,18,40,16,11,6,0,0,104,0,0,0,4,0,0,3,0,0,11,0,0,11,32,12,16,10,0,0,83,0,0,0,0,3,9,0,3,0,17,0,0,6,8,0,0,0,0,0,11,0,0,9,6,6,5,16,12,4,69,7,119,152,542,235,149,105,20,4,1333,0,0,0,4,0,0,0,0,0,9,0,0,5,12,3,3,0,0,0,31,0,0,3,3,7,3,3,0,0,16,0,21,73,97,56,14,6,0,0,273,0,0,4,9,5,14,16,3,0,53,0,0,0,0,0,0,0,0,0,3,3,45,89,139,119,85,45,32,8,564
SED51205,0,6,18,29,22,9,0,5,0,90,0,7,7,57,9,4,10,13,0,109,0,0,3,22,9,13,58,55,19,176,0,4,0,19,8,0,3,0,0,35,0,7,12,154,34,21,4,5,0,238,0,8,7,10,8,5,8,7,0,49,8,30,171,517,123,100,133,67,11,1156,0,0,0,0,0,0,0,0,0,0,0,4,20,103,18,18,8,0,0,171,0,3,18,82,65,49,53,20,6,298,5,11,62,209,24,6,0,0,0,317,0,0,0,7,0,4,16,19,5,54,4,40,53,177,98,103,54,19,5,553,0,0,0,0,0,0,0,0,0,3,6,31,57,282,30,11,5,0,0,422,0,0,5,0,10,0,0,0,0,13,3,73,160,320,164,75,12,0,0,813,0,0,0,9,13,11,16,3,4,48,0,0,0,6,5,0,4,0,0,11,0,0,4,19,21,34,26,21,3,128
SED51304,0,0,3,0,0,0,0,0,0,3,0,21,6,118,36,27,24,16,3,254,0,0,4,20,25,14,74,45,15,178,0,7,5,4,6,7,3,0,0,25,0,0,0,4,4,3,0,0,0,18,0,0,0,4,0,4,0,0,0,10,0,3,8,23,13,12,42,25,4,132,0,0,0,0,0,0,4,0,0,6,0,0,0,4,3,0,4,3,0,17,0,0,0,0,0,3,5,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,14,14,8,30,19,0,100,0,15,17,136,98,95,79,25,0,477,0,0,0,3,0,4,5,0,0,15,0,0,0,5,4,0,0,0,0,10,0,0,0,0,9,4,0,0,0,14,0,3,4,16,3,5,0,3,0,30,0,0,3,13,3,8,15,6,0,51,0,0,0,0,0,0,0,0,0,0,0,15,34,41,52,53,60,37,6,302
SED51401,0,0,0,9,0,0,0,0,0,15,0,0,3,19,0,5,7,7,0,41,0,0,0,0,0,11,20,6,8,50,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,8,8,6,5,5,4,0,28,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,5,0,0,0,0,5,8,35,27,6,75,0,11,25,112,105,127,96,21,0,499,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,18,0,0,0,0,4,0,0,0,0,6,0,19,34,52,30,4,0,0,0,142,0,0,0,0,3,0,3,3,0,10,0,0,0,6,0,0,0,0,0,4,0,0,0,4,13,16,23,17,0,77
SED51504,0,0,0,0,4,0,0,0,0,10,0,12,11,102,26,39,21,13,5,232,0,10,9,33,24,13,39,38,23,178,0,20,7,13,13,4,3,0,5,71,0,10,8,10,3,0,0,0,0,32,0,0,0,0,6,0,0,0,0,5,0,20,25,96,57,34,44,26,10,313,0,0,0,0,0,0,5,5,0,10,0,3,3,8,11,0,3,0,0,28,0,0,0,8,3,3,3,4,3,19,0,3,7,56,5,0,0,0,0,76,5,4,13,12,18,14,15,17,10,98,0,22,18,93,83,78,54,17,5,368,0,0,0,7,0,3,5,0,0,17,0,4,3,13,0,0,6,0,0,20,0,0,0,0,6,0,0,0,0,5,0,8,13,32,10,0,0,0,0,65,0,0,0,10,3,12,11,0,0,47,0,0,0,0,0,0,0,0,0,4,0,8,19,35,52,46,16,19,12,210
SED51605,0,0,0,4,3,0,0,0,0,10,0,15,4,81,23,9,6,5,0,148,0,0,3,22,13,54,79,53,20,249,0,0,3,12,3,0,0,0,0,25,0,5,15,67,16,9,0,0,0,113,0,0,4,0,6,4,0,0,0,12,0,17,35,98,37,27,28,8,0,248,0,0,0,4,0,4,0,0,0,6,0,0,3,16,4,5,0,0,0,41,0,0,0,6,5,0,4,0,0,14,0,0,4,25,0,0,0,0,0,32,0,0,6,10,7,12,18,8,5,63,6,56,75,304,169,95,53,13,0,764,0,0,0,0,0,0,0,0,0,7,0,4,3,33,3,3,0,0,0,56,0,0,0,0,5,0,0,0,0,3,5,69,148,211,164,47,8,3,0,655,0,0,0,20,11,16,15,6,0,66,0,0,0,0,0,0,0,0,0,5,0,16,14,70,40,54,42,21,3,269
SED51706,0,0,0,8,0,0,0,0,0,10,0,0,10,29,11,4,14,5,3,69,0,0,0,3,0,14,27,25,21,84,0,0,0,0,0,0,0,0,0,6,0,0,5,19,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,20,5,0,0,0,0,28,0,0,0,0,0,0,5,0,0,4,0,0,0,5,0,0,0,0,0,9,0,3,3,3,0,0,3,0,0,20,0,0,5,8,0,0,0,0,0,8,0,0,9,4,8,19,21,18,0,89,5,33,43,164,121,145,91,20,0,630,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,13,0,0,0,0,6,5,0,0,0,14,0,14,15,35,13,3,0,0,0,88,0,0,0,9,0,0,4,10,0,21,0,0,0,5,0,0,0,0,0,5,0,0,0,7,15,33,30,19,0,112
SED51804,0,0,0,8,0,0,0,0,0,15,0,5,8,84,17,29,17,14,3,172,0,9,7,30,22,4,31,18,7,121,9,4,9,20,5,5,5,0,0,56,0,0,0,5,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,6,5,14,18,36,27,31,27,16,4,174,0,0,0,0,0,0,0,6,0,8,0,0,0,11,0,6,11,0,0,26,0,0,0,0,3,11,0,0,0,15,0,0,0,6,0,0,0,0,0,3,0,9,14,19,16,12,15,3,3,93,5,12,23,111,45,74,42,21,5,328,0,0,0,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,0,12,0,0,0,0,7,0,0,0,0,8,0,4,4,16,8,0,0,0,0,29,0,0,0,9,6,11,15,0,0,46,0,0,0,0,0,0,0,0,0,0,0,10,8,21,50,45,25,26,6,199
SED51902,0,0,6,6,9,0,0,0,0,13,0,3,0,41,17,16,20,13,0,111,0,0,0,0,3,12,45,20,12,93,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,4,0,16,13,12,5,9,0,60,0,0,0,0,0,0,3,4,0,6,0,3,6,25,7,3,0,0,0,47,0,0,0,5,3,5,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,19,50,35,3,148,13,43,63,259,166,143,65,17,0,768,0,0,0,0,0,0,0,0,0,0,0,8,4,17,3,0,0,0,0,38,0,0,12,8,7,0,0,0,0,25,0,12,32,52,30,8,4,0,0,134,0,0,0,10,3,3,3,0,0,23,0,0,0,7,0,0,4,0,0,10,0,11,16,46,43,56,34,24,0,222
SED52006,0,0,0,0,0,0,0,0,0,0,0,17,14,42,10,16,26,7,4,130,0,0,0,5,6,11,27,16,3,65,0,0,0,0,0,0,0,0,0,7,0,3,0,10,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,10,9,5,0,41,0,0,0,0,0,0,7,3,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,6,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,3,4,5,6,43,25,4,93,0,42,64,177,117,138,140,47,8,743,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,0,0,11,0,27,30,20,8,3,3,0,0,96,0,0,0,0,0,0,8,4,0,19,0,0,0,0,0,0,0,0,0,4,0,13,16,26,32,51,62,50,3,259
SED52102,0,0,0,0,4,4,0,0,0,16,0,0,4,49,16,10,11,11,3,111,0,0,0,3,6,24,34,23,19,104,0,4,0,3,0,0,3,0,0,11,0,0,3,20,8,10,0,0,0,38,0,0,3,7,0,3,0,0,0,15,0,21,7,79,21,11,16,4,3,169,0,0,0,0,0,3,3,3,0,9,0,0,6,21,3,5,8,0,0,41,0,10,20,75,35,21,22,13,0,206,0,0,0,20,4,0,0,0,0,25,0,0,0,3,0,13,21,25,8,70,0,48,73,269,145,171,78,16,4,809,0,0,0,0,0,0,0,0,0,0,0,12,9,30,11,0,0,0,0,59,0,5,5,10,8,0,0,0,0,24,0,33,80,149,87,24,14,0,0,387,0,0,0,14,5,5,7,3,0,24,0,0,0,4,0,0,0,0,0,4,0,0,9,23,19,25,32,22,3,135
SED52205,0,0,0,4,3,6,0,0,0,11,0,3,13,130,34,24,21,12,3,247,0,4,10,100,42,40,120,148,130,596,0,0,4,14,3,0,4,0,0,30,0,0,0,7,0,0,0,0,0,11,0,0,0,0,0,4,3,0,0,7,0,3,8,17,11,9,8,6,0,61,0,0,0,0,0,0,6,0,0,3,0,0,0,7,4,4,8,4,0,22,0,0,0,0,4,4,5,0,0,13,0,0,9,8,0,0,0,0,0,10,0,3,6,20,19,8,17,11,5,78,3,13,22,207,116,108,66,15,0,554,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,0,5,0,0,19,0,0,0,4,6,3,0,0,0,12,0,32,49,60,51,10,6,0,0,203,0,0,0,10,10,8,15,5,3,44,0,0,0,4,0,0,0,0,0,4,0,8,12,62,40,60,48,25,0,260
SED52301,0,0,0,0,0,0,0,0,0,3,0,0,0,16,10,0,3,0,0,37,0,0,0,3,5,4,18,23,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,19,9,8,0,0,0,39,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,7,0,6,0,11,0,0,0,0,0,10,0,0,0,8,5,5,15,14,3,47,0,19,16,83,59,92,66,16,4,361,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,5,3,24,28,70,39,15,0,0,0,176,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,26,18,17,0,79
