SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED51104,601,566,1173,2221,2061,4283,304,307,611,586,584,1166,3112,2964,6080,1421,1267,2694,320,325,640,457,419,878,2205,2009,4217,139,160,299,64,179,252,201,123,330,194,375,569,3,3,3,604,845,1450,284,449,737,134,263,396,69,113,182,194,355,552,0,0,4,684,1185,1871,1288,2035,3319,93,99,192,158,286,440,0,0,0,248,380,628,1658,1334,2997,9111,9296,18406
SED51205,508,456,963,1298,1216,2516,363,348,709,366,364,733,2026,1930,3959,924,807,1722,299,242,540,250,252,509,1470,1307,2772,277,184,464,266,351,620,152,79,228,233,386,618,3,8,9,933,1007,1940,727,833,1558,432,550,979,98,124,223,200,287,491,0,5,10,1458,1792,3253,2401,2805,5210,189,188,375,142,254,399,4,4,7,335,441,778,1552,1358,2912,8300,8297,16596
SED51304,394,381,773,1557,1494,3049,361,316,678,219,234,453,2140,2047,4185,1017,921,1945,361,360,721,426,451,879,1806,1730,3540,68,64,130,40,52,89,119,42,162,85,138,228,0,0,0,313,299,613,514,572,1089,106,121,233,74,100,171,166,270,441,0,0,5,867,1069,1936,1183,1372,2545,20,38,55,86,132,215,0,0,0,108,168,272,612,535,1149,6234,6235,12471
SED51401,239,229,470,1098,1077,2176,243,233,481,59,58,117,1404,1375,2775,726,716,1440,132,133,264,76,94,168,935,944,1875,28,30,61,19,38,51,96,64,163,56,194,252,4,0,6,201,330,538,41,76,115,15,46,67,15,28,37,50,126,177,0,0,0,120,279,399,318,611,929,33,38,70,43,75,121,0,0,4,76,118,198,2586,1906,4491,5554,5184,10742
SED51504,412,376,786,1526,1435,2958,391,325,720,282,207,490,2198,1975,4177,925,847,1773,474,463,934,757,471,1234,2160,1783,3947,82,90,171,86,124,211,82,35,114,120,176,296,0,0,0,372,424,797,752,814,1570,255,310,567,108,128,236,248,401,650,0,3,3,1365,1663,3027,1733,2088,3821,56,67,121,93,141,238,0,9,5,150,213,365,646,607,1250,7307,7039,14344
SED51605,505,463,969,1592,1562,3154,523,543,1061,155,153,301,2268,2257,4530,906,847,1750,689,653,1344,262,233,494,1856,1735,3589,102,101,200,80,131,213,184,109,298,160,285,449,0,0,0,527,635,1158,428,662,1090,152,234,388,84,136,220,229,359,585,5,4,10,896,1393,2290,1422,2027,3448,49,46,95,127,172,298,3,4,7,178,223,399,1067,863,1928,7299,7564,14863
SED51706,389,376,762,1387,1237,2625,387,365,752,218,223,444,2002,1825,3831,992,957,1948,294,328,616,230,255,478,1507,1536,3045,83,65,149,23,104,124,181,91,268,112,259,377,4,6,12,405,522,931,48,111,158,18,104,124,13,42,60,95,208,303,0,0,0,174,460,642,582,993,1577,44,58,104,67,131,200,3,0,6,113,188,302,1530,1276,2808,6131,6195,12326
SED51804,339,312,651,1052,962,2017,172,246,419,414,400,816,1644,1611,3249,478,423,896,294,393,680,1171,1168,2341,1944,1981,3921,51,43,89,41,56,99,53,36,90,85,157,240,0,4,5,233,296,531,895,1024,1922,228,301,534,115,110,226,263,378,642,0,4,4,1509,1819,3327,1745,2116,3863,34,29,63,74,130,202,3,3,6,106,160,265,1055,1070,2125,6827,7247,14072
SED51902,494,463,955,1634,1565,3193,359,310,674,452,502,961,2448,2389,4836,1126,1040,2165,217,209,418,466,448,912,1807,1695,3501,85,86,170,39,98,141,204,112,319,167,279,443,0,0,0,494,581,1075,210,381,593,70,158,235,62,83,149,118,263,379,0,0,0,464,883,1351,964,1463,2431,66,71,140,102,187,285,0,0,0,168,258,427,1499,927,2425,7373,7203,14576
SED52006,286,302,584,1016,1073,2089,316,332,647,232,206,440,1568,1611,3181,751,684,1431,389,373,762,264,268,533,1407,1320,2730,67,82,147,31,97,134,161,73,233,107,222,326,6,0,6,368,476,844,156,319,484,45,131,167,22,64,89,98,200,300,0,0,4,325,718,1045,703,1195,1889,32,46,85,102,149,250,0,0,0,130,200,332,1221,944,2168,5314,5571,10884
SED52102,414,367,775,1517,1379,2893,201,188,391,235,254,486,1955,1819,3777,976,965,1939,261,227,485,200,217,419,1438,1409,2847,97,91,186,67,128,200,163,111,266,144,241,386,0,3,0,471,568,1038,249,361,608,102,161,261,47,78,126,111,227,336,0,0,0,506,829,1336,973,1398,2375,69,61,125,104,147,245,8,0,7,175,209,387,1149,955,2095,6098,6156,12252
SED52205,338,329,668,918,867,1785,211,240,451,139,156,291,1267,1271,2538,564,538,1108,361,349,709,172,195,373,1099,1089,2190,58,57,112,70,111,185,103,67,167,143,220,365,0,3,5,377,461,835,373,571,953,217,365,586,95,97,192,236,480,717,3,0,8,923,1521,2451,1300,1984,3286,37,28,69,113,194,305,4,0,4,159,222,384,1528,1271,2793,5700,6157,11854
SED52301,343,334,673,952,815,1769,439,478,918,241,256,497,1640,1554,3193,714,662,1375,412,479,888,187,196,385,1315,1341,2653,64,98,162,39,78,115,153,124,277,143,331,475,0,5,8,405,630,1033,35,85,116,27,100,127,19,45,62,91,244,329,0,0,0,169,462,634,576,1094,1673,33,37,67,73,114,195,4,0,0,112,157,266,2025,1680,3706,6002,6155,12162
SED52404,406,350,750,1177,1096,2275,353,364,714,309,304,614,1837,1768,3605,844,761,1608,299,296,599,461,459,922,1608,1519,3132,84,78,158,36,76,109,152,50,199,113,200,311,0,0,0,388,400,787,424,544,973,117,163,280,70,86,154,158,290,451,0,0,6,762,1091,1853,1151,1489,2641,25,47,73,113,178,291,0,0,0,139,226,365,727,546,1271,5870,5899,11765
SED52505,724,650,1372,2356,2329,4686,335,305,635,337,362,702,3028,3000,6031,1421,1340,2766,304,304,611,405,442,845,2129,2092,4218,117,93,209,98,157,253,141,73,211,202,330,530,0,0,0,555,649,1209,657,799,1457,197,307,508,104,132,239,264,396,661,0,0,0,1227,1641,2865,1788,2291,4079,87,93,174,155,249,401,0,4,7,245,341,587,1865,785,2646,9773,9164,18940
SED52604,310,281,589,1161,1041,2201,277,269,546,213,222,432,1656,1529,3194,780,690,1470,384,407,786,387,353,742,1547,1450,2999,105,89,190,54,91,145,168,80,246,109,191,304,0,0,0,439,447,888,536,643,1178,235,237,465,86,117,202,179,317,498,9,0,6,1040,1313,2348,1482,1763,3247,61,58,122,107,148,254,4,3,3,169,208,379,928,696,1619,6095,5928,12022
SED52702,284,289,575,1130,1048,2186,211,221,437,337,336,672,1686,1613,3299,666,658,1328,526,401,923,493,473,966,1682,1536,3219,61,64,126,30,48,80,169,65,237,130,171,304,0,0,0,387,355,740,314,410,720,70,114,182,75,81,157,135,288,426,0,0,0,594,892,1484,984,1242,2227,36,45,82,68,138,205,4,0,4,103,183,288,842,668,1506,5587,5531,11115
SED52803,325,351,681,1232,1110,2346,259,250,510,100,108,206,1592,1476,3070,601,638,1239,330,305,631,79,69,149,1018,1010,2029,51,45,98,43,36,80,150,92,237,169,275,448,5,0,4,415,454,867,66,70,134,77,70,148,13,26,38,112,198,311,7,3,10,267,371,639,680,826,1506,48,27,75,68,114,191,3,4,9,122,149,268,3210,2000,5206,6957,5806,12765
SED52903,302,251,554,1248,1151,2404,408,369,779,88,83,173,1751,1599,3357,657,717,1370,187,194,385,64,94,155,905,1005,1909,35,38,78,20,26,43,48,50,107,100,204,310,0,0,0,209,323,532,27,55,85,33,86,116,4,37,45,77,225,311,0,0,0,145,407,550,350,732,1089,24,18,45,34,69,102,0,0,0,58,89,149,2906,2718,5623,6281,6401,12682
SED53004,371,335,701,1429,1359,2786,243,252,495,207,190,393,1880,1802,3684,1068,1003,2068,205,228,434,262,266,531,1533,1503,3035,86,89,172,37,73,109,147,60,208,115,161,273,0,0,0,387,382,765,387,484,872,102,136,236,81,86,165,140,279,415,0,6,3,704,988,1690,1095,1367,2467,49,33,81,96,144,236,0,0,0,142,177,321,649,499,1151,5671,5681,11355
SED53105,561,543,1100,2138,1913,4052,305,316,622,229,235,461,2672,2471,5138,1047,923,1967,328,330,654,352,319,676,1731,1574,3307,96,101,202,80,153,235,175,105,278,168,340,503,4,0,6,523,704,1229,291,409,702,107,237,337,73,74,149,170,293,459,0,0,0,639,1012,1652,1166,1722,2887,79,94,173,142,207,351,3,6,3,225,303,527,2496,1008,3505,8848,7617,16469
SED53204,527,471,999,1871,1719,3589,373,432,805,340,310,650,2587,2462,5051,1353,1230,2576,337,376,718,351,429,780,2038,2042,4083,126,96,225,63,132,195,154,66,223,136,264,395,3,0,6,487,559,1046,521,699,1222,121,182,303,117,130,249,145,266,414,0,0,0,904,1275,2183,1396,1843,3234,63,61,125,125,223,345,3,0,5,192,280,472,816,602,1420,7560,7702,15263
SED53306,376,358,730,1271,1320,2593,234,226,456,333,330,657,1841,1878,3715,917,804,1715,150,207,358,383,372,756,1445,1386,2828,79,111,196,50,113,159,140,109,249,130,272,400,0,0,4,402,608,1010,159,319,476,59,161,221,35,53,87,98,206,302,0,5,5,349,741,1088,754,1344,2095,55,79,131,89,169,258,0,0,3,145,250,392,1707,1610,3309,6267,6819,13083
SED53402,397,371,764,929,867,1790,410,398,812,106,131,235,1446,1389,2845,588,471,1062,413,369,777,168,202,374,1174,1043,2216,104,79,174,134,187,323,70,51,124,187,265,450,4,6,6,495,585,1081,469,598,1068,265,335,601,96,108,204,302,451,755,7,0,7,1131,1501,2635,1628,2090,3724,61,64,124,116,191,307,0,0,0,177,255,436,1087,939,2026,5917,6089,12007
SED53502,424,379,797,1171,1112,2281,400,368,771,261,280,541,1841,1766,3607,663,652,1322,371,320,693,432,340,777,1469,1320,2793,103,112,211,65,142,209,154,88,240,158,264,419,5,4,4,479,609,1086,232,378,612,112,197,308,55,77,138,158,284,442,0,3,3,556,949,1505,1042,1556,2601,53,62,112,107,191,298,0,0,3,162,252,414,1538,1301,2841,6474,6581,13051
SED53602,422,382,800,1344,1205,2544,395,370,761,332,285,615,2078,1864,3939,1004,948,1950,380,342,727,257,267,521,1642,1559,3203,153,176,333,194,278,470,109,84,197,206,388,596,4,0,9,666,942,1603,466,604,1067,207,221,426,98,104,202,121,202,320,3,0,3,892,1123,2017,1571,2069,3641,128,145,273,150,226,381,8,3,4,285,379,657,1718,1552,3267,7709,7803,15513
SED53701,224,234,455,1048,954,2005,246,272,518,116,111,223,1414,1333,2745,647,550,1198,237,240,477,141,196,334,1031,991,2022,36,41,81,14,39,47,111,63,175,66,172,241,3,0,0,235,317,548,44,84,121,17,64,82,7,29,35,35,148,179,0,0,0,101,324,424,335,640,972,28,38,59,35,73,111,4,4,6,68,114,181,2438,1931,4371,5506,5240,10739
SED53802,388,370,756,1028,888,1918,428,412,842,197,213,411,1659,1520,3183,667,565,1230,407,397,804,249,226,476,1322,1187,2507,134,104,244,134,196,331,123,71,197,169,276,450,3,0,3,568,655,1219,527,554,1080,216,244,464,62,84,143,201,255,460,5,4,6,1017,1142,2153,1591,1801,3395,93,97,188,141,177,311,5,5,9,237,276,513,1109,965,2072,6303,6116,12420
SED53902,330,292,625,834,739,1573,303,316,622,191,228,417,1333,1288,2621,472,457,925,353,295,649,275,414,686,1107,1168,2271,82,79,156,109,165,271,70,60,129,140,225,369,0,0,0,400,520,929,616,821,1434,296,322,615,93,112,200,242,377,622,3,6,7,1246,1633,2883,1651,2158,3814,56,63,117,121,171,288,0,8,5,178,239,414,964,898,1860,5562,6040,11607
SED54006,334,300,633,1238,1108,2345,388,362,744,305,270,579,1935,1737,3674,1026,1003,2037,258,299,561,255,306,557,1545,1608,3154,79,83,164,19,82,105,167,99,270,108,247,354,4,0,4,380,514,896,70,164,236,19,125,141,23,34,62,54,177,233,0,0,0,178,495,672,553,1013,1570,39,31,68,69,108,179,0,0,3,112,140,246,1607,1252,2855,6079,6061,12138
SED54104,369,339,708,1262,1238,2502,158,178,343,312,261,575,1736,1682,3415,796,690,1486,152,202,354,648,539,1184,1601,1429,3027,54,63,113,50,108,163,30,30,64,105,176,288,0,3,3,246,386,634,1591,1782,3373,590,583,1175,133,140,277,328,453,777,4,5,11,2640,2963,5603,2893,3353,6240,50,71,117,108,160,266,0,3,3,155,230,383,1045,941,1989,7800,7971,15769
SED54203,173,181,349,784,696,1476,90,75,164,52,45,100,928,811,1741,365,331,697,53,56,110,33,21,53,448,407,860,13,9,22,12,17,30,34,22,58,66,118,182,0,0,0,122,164,289,10,20,27,11,32,42,5,18,23,47,124,171,0,0,0,73,193,267,194,357,559,21,16,35,28,45,72,3,0,3,53,60,113,2472,1629,4102,4267,3458,7724
SED54304,375,288,660,945,908,1858,195,174,367,88,131,221,1231,1214,2449,546,494,1040,238,197,436,137,185,324,925,876,1802,170,171,349,269,364,632,101,77,170,241,373,618,0,0,0,778,988,1772,780,1013,1793,585,627,1212,119,167,281,495,587,1084,4,6,12,1988,2401,4386,2771,3390,6161,137,172,306,195,263,455,0,0,5,334,431,766,2328,1621,3952,7961,7821,15778
SED54403,462,412,880,1925,1863,3791,257,234,494,95,71,170,2280,2180,4458,1113,1003,2122,197,194,391,43,48,91,1356,1246,2604,54,36,89,49,66,114,133,93,232,229,384,614,6,0,6,475,584,1058,15,47,67,33,93,124,20,23,41,163,272,434,0,0,0,226,443,669,703,1032,1729,35,52,88,88,161,248,0,0,0,123,212,335,5332,3116,8447,10252,8199,18455
SED54505,380,359,737,2187,2002,4185,150,149,299,136,119,253,2471,2267,4738,2060,1892,3952,116,105,222,176,168,350,2351,2168,4521,80,66,142,60,112,172,94,38,132,119,224,340,0,0,0,350,440,792,876,997,1876,205,232,435,101,101,203,178,281,461,0,4,4,1362,1616,2981,1710,2064,3777,54,64,124,92,117,216,0,5,5,150,188,339,613,571,1177,7675,7620,15295
SED54605,244,235,483,1006,912,1921,253,218,472,162,198,364,1424,1330,2753,733,653,1391,227,236,460,193,170,363,1155,1064,2219,80,81,164,49,110,159,132,100,230,135,225,357,4,4,10,400,521,921,134,241,377,71,135,205,38,63,93,119,197,309,0,0,0,363,631,994,765,1153,1918,48,42,92,95,133,234,0,0,0,142,182,324,1792,1351,3148,5528,5314,10837
SED54701,299,294,589,1318,1293,2613,172,164,340,60,62,117,1553,1521,3077,867,817,1687,24,30,55,162,201,362,1055,1051,2103,51,37,92,18,25,43,101,79,183,74,255,332,4,3,9,242,407,644,30,78,106,24,50,75,18,37,48,39,137,184,0,3,4,109,306,418,352,716,1064,22,23,41,33,75,112,0,0,0,57,101,156,2115,1886,4000,5428,5568,10993
SED54804,437,367,798,1078,1012,2092,363,339,703,148,171,320,1594,1523,3120,708,671,1378,265,260,526,246,414,659,1217,1346,2564,73,58,133,82,128,213,83,40,126,174,260,433,0,0,5,417,488,905,434,641,1072,163,267,429,84,93,180,300,446,746,7,0,6,985,1448,2436,1406,1944,3349,31,48,83,117,203,321,3,0,3,152,255,407,1317,1168,2486,6120,6604,12723
SED54905,351,316,667,801,699,1500,326,269,591,246,218,465,1374,1183,2560,355,331,691,622,321,941,520,515,1027,1499,1164,2660,117,83,202,69,109,180,86,62,145,129,208,339,3,0,0,399,457,861,955,1056,2013,366,368,731,138,147,281,303,404,701,3,7,10,1762,1973,3738,2168,2437,4602,65,47,112,100,151,246,0,3,3,159,200,358,1056,1075,2134,6607,6374,12984
SED55005,494,515,1007,2079,1987,4063,327,332,654,427,418,842,2832,2741,5577,1389,1279,2669,284,308,593,425,406,834,2098,2002,4100,125,112,236,96,169,262,168,98,269,189,314,504,4,0,7,585,691,1274,606,771,1376,154,200,354,95,120,209,165,258,422,0,0,3,1016,1354,2373,1602,2050,3655,105,103,214,155,191,345,0,0,5,263,295,557,1043,923,1966,8335,8523,16859
SED55102,544,444,984,1914,1822,3737,346,335,683,385,340,723,2650,2500,5150,1220,1079,2296,352,377,731,459,439,903,2029,1904,3932,86,106,189,40,116,154,178,104,287,153,280,433,0,0,5,455,611,1066,285,383,662,68,168,243,37,94,128,123,284,407,5,0,8,516,924,1439,980,1534,2510,68,77,151,119,194,306,0,0,0,185,276,458,3257,1083,4342,9637,7736,17379
SED55202,404,408,817,1451,1421,2875,258,269,523,362,354,720,2082,2054,4127,1042,1010,2054,286,262,551,258,287,539,1586,1557,3147,157,176,333,129,257,387,157,97,258,164,337,506,6,5,14,612,871,1485,375,509,881,160,225,383,75,93,171,135,195,328,0,4,6,738,1028,1774,1358,1909,3264,94,102,199,141,194,340,4,0,7,248,302,547,1539,1393,2930,7206,7626,14836
SED55306,353,374,726,1257,1096,2351,422,412,835,337,337,680,2024,1841,3868,873,772,1651,378,429,805,333,346,679,1596,1552,3144,66,37,103,32,86,120,156,86,240,130,263,393,5,0,5,390,473,864,43,110,154,37,122,157,15,30,43,74,278,356,0,0,0,165,556,718,558,1028,1584,47,43,88,66,154,219,0,3,8,119,199,315,1480,1298,2779,6127,6290,12420
SED55405,337,349,689,980,883,1861,289,279,566,185,185,370,1451,1346,2797,527,485,1013,325,324,649,131,161,291,985,976,1965,240,164,403,245,264,506,139,78,218,214,312,523,7,4,7,841,815,1658,1152,1244,2393,750,639,1390,143,164,301,345,473,816,7,4,11,2386,2530,4916,3241,3343,6584,155,136,282,149,192,340,6,3,10,309,332,640,1732,1630,3362,8059,7974,16036
SED55504,504,506,1013,1862,1785,3645,440,438,877,305,302,608,2608,2526,5134,1271,1293,2563,288,281,569,365,314,682,1929,1887,3819,129,110,240,54,110,165,179,105,289,152,261,415,0,6,0,510,599,1111,368,537,908,102,245,350,81,113,193,172,349,521,0,3,6,721,1250,1971,1240,1847,3088,77,74,154,115,206,316,0,0,5,196,280,476,1136,863,1995,7609,7910,15526
SED55605,468,419,883,1926,1815,3745,271,293,567,420,379,797,2624,2494,5122,1450,1337,2790,246,282,531,479,522,1001,2185,2145,4331,123,128,250,33,129,161,259,128,387,164,297,459,0,4,4,584,688,1263,269,422,695,83,175,261,47,103,156,128,302,430,0,7,7,529,1008,1537,1114,1693,2809,66,78,147,130,188,319,3,0,3,199,274,471,1433,993,2430,8027,8015,16046
