SED_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SED51104,..,39,1048,1989,1986,1415,1085,646,142,8341,..,258,1125,619,395,197,77,24,7,2692,..,7,46,124,171,97,30,14,3,495,6575,..,..,..,..,..,..,..,..,6575,..,1323,..,..,..,..,..,..,..,1323,..,1277,505,149,65,21,3,0,0,2022,..,168,139,49,42,38,48,19,7,507,..,73,108,35,26,18,8,0,0,268,..,85,164,67,58,35,20,10,0,438,..,89,336,326,383,289,216,128,55,1820,68,91,83,47,37,26,19,6,3,378,6648,3405,3555,3394,3160,2144,1496,850,219,24873,..,87,1621,2375,2163,1361,982,511,61,9173,..,433,1305,656,398,164,68,15,3,3052,..,88,571,702,617,298,125,59,25,2489,6212,..,..,..,..,..,..,..,..,6212,..,1354,..,..,..,..,..,..,..,1354,..,957,251,42,44,30,0,0,0,1334,..,144,74,37,49,88,122,69,34,621,..,60,47,21,13,11,4,0,4,159
SED51205,..,65,1644,2456,1604,1281,1222,658,147,9075,..,192,635,340,233,122,67,23,5,1615,..,6,39,76,102,94,41,26,11,404,4743,..,..,..,..,..,..,..,..,4743,..,1175,..,..,..,..,..,..,..,1175,..,751,636,202,126,51,11,0,0,1781,..,303,305,96,68,80,56,25,14,942,..,208,357,121,47,27,10,5,0,777,..,438,732,241,138,113,62,13,4,1742,..,122,420,419,336,385,347,188,75,2297,38,65,75,67,35,24,19,10,8,340,4776,3319,4839,4033,2686,2185,1845,943,252,24881,..,170,2294,2426,1538,1353,1086,437,56,9355,..,290,674,364,197,148,43,18,0,1735,..,43,229,373,420,269,159,95,59,1659,4458,..,..,..,..,..,..,..,..,4458,..,1049,..,..,..,..,..,..,..,1049,..,521,381,115,64,37,10,4,0,1134,..,218,188,46,58,152,138,85,37,921,..,161,260,49,15,11,10,0,0,510
SED51304,..,0,334,1803,2086,1745,2001,1068,176,9224,..,30,360,299,250,178,87,26,3,1235,..,0,0,55,123,54,26,13,9,282,4249,..,..,..,..,..,..,..,..,4249,..,1368,..,..,..,..,..,..,..,1368,..,707,426,141,99,31,4,0,0,1409,..,70,46,20,23,21,24,14,7,211,..,31,46,4,14,12,4,3,0,111,..,51,101,33,21,33,24,25,9,287,..,34,74,95,149,155,222,170,74,966,34,43,28,22,23,13,19,6,10,200,4279,2328,1428,2476,2788,2246,2417,1317,275,19551,..,12,578,2138,2153,1887,1942,715,95,9514,..,58,410,373,246,158,61,17,0,1318,..,7,54,212,314,172,87,67,30,938,4090,..,..,..,..,..,..,..,..,4090,..,1323,..,..,..,..,..,..,..,1323,..,509,269,69,46,24,4,0,0,914,..,55,21,13,11,44,68,40,35,293,..,26,28,15,6,9,6,0,0,82
SED51401,..,14,428,861,1052,1342,1413,724,176,5998,..,159,390,266,273,257,144,45,0,1531,..,0,29,46,79,66,40,20,16,295,2816,..,..,..,..,..,..,..,..,2816,..,328,..,..,..,..,..,..,..,328,..,557,259,135,82,43,6,0,0,1087,..,74,48,29,27,49,50,25,16,313,..,25,36,20,20,20,10,5,0,133,..,66,69,39,47,66,55,17,0,362,..,124,191,163,338,551,583,291,89,2332,53,76,61,61,65,70,87,32,8,497,2871,1419,1512,1612,1979,2458,2383,1156,302,15699,..,32,620,1004,1189,1444,1297,539,77,6198,..,216,440,287,271,266,92,26,3,1607,..,22,150,261,255,125,84,57,32,989,2765,..,..,..,..,..,..,..,..,2765,..,377,..,..,..,..,..,..,..,377,..,327,111,40,51,31,7,0,0,569,..,61,4,21,20,58,57,41,31,297,..,31,20,8,13,3,5,0,0,84
SED51504,..,14,638,1996,2220,1637,1125,729,246,8609,..,68,464,356,244,207,79,44,9,1464,..,0,8,45,86,68,34,13,17,259,4408,..,..,..,..,..,..,..,..,4408,..,1617,..,..,..,..,..,..,..,1617,..,573,348,95,44,41,8,0,0,1108,..,80,79,24,12,13,28,7,12,256,..,36,56,20,6,9,0,0,0,128,..,124,321,72,41,29,38,13,5,644,..,88,240,259,211,259,268,159,108,1593,32,41,38,35,25,14,24,11,5,224,4439,2638,2191,2894,2900,2267,1606,983,395,20312,..,23,991,2268,2251,1502,1049,590,126,8803,..,101,543,329,244,160,72,25,4,1480,..,4,47,235,405,195,57,52,56,1054,3959,..,..,..,..,..,..,..,..,3959,..,1541,..,..,..,..,..,..,..,1541,..,351,219,36,47,44,4,0,0,705,..,101,80,21,16,56,78,56,43,449,..,32,79,12,7,4,0,0,0,131
SED51605,..,16,916,2207,2194,1610,1047,486,100,8576,..,166,803,472,312,170,87,25,4,2038,..,6,31,101,137,63,38,10,10,396,4958,..,..,..,..,..,..,..,..,4958,..,1276,..,..,..,..,..,..,..,1276,..,1051,570,133,83,22,4,0,0,1870,..,137,123,60,38,36,30,17,7,452,..,68,76,44,35,18,9,0,0,254,..,117,217,94,60,49,23,11,0,567,..,86,343,336,266,262,172,95,51,1610,28,60,69,49,27,18,9,10,0,268,4981,2981,3146,3496,3151,2250,1417,656,178,22262,..,39,1329,2544,2306,1512,901,319,48,8997,..,267,915,483,311,157,60,16,0,2209,..,37,228,426,464,233,85,50,24,1540,4742,..,..,..,..,..,..,..,..,4742,..,1377,..,..,..,..,..,..,..,1377,..,758,350,77,30,26,8,0,0,1250,..,93,72,22,40,79,102,71,38,517,..,67,67,19,19,8,6,0,0,187
SED51706,..,20,629,1327,1479,1665,1579,812,156,7670,..,163,632,397,340,298,164,35,7,2044,..,7,32,96,108,45,27,11,13,340,4244,..,..,..,..,..,..,..,..,4244,..,713,..,..,..,..,..,..,..,713,..,894,282,136,77,38,8,0,0,1435,..,83,71,31,22,41,36,13,7,303,..,65,64,37,20,25,5,5,0,212,..,81,80,39,57,68,57,18,0,400,..,79,210,221,294,376,395,195,69,1836,78,90,71,55,50,47,55,20,6,466,4321,2202,2063,2340,2447,2604,2322,1100,265,19664,..,52,925,1607,1703,1773,1417,580,66,8123,..,291,704,415,382,289,123,25,0,2233,..,35,262,419,338,135,91,56,35,1370,3946,..,..,..,..,..,..,..,..,3946,..,767,..,..,..,..,..,..,..,767,..,571,181,67,40,29,11,0,0,893,..,71,34,11,25,72,56,50,26,339,..,76,45,18,12,10,6,5,0,175
SED51804,..,5,360,1265,1929,1765,1469,981,280,8048,..,61,495,300,237,217,152,64,14,1551,..,3,6,39,92,80,27,6,5,268,3422,..,..,..,..,..,..,..,..,3422,..,1628,..,..,..,..,..,..,..,1628,..,492,327,81,61,17,3,0,0,981,..,84,51,10,5,13,18,10,18,205,..,20,51,11,4,0,3,0,0,93,..,163,306,56,34,33,22,18,3,638,..,87,257,233,246,334,357,251,117,1888,48,53,71,37,32,28,18,18,0,307,3467,2589,1925,2021,2649,2486,2083,1357,438,19026,..,12,520,1589,2115,1728,1371,755,161,8249,..,112,569,278,254,206,120,34,10,1575,..,3,32,166,438,227,80,42,52,1036,3249,..,..,..,..,..,..,..,..,3249,..,1661,..,..,..,..,..,..,..,1661,..,348,247,39,29,32,12,0,0,700,..,89,36,4,9,31,39,48,30,285,..,40,50,13,5,11,3,0,0,125
SED51902,..,42,968,1838,1832,1782,1359,661,105,8591,..,163,702,474,381,271,108,12,9,2125,..,4,35,83,126,57,28,20,12,362,5328,..,..,..,..,..,..,..,..,5328,..,995,..,..,..,..,..,..,..,995,..,1098,450,135,95,36,0,0,0,1809,..,108,81,40,35,47,59,19,25,415,..,62,65,38,29,18,8,8,0,230,..,48,72,55,50,57,38,11,0,327,..,48,204,203,195,185,179,125,35,1168,52,81,48,46,35,17,19,12,6,315,5379,2646,2624,2908,2786,2477,1798,868,189,21675,..,83,1483,2063,1980,1756,1231,450,48,9107,..,251,843,521,410,228,73,12,0,2346,..,43,265,379,336,148,78,46,23,1318,5026,..,..,..,..,..,..,..,..,5026,..,1172,..,..,..,..,..,..,..,1172,..,794,273,64,36,38,4,0,0,1205,..,96,41,17,35,93,100,77,37,499,..,56,45,17,16,18,11,0,0,173
SED52006,..,10,368,909,1286,1605,2040,1311,256,7790,..,117,449,329,287,270,181,76,8,1713,..,4,25,81,115,72,37,16,16,356,3339,..,..,..,..,..,..,..,..,3339,..,809,..,..,..,..,..,..,..,809,..,774,288,135,91,31,12,0,0,1329,..,88,43,35,25,28,21,14,4,266,..,44,41,25,15,21,4,0,0,143,..,49,81,37,55,60,59,29,3,368,..,56,176,166,200,345,437,282,112,1764,33,64,57,35,43,50,51,30,7,366,3373,2007,1521,1744,2114,2474,2840,1755,404,18248,..,22,622,1248,1545,1805,2017,1004,121,8387,..,203,566,369,333,252,167,53,4,1954,..,46,252,395,400,197,86,61,49,1482,3297,..,..,..,..,..,..,..,..,3297,..,930,..,..,..,..,..,..,..,930,..,502,168,41,43,33,14,3,0,804,..,93,20,13,35,56,64,54,28,359,..,55,22,10,10,14,3,0,0,117
