SED_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SED51504,0,5,11,14,20,29,65,143,154,439,0,0,17,15,19,19,12,16,19,119,42,58,244,223,154,135,193,165,160,1366,1058,2353,5031,6385,6412,4923,3774,2466,1341,33747
SED51605,8,9,12,46,69,140,241,256,105,899,0,3,18,16,25,39,51,42,20,225,84,135,318,344,283,216,165,154,63,1757,1327,3090,6991,7811,7012,5007,3174,1467,447,36334
SED51706,11,12,25,43,59,107,288,367,171,1079,3,4,17,9,10,17,22,12,10,106,138,102,304,334,372,417,399,323,189,2592,1221,1979,4902,5516,5783,6183,5279,2646,821,34333
SED51804,0,5,5,14,14,23,58,87,85,301,0,0,0,4,8,14,13,6,4,50,88,115,296,233,243,255,297,300,285,2120,1159,2544,4563,4809,6154,5714,4944,3392,1505,34777
SED51902,12,10,18,43,55,76,145,189,84,620,0,3,5,22,19,9,20,16,10,105,98,107,324,357,350,268,180,154,75,1907,1404,2557,6370,6732,6429,5615,3946,1793,464,35310
SED52006,15,6,17,39,50,84,250,376,187,1027,0,0,8,13,15,15,16,21,3,90,91,104,234,283,329,288,342,349,191,2209,1075,1876,3731,4435,5322,6084,6843,4001,1125,34486
SED52102,17,12,58,65,99,133,209,230,106,935,0,3,47,64,64,71,42,28,13,329,111,127,348,358,289,286,202,160,103,1995,1156,2452,5771,6361,5408,4952,3758,1912,667,32436
SED52205,9,10,21,34,69,105,307,508,337,1389,0,9,11,18,26,37,43,73,86,315,91,185,535,402,425,353,310,285,251,2838,895,2552,6601,6244,6046,5786,4590,2482,1186,36391
SED52301,15,15,25,35,62,149,276,368,202,1143,0,12,16,21,20,31,37,37,28,189,224,193,478,521,493,439,335,267,154,3113,1241,2051,4629,4788,5297,5080,3918,2122,832,29948
SED52404,4,3,17,12,24,53,109,153,87,457,0,0,10,9,8,17,15,14,4,82,50,61,195,211,195,179,158,117,78,1241,1063,2152,4897,5917,5665,5457,4662,1922,564,32297
SED52505,10,14,28,47,60,100,162,118,61,600,0,4,22,37,46,64,59,30,4,262,81,76,292,368,225,192,153,98,48,1536,1295,3215,8993,10572,6657,5523,3936,1362,354,41904
SED52604,3,4,17,28,27,52,130,109,54,426,5,5,11,6,17,15,7,17,4,86,68,117,242,221,251,251,211,220,201,1783,1160,2847,4647,5130,5995,6214,4288,1784,664,32727
SED52702,11,0,10,13,22,45,150,197,132,580,4,4,4,10,4,8,17,12,21,80,58,58,141,183,225,244,199,218,152,1474,1049,1865,2945,4464,5850,5613,5074,3014,1017,30878
SED52803,15,19,29,75,87,147,183,127,56,745,6,3,14,35,29,23,19,12,5,146,220,423,994,851,738,676,371,172,73,4516,1110,2530,6151,5527,5079,4520,2347,843,230,28341
SED52903,86,46,123,127,173,204,210,115,24,1102,12,9,21,25,51,43,64,66,21,318,309,375,1012,795,816,641,353,133,47,4479,1418,2245,6098,5305,4676,3798,1971,612,139,26258
SED53004,9,0,19,12,23,39,145,214,161,619,4,0,9,13,16,9,20,33,31,139,45,46,150,189,191,145,156,145,101,1179,1021,2081,4078,5778,5478,5314,5273,2412,994,32426
SED53105,22,18,55,60,100,132,231,224,99,933,4,5,28,55,60,28,29,23,7,232,136,149,489,466,320,250,216,134,81,2232,1334,3098,8053,8667,6136,4458,3022,1424,516,36710
SED53204,8,9,39,86,133,155,231,203,100,957,0,4,41,106,121,131,95,43,29,570,69,99,235,232,225,164,145,89,64,1331,1334,3072,6443,7881,6821,5003,3117,1439,478,35586
SED53306,24,10,33,54,81,146,314,443,289,1395,4,9,11,15,16,26,31,18,7,134,125,189,390,413,428,382,386,471,400,3188,1253,2575,5352,5390,5460,5601,5432,3726,1567,36347
SED53402,8,5,31,59,72,125,173,249,204,928,0,3,20,20,36,46,35,39,42,239,67,135,410,358,285,245,221,201,140,2057,810,2602,7779,7311,5745,4787,3671,1873,907,35480
SED53502,16,15,34,52,93,148,293,370,219,1249,0,3,28,40,23,35,36,41,32,242,99,189,459,395,419,365,314,331,335,2903,1240,2953,6780,6366,6088,5740,4377,2513,1049,37115
SED53602,12,20,198,284,337,391,481,435,195,2356,3,17,152,280,293,292,199,110,79,1423,160,248,518,526,386,278,286,272,156,2834,1290,3452,7427,6629,5748,5316,4198,2169,750,36977
SED53701,10,14,40,46,64,142,280,365,155,1094,0,4,11,7,10,11,14,24,16,97,199,178,439,522,660,776,676,424,117,3989,878,1462,3488,4230,5267,6509,5755,2743,694,31032
SED53802,7,14,61,116,125,215,400,485,292,1712,0,10,42,52,88,111,81,88,64,528,87,150,401,397,256,251,213,186,89,2020,990,2866,7394,6674,5422,5070,4412,2736,991,36550
SED53902,4,6,28,36,51,76,180,372,325,1069,0,4,19,22,43,37,33,55,68,281,53,106,352,293,239,209,216,265,212,1937,833,2704,6819,6186,5372,4814,3911,2760,1649,35055
SED54006,8,10,30,34,69,126,308,429,204,1222,0,3,14,6,14,7,13,17,12,91,173,151,318,380,439,417,408,326,160,2772,1258,1929,4320,5189,5737,6086,5537,2867,826,33751
SED54104,4,0,10,14,12,39,46,65,96,285,0,8,14,13,12,11,15,6,8,80,97,161,356,298,218,201,303,239,127,2007,1572,3887,6802,6075,5642,5149,4796,2891,1157,37958
SED54203,20,15,40,48,88,114,166,131,18,636,0,3,20,15,30,17,22,21,12,139,191,303,817,725,649,517,304,129,35,3668,618,1311,3912,3558,3186,2907,1772,691,139,18089
SED54304,3,11,28,26,50,64,155,225,210,774,0,10,47,29,16,41,30,57,65,296,81,439,1295,726,494,417,318,204,97,4072,848,4456,14211,9473,6399,5376,3574,1590,733,46661
SED54403,19,14,36,63,108,115,122,55,16,547,3,8,22,31,41,32,16,17,10,182,352,531,1909,1747,1295,936,260,67,18,7110,1263,2634,9460,9161,6624,4493,1267,288,55,35244
SED54505,6,4,13,38,54,70,166,198,136,677,0,3,16,24,20,28,41,40,49,221,53,74,119,184,177,176,150,187,143,1263,1229,2607,3535,6524,6538,5186,4997,2768,1084,34472
SED54605,9,7,27,35,73,134,255,295,206,1049,0,4,11,16,17,19,31,23,12,140,123,341,500,387,356,379,308,422,297,3104,1046,2476,4730,4604,5125,5975,5100,3201,1308,33560
SED54701,18,9,49,48,70,128,245,361,190,1116,0,6,8,24,30,39,47,25,17,199,208,214,444,527,567,567,519,360,132,3537,989,1774,4260,4553,4933,5431,4268,2383,782,29376
SED54804,4,0,17,21,36,53,113,220,195,658,0,0,13,13,17,26,23,22,13,119,74,121,621,427,242,226,232,249,256,2450,855,2401,8537,7486,5695,4692,3676,2370,1256,36969
SED54905,12,0,22,26,25,63,102,129,116,491,4,0,19,17,23,34,27,21,9,153,50,147,374,251,228,251,295,326,391,2321,1100,3444,6622,5684,5247,5134,4763,2495,1228,35710
SED55005,14,11,55,123,148,164,239,179,99,1033,0,13,67,105,110,73,78,40,33,518,107,108,355,330,295,202,171,159,102,1830,1537,3329,6483,8468,6935,4993,3590,1587,598,37518
SED55102,8,18,53,62,77,86,168,164,54,695,3,7,26,58,81,68,32,20,8,299,136,148,443,487,467,316,220,120,28,2356,1519,2814,6690,7563,7060,5533,3624,1516,321,36645
SED55202,20,33,121,182,147,221,330,286,196,1537,8,16,140,150,157,136,84,59,28,774,126,169,419,478,379,293,280,258,221,2636,1317,3063,6603,7056,5929,5191,4506,2595,1024,37300
SED55306,9,11,21,25,37,72,179,280,247,888,0,5,34,14,18,20,12,9,13,118,118,83,353,427,406,364,375,312,172,2598,983,1471,4130,5819,6063,5844,5867,3100,1085,34371
SED55405,6,13,42,61,59,100,170,232,215,907,4,6,40,45,47,64,42,40,22,314,105,327,782,481,357,320,266,344,421,3401,1212,4924,10903,7601,5280,4405,3292,1969,1221,40819
SED55504,11,10,36,55,65,94,153,196,95,709,0,7,19,30,55,46,31,23,10,210,90,106,295,311,300,245,189,180,134,1846,1429,3000,6743,7487,6522,5059,3735,1980,643,36599
SED55605,16,20,24,41,49,104,156,166,74,647,5,4,9,14,24,19,17,15,3,101,145,153,365,432,403,261,170,127,80,2132,1799,3058,6154,6773,7254,5610,3112,1572,478,35811
SED55706,18,18,48,37,63,92,206,294,173,937,5,7,28,20,30,14,9,25,12,152,173,136,348,476,641,581,551,355,181,3447,996,1353,3828,5250,6045,6857,6345,2962,919,34561
SED55802,9,11,75,111,126,163,220,202,106,1029,5,16,73,107,113,90,70,35,23,522,114,108,437,369,277,215,173,125,83,1898,1438,3458,9098,8109,6360,5436,3169,1629,591,39285
SED55905,6,8,20,28,69,128,302,421,223,1207,4,9,10,18,36,32,42,42,28,217,101,125,334,318,232,221,263,252,271,2111,1131,2779,5665,5228,5091,5087,4088,2637,1222,32920
SED59494,7,3,9,14,14,15,36,20,3,117,0,3,5,6,3,6,5,0,0,30,105,231,662,813,740,495,244,66,19,3375,215,558,1509,1543,1313,1144,758,156,30,7225
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,46,77,50,21,3,0,0,226,6,31,116,170,109,62,18,0,0,515
