SED_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SED53204,20,187,152,100,245,217,83,144,10,1156,25,148,105,75,251,242,54,118,182,1206,1006,3726,3003,1997,5388,5369,1588,3426,395,25905
SED53306,26,127,92,51,127,136,41,79,8,682,36,108,79,44,114,136,38,113,150,820,1033,2922,2321,1390,3233,2842,1029,3057,358,18179
SED53402,19,129,112,84,163,190,58,100,15,873,35,86,102,47,185,209,60,117,135,969,957,3193,2824,1826,4876,5061,1767,3336,311,24156
SED53502,38,148,116,61,235,186,91,153,5,1030,45,121,105,55,211,231,48,147,184,1158,1055,3062,2570,1717,4611,4460,1510,3533,383,22896
SED53602,31,185,177,72,215,201,73,101,19,1064,32,173,151,92,305,264,51,118,283,1461,668,3189,2838,1708,4558,3900,1063,2312,562,20790
SED53701,23,83,74,43,88,115,36,107,12,577,56,109,62,38,72,122,38,123,127,749,972,2342,1869,1145,2065,2897,1110,4388,401,17184
SED53802,32,191,194,90,231,185,56,110,10,1106,29,161,118,58,232,222,46,96,191,1157,798,3286,2900,1793,4915,4557,1319,2815,397,22769
SED53902,24,153,93,75,160,145,46,110,4,809,32,121,103,47,141,181,46,113,132,908,812,3434,2745,1711,4286,4703,1491,3162,288,22627
SED54006,36,141,91,55,80,122,41,126,14,709,38,104,75,45,113,108,46,134,134,791,1119,2891,2136,1360,3022,2950,1229,3783,406,18889
SED54104,18,135,86,40,93,67,32,68,10,554,21,168,102,56,129,212,63,131,122,1007,796,4637,2770,1715,3487,5104,1660,3881,252,24311
SED54203,7,42,24,17,39,53,13,55,3,262,21,51,39,11,45,56,25,99,112,453,719,956,802,579,1258,1634,650,3467,328,10389
SED54304,30,146,140,82,207,179,54,107,8,947,28,134,121,69,213,278,64,160,211,1286,1191,3721,3636,2153,6302,7574,2269,5119,433,32392
SED54403,26,104,60,42,115,116,67,248,11,790,51,75,38,32,93,165,68,290,173,994,1546,1915,1430,1022,2854,3797,2203,8481,496,23732
SED54505,20,142,88,67,123,125,33,66,0,669,18,162,97,60,166,244,50,112,113,1016,657,3871,2644,1688,4088,4688,1242,2500,226,21593
SED54605,20,114,79,55,100,137,38,76,10,636,49,84,52,56,135,160,39,115,135,837,990,2353,1971,1304,3128,3292,1058,2812,306,17216
SED54701,25,80,67,41,98,181,62,106,8,679,42,111,50,35,75,105,37,103,141,703,991,2318,1797,1251,2204,3315,1214,4293,388,17768
SED54804,38,161,127,84,164,181,57,106,3,923,31,122,82,64,132,234,58,144,147,1017,1147,3497,2767,1870,4333,5555,1850,4111,306,25435
SED54905,19,128,95,57,128,144,40,84,4,698,25,115,88,64,130,216,48,105,133,930,847,3709,2758,1629,3914,4915,1551,3452,252,23038
SED55005,24,170,129,86,230,219,69,122,9,1053,32,135,120,80,281,300,70,145,220,1391,857,3561,2831,1952,5470,5228,1493,3197,446,25028
SED55102,32,172,111,74,207,252,83,186,19,1137,46,143,90,73,210,263,63,173,200,1261,1137,3324,2694,1646,4384,4595,1588,4262,481,24114
SED55202,31,142,106,68,232,199,69,93,20,944,27,124,116,70,272,273,70,135,213,1301,774,3032,2595,1693,4665,4109,1258,2587,460,21163
SED55306,31,162,103,66,125,146,52,84,7,771,42,126,85,71,79,110,39,105,117,763,1322,3619,2830,1889,3004,3395,1215,3224,321,20820
SED55405,27,166,128,78,160,153,61,100,7,880,30,132,123,67,202,269,55,105,209,1184,961,3971,3552,1978,5188,5518,1695,3310,418,26592
SED55504,37,209,148,104,238,266,76,134,9,1226,37,142,85,83,246,279,66,138,231,1306,1107,3604,2993,2015,5007,5013,1581,3580,468,25381
SED55605,29,160,103,68,170,148,40,120,9,858,56,115,80,61,186,249,62,171,172,1145,1287,3459,2661,1748,4229,4427,1520,4168,389,23889
SED55706,32,110,80,59,101,119,37,78,11,623,54,144,91,43,78,131,33,103,151,828,1296,3342,2644,1763,2569,3243,1065,3453,420,19794
SED55802,25,179,167,90,270,269,88,138,23,1249,34,141,113,96,285,290,50,159,218,1394,1065,3600,3124,2051,5911,5487,1642,3871,476,27227
SED55905,29,142,113,76,161,158,55,84,9,821,33,123,83,58,171,210,50,124,134,1001,897,3060,2499,1537,3839,4084,1297,2576,312,20095
SED59494,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
SED59797,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
