SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED52803,15999,13222,29218,8490,4728,13217,1152,2729,3883,723,539,1257,409,287,695,10765,8279,19051,2599,3338,5941,3.8,3.5,3.6,67.3,62.6,65.2,64.8,60.5,62.8,355,335,691,111,248,356,1007,1479,2483,692,997,1689,4521,1789,6306,246,337,581,162,246,412,4931,2368,7297,13059,11692,24751,3410,3016,6427,8065,6955,15019,7269,6712,13985
SED52903,13192,13888,27084,5074,4409,9482,1144,2175,3316,551,561,1118,523,390,916,7293,7538,14829,3797,4271,8064,7.2,5.2,6.2,55.3,54.3,54.8,51.3,51.4,51.4,262,492,753,152,391,546,971,1988,2964,689,1028,1715,2781,1322,4108,179,330,510,175,225,403,3136,1884,5019,11611,11894,23503,2705,3217,5919,7239,7285,14525,5927,6724,12654
SED53004,16459,17461,33920,7896,4411,12309,2403,5387,7785,535,637,1166,540,411,946,11362,10851,22210,4519,6195,10712,4.7,3.8,4.3,69,62.1,65.5,65.8,59.8,62.7,755,733,1492,340,697,1037,2626,3536,6157,1767,1997,3764,4412,1995,6406,161,259,414,216,498,709,4780,2749,7530,17678,18496,36179,1888,2040,3933,13124,13520,26644,5420,6023,11438
SED53105,19391,18794,38180,9534,5164,14692,2161,5358,7519,731,763,1495,828,786,1621,13261,12071,25333,5067,5911,10975,6.3,6.5,6.4,68.4,64.2,66.3,64.1,60,62.1,612,708,1320,191,447,638,2029,3027,5058,1461,1969,3431,5006,2887,7896,345,483,825,232,431,668,5586,3799,9383,19406,19635,39040,3110,3324,6426,12449,12163,24614,8368,9215,17579
SED53204,18322,19293,37611,10094,5682,15778,2625,6109,8732,664,733,1394,633,620,1249,14015,13144,27157,3592,5640,9243,4.5,4.7,4.6,76.5,68.1,72.2,73.1,64.9,68.9,759,738,1499,220,509,725,2600,3579,6177,1718,2170,3885,4462,2444,6904,220,375,599,251,485,735,4934,3305,8233,20517,21309,41831,2318,2468,4788,14141,14476,28618,7223,7892,15112
SED53306,17713,19924,37639,6541,3615,10153,1991,4642,6637,737,652,1389,803,683,1483,10069,9595,19667,6214,8990,15203,8,7.1,7.6,56.9,48.2,52.3,52.3,44.7,48.3,307,332,642,145,373,514,1089,2020,3116,1242,1948,3194,5177,3100,8275,276,472,749,238,484,716,5689,4056,9740,16895,18810,35708,3149,3660,6808,10522,11453,21971,8403,9840,18240
SED53402,17842,18684,36534,8984,6057,15041,2737,5106,7847,558,708,1267,612,579,1183,12888,12452,25340,3984,5413,9399,4.7,4.6,4.7,72.2,66.6,69.4,68.8,63.5,66.1,1363,1619,2982,501,879,1382,4108,4902,9009,1773,1919,3694,3103,1723,4824,186,266,450,188,375,567,3479,2365,5843,16964,17446,34408,3130,3347,6478,10437,10759,21201,8575,9033,17611
SED53502,18917,19571,38492,8933,5179,14115,2285,5065,7342,699,738,1440,702,602,1309,12623,11586,24202,4931,6832,11762,5.6,5.2,5.4,66.7,59.2,62.9,63,56.1,59.5,561,638,1198,247,483,735,1811,2713,4523,1442,2072,3517,5060,2757,7819,318,439,756,262,482,737,5642,3676,9314,18423,18871,37299,3011,3253,6267,11870,12035,23908,8295,8879,17171
SED53602,19156,19512,38672,7633,4200,11832,3023,4707,7740,621,605,1226,929,856,1782,12207,10361,22574,5586,7850,13436,7.6,8.2,7.9,63.7,53.1,58.4,58.9,48.7,53.8,581,533,1112,126,302,431,1840,2336,4183,1354,1682,3039,3834,2275,6115,320,422,742,279,467,749,4434,3168,7604,19617,19783,39406,2608,2519,5122,13257,13425,26686,7556,7571,15127
SED53701,16619,15324,31942,6923,3534,10456,1613,3739,5356,789,579,1372,430,293,722,9757,8150,17909,4804,5601,10404,4.4,3.6,4,58.7,53.2,56.1,56.1,51.3,53.8,168,250,414,85,317,400,804,1660,2463,901,1478,2378,4436,1914,6350,175,340,519,223,320,547,4832,2581,7411,14916,13986,28904,2291,2300,4591,10974,10054,21030,5474,5505,10976
SED53802,18474,19367,37844,8439,5162,13595,2920,5056,7977,520,671,1191,715,660,1373,12593,11548,24142,4927,7017,11943,5.7,5.7,5.7,68.2,59.6,63.8,64.3,56.2,60.2,978,1029,2003,286,549,834,3018,3652,6673,1831,2079,3911,3818,2029,5850,216,314,531,225,438,662,4260,2782,7045,18330,18976,37300,2775,2805,5581,11905,12458,24370,8021,8196,16210
SED53902,17232,18976,36209,8214,5426,13645,2810,5079,7885,471,628,1098,567,499,1071,12066,11642,23700,4305,6532,10834,4.7,4.3,4.5,70,61.3,65.5,66.7,58.7,62.5,1445,1485,2933,463,781,1252,4228,4881,9107,1658,2028,3689,2670,1453,4122,128,266,400,206,412,619,3002,2130,5134,16043,17599,33640,3085,3310,6394,10095,11096,21190,8127,8939,17072
SED54006,17479,17746,35229,7371,3610,10984,1816,4567,6383,829,695,1520,553,542,1095,10571,9414,19984,5550,7268,12816,5.2,5.7,5.5,60.5,53,56.7,57.3,50,53.6,183,229,413,107,322,434,882,1719,2598,1029,1634,2658,5564,3057,8625,277,499,774,242,436,671,6081,3995,10073,17197,17225,34425,2705,2917,5622,11842,11726,23569,6995,7474,14477
SED54104,18943,20488,39432,8514,5625,14140,3301,5820,9126,431,619,1050,625,586,1211,12868,12658,25523,5140,6983,12121,4.8,4.6,4.7,67.9,61.8,64.7,64.6,58.9,61.7,3682,3165,6846,667,1123,1790,6223,6992,13213,1277,1819,3094,1296,812,2104,141,161,299,143,331,478,1582,1303,2882,17190,18191,35385,4282,4732,9016,9771,10661,20432,10834,11413,22249
SED54203,10295,8199,18488,4514,2499,7011,795,1530,2330,611,431,1039,244,172,412,6165,4631,10803,2004,2229,4237,4,3.6,3.8,59.9,56.5,58.4,57.5,54.5,56.2,136,185,322,53,143,196,591,994,1592,510,608,1124,2824,1005,3826,134,180,318,104,132,235,3060,1318,4379,7818,6601,14426,2120,1904,4022,4723,3820,8545,4593,4078,8673
SED54304,24462,23045,47500,12793,8468,21258,3578,5929,9508,760,861,1619,843,693,1532,17968,15955,33927,4212,5528,9740,4.7,4.3,4.5,73.5,69.2,71.4,70,66.2,68.2,2919,2802,5718,716,1042,1757,7031,7268,14299,2183,2330,4517,2989,1538,4523,192,247,438,229,337,568,3412,2120,5531,18722,17991,36711,6234,6152,12388,9155,9092,18246,14743,14120,28864
SED54403,20749,15634,36385,11373,5958,17331,1350,3019,4363,1161,873,2039,408,384,793,14292,10234,24526,1982,2954,4935,2.9,3.8,3.2,68.9,65.5,67.4,66.9,63,65.2,370,421,795,170,360,529,1245,2226,3473,1191,1396,2584,6494,2211,8704,311,454,770,200,266,471,7010,2938,9946,15649,12877,28535,5107,4687,9797,7160,5362,12518,11907,10755,22660
SED54505,17700,19018,36719,8004,4503,12513,2773,5436,8205,415,460,877,630,590,1219,11820,10989,22814,5343,7557,12899,5.3,5.4,5.3,66.8,57.8,62.1,63.2,54.7,58.8,2205,1811,4015,458,743,1207,4421,5117,9537,1641,1948,3589,2588,1214,3802,177,221,391,192,393,584,2958,1825,4783,18948,19914,38865,2777,2841,5621,12805,13597,26409,8071,8361,16430
SED54605,17181,17407,34583,6738,3546,10290,1703,3931,5635,693,606,1296,817,641,1457,9947,8724,18671,5623,7501,13127,8.2,7.3,7.8,57.9,50.1,54,53.2,46.4,49.8,293,354,645,153,350,498,1065,1783,2852,1344,1740,3078,5238,2656,7890,285,408,685,265,403,672,5787,3469,9253,15723,16169,31893,2776,2859,5631,10668,10871,21537,6956,7330,14286
SED54701,15521,14853,30370,7437,3587,11018,1557,3812,5372,714,671,1377,336,264,600,10041,8328,18369,3802,5041,8849,3.3,3.2,3.3,64.7,56.1,60.5,62.6,54.3,58.5,147,194,338,95,287,380,947,1925,2868,775,1254,2032,3678,1883,5560,221,355,576,169,275,444,4070,2511,6585,14415,13879,28296,2460,2452,4910,10211,9595,19808,5689,5806,11493
SED54804,18091,20182,38276,9488,6359,15849,2486,5652,8135,625,821,1450,488,454,938,13089,13289,26374,3807,5832,9637,3.7,3.4,3.6,72.3,65.8,68.9,69.6,63.6,66.4,1384,1521,2903,488,924,1410,4269,5632,9898,1783,2236,4018,3493,1660,5153,147,218,361,221,438,658,3864,2306,6175,16749,18283,35031,3572,4105,7676,9871,10721,20597,9253,10570,19821
SED54905,17882,19187,37069,8322,5515,13836,2934,5163,8096,493,603,1100,584,499,1085,12334,11782,24121,4585,6408,10995,4.7,4.2,4.5,69,61.4,65.1,65.7,58.8,62.1,2156,1931,4092,544,892,1439,4922,5468,10388,1576,1897,3476,2236,1277,3513,147,203,348,188,342,526,2568,1822,4388,16422,17197,33616,3549,3721,7277,9719,10489,20206,9320,9509,18828
SED55005,19377,20179,39552,9976,5401,15380,2790,5553,8341,660,651,1306,803,809,1610,14231,12412,26636,4269,7034,11304,5.6,6.5,6,73.4,61.5,67.4,69.3,57.5,63.3,1174,1136,2312,249,467,718,2743,3707,6449,1694,1968,3662,4213,2426,6643,265,390,659,219,399,617,4694,3218,7918,21274,21905,43177,2755,2861,5617,14639,14826,29460,7878,8436,16313
SED55102,19852,18676,38522,9434,5399,14829,2216,5447,7666,839,777,1612,589,590,1171,13072,12212,25289,5627,5629,11254,4.5,4.8,4.6,65.9,65.4,65.6,62.9,62.3,62.6,421,541,958,184,438,619,1516,2448,3963,1551,2135,3686,5641,3119,8761,284,456,738,239,469,709,6165,4046,10206,19368,19772,39138,2821,2968,5790,13355,13499,26850,7311,7936,15244
SED55202,19148,19713,38857,8368,4247,12611,2631,4685,7315,658,579,1233,926,845,1775,12580,10354,22938,5313,8216,13537,7.4,8.2,7.7,65.7,52.5,59,60.9,48.2,54.5,662,689,1351,162,339,500,1865,2656,4521,1559,1830,3392,4588,2517,7103,301,433,733,262,444,698,5143,3395,8541,19569,20017,39592,2707,2807,5508,13224,13485,26709,7673,7973,15648
SED55306,17256,18591,35843,7057,3785,10840,2567,5772,8343,854,789,1641,339,300,640,10815,10650,21460,5194,6890,12087,3.1,2.9,3,62.7,57.3,59.9,60.7,55.7,58.1,402,471,873,217,574,793,1794,3047,4843,1438,2126,3566,5044,2618,7668,255,404,660,260,484,748,5564,3510,9074,16619,17623,34238,3264,3552,6813,10680,11113,21795,8234,9083,17315
SED55405,21223,20554,41774,9707,6005,15711,3819,5681,9500,643,733,1377,869,715,1581,15045,13135,28175,4524,6015,10543,5.8,5.4,5.6,70.9,63.9,67.4,66.8,60.4,63.6,2040,1987,4030,457,766,1226,4767,5218,9983,1923,2023,3942,3248,1779,5030,292,330,617,215,316,527,3746,2426,6175,17624,17509,35133,5103,4591,9697,9319,9549,18865,12265,11386,23657
SED55504,18717,19642,38364,9793,5392,15182,2518,6095,8615,797,788,1581,651,645,1300,13752,12924,26678,4030,6027,10059,4.7,5,4.9,73.5,65.8,69.5,70,62.5,66.2,507,564,1072,193,462,659,1792,3073,4861,1601,2368,3976,5617,2948,8559,269,413,685,277,510,787,6166,3870,10033,20172,21090,41267,2760,2962,5723,13984,14465,28449,7519,8118,15639
SED55605,18535,19269,37802,9452,4895,14349,2126,5738,7869,897,777,1676,789,780,1568,13265,12190,25460,4069,6303,10371,5.9,6.4,6.2,71.6,63.3,67.4,67.3,59.2,63.2,318,353,672,175,419,592,1122,2297,3421,1579,2158,3738,6166,3697,9859,341,497,839,251,498,753,6762,4686,11445,19645,20197,39835,3137,3392,6527,13084,13266,26351,8132,9025,17156
SED55706,17821,18046,35874,6818,3507,10330,2593,5156,7748,894,826,1719,387,331,719,10699,9817,20512,5488,6784,12275,3.6,3.4,3.5,60,54.4,57.2,57.8,52.6,55.2,466,528,993,214,522,737,1738,2804,4541,1240,2044,3288,4602,2385,6987,266,414,682,291,429,720,5160,3229,8387,16568,16689,33256,2880,3054,5933,11292,11170,22459,7222,7691,14913
SED55802,20053,21100,41149,10819,6096,16914,2786,5991,8779,729,814,1537,730,749,1477,15063,13644,28708,4037,6720,10761,4.9,5.5,5.2,75.1,64.7,69.8,71.5,61.1,66.2,629,774,1409,207,442,647,2242,3305,5551,1804,2256,4059,5355,3108,8463,334,373,706,303,522,820,5991,3999,9994,21494,21986,43477,3138,3350,6484,13391,13546,26935,9337,10018,19352
