SED_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED51804,45,86,93,98,109,79,45,10,0,565,50,73,137,161,244,158,63,25,6,917,1293,1967,3678,3887,4938,3826,1673,376,27,21658
SED51902,75,126,290,228,221,169,38,5,0,1145,90,106,263,281,237,186,55,20,4,1232,1606,1979,4932,5344,5164,3904,1003,120,9,24059
SED52006,49,71,138,110,153,115,48,4,0,690,44,64,115,143,147,112,63,19,6,716,1222,1384,2669,3328,4076,3640,979,114,3,17412
SED52102,64,115,248,217,183,157,39,12,0,1031,48,98,276,263,200,162,53,9,4,1107,1134,1836,4415,5024,4236,3311,894,67,9,20930
SED52205,36,80,172,169,150,137,39,8,0,785,36,73,267,271,219,150,59,10,0,1089,929,1900,5181,4908,4600,3747,1117,125,9,22527
SED52301,64,95,166,152,138,115,40,12,0,777,55,65,121,119,139,106,49,8,4,664,1314,1426,3265,3473,3944,3253,943,115,14,17751
SED52404,36,90,180,198,170,124,48,3,0,846,48,75,188,211,174,162,46,9,0,914,1320,1736,4090,4995,4758,3875,1127,78,3,21983
SED52505,51,104,257,266,187,151,38,6,0,1050,74,132,388,385,260,156,58,14,0,1464,1534,2424,7049,8628,5490,3878,1031,89,7,30135
SED52604,36,100,192,186,177,185,44,3,0,927,50,86,180,178,211,169,55,6,0,928,1391,2209,3670,4211,5042,4463,1006,72,3,22065
SED52702,52,85,116,155,191,169,65,3,0,831,40,76,96,149,197,154,59,15,0,795,1357,1494,2318,3673,4898,4088,1323,196,9,19361
SED52803,62,95,185,159,152,97,21,0,0,769,58,76,162,150,156,115,40,9,0,758,1001,1692,4269,3917,3682,2991,735,65,0,18354
SED52903,20,44,123,140,110,66,17,0,0,524,38,52,176,162,129,96,31,11,0,691,621,964,3487,3203,2768,2121,687,68,6,13914
SED53004,46,89,138,190,168,145,67,8,0,846,37,53,148,173,172,162,54,6,0,804,1342,1683,3410,4904,4691,3887,1237,107,6,21267
SED53105,40,107,274,255,172,82,19,5,0,952,60,116,337,331,270,139,43,0,0,1300,1209,2103,5743,6582,4666,2740,626,37,4,23712
SED53204,52,121,269,286,225,155,37,6,0,1156,55,133,245,313,250,170,35,3,0,1206,1588,2419,5238,6592,5730,3557,722,59,4,25905
SED53306,48,68,174,141,123,97,20,6,0,682,64,77,183,164,161,126,36,4,3,820,1179,1705,3647,3789,3826,3202,744,79,10,18179
SED53402,28,82,216,206,176,121,36,6,0,873,32,97,282,232,157,122,36,10,0,969,861,2055,6425,6027,4627,3194,891,78,8,24156
SED53502,33,132,257,199,188,165,50,3,0,1030,57,120,239,265,239,170,49,11,7,1158,1242,2178,5172,4935,4574,3713,969,96,12,22896
SED53602,37,116,315,236,187,135,30,4,0,1064,57,174,396,342,269,160,53,4,0,1461,1013,2274,5261,4577,3875,2951,783,57,0,20790
SED53701,51,60,111,112,96,104,39,0,0,577,51,54,97,105,157,181,78,24,4,749,761,1007,2435,3132,3885,4088,1508,338,36,17184
SED53802,35,113,279,242,197,166,65,9,0,1106,35,110,345,247,206,147,52,20,5,1157,970,2117,5879,5154,4165,3308,1041,126,10,22769
SED53902,31,90,220,176,134,113,35,9,0,809,31,86,227,220,165,120,46,15,0,908,877,2095,5678,5075,4336,3330,1072,149,13,22627
SED54006,68,66,156,120,141,124,35,6,0,709,67,69,142,147,177,125,46,15,0,791,1359,1405,3084,3876,4364,3602,1037,148,10,18889
SED54104,43,74,138,101,81,65,43,7,0,554,44,92,220,217,195,141,64,30,4,1007,1298,2664,5436,4849,4593,3581,1546,310,22,24311
SED54203,29,26,60,54,47,35,13,0,0,262,28,48,106,95,85,60,26,6,0,453,382,732,2468,2367,2106,1771,508,60,3,10389
SED54304,22,99,311,220,135,115,42,9,0,947,24,143,462,285,192,120,44,7,0,1286,819,3052,11314,7611,4964,3470,1021,135,10,32392
SED54403,56,71,227,207,136,72,14,0,0,790,55,95,259,261,182,122,20,3,0,994,1116,1641,6431,6490,4646,2884,496,22,0,23732
SED54505,35,60,99,133,152,119,57,18,0,669,42,91,160,266,227,151,66,11,0,1016,1375,1902,2854,5280,5408,3458,1171,136,9,21593
SED54605,40,64,118,118,151,111,33,8,0,636,40,79,169,158,157,155,47,10,6,837,944,1657,3228,3299,3659,3523,819,77,8,17216
SED54701,63,75,146,118,140,107,28,3,0,679,47,77,108,96,124,154,66,27,6,703,858,1300,3141,3447,3728,3629,1361,280,32,17768
SED54804,35,89,300,191,167,110,26,13,4,923,29,73,281,272,187,121,35,20,3,1017,1048,1931,7216,6230,4678,3263,915,141,5,25435
SED54905,29,84,191,118,124,90,50,12,0,698,43,89,220,204,159,122,72,17,5,930,1090,2607,5428,4687,4229,3451,1343,199,10,23038
SED55005,46,116,219,271,201,145,51,0,0,1053,63,154,305,357,281,179,43,0,0,1391,1460,2389,4790,6634,5512,3360,821,57,5,25028
SED55102,71,117,271,263,216,150,48,0,0,1137,76,136,235,267,278,176,66,17,0,1261,1656,1988,4628,5586,5410,3710,990,128,14,24114
SED55202,40,99,216,218,202,133,43,10,0,944,57,126,306,327,249,188,44,12,0,1301,1125,2074,4554,5050,4267,3150,871,66,6,21163
SED55306,56,73,145,156,185,108,40,3,0,771,55,57,98,172,170,129,53,18,6,763,1515,1163,3160,4679,4964,3879,1270,170,21,20820
SED55405,32,137,277,175,123,83,32,4,0,880,30,145,416,266,180,103,26,6,3,1184,1027,3487,8588,5968,3967,2727,755,65,6,26592
SED55504,57,147,302,263,257,159,41,6,0,1226,66,141,294,354,248,160,40,5,4,1306,1594,2324,5351,6156,5424,3555,880,78,10,25381
SED55605,67,85,240,163,167,109,19,3,0,858,87,114,221,263,267,165,24,0,0,1145,1867,2263,4494,5140,5753,3733,594,37,0,23889
SED55706,35,55,120,123,125,120,36,7,0,623,51,47,127,147,170,171,89,27,6,828,1108,973,2848,3981,4519,4309,1709,324,26,19794
SED55802,61,140,367,277,223,139,35,7,0,1249,64,142,347,352,260,179,43,6,0,1394,1493,2623,6996,6461,5075,3729,775,70,4,27227
SED55905,57,93,180,156,147,149,41,8,0,821,47,109,227,218,187,155,38,7,7,1001,1118,1992,4445,4105,3971,3471,897,87,5,20095
SED59494,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
SED59797,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
