SED_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SED51104,309,224,106,74,24,10,948,22,156,196,192,84,51,17,3,716,258,1217,1311,865,439,239,112,22,4453,270,949,1079,1086,641,364,149,26,4563,1022,2566,2191,1925,1255,670,299,66,9992,350,184,124,104,59,34,10,4,861,74,132,179,194,117,72,59,15,847,1449,2880,2492,2227,1432,777,364,89,11702,30,62,88,67,33,50,37,9,374,422,635,599,563,391,259,305,201,3377,2454,6078,6072,5228,3135,1811,1005,359,26139
SED51205,935,359,192,120,31,4,3076,30,238,230,131,104,58,24,0,814,637,2973,2356,1077,632,436,160,31,8306,465,1183,1011,593,499,377,148,31,4298,811,1339,1212,1028,914,658,281,82,6332,255,118,68,58,47,32,10,3,601,52,106,102,116,114,102,50,15,661,1122,1569,1385,1198,1084,795,343,99,7598,25,96,86,61,39,45,27,8,389,503,838,612,416,323,260,236,128,3317,2844,8255,6608,3836,2874,2095,974,304,27790
SED51304,702,646,434,324,107,22,2551,9,130,348,355,265,207,44,9,1375,476,1186,2166,1916,1214,1113,391,61,8522,98,258,604,823,752,800,356,69,3753,437,595,803,849,782,680,371,64,4583,130,32,53,28,34,58,25,0,353,20,28,89,128,139,173,85,18,684,590,650,936,1011,959,904,484,88,5626,13,16,38,56,53,76,48,17,328,99,173,209,269,224,310,260,155,1699,1313,2696,5012,5079,3904,3737,1700,415,23858
SED51401,96,65,81,53,12,0,388,7,66,68,80,75,71,18,0,381,98,462,532,438,369,277,103,24,2307,44,210,296,390,460,381,149,32,1962,470,995,917,963,1062,738,240,61,5446,183,109,87,93,69,41,9,0,599,30,44,67,96,126,124,42,11,535,683,1146,1068,1150,1257,908,292,73,6579,15,12,26,23,35,49,28,6,191,484,606,642,742,767,738,524,216,4716,1338,2573,2724,2891,3044,2474,1124,352,16520
SED51504,1321,1137,680,373,170,40,4645,12,241,341,426,300,189,82,11,1600,682,2047,2662,2494,1555,945,490,154,11026,152,385,606,677,658,503,347,153,3474,361,492,467,470,472,330,173,100,2878,97,27,35,32,33,29,16,5,279,37,47,60,113,103,88,71,46,565,497,567,562,610,607,441,265,155,3719,15,41,56,54,36,62,41,21,335,116,285,268,212,207,230,208,205,1731,1548,4434,5818,5609,4042,2741,1603,743,26528
SED51605,620,360,194,66,28,0,1731,21,187,280,214,102,37,9,0,852,445,1794,1878,1169,572,283,80,12,6236,242,726,991,878,561,305,88,17,3810,871,1663,1720,1605,1103,557,206,47,7771,273,110,92,92,60,28,7,5,660,65,75,125,176,126,78,30,5,678,1204,1851,1930,1871,1289,666,241,54,9105,25,40,60,65,53,37,14,12,308,261,392,432,382,287,231,175,74,2227,2228,5431,6197,4938,3058,1618,630,174,24273
SED51706,121,112,92,79,23,0,507,5,63,115,124,134,68,24,0,546,79,570,762,684,509,421,132,25,3181,84,358,539,575,605,443,166,36,2803,872,1842,1833,1627,1518,902,328,65,8994,326,154,114,79,67,41,7,5,794,44,68,108,147,133,124,50,7,687,1243,2065,2064,1856,1717,1069,391,76,10475,8,24,24,29,37,57,31,12,215,303,368,420,431,513,503,395,208,3135,1730,3518,4042,3800,3615,2632,1166,359,20857
SED51804,998,1205,971,635,292,107,5010,15,192,259,366,343,233,99,25,1531,813,2109,2058,2511,1967,1541,798,249,12045,103,250,383,573,652,631,483,153,3230,239,346,308,329,355,285,173,75,2116,61,25,24,23,36,14,17,5,208,20,23,46,88,90,109,90,35,503,322,401,368,446,483,415,282,110,2828,21,32,43,60,48,72,63,34,375,244,324,279,299,329,354,376,337,2544,1584,4047,4386,5465,4794,3884,2389,1018,27561
SED51902,282,214,149,86,29,7,906,3,142,177,163,128,69,20,0,699,202,922,1047,806,564,382,138,26,4083,169,630,835,797,687,384,157,20,3682,994,2177,1931,1601,1348,814,270,45,9167,299,115,91,66,63,29,11,0,671,65,82,123,167,145,103,50,11,752,1364,2370,2145,1830,1553,942,328,64,10594,20,28,56,41,51,46,27,3,274,265,389,442,414,327,256,188,82,2367,2049,4603,4972,4267,3457,2166,886,194,22600
SED52006,132,163,164,104,47,3,690,7,61,87,138,140,110,45,12,597,134,505,671,641,599,566,236,44,3385,114,344,511,660,794,681,344,62,3519,663,1204,1268,1456,1455,1256,591,121,8007,227,83,60,61,81,68,19,8,612,47,58,87,113,169,181,102,18,775,933,1343,1420,1628,1707,1503,711,143,9395,19,21,27,40,55,79,63,13,312,230,287,359,383,404,501,434,219,2815,1446,2622,3204,3660,3858,3543,1876,492,20705
SED52102,380,168,109,55,24,3,1004,15,91,141,94,85,47,10,4,492,184,1001,1174,637,401,240,103,37,3780,195,518,743,620,469,308,118,25,2993,785,1616,1493,1278,1110,712,295,72,7367,276,118,85,69,49,19,7,0,622,52,66,109,137,129,90,36,14,637,1114,1801,1693,1482,1285,827,339,89,8629,10,37,34,39,26,41,27,4,217,289,437,451,350,346,275,181,88,2427,1819,4144,4613,3391,2725,1790,801,254,19533
SED52205,765,653,551,344,103,20,3061,12,232,260,291,291,157,46,7,1306,455,2130,1840,1434,1082,710,212,41,7908,150,546,682,696,694,496,174,17,3456,526,1140,1029,903,885,612,239,65,5406,169,72,64,60,55,26,13,3,458,37,80,93,102,159,110,59,18,657,736,1289,1186,1067,1101,754,308,86,6522,22,40,57,49,64,61,20,6,319,311,602,481,493,409,381,297,259,3229,1705,5451,5269,4693,4185,2891,1166,439,25802
SED52301,162,133,95,48,11,7,552,9,92,123,127,92,56,14,0,518,138,609,673,634,379,227,80,15,2754,116,356,476,510,510,331,103,29,2434,653,1406,1266,1344,1139,669,249,65,6779,294,164,113,88,80,40,13,4,796,36,46,82,113,105,78,37,10,505,985,1620,1459,1552,1322,784,294,72,8089,12,24,21,39,36,26,25,18,191,453,523,578,553,513,417,355,235,3625,1718,3316,3486,3546,2945,1890,880,370,18164
SED52404,461,400,312,154,34,3,1654,16,162,249,220,235,126,29,0,1032,394,1368,1627,1324,956,603,174,27,6475,134,495,767,771,788,612,176,34,3784,543,1255,1318,1123,1112,850,305,53,6562,136,55,51,38,51,51,18,0,394,42,56,119,142,123,124,73,13,689,718,1364,1489,1299,1285,1026,395,65,7645,11,31,58,57,47,74,35,8,318,153,248,286,260,270,232,146,89,1686,1447,3943,4932,4336,3886,2825,993,232,22599
SED52505,1444,604,336,182,28,0,3476,20,251,351,249,170,90,16,0,1151,587,2905,3472,1576,938,506,128,29,10129,223,937,1284,944,774,457,119,17,4760,672,1570,1496,1131,932,577,193,31,6600,205,100,87,59,57,26,10,3,550,59,87,127,139,132,98,31,5,680,945,1756,1718,1321,1122,703,234,43,7836,21,52,90,65,57,40,14,9,345,192,368,439,280,246,210,105,48,1887,2039,7091,8800,5040,3629,2181,650,148,29578
SED52604,391,414,330,149,33,6,1671,22,138,200,236,190,83,22,3,900,462,1262,1320,1265,912,491,139,12,5863,240,446,666,886,890,518,165,31,3840,674,1043,1130,1195,1376,867,258,45,6596,209,67,52,43,65,44,14,0,497,53,52,100,161,199,133,47,0,749,935,1160,1285,1398,1640,1044,314,56,7837,23,27,32,55,50,44,30,11,272,242,278,292,335,339,296,249,217,2248,1953,3638,4189,4589,4350,2619,955,336,22633
SED52702,315,423,316,246,112,11,1567,9,101,222,254,241,149,59,8,1039,278,670,1191,1334,929,875,363,89,5731,116,271,554,758,796,718,392,94,3707,513,850,989,1226,1183,833,404,106,6108,208,49,56,55,39,38,18,0,470,23,25,67,132,168,151,77,24,670,742,925,1116,1422,1393,1024,501,136,7252,6,12,25,43,57,70,60,14,292,162,165,240,296,327,315,338,218,2060,1323,2277,3659,4527,4047,3397,1831,574,21644
SED52803,216,128,72,23,12,0,691,12,95,97,77,66,24,0,0,356,185,806,673,406,275,108,28,5,2483,67,342,444,367,309,128,23,4,1689,620,1624,1401,1214,942,389,100,16,6306,275,124,76,62,30,13,7,0,581,37,75,77,90,74,44,5,0,412,928,1820,1555,1366,1051,442,111,18,7297,16,30,24,32,19,14,9,0,139,686,1047,895,815,729,417,181,76,4848,1916,4366,3899,3189,2517,1150,368,100,17505
SED52903,219,136,116,44,14,0,753,9,150,151,109,85,34,3,0,546,171,1031,711,519,353,149,32,4,2964,73,347,439,335,332,158,26,5,1715,369,944,973,891,588,273,58,3,4108,157,123,110,59,45,15,0,0,510,43,67,91,82,84,38,8,0,403,566,1134,1173,1034,717,319,64,3,5019,9,24,20,19,20,11,3,0,107,837,1115,891,881,716,399,151,46,5034,1678,4025,3603,3026,2335,1123,291,60,16135
SED53004,474,360,215,129,24,6,1492,10,148,245,283,195,128,26,4,1037,353,1248,1694,1193,843,603,178,43,6157,181,394,715,744,762,664,238,57,3764,609,972,1233,1133,1131,874,359,94,6406,171,29,47,59,52,29,21,5,414,36,40,84,148,154,161,61,26,709,812,1043,1372,1338,1338,1062,443,126,7530,9,19,37,43,35,75,41,15,276,132,188,262,259,214,268,195,138,1658,1531,3304,4795,4214,3605,2928,1146,384,21908
SED53105,583,222,108,47,13,3,1320,20,167,203,124,77,35,11,0,638,275,1515,1804,833,378,188,58,14,5058,210,737,1032,724,402,241,67,19,3431,879,2011,1895,1365,998,492,193,58,7896,315,220,117,79,66,28,3,0,825,55,93,154,159,102,71,27,7,668,1246,2318,2167,1603,1161,594,223,65,9383,14,45,75,49,38,32,14,3,286,350,521,548,408,308,268,148,91,2652,2140,5637,6415,3967,2469,1407,539,200,22774
SED53204,607,313,126,49,20,6,1499,14,163,233,179,79,44,4,0,725,474,1696,2012,1108,522,243,98,23,6177,236,707,1027,889,593,305,103,30,3885,749,1490,1495,1379,995,550,188,50,6904,247,83,88,86,60,20,8,0,599,75,71,144,174,138,86,36,16,735,1077,1644,1727,1639,1201,659,230,64,8233,18,50,61,56,41,33,18,8,294,236,317,351,316,239,185,114,63,1828,2090,4932,6015,4499,2801,1522,586,194,22642
SED53306,176,144,112,77,23,4,642,7,73,116,117,91,84,18,7,514,167,663,727,606,419,337,160,45,3116,165,460,614,600,607,468,218,57,3194,819,1632,1432,1392,1347,973,550,133,8275,297,154,109,62,47,54,22,6,749,52,82,107,125,127,111,79,31,716,1169,1867,1646,1578,1523,1132,656,171,9740,16,29,50,30,54,58,47,22,298,390,453,477,503,454,503,568,440,3790,1925,3640,3802,3573,3258,2660,1695,746,21293
SED53402,972,545,325,186,46,7,2982,22,307,356,318,216,131,28,12,1382,533,2815,2511,1490,906,553,160,46,9009,264,768,786,688,603,413,141,33,3694,461,1141,977,777,714,479,213,68,4824,169,82,61,58,45,32,3,0,450,48,67,88,107,110,90,42,12,567,674,1292,1123,939,868,605,268,82,5843,11,53,68,40,49,43,34,14,304,241,484,421,343,299,270,248,156,2458,1801,6557,6236,4348,3268,2196,923,345,25670
SED53502,406,197,155,102,40,0,1198,17,139,189,168,145,48,17,3,735,240,1230,1152,835,525,363,148,37,4523,190,627,758,722,608,421,165,33,3517,870,1862,1420,1314,1188,765,326,73,7819,304,153,106,78,55,45,13,0,756,58,74,108,145,172,107,56,13,737,1231,2095,1641,1539,1408,917,400,84,9314,20,45,46,34,42,34,23,10,267,343,524,469,478,444,393,402,375,3423,2045,4932,4663,3975,3329,2285,1194,541,22964
SED53602,319,145,92,46,16,5,1112,16,125,116,89,48,26,12,0,431,362,1391,1101,604,373,261,91,7,4183,277,813,645,512,440,252,83,21,3039,762,1350,1174,968,923,613,258,60,6115,285,160,106,91,59,39,8,0,742,77,118,125,161,128,95,37,6,749,1121,1629,1400,1214,1111,743,305,67,7604,19,63,58,56,46,49,23,10,319,478,663,622,464,368,355,315,163,3425,2321,5130,4261,3080,2475,1730,839,278,20111
SED53701,79,63,94,78,30,0,414,6,64,78,81,91,63,17,0,400,84,444,573,529,397,273,133,29,2463,57,229,344,488,583,484,170,21,2378,413,962,1090,1199,1310,998,336,45,6350,160,89,57,54,72,68,14,0,519,22,37,58,109,128,124,49,16,547,595,1088,1214,1356,1514,1187,394,58,7411,7,17,34,36,42,54,28,9,227,466,481,567,748,865,812,500,141,4579,1218,2383,2893,3305,3587,2956,1270,263,17872
SED53802,657,286,160,97,43,6,2003,14,214,210,150,121,83,41,0,834,483,2086,1770,987,641,467,191,41,6673,269,854,836,710,554,428,211,55,3911,584,1292,1023,954,899,666,338,100,5850,198,103,67,67,57,41,3,5,531,38,79,102,130,129,100,56,19,662,820,1468,1194,1153,1085,802,406,126,7045,24,54,58,41,40,38,29,13,294,295,505,473,306,312,269,236,98,2488,1943,5894,5194,3642,2904,2179,1155,329,23247
SED53902,807,519,347,236,79,21,2933,18,268,299,252,241,143,36,6,1252,623,2576,2123,1509,1122,729,310,114,9107,264,628,701,681,588,451,274,97,3689,423,828,730,669,665,425,248,134,4122,145,71,55,41,33,32,10,7,400,35,54,69,120,129,108,68,39,619,600,953,854,829,827,562,326,184,5134,16,46,71,52,43,60,39,19,339,188,394,347,280,266,276,317,242,2314,1773,5720,5194,4125,3426,2450,1381,683,24757
SED54006,83,79,82,80,23,8,413,12,59,89,95,96,65,17,4,434,97,472,565,553,408,352,130,26,2598,82,295,471,565,602,442,153,45,2658,832,1457,1712,1645,1520,979,381,99,8625,300,124,105,72,96,55,13,0,774,34,59,101,148,143,122,57,16,671,1169,1641,1915,1868,1758,1154,452,115,10073,15,18,37,29,39,62,42,3,246,377,366,444,515,497,517,424,178,3322,1752,2899,3608,3705,3484,2674,1237,383,19751
SED54104,1616,1284,1019,771,350,89,6846,30,294,351,403,326,244,119,21,1790,1387,2995,2508,2208,1751,1483,681,210,13213,210,365,406,524,559,552,365,120,3094,384,416,333,267,295,220,140,45,2104,164,38,22,18,22,23,14,6,299,31,38,45,65,112,100,59,33,478,576,488,402,348,433,342,211,87,2882,33,47,53,42,50,60,61,29,387,287,389,344,261,234,347,304,167,2334,2660,6151,5682,5070,4374,3801,2091,720,30539
SED54203,89,53,51,20,3,0,322,0,40,36,57,33,20,0,0,196,92,544,404,250,183,91,22,5,1592,35,244,282,231,201,98,30,5,1124,296,948,915,691,593,299,76,9,3826,100,73,59,39,33,12,3,0,318,20,36,39,40,40,25,17,0,235,412,1058,1013,771,672,341,96,9,4379,7,16,12,15,18,5,8,3,83,558,851,745,692,550,337,143,30,3904,1111,2854,2586,2067,1702,913,307,55,11600
SED54304,1636,872,525,299,84,8,5718,39,501,441,356,268,131,20,0,1757,1153,5530,3528,1887,1276,694,188,53,14299,437,1199,951,705,684,381,123,37,4517,611,1252,841,693,623,327,128,45,4523,181,100,57,31,35,24,8,3,438,40,86,89,124,106,85,32,11,568,830,1441,987,849,771,440,161,66,5531,39,115,63,62,44,48,38,4,419,565,1403,807,539,471,351,221,106,4461,3180,12360,8419,5264,4034,2334,838,274,36702
SED54403,268,150,75,22,0,0,795,14,148,170,111,62,22,0,0,529,165,1239,1137,580,270,64,13,0,3473,75,598,826,609,380,88,13,0,2584,664,2591,2504,1670,1016,217,42,0,8704,272,203,154,82,45,8,0,0,770,37,92,126,113,75,20,5,0,471,974,2890,2780,1866,1138,247,49,0,9946,10,35,39,37,26,4,0,0,155,947,2008,1833,1376,987,277,73,14,7518,2198,7193,7055,4721,2946,720,145,18,24996
SED54505,1326,1063,616,322,114,12,4015,16,119,284,333,229,174,44,6,1207,703,1455,2560,2142,1252,964,375,82,9537,158,268,672,747,636,667,343,99,3589,420,406,612,747,655,565,295,95,3802,172,39,34,47,37,42,17,4,391,32,24,54,107,138,137,68,20,584,626,473,700,905,832,746,386,124,4783,15,27,55,66,40,76,67,11,353,165,147,217,228,232,228,254,156,1632,1747,2986,5812,5492,3840,3176,1576,485,25120
SED54605,187,131,129,70,25,4,645,7,73,99,108,119,73,15,4,498,177,589,607,533,452,330,127,34,2852,141,397,523,646,692,455,176,51,3078,775,1443,1288,1327,1455,995,484,125,7890,270,147,53,74,81,40,18,0,685,41,50,86,110,148,149,81,13,672,1089,1639,1423,1517,1686,1176,587,133,9253,8,28,27,43,65,51,35,18,279,524,544,458,437,489,425,516,325,3719,1945,3370,3329,3413,3621,2593,1487,570,20327
SED54701,81,76,48,42,10,0,338,8,53,89,86,75,46,10,7,380,145,708,706,531,408,235,109,28,2868,57,266,361,428,439,311,147,36,2032,571,1210,1079,957,952,541,225,33,5560,189,133,91,79,48,28,14,0,576,27,44,73,98,99,66,27,5,444,788,1379,1249,1139,1094,643,264,35,6585,5,22,17,27,37,24,22,14,169,512,479,561,626,656,608,459,183,4083,1520,2974,3058,2910,2763,1904,1020,302,16454
SED54804,929,553,321,195,77,4,2903,25,317,376,291,237,114,39,11,1410,556,3077,2648,1622,996,628,293,81,9898,156,825,821,783,652,454,238,86,4018,457,1397,1052,783,715,412,259,87,5153,115,81,59,33,35,28,12,4,361,37,71,80,140,131,107,58,30,658,610,1551,1187,957,879,546,327,125,6175,15,47,64,41,32,64,38,11,315,236,722,499,303,288,300,317,291,2954,1638,7313,6512,4555,3404,2296,1329,614,27671
SED54905,1049,756,583,392,130,31,4092,35,271,302,293,272,199,52,10,1439,884,2718,2236,1749,1370,972,369,98,10388,247,462,519,594,655,608,299,89,3476,501,711,549,513,565,439,173,64,3513,144,56,31,33,36,33,17,0,348,27,46,50,78,109,124,69,27,526,669,814,632,629,707,594,257,95,4388,31,36,42,55,52,58,48,17,333,263,429,312,281,318,361,377,408,2746,2217,5788,5091,4359,3956,3175,1536,742,26861
