SED_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED51104,13225,6828,7910,7697,6963,4686,3318,2017,736,53395,7,5,12,11,7,10,7,3,8,73,0,6,0,0,0,0,0,0,0,15,0,5,0,0,3,0,5,0,0,15,0,0,6,5,5,4,4,0,0,22,0,0,0,0,0,0,0,0,0,5,145,176,175,110,74,78,71,21,4,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,181,182,116,90,88,80,24,10,909,154,186,189,127,92,97,93,28,14,983,13380,7014,8105,7821,7054,4785,3414,2046,750,54374
SED51205,9578,6427,9877,8007,5488,4795,3973,2072,744,50961,6,3,5,8,10,10,11,9,0,67,3,3,3,3,4,6,3,0,0,20,0,0,5,4,4,3,7,0,0,24,0,0,0,0,7,0,0,4,0,16,0,0,5,0,0,0,0,0,0,0,94,149,170,112,91,90,61,29,18,821,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,97,158,188,124,104,100,74,33,19,897,102,162,194,137,109,107,85,47,23,965,9683,6587,10074,8141,5600,4901,4054,2124,768,51929
SED51304,8424,4392,2954,5426,5700,4803,5172,2727,820,40427,8,0,0,3,4,4,3,0,0,32,0,6,5,0,0,4,6,0,0,23,5,6,9,4,3,7,8,5,0,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,95,87,88,98,90,66,58,44,29,658,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,94,101,100,104,100,74,81,50,29,730,104,109,105,110,97,74,88,48,27,764,8532,4495,3066,5538,5803,4876,5257,2782,848,41192
SED51401,6190,2955,3507,3853,4551,5320,4776,2520,859,34534,24,11,8,10,22,26,32,18,7,157,0,0,8,0,3,7,18,0,0,41,0,0,6,9,8,13,18,0,0,53,0,0,7,7,3,19,18,3,0,63,4,6,12,17,14,23,9,6,0,90,142,397,560,481,610,610,272,80,26,3181,0,0,0,5,7,4,11,4,0,26,0,0,0,0,0,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,407,596,514,649,683,349,92,26,3466,170,422,604,521,670,706,377,111,39,3626,6358,3376,4110,4381,5227,6029,5152,2633,895,38163
SED51504,8533,5159,4721,6103,6152,4645,3510,2350,1268,42452,0,3,8,0,5,3,10,4,3,38,0,4,6,7,0,4,7,3,0,31,0,0,9,3,0,6,9,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,11,84,119,122,72,57,60,66,33,22,651,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,7,5,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,88,133,141,80,65,74,88,39,29,741,87,133,148,84,68,83,96,43,28,771,8621,5294,4873,6190,6223,4729,3613,2393,1304,43222
SED51605,9943,5920,6639,7411,6645,4713,3026,1400,434,46138,4,0,3,4,8,4,5,5,5,42,0,0,6,5,0,3,4,0,0,18,0,5,4,4,8,11,4,0,0,36,5,3,5,4,3,4,0,0,0,22,0,0,0,0,0,4,0,0,0,13,102,161,109,95,81,72,66,40,13,727,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,159,120,109,92,96,79,40,13,817,116,159,125,112,91,101,86,43,17,857,10059,6081,6764,7526,6738,4816,3113,1444,450,46997
SED51706,8515,4234,4479,5144,5374,5509,4642,2436,773,41104,16,11,14,6,8,18,34,22,11,147,0,0,0,6,0,3,7,0,0,13,4,4,5,5,5,0,16,0,0,48,0,0,3,0,5,7,13,0,0,30,0,0,0,0,0,5,0,0,0,7,160,220,208,165,165,230,135,59,30,1378,0,0,0,0,0,8,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,167,220,219,176,178,264,169,59,36,1489,189,234,234,189,184,279,207,84,43,1639,8706,4471,4710,5330,5559,5781,4841,2527,815,42744
SED51804,7046,5545,4057,4537,5839,5306,4518,3100,1448,41387,14,5,13,12,8,8,13,8,5,84,3,19,17,14,3,4,0,9,0,71,0,5,16,6,3,5,10,9,0,59,0,6,3,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,4,174,194,167,114,133,100,80,78,38,1083,0,0,0,0,0,4,11,0,0,13,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,189,233,204,140,144,121,101,86,38,1258,200,242,217,155,155,123,114,96,39,1345,7248,5785,4270,4687,5994,5431,4638,3202,1488,42737
SED51902,10620,5273,5923,6342,6000,5208,3729,1712,443,45246,3,7,3,6,3,17,3,8,0,52,8,0,3,7,6,5,0,0,0,17,0,3,0,0,3,0,9,0,0,18,7,0,0,0,3,3,0,0,0,16,3,0,0,0,0,0,0,0,0,6,142,142,125,58,82,93,74,36,17,771,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,144,130,69,93,102,86,33,15,836,160,157,136,78,100,116,92,41,22,893,10782,5425,6058,6414,6096,5324,3821,1757,461,46134
SED52006,6809,3965,3358,3998,4787,5352,5938,3640,1064,38898,0,6,5,11,9,21,50,24,6,129,0,0,0,4,0,12,6,0,0,19,4,0,0,7,5,5,13,3,0,35,0,0,0,0,0,5,5,0,0,8,0,0,0,0,0,0,3,0,0,4,141,137,109,90,100,122,117,60,21,898,0,0,0,0,3,0,6,0,0,17,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,137,113,98,112,142,140,65,21,990,146,146,123,107,114,169,192,88,31,1113,6954,4115,3478,4105,4903,5515,6128,3725,1088,40011
SED52102,8438,4720,5425,6057,5066,4640,3574,1823,638,40372,12,5,6,5,4,11,4,7,0,55,0,6,3,0,6,4,3,0,0,17,5,0,3,4,3,0,3,0,0,25,0,0,4,9,0,8,0,3,0,21,0,0,0,0,0,5,8,0,0,17,135,152,139,121,104,125,75,37,11,894,0,0,0,6,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,140,162,152,128,114,137,93,46,11,984,143,164,157,137,120,151,99,49,11,1037,8580,4887,5577,6190,5189,4793,3676,1869,650,41406
SED52205,6234,4232,6011,5809,5679,5381,4365,2362,1134,41216,0,6,5,6,3,17,12,10,5,60,5,45,68,32,29,7,19,4,0,211,3,9,10,15,10,20,18,0,0,85,0,0,9,24,9,26,3,0,0,71,0,0,3,3,0,3,0,0,0,20,139,239,286,230,226,239,202,124,68,1748,0,3,3,0,4,6,7,0,0,24,0,0,3,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,148,296,384,309,272,309,255,130,69,2176,157,300,393,319,281,323,263,139,68,2235,6385,4533,6404,6129,5955,5700,4628,2502,1206,43451
SED52301,7513,4221,4243,4435,4780,4581,3530,1986,780,36072,4,9,8,14,14,7,20,5,6,85,7,0,8,4,4,17,32,11,0,80,8,0,3,12,9,12,40,7,0,87,5,3,11,12,8,26,44,0,0,106,0,0,0,0,0,11,34,11,0,63,208,283,277,247,272,313,323,137,46,2103,0,0,0,4,0,4,23,3,0,36,0,0,0,4,0,5,6,4,0,13,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,226,291,291,286,299,392,501,168,48,2497,236,298,301,297,312,400,520,173,54,2583,7752,4517,4548,4730,5092,4986,4048,2152,836,38656
SED52404,7893,4529,4570,5602,5395,5081,4349,1854,540,39807,7,0,4,7,3,4,9,0,0,34,0,3,3,0,0,4,0,0,0,21,3,0,6,5,0,7,3,3,0,27,0,0,4,4,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,122,128,143,84,88,65,49,18,17,709,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,135,131,153,101,97,78,64,14,17,790,141,129,159,109,97,84,75,14,14,825,8032,4665,4723,5712,5491,5165,4422,1873,554,40633
SED52505,13134,6287,8594,10187,6370,5242,3760,1324,347,55244,4,6,6,6,4,4,7,3,0,40,3,0,0,3,0,0,4,0,0,11,0,5,5,0,3,6,0,0,0,26,4,0,3,0,0,0,0,0,0,13,0,0,0,0,4,4,0,0,0,9,132,186,125,70,65,51,80,30,8,745,3,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,145,190,142,82,79,68,89,31,7,837,144,194,141,95,87,72,88,36,7,872,13279,6485,8744,10279,6455,5312,3847,1363,355,56111
SED52604,6767,5301,4382,4869,5653,5802,3997,1712,639,39115,8,0,4,0,9,8,4,4,3,27,5,0,0,3,3,3,3,0,0,17,0,3,5,3,3,7,0,0,0,24,0,0,0,0,0,9,3,0,0,12,0,0,0,0,3,0,0,0,0,3,112,189,177,161,147,150,98,108,98,1243,0,0,0,0,0,0,8,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,193,185,165,161,168,116,114,98,1309,122,198,187,165,164,170,114,111,102,1331,6890,5500,4565,5031,5811,5973,4115,1827,735,40454
SED52702,6882,4227,2683,4197,5499,5226,4705,2861,963,37242,0,8,4,7,5,12,23,6,0,58,0,0,0,0,3,0,7,0,0,14,0,0,4,0,0,0,3,0,0,16,0,0,0,0,0,0,6,3,0,7,0,0,0,0,0,0,0,0,0,9,123,130,105,86,76,89,58,53,24,743,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,135,107,95,84,94,77,54,24,793,120,135,111,96,90,103,91,70,24,849,7005,4371,2799,4294,5585,5328,4798,2925,980,38092
SED52803,7442,4227,5766,5230,4778,4169,2123,777,219,34722,4,14,21,16,27,26,20,10,0,128,0,4,36,22,27,47,54,8,0,189,3,9,27,27,27,47,120,14,0,272,0,19,55,45,43,76,60,4,0,306,4,12,16,32,21,33,60,8,0,178,150,784,2287,2023,1981,1452,435,82,9,9214,0,0,3,0,25,28,7,0,0,71,0,0,4,10,8,13,4,0,0,45,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,156,829,2438,2158,2128,1705,735,114,9,10279,163,838,2457,2170,2158,1725,757,126,8,10408,7605,5062,8225,7407,6930,5888,2878,899,229,45130
