SED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED52803,8,0,0,566,0,0,0,3,3,4,4,0,0,3,240,265,3,0,3,3,0,0,3,4,0,12,28,61,1124,85,38,461,79,404,38,121,38,426,279,3094
SED52903,0,4,0,293,3,0,3,3,3,0,4,0,4,11,261,295,5,0,3,0,0,0,0,0,0,20,31,68,880,97,35,300,46,205,25,102,25,465,310,2496
SED53004,5,15,0,447,0,0,0,3,0,0,6,0,0,13,228,253,0,0,3,0,0,0,0,0,0,23,11,39,847,208,28,586,69,402,40,395,72,1856,256,4750
SED53105,5,5,0,285,0,0,0,0,0,4,0,0,0,3,306,323,5,0,5,0,0,0,0,0,0,15,20,42,1013,181,32,597,92,436,42,230,48,977,345,3992
SED53204,0,7,0,325,5,0,0,0,3,0,0,4,0,7,201,220,0,0,0,5,0,0,0,0,0,19,15,47,1055,152,22,618,77,385,41,247,40,1069,233,3935
SED53306,9,34,0,300,3,0,6,3,0,4,0,6,3,23,373,420,3,3,3,5,0,0,0,0,0,51,45,109,619,155,38,543,76,432,45,351,73,2388,448,5177
SED53402,7,8,0,815,0,0,0,3,3,3,0,4,0,10,321,348,0,3,0,0,0,6,0,0,0,13,13,35,1508,250,39,826,102,406,29,273,45,1000,357,4829
SED53502,5,18,0,372,0,0,0,0,0,6,0,4,5,8,326,358,3,0,6,0,0,0,0,0,0,31,33,75,1058,187,45,694,90,455,34,344,61,1405,374,4744
SED53602,0,13,0,160,0,5,3,6,5,5,6,6,3,10,190,224,0,0,3,0,0,0,0,0,0,12,47,65,665,206,18,509,45,353,38,304,49,1255,266,3700
SED53701,10,28,0,359,11,4,0,4,0,7,0,11,0,9,421,471,7,5,6,3,0,8,0,0,4,53,48,133,930,286,61,685,83,485,62,359,98,1707,498,5263
SED53802,4,19,0,370,5,0,0,3,4,4,0,0,3,21,233,271,3,0,0,3,0,4,5,0,0,22,33,70,1061,270,22,723,77,453,37,347,38,1578,297,4905
SED53902,4,36,0,852,0,0,4,0,3,7,0,0,0,11,237,265,3,0,0,3,3,0,0,0,0,16,27,51,1209,269,29,767,74,418,38,327,40,1288,277,4743
SED54006,8,17,3,359,6,0,0,3,5,3,0,0,0,19,398,433,6,0,3,5,0,0,0,0,0,43,42,102,717,205,46,639,87,476,63,369,101,2212,471,5385
SED54104,7,164,0,1397,0,0,7,0,0,6,5,4,0,17,260,297,6,0,0,0,0,0,0,0,0,13,13,25,1094,306,20,680,61,520,29,477,46,1521,282,5042
SED54203,0,8,0,231,0,0,4,0,0,0,0,0,0,3,163,183,4,0,9,3,3,0,0,0,0,21,17,57,599,94,48,229,60,155,17,75,31,445,195,1945
SED54304,8,48,6,1657,8,0,4,4,4,3,3,5,4,4,468,513,4,0,0,3,5,4,0,0,0,5,21,38,2414,417,43,1195,148,706,57,358,66,974,509,6886
SED54403,11,4,0,990,5,0,3,0,6,3,0,0,0,6,307,333,0,0,3,5,0,0,0,0,0,0,29,41,1460,66,57,449,129,324,26,74,49,202,344,3174
SED54505,4,41,0,413,0,0,3,0,0,4,0,0,0,13,146,169,3,0,0,3,0,5,0,0,0,16,13,42,500,194,19,423,42,345,21,407,44,1907,167,4057
SED54605,8,14,0,288,0,0,0,0,3,12,0,0,0,20,333,369,6,0,0,8,0,0,0,0,0,38,33,85,649,153,34,579,83,501,51,363,64,2053,391,4913
SED54701,5,34,4,379,4,0,3,8,4,8,0,5,4,17,285,333,12,4,3,6,0,0,0,0,4,39,30,101,1004,230,55,755,79,362,53,271,47,1169,356,4377
SED54804,5,26,0,987,3,0,3,0,5,4,0,0,5,14,394,422,5,0,0,0,0,0,0,0,0,21,13,45,1538,218,42,795,109,348,51,298,39,1184,427,5057
SED54905,4,80,0,1071,0,0,0,0,3,3,3,0,0,7,267,284,4,0,4,0,0,0,0,0,0,10,16,37,1189,259,24,765,62,529,34,426,39,1399,299,5033
SED55005,8,0,0,221,0,0,3,0,0,0,0,0,0,12,222,243,0,0,6,0,0,0,0,0,0,15,21,41,811,166,29,560,57,464,28,259,51,1173,263,3874
SED55102,10,25,0,449,9,6,0,4,3,10,0,9,0,11,374,418,5,0,5,0,3,3,0,0,0,15,25,63,1017,177,39,652,98,504,43,299,59,1172,417,4478
SED55202,0,4,0,140,7,3,4,3,0,3,0,5,0,8,256,283,0,0,0,4,0,0,0,0,0,28,35,68,708,158,30,567,64,495,37,316,46,1569,323,4311
SED55306,9,55,0,397,3,4,0,6,0,4,0,6,0,18,397,432,5,0,0,0,0,4,0,4,0,30,37,80,747,362,63,773,80,325,65,431,58,2176,471,5560
SED55405,3,4,0,768,7,0,0,6,5,3,0,3,0,7,317,351,0,0,0,0,5,0,0,0,0,6,28,43,1519,341,38,947,90,490,33,302,45,884,363,5059
SED55504,5,14,0,312,3,0,0,5,7,4,0,5,0,12,339,375,4,0,0,0,0,0,0,3,0,35,26,69,979,177,33,681,89,400,50,267,50,1296,379,4407
SED55605,5,5,0,375,4,0,0,7,0,11,0,0,0,12,414,445,4,0,3,0,0,4,0,0,0,21,18,51,871,147,41,655,85,529,66,240,73,1231,446,4372
SED55706,6,23,0,288,3,0,0,3,0,7,0,4,6,14,440,486,9,3,7,4,4,0,0,0,0,31,40,101,812,415,84,837,93,388,75,433,93,1964,527,5710
SED55802,5,3,0,287,10,0,4,6,3,4,0,0,0,13,289,329,5,0,3,9,0,4,0,0,0,13,22,61,1220,197,34,733,86,477,50,268,43,1132,318,4550
SED55905,0,14,0,368,0,0,0,3,0,3,0,3,0,14,241,270,0,0,0,7,0,0,0,0,0,28,17,54,925,188,20,624,69,389,40,309,52,1487,276,4380
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
