SED_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SED52604,98,37,248,163,121,77,23,54,4,821,0,0,0,5,3,3,0,9,0,25,29,45,32,34,37,19,10,6,10,228,39,47,62,39,30,23,18,31,67,364,2263,4639,2765,1924,1876,800,534,706,257,15758
SED52702,62,31,172,82,103,45,21,43,6,567,0,0,0,0,3,3,0,0,0,15,34,42,22,34,24,11,10,14,10,192,62,33,63,27,36,18,24,26,54,347,2216,4510,2384,1393,1596,529,496,520,203,13849
SED52803,71,24,192,89,92,51,127,60,5,709,0,0,0,3,0,5,3,0,0,19,15,12,44,23,5,3,43,12,7,171,30,22,99,52,32,16,92,53,65,456,1129,2305,3046,1060,1029,376,1382,635,181,11129
SED52903,77,20,135,102,79,42,23,59,6,536,0,5,0,0,0,0,0,3,0,16,24,25,21,25,21,3,4,23,8,164,40,73,52,83,47,37,28,68,85,517,1427,2791,1293,1452,1046,378,362,678,201,9623
SED53004,74,39,215,121,102,80,35,52,8,730,0,0,0,0,0,0,0,0,0,6,19,47,26,20,24,11,9,4,3,168,23,22,70,34,41,28,17,34,46,321,2015,5115,2595,1689,1960,733,504,612,163,15390
SED53105,92,39,319,177,136,100,110,94,9,1064,3,0,0,0,4,0,8,3,0,20,27,32,66,43,24,16,41,22,8,292,31,29,91,47,40,37,80,76,67,492,1586,3827,3300,2255,1953,820,1091,1049,228,16111
SED53204,115,17,315,193,170,109,59,85,4,1072,0,3,6,4,0,0,0,9,0,21,21,27,37,31,33,22,22,26,4,225,42,33,75,47,46,33,44,59,67,441,2158,4545,3048,2190,2289,990,865,937,235,17256
SED53306,92,28,278,147,70,98,70,111,11,895,5,0,6,0,0,0,0,10,0,19,13,25,32,24,17,6,31,16,5,166,28,17,62,53,25,19,62,48,54,371,1183,2325,2527,1933,1092,701,911,865,175,11712
SED53402,115,34,281,168,89,58,48,66,5,865,0,4,4,6,0,0,0,7,0,21,53,76,42,46,41,25,11,24,10,328,37,48,53,41,42,19,35,21,63,360,2733,7304,2182,1939,2058,818,576,795,229,18634
SED53502,78,29,266,165,119,106,70,100,13,944,4,0,3,3,0,0,3,6,0,31,25,40,43,43,22,16,40,20,5,257,42,27,64,51,24,29,58,54,93,439,1656,3677,2962,2096,1809,777,931,906,268,15079
SED53602,78,26,295,171,97,82,67,134,10,972,0,3,4,7,0,6,4,8,5,32,17,20,36,35,20,10,29,44,6,217,26,19,76,71,31,30,63,96,109,528,945,2440,2196,2268,1307,747,973,1349,251,12481
SED53701,80,6,141,76,78,48,64,76,10,574,0,0,0,7,0,0,0,0,0,11,29,13,24,14,11,6,16,16,3,135,96,17,70,30,28,28,60,97,50,478,2024,1664,1842,1023,1080,366,815,940,157,9907
SED53802,109,29,383,187,136,91,80,106,9,1126,0,0,0,0,4,4,0,7,0,21,17,41,34,26,41,19,19,33,7,240,39,51,94,65,41,31,31,44,90,488,1790,4497,2662,2106,2020,915,791,968,260,16003
SED53902,65,28,272,126,93,45,33,63,9,729,0,0,0,3,0,0,0,5,0,10,39,46,18,35,43,16,14,17,7,237,31,45,51,21,30,25,23,23,47,299,2518,6794,1940,1753,1961,894,468,729,234,17296
SED54006,62,24,227,140,76,75,87,88,3,770,0,0,0,6,0,3,0,10,0,25,12,25,44,24,18,9,40,16,14,201,51,17,76,32,24,25,71,66,61,415,1228,1951,3007,1561,1125,517,1033,1036,209,11662
SED54104,55,20,140,69,39,24,12,34,6,409,0,0,0,4,0,4,0,0,0,17,53,91,19,31,32,13,8,13,9,260,36,64,28,21,28,14,3,27,52,267,3334,10799,1053,1374,1815,788,241,529,259,20198
SED54203,60,11,136,50,43,24,54,67,13,469,0,0,0,0,0,0,0,0,0,8,15,10,33,14,6,5,34,13,10,132,24,23,54,24,14,14,51,54,47,316,842,1117,1593,682,563,243,751,650,167,6604
SED54304,165,25,531,226,80,73,31,81,13,1228,0,0,6,6,3,6,6,5,0,28,51,109,36,55,46,15,15,26,16,367,49,85,59,43,38,12,27,34,77,434,4116,11765,2529,2376,2634,1062,545,1086,338,26454
SED54403,91,31,220,99,110,57,116,97,15,830,5,0,3,0,4,0,3,3,0,17,25,32,77,26,25,12,54,30,11,298,38,39,181,45,44,23,106,86,96,667,1705,2930,5131,1285,1533,480,1641,1085,342,16131
SED54505,66,14,165,93,63,34,34,63,4,524,4,0,0,4,0,4,0,3,3,16,24,52,31,27,26,10,26,16,6,210,23,42,44,18,21,17,11,38,60,274,2249,7009,1863,1558,1899,728,533,660,231,16734
SED54605,60,16,229,159,61,59,49,63,18,715,0,0,3,4,0,5,0,8,0,22,15,17,40,33,24,7,23,18,3,181,27,25,83,69,30,25,51,43,58,410,1113,2200,2569,1923,1209,545,727,796,195,11280
SED54701,82,10,162,96,57,39,49,84,9,584,0,4,0,0,0,0,0,5,0,11,23,13,13,14,8,0,12,18,0,100,80,17,59,51,25,26,58,113,44,473,2274,1830,1704,981,969,398,737,1024,171,10085
SED54804,107,41,256,142,99,61,39,42,11,792,3,0,5,4,7,3,0,0,0,22,38,67,23,40,30,17,8,10,11,234,42,45,70,46,32,25,23,22,89,403,3204,7998,2522,1872,2084,876,474,670,284,19985
SED54905,63,13,203,91,85,44,18,45,4,564,0,0,0,3,0,0,0,0,0,11,40,79,19,28,38,12,5,7,10,236,33,52,37,35,31,13,5,25,60,293,2886,8161,1568,1531,1928,834,397,583,245,18140
SED55005,99,29,305,159,122,99,113,115,7,1053,0,0,6,3,3,0,3,3,0,16,30,30,33,41,35,16,49,23,7,268,38,35,62,51,40,23,47,44,95,435,1784,4557,2919,2181,2079,948,1077,1041,265,16841
SED55102,121,29,309,184,159,118,107,97,9,1116,0,0,0,0,9,7,3,6,0,20,38,24,36,53,19,12,32,19,4,239,36,36,100,51,48,35,54,45,90,499,1987,3096,3319,2187,1934,871,1110,879,259,15642
SED55202,67,18,310,153,102,84,83,138,10,952,0,0,0,0,0,3,8,10,0,23,27,35,45,28,25,16,45,26,4,247,26,18,108,47,28,26,64,81,80,480,1013,2655,2773,2102,1590,756,1132,1197,226,13445
SED55306,159,25,421,177,92,80,62,112,11,1130,0,0,5,6,0,4,0,0,0,19,28,35,32,23,16,19,11,21,7,180,57,27,74,44,40,52,40,55,46,431,2000,3280,2865,1749,1357,854,686,1162,205,14165
SED55405,102,44,411,188,101,72,75,102,9,1108,0,3,6,4,0,3,6,10,0,32,27,71,28,39,41,12,28,31,6,290,32,49,62,34,38,24,41,49,92,418,2391,7333,2576,2439,2117,1013,944,1404,321,20548
SED55504,99,42,345,212,167,117,70,100,12,1153,0,3,3,0,5,10,4,0,0,24,28,22,44,29,28,16,23,18,5,215,45,29,89,52,57,32,46,62,126,545,1927,3835,3514,2377,2060,927,873,1062,300,16882
SED55605,121,42,310,201,117,115,84,89,13,1093,5,0,4,4,0,4,0,3,0,22,37,32,58,35,18,8,33,17,9,250,33,24,116,52,38,37,57,53,61,473,1703,3056,3790,2473,1559,847,1031,1012,259,15723
SED55706,113,10,297,108,72,77,44,126,13,867,3,0,7,0,0,5,0,3,0,21,42,33,23,26,7,12,24,22,7,199,71,37,88,41,25,27,45,81,46,464,2321,2793,2341,1538,1060,688,689,1269,197,12888
SED55802,120,37,397,235,176,113,152,105,17,1350,0,4,4,0,3,3,0,0,0,21,26,37,62,53,38,20,46,31,6,316,45,22,73,64,56,33,46,50,101,490,1836,3618,3545,2860,2195,1056,1372,1092,272,17849
SED55905,78,14,276,135,84,70,27,67,3,756,0,4,3,4,5,5,4,0,0,18,22,38,30,20,20,17,13,20,8,192,41,37,92,32,38,24,29,45,82,415,1639,4384,2524,1634,1615,711,567,753,233,14056
SED59494,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
SED59797,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
