SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED51504,..,4017,4017,4668,350,5021,2366,117,2483,3247,45,3289,1177,6,1182,283,0,287,11738,4542,16280
SED51605,..,3423,3423,4895,311,5205,2994,85,3084,3486,24,3505,1268,5,1275,494,4,494,13135,3853,16987
SED51706,..,3820,3820,5840,293,6136,2323,29,2352,2412,6,2422,1043,3,1043,447,5,451,12062,4162,16223
SED51804,..,4771,4771,5226,352,5578,2171,121,2292,2534,67,2598,1098,16,1114,272,4,277,11303,5326,16627
SED51902,..,2446,2446,5046,244,5292,2628,35,2661,3003,5,3008,1426,7,1427,804,0,804,12909,2731,15639
SED52006,..,4086,4086,6742,286,7030,2176,36,2210,2068,9,2072,862,11,873,341,0,341,12189,4431,16613
SED52102,..,3588,3588,4652,356,5014,2522,65,2584,2467,20,2486,1091,3,1098,537,4,545,11273,4039,15311
SED52205,..,5979,5979,5808,679,6493,2489,210,2706,2069,74,2140,608,8,620,215,10,225,11192,6968,18157
SED52301,..,3962,3962,4704,335,5035,2023,50,2072,1842,4,1846,817,0,817,420,0,422,9810,4349,14158
SED52404,..,2951,2951,5240,266,5505,2620,65,2684,2978,17,2992,995,3,1001,278,0,280,12110,3301,15406
SED52505,..,2182,2182,4882,215,5098,3645,61,3706,4622,23,4647,1666,5,1673,714,3,713,15522,2486,18011
SED52604,..,2871,2871,5013,319,5337,2478,67,2553,2675,34,2706,997,7,1009,338,11,348,11501,3315,14822
SED52702,..,2693,2693,5094,155,5245,2187,21,2211,2416,6,2421,1101,0,1105,400,0,406,11202,2876,14078
SED52803,..,3404,3404,3437,328,3762,1767,65,1833,1695,12,1712,794,9,798,426,3,426,8117,3818,11942
SED52903,..,2613,2613,2634,277,2916,1415,83,1496,1437,29,1463,798,9,802,792,6,794,7075,3013,10089
SED53004,..,3102,3102,5190,208,5400,2585,30,2613,2890,16,2900,1005,3,1009,314,3,321,11987,3355,15344
SED53105,..,3692,3692,4611,423,5034,2977,74,3047,3171,19,3186,1275,9,1280,662,3,663,12689,4220,16908
SED53204,..,2312,2312,4145,187,4337,2992,33,3026,3869,13,3881,1444,3,1449,707,4,711,13163,2544,15710
SED53306,..,5692,5692,5937,395,6336,2432,64,2498,2230,8,2245,943,3,944,474,0,479,12018,6172,18190
SED53402,..,6207,6207,5501,696,6195,2598,188,2780,2314,51,2361,614,20,633,199,10,208,11228,7157,18385
SED53502,..,5217,5217,5480,474,5958,2764,89,2850,2475,16,2497,947,3,954,504,0,502,12170,5803,17976
SED53602,..,4504,4504,4403,483,4888,2712,144,2853,2391,46,2436,1173,25,1195,972,3,977,11652,5196,16851
SED53701,..,3751,3751,5400,253,5655,1608,22,1630,1531,9,1543,818,3,821,390,0,393,9749,4044,13791
SED53802,..,4782,4782,5524,481,6001,2823,149,2971,2450,47,2498,949,12,969,465,13,475,12207,5491,17698
SED53902,..,6174,6174,5383,560,5944,2353,167,2524,2152,71,2222,674,18,694,227,8,235,10799,6997,17793
SED54006,..,3600,3600,5798,273,6073,2166,35,2201,2237,10,2244,1040,3,1047,545,7,550,11784,3932,15716
SED54104,..,5884,5884,5578,601,6181,2206,212,2418,2462,96,2560,964,21,985,214,9,221,11430,6824,18247
SED54203,..,1937,1937,2019,152,2172,776,37,818,842,20,859,393,15,405,254,5,259,4282,2167,6449
SED54304,..,8760,8760,7445,1358,8808,2478,479,2956,2004,120,2123,510,21,530,111,10,128,12544,10755,23301
SED54403,..,3047,3047,3329,321,3648,1987,74,2065,2293,16,2310,1116,0,1120,577,8,578,9305,3469,12771
SED54505,..,2771,2771,4250,173,4419,2670,54,2717,3607,19,3631,1403,11,1406,526,0,529,12448,3029,15478
SED54605,..,5639,5639,5622,393,6017,2192,50,2241,1754,5,1761,714,3,716,323,0,324,10605,6096,16698
SED54701,..,4219,4219,4765,298,5062,1596,42,1645,1656,7,1669,809,7,820,390,7,398,9228,4584,13811
SED54804,..,5744,5744,5765,740,6502,2584,269,2853,2582,64,2650,690,9,702,153,9,159,11771,6827,18603
SED54905,..,5624,5624,5725,632,6352,2276,243,2516,2162,57,2219,698,19,721,189,9,204,11052,6585,17632
SED55005,..,2696,2696,4106,257,4361,3002,56,3064,3760,26,3788,1580,17,1599,886,0,890,13334,3059,16389
SED55102,..,2604,2604,4811,254,5068,2741,32,2772,3112,6,3121,1390,0,1396,778,0,784,12839,2905,15736
SED55202,..,4557,4557,4961,457,5416,2718,102,2818,2538,38,2580,1219,9,1230,828,6,838,12257,5174,17430
SED55306,..,3968,3968,5887,330,6222,2185,72,2257,2391,24,2415,961,4,966,350,3,351,11779,4397,16174
SED55405,..,6525,6525,5421,950,6376,2576,504,3075,2186,253,2438,669,113,781,311,65,378,11159,8406,19568
SED55504,..,3219,3219,4812,275,5084,3120,66,3186,3406,13,3415,1372,6,1374,683,4,686,13390,3574,16967
SED55605,..,2830,2830,4875,296,5164,3025,41,3067,3258,8,3270,1439,7,1443,680,0,680,13271,3184,16452
SED55706,..,4634,4634,6142,345,6484,2008,66,2077,1877,35,1911,845,4,853,337,6,347,11211,5094,16300
SED55802,..,3096,3096,4912,344,5255,3407,67,3473,3473,19,3489,1441,10,1452,832,0,836,14065,3538,17602
SED55905,..,4341,4341,4980,405,5393,2473,122,2596,2231,49,2277,747,21,767,287,3,295,10720,4950,15669
SED59494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
