SED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SED51104,3,59,0,59,..,139,19,153,0,154,..,15,0,15,0,15,..,67,32,102,0,109,..,1524,158,1688,40,1721,..,6301,586,6882,81,6969,..,293,30,327,2760,3088,46433,6597,617,7211,2843,56481
SED51205,52,469,10,479,..,197,39,234,0,236,..,386,106,497,0,494,..,332,103,438,5,448,..,2813,483,3296,71,3367,..,20065,3626,23689,296,23986,..,421,82,509,2613,3125,25810,20490,3708,24196,2907,52916
SED51304,3,30,4,33,..,47,3,51,0,51,..,10,0,10,0,10,..,86,12,97,0,97,..,473,40,508,11,523,..,3990,343,4329,45,4374,..,114,4,118,987,1103,37015,4099,346,4449,1029,42494
SED51401,0,13,0,13,..,22,4,28,4,31,..,0,0,0,0,0,..,19,9,32,0,32,..,322,32,355,13,364,..,1429,134,1567,41,1605,..,88,14,101,4285,4380,31461,1521,147,1669,4325,37453
SED51504,0,68,0,71,..,73,9,81,0,81,..,13,4,14,0,14,..,153,28,183,0,178,..,1873,97,1973,23,1994,..,8211,712,8922,81,9000,..,268,21,285,1104,1396,33961,8480,734,9214,1178,44359
SED51605,3,101,0,99,..,129,31,160,0,160,..,20,5,24,0,24,..,100,25,122,3,121,..,917,121,1035,26,1066,..,9053,1254,10304,108,10412,..,214,28,246,1742,1987,35768,9267,1282,10547,1852,48164
SED51706,0,18,0,18,..,53,7,60,0,60,..,7,0,7,0,7,..,34,28,62,0,62,..,440,54,493,19,518,..,2018,241,2262,38,2300,..,104,13,117,2550,2669,39489,2127,249,2375,2587,44451
SED51804,6,58,0,58,..,38,3,45,0,45,..,15,0,15,0,15,..,53,5,58,0,58,..,653,48,701,14,716,..,4433,372,4803,35,4839,..,124,7,135,1926,2060,37226,4556,382,4933,1965,44128
SED51902,8,94,0,95,..,70,9,78,0,78,..,14,0,14,0,14,..,33,18,51,0,51,..,1098,89,1187,23,1213,..,4064,337,4404,50,4451,..,164,13,179,2199,2376,40916,4227,353,4585,2246,47752
SED52006,0,11,0,11,..,110,17,126,0,133,..,3,0,3,0,3,..,54,11,66,0,66,..,409,45,448,8,458,..,2171,171,2343,23,2368,..,177,15,186,1934,2127,38269,2350,188,2535,1958,42755
SED52102,20,201,7,198,..,115,19,129,3,135,..,47,16,66,0,66,..,78,14,95,5,95,..,1704,432,2130,37,2165,..,6855,1036,7891,102,7987,..,203,30,238,1915,2156,32228,7064,1064,8130,2013,42371
SED52205,5,23,0,23,..,80,7,88,0,91,..,24,7,31,0,31,..,66,20,84,0,89,..,928,119,1052,25,1071,..,6265,1002,7267,89,7358,..,191,28,212,2596,2809,33705,6457,1025,7484,2689,43870
SED52301,0,22,0,22,..,96,21,115,0,115,..,0,0,0,0,0,..,105,50,156,0,154,..,481,47,523,18,538,..,2619,286,2908,40,2949,..,167,10,178,3627,3809,32184,2786,300,3084,3667,38940
SED52404,0,16,0,20,..,75,13,89,0,89,..,10,0,10,0,10,..,96,21,117,0,117,..,588,49,632,11,649,..,3736,335,4067,43,4106,..,125,7,133,1127,1258,36502,3863,340,4198,1169,41866
SED52505,55,1088,6,1096,..,130,17,145,0,145,..,36,0,41,0,41,..,140,38,182,0,182,..,1750,159,1909,48,1950,..,18333,2093,20427,272,20697,..,231,34,264,2460,2716,33790,18567,2123,20686,2725,57203
SED52604,0,55,4,58,..,98,13,113,0,113,..,9,0,16,0,16,..,90,34,116,3,126,..,618,70,690,10,697,..,4518,438,4962,36,4997,..,150,9,159,1451,1617,34520,4672,452,5122,1492,41137
SED52702,0,20,0,21,..,77,11,89,0,89,..,5,0,5,0,5,..,16,10,21,0,21,..,387,34,421,11,434,..,2076,156,2229,29,2257,..,93,4,96,1340,1440,35781,2167,156,2328,1368,39482
SED52803,0,48,4,49,..,150,27,180,0,179,..,10,0,10,0,10,..,46,14,59,0,61,..,1314,82,1399,28,1432,..,4121,295,4415,63,4477,..,230,31,263,5054,5316,27111,4352,327,4677,5111,36906
SED52903,0,16,0,16,..,81,16,97,0,95,..,10,0,9,0,10,..,42,7,51,0,51,..,4918,415,5333,165,5501,..,6606,536,7138,206,7341,..,374,187,563,5178,5742,22268,6976,727,7700,5384,35352
SED53004,0,20,0,20,..,89,17,105,0,105,..,9,0,8,0,8,..,138,46,182,0,190,..,536,55,595,15,611,..,4081,458,4541,43,4585,..,154,3,154,1003,1161,35964,4235,464,4696,1051,41711
SED53105,7,179,0,182,..,121,18,139,0,136,..,5,0,5,0,5,..,109,30,140,4,144,..,1224,119,1343,34,1375,..,8651,902,9552,117,9672,..,199,23,223,3339,3564,36473,8850,931,9776,3457,49705
SED53204,4,124,5,123,..,125,19,141,0,137,..,27,3,40,0,40,..,1608,716,2322,16,2346,..,2384,410,2792,43,2831,..,13311,2079,15392,126,15515,..,286,50,334,1246,1582,31506,13593,2127,15730,1367,48598
SED53306,0,29,0,29,..,131,25,158,5,162,..,3,0,3,0,3,..,53,26,80,0,80,..,707,64,767,20,786,..,3413,320,3732,44,3774,..,169,12,183,2973,3156,39260,3581,333,3914,3014,46195
SED53402,7,117,0,116,..,128,19,146,0,145,..,26,4,37,0,37,..,614,251,864,4,873,..,1193,166,1357,37,1393,..,7963,1320,9284,115,9398,..,163,24,192,1813,2010,32040,8130,1343,9472,1930,43449
SED53502,13,159,4,162,..,122,27,147,0,147,..,14,0,17,0,17,..,134,52,184,0,184,..,1265,133,1394,40,1435,..,6445,772,7222,82,7302,..,201,23,223,2564,2787,36815,6648,801,7446,2645,46900
SED53602,9,84,0,87,..,162,31,192,0,192,..,54,27,83,0,79,..,2577,1635,4216,30,4243,..,4932,1679,6613,88,6703,..,16157,5008,21160,210,21368,..,427,164,591,2827,3413,23335,16581,5166,21749,3038,48121
SED53701,0,11,0,11,..,46,15,59,0,59,..,0,0,0,0,0,..,31,22,56,4,61,..,375,42,415,25,444,..,1446,180,1625,45,1671,..,105,8,111,4161,4268,32377,1548,187,1732,4205,38315
SED53802,6,119,0,125,..,178,31,206,0,212,..,62,29,93,0,93,..,1469,637,2104,8,2116,..,2033,302,2337,30,2369,..,13515,2599,16108,157,16262,..,297,43,337,1830,2168,26996,13807,2639,16449,1981,45426
SED53902,5,94,0,94,..,100,12,119,3,122,..,49,17,66,0,66,..,705,210,921,0,917,..,1237,121,1355,28,1384,..,8910,1266,10175,95,10269,..,175,27,207,1693,1897,30212,9088,1299,10385,1786,42377
SED54006,0,9,0,9,..,62,12,74,0,74,..,9,0,9,0,9,..,25,12,32,3,33,..,349,47,394,9,404,..,2156,243,2408,25,2429,..,203,8,206,2562,2776,38184,2361,249,2614,2590,43391
SED54104,5,191,3,193,..,96,18,121,0,123,..,26,0,26,0,26,..,233,34,265,0,275,..,897,55,955,18,980,..,8731,763,9495,97,9592,..,146,12,158,1808,1964,35125,8874,776,9651,1905,46676
SED54203,0,13,0,13,..,55,15,73,0,72,..,3,0,3,0,3,..,112,72,188,3,190,..,1692,129,1823,35,1861,..,2947,327,3272,53,3330,..,124,10,133,3965,4097,15446,3071,339,3409,4024,22875
SED54304,10,181,4,185,..,262,42,304,0,307,..,26,0,30,0,30,..,644,176,818,0,821,..,1211,113,1330,41,1369,..,12685,1734,14414,149,14561,..,229,24,252,3818,4067,35017,12914,1755,14674,3962,53651
SED54403,7,51,0,53,..,258,33,293,3,299,..,13,4,18,0,22,..,90,16,104,0,104,..,2405,147,2549,49,2602,..,6324,439,6766,101,6862,..,380,27,406,8291,8690,31871,6708,460,7168,8385,47427
SED54505,37,922,6,927,..,110,10,118,0,119,..,53,0,56,0,56,..,182,41,227,0,229,..,1062,88,1154,25,1178,..,15695,1973,17666,119,17788,..,198,31,220,1002,1223,26897,15888,2005,17892,1121,45908
SED54605,0,10,0,10,..,124,20,144,4,151,..,3,0,3,0,3,..,81,31,110,0,110,..,562,84,648,25,671,..,2682,365,3040,45,3087,..,151,18,171,2878,3049,34724,2831,384,3213,2921,40861
SED54701,0,12,0,12,..,48,7,59,0,59,..,0,0,0,0,0,..,36,20,57,0,57,..,545,191,736,21,753,..,2070,370,2440,42,2482,..,126,23,150,3768,3918,31262,2193,394,2590,3811,37662
SED54804,0,45,0,45,..,71,6,82,0,82,..,12,6,19,0,19,..,80,32,113,0,113,..,658,85,741,18,760,..,5856,606,6464,63,6523,..,150,14,163,2314,2477,36750,6006,617,6628,2374,45753
SED54905,3,131,0,127,..,134,25,162,0,160,..,45,7,60,0,60,..,216,53,267,0,270,..,940,117,1059,33,1093,..,7946,884,8825,107,8936,..,202,22,223,1973,2197,32114,8149,904,9053,2078,43240
SED55005,66,988,6,993,..,125,21,146,0,147,..,55,11,67,0,67,..,136,44,181,0,185,..,2421,493,2912,42,2958,..,15885,2556,18442,186,18626,..,285,64,351,1744,2095,30470,16173,2613,18790,1931,51193
SED55102,5,100,0,100,..,101,18,116,0,116,..,9,0,11,0,11,..,110,36,146,0,148,..,1521,207,1735,28,1762,..,5657,589,6247,63,6310,..,186,13,197,4110,4305,39078,5843,600,6445,4168,49692
SED55202,103,668,3,675,..,172,36,209,0,213,..,86,15,105,4,103,..,194,82,277,6,277,..,2984,859,3837,68,3902,..,13081,2551,15632,175,15809,..,316,84,400,2597,3002,29688,13402,2634,16036,2780,48500
SED55306,0,20,0,17,..,74,17,86,0,90,..,0,0,0,0,0,..,51,25,77,0,77,..,389,78,470,11,481,..,2016,212,2232,35,2266,..,146,10,156,2582,2736,39323,2162,220,2385,2617,44333
SED55405,14,165,0,165,..,202,42,240,4,240,..,58,30,89,4,94,..,378,95,476,0,479,..,2052,235,2284,37,2322,..,12703,1551,14250,168,14418,..,345,33,373,3006,3382,30826,13040,1582,14619,3176,48622
SED55504,7,64,0,64,..,128,14,143,0,141,..,16,0,15,0,15,..,322,168,491,8,498,..,1159,147,1309,23,1333,..,6576,739,7313,60,7378,..,205,22,232,1709,1938,40155,6783,764,7549,1768,49470
SED55605,0,9,0,9,..,137,20,163,0,163,..,4,0,4,0,4,..,44,23,66,5,71,..,639,62,700,19,719,..,2685,238,2919,42,2966,..,175,13,187,2195,2386,43881,2861,247,3108,2242,49231
SED55706,0,7,0,7,..,59,14,69,0,72,..,0,0,0,0,0,..,40,16,57,0,57,..,466,142,607,8,618,..,2210,301,2519,35,2545,..,93,6,100,3596,3701,37198,2307,309,2616,3629,43443
SED55802,15,244,6,251,..,131,25,150,0,150,..,7,3,12,0,12,..,1067,505,1564,15,1576,..,2940,536,3481,50,3534,..,13399,2055,15458,168,15633,..,307,59,366,2111,2483,34859,13713,2115,15828,2285,52973
SED55905,0,56,0,56,..,101,21,125,0,120,..,18,3,23,0,23,..,125,32,159,0,159,..,704,82,781,18,798,..,6530,817,7346,90,7431,..,180,29,211,1886,2099,30953,6712,844,7552,1973,40484
SED59494,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
SED59797,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
