SED_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED51902,4979,9814,147,869,588,2755,248,1148,3689,14477,4671,19257,327,1363,409,1373,1195,3750,1930,6486,6598,25740,31,141,109,412,73,243,756,2077,970,2868,65,218,125,277,513,1113,709,1610,1677,4476,132,268,13392,40296
SED52006,6217,12121,71,350,424,1876,160,705,2152,8108,2806,11034,232,923,377,1199,827,2465,1438,4582,4241,15619,25,117,141,526,89,313,764,2094,1022,3052,59,177,171,381,596,1257,819,1808,1842,4866,102,215,12404,32812
SED52102,4161,8211,115,668,463,2173,145,661,3013,11531,3738,15037,239,1050,328,1120,933,2965,1505,5143,5238,20180,22,125,139,480,94,346,728,2020,988,2974,72,247,165,357,740,1609,988,2214,1968,5186,194,410,11565,33986
SED52205,4985,9751,44,236,320,1432,73,302,2467,9053,2897,11022,180,752,373,1242,701,2177,1256,4172,4160,15194,17,83,126,390,65,225,746,1760,951,2458,85,252,222,478,780,1628,1086,2368,2037,4825,186,387,11369,30148
SED52301,4184,8160,67,339,377,1727,131,611,2219,8552,2790,11229,149,604,232,718,687,2061,1063,3376,3859,14609,24,149,124,444,113,432,781,2168,1054,3185,63,195,131,261,578,1220,769,1681,1827,4871,159,323,10025,27971
SED52404,4765,9360,69,360,551,2478,123,529,3163,11928,3904,15303,300,1204,543,1936,1014,3202,1862,6331,5763,21634,19,56,131,416,39,123,564,1403,751,2001,91,267,189,425,616,1306,893,1987,1642,3993,139,287,12310,35273
SED52505,4872,9729,104,595,958,4258,189,819,5623,21364,6876,27036,440,1811,743,2562,1279,4107,2463,8474,9337,35513,10,51,140,458,53,187,620,1603,821,2300,97,309,170,403,564,1268,831,1976,1653,4277,185,396,16046,49918
SED52604,4715,9314,97,503,520,2305,134,598,2522,9595,3271,13003,370,1520,576,1952,1191,3760,2142,7234,5418,20233,23,102,117,389,44,148,516,1301,701,1937,91,295,176,395,543,1178,811,1872,1516,3807,111,235,11760,33587
SED52702,4935,9754,96,502,575,2604,124,534,2446,9587,3240,13226,339,1429,490,1667,1123,3499,1950,6596,5194,19829,19,85,87,277,52,179,399,1036,554,1573,56,173,109,256,529,1136,700,1568,1251,3140,88,175,11471,32897
SED52803,3094,6094,67,357,272,1285,180,842,2397,9349,2919,11831,115,452,176,534,549,1715,844,2708,3759,14542,17,86,69,229,69,245,625,1770,781,2328,28,79,68,154,404,864,501,1090,1283,3425,149,316,8286,24378
SED52903,2496,4892,58,347,242,1091,203,1106,2075,8190,2578,10736,62,241,99,269,360,1189,521,1697,3097,12431,42,204,106,417,165,738,935,2810,1251,4164,26,74,82,176,483,1212,591,1457,1838,5621,229,570,7661,23519
SED53004,4750,9410,76,410,535,2387,104,445,2991,11497,3707,14734,344,1416,508,1781,1140,3588,1987,6791,5695,21528,16,63,129,402,38,144,538,1363,721,1970,86,255,184,426,644,1370,914,2061,1635,4031,114,238,12195,35203
SED53105,3992,7830,112,624,560,2573,211,906,4126,15680,5002,19793,269,1146,363,1223,865,2748,1495,5120,6506,24905,36,178,144,523,100,398,1080,2909,1366,4004,86,281,146,314,769,1660,1002,2257,2363,6261,201,420,13059,39419
SED53204,3935,7842,180,1044,756,3502,204,893,4188,16199,5322,21634,467,1988,637,2227,1286,4206,2397,8411,7715,30046,39,188,140,461,57,189,679,1746,908,2584,117,392,187,444,613,1385,922,2222,1832,4804,152,324,13631,43016
SED53306,5177,10117,74,418,425,1906,163,728,2516,9576,3179,12627,175,692,340,1084,810,2478,1319,4254,4505,16878,48,197,163,582,110,427,1080,2958,1400,4169,76,243,165,358,768,1622,1007,2227,2408,6397,191,396,12281,33790
SED53402,4829,9462,37,194,404,1791,57,265,2978,10810,3476,13059,197,800,418,1419,603,1902,1220,4130,4693,17188,8,64,98,318,31,111,611,1462,754,1948,55,169,178,394,603,1280,835,1842,1592,3790,239,493,11357,30939
SED53502,4744,9379,83,454,417,1884,142,656,2955,11135,3598,14132,260,1082,349,1145,933,2944,1541,5175,5139,19304,28,130,149,490,101,358,890,2338,1169,3319,100,307,215,486,922,1986,1235,2781,2405,6106,243,504,12531,35294
SED53602,3700,7454,147,976,547,2807,147,713,2772,10946,3614,15441,319,1383,362,1267,1083,3522,1761,6164,5376,21605,60,328,171,672,105,404,965,2710,1301,4110,137,462,233,541,1081,2435,1456,3442,2751,7557,325,718,12157,37332
SED53701,5263,10251,73,386,366,1462,116,491,1892,7421,2448,9761,147,551,214,616,736,2205,1095,3375,3548,13134,17,84,76,268,39,132,467,1294,595,1784,34,99,71,135,390,827,491,1066,1086,2843,95,199,9992,26430
SED53802,4905,9786,76,470,452,2104,104,475,2871,10803,3511,13846,285,1204,443,1551,1027,3300,1754,6054,5266,19901,25,110,109,383,68,252,704,1864,913,2607,90,283,229,511,843,1812,1165,2609,2073,5214,272,576,12519,35476
SED53902,4743,9375,39,228,396,1783,50,202,2541,9469,3034,11682,232,951,503,1769,680,2172,1413,4887,4446,16573,11,47,90,290,26,84,558,1320,683,1741,57,169,199,445,582,1242,837,1861,1520,3599,238,491,10942,30036
SED54006,5385,10512,117,637,502,2288,200,892,2463,9668,3285,13480,200,793,310,968,1002,3018,1513,4783,4796,18272,24,101,113,372,83,292,759,2030,977,2793,58,171,132,290,621,1297,813,1763,1789,4557,127,273,12102,33606
SED54104,5042,9924,33,148,611,2736,25,107,2859,11013,3525,14006,221,894,706,2490,582,1818,1504,5200,5029,19202,12,40,114,346,9,37,450,1078,588,1496,66,221,258,579,371,771,694,1572,1280,3063,194,393,11546,32584
SED54203,1945,3798,23,126,122,544,70,363,1202,4694,1423,5733,30,124,87,237,211,668,333,1022,1756,6752,3,20,43,169,50,221,304,861,403,1274,14,40,46,94,204,462,267,594,666,1863,76,176,4440,12593
SED54304,6886,13442,24,115,294,1280,34,146,2843,10214,3196,11749,133,542,352,1200,460,1424,941,3163,4136,14920,7,25,82,233,19,70,499,1135,608,1472,29,93,219,464,453,943,701,1501,1309,2973,292,607,12625,31939
SED54403,3174,6188,88,461,426,1993,162,734,3646,14331,4322,17513,81,343,197,589,447,1420,734,2352,5053,19867,16,86,80,286,83,330,603,1645,785,2343,25,83,73,153,286,653,387,889,1171,3234,134,309,9535,29595
SED54505,4057,8094,73,413,1060,4719,119,518,3355,13193,4605,18835,442,1853,912,3247,1142,3603,2504,8701,7110,27542,16,71,168,554,33,110,463,1224,678,1959,98,314,224,539,515,1106,837,1966,1517,3923,106,235,12784,39783
SED54605,4913,9646,58,339,331,1508,136,607,1936,7322,2467,9777,168,660,248,826,866,2658,1285,4139,3750,13918,32,139,114,393,78,275,779,2066,1005,2876,55,177,169,371,774,1618,993,2163,2003,5039,162,331,10820,28936
SED54701,4377,8585,58,319,395,1632,105,468,2191,8709,2753,11131,107,382,207,548,579,1769,896,2703,3646,13827,18,83,98,357,59,208,492,1384,664,2039,31,95,82,166,437,912,552,1179,1215,3213,121,256,9360,25882
SED54804,5057,9816,29,167,432,1894,41,182,3153,11581,3662,13821,216,884,518,1808,569,1759,1303,4448,4972,18275,19,62,130,392,38,124,649,1499,832,2076,72,206,219,478,551,1153,846,1843,1681,3917,191,392,11892,32397
SED54905,5033,9920,47,269,414,1875,33,144,2508,9329,3011,11617,215,892,570,1987,667,2092,1460,4975,4467,16593,7,57,76,247,24,80,459,1105,576,1488,55,167,197,432,493,1032,743,1629,1321,3115,358,749,11170,30381
SED55005,3874,7717,155,929,845,3943,234,1099,4126,16083,5359,22051,457,1938,665,2308,1260,4085,2388,8333,7744,30385,39,177,154,529,85,335,805,2263,1086,3296,105,373,180,433,651,1458,933,2262,2023,5558,193,417,13833,44079
SED55102,4478,8738,165,923,672,3097,224,1009,3608,14037,4667,19057,339,1383,451,1512,1100,3420,1890,6317,6554,25375,41,187,175,617,83,296,923,2575,1219,3676,83,270,165,357,612,1325,861,1959,2083,5633,130,278,13244,40028
SED55202,4311,8541,155,943,589,2871,200,969,3080,12112,4032,16896,308,1337,379,1256,1061,3387,1741,5982,5772,22875,36,169,146,545,90,322,866,2369,1141,3405,102,340,185,404,898,1963,1183,2702,2316,6107,246,521,12648,38052
SED55306,5560,10849,71,381,509,2234,179,755,2812,10800,3577,14172,167,638,329,1004,695,2093,1191,3736,4770,17907,26,99,154,501,67,209,705,1833,942,2637,44,129,127,277,481,976,647,1379,1592,4014,88,181,12006,32953
SED55405,5059,10007,23,143,314,1418,59,288,3004,10993,3410,12840,154,664,324,1100,452,1441,938,3204,4350,16041,22,109,92,296,42,155,544,1332,694,1897,63,181,185,427,574,1238,815,1848,1509,3737,433,906,11349,30699
SED55504,4407,8639,134,784,676,3065,213,1000,3935,15107,4962,19956,396,1646,501,1712,1199,3767,2092,7120,7052,27076,48,227,159,561,88,307,924,2411,1222,3509,95,298,187,416,677,1476,954,2193,2179,5703,154,319,13788,41742
SED55605,4372,8505,173,953,673,3022,299,1331,3394,13151,4543,18448,368,1499,479,1570,1179,3636,2024,6712,6568,25163,47,215,228,846,139,487,1113,3110,1532,4658,107,332,179,403,700,1532,980,2269,2514,6927,157,332,13614,40931
SED55706,5710,11108,60,324,404,1803,150,624,2451,9437,3066,12186,148,561,263,792,632,1861,1041,3223,4109,15409,15,65,115,369,65,211,597,1538,795,2183,43,130,149,296,473,980,666,1408,1463,3592,101,203,11381,30312
SED55802,4550,9047,174,1038,676,3114,216,1035,4388,16679,5460,21868,363,1558,523,1744,1204,3851,2084,7153,7547,29018,46,237,167,597,104,378,908,2434,1227,3650,120,408,185,430,716,1601,1017,2439,2251,6085,213,453,14559,44608
SED55905,4380,8679,47,282,382,1699,113,497,2365,8773,2910,11252,249,1033,379,1262,953,3059,1576,5353,4490,16604,12,45,111,391,75,274,658,1679,860,2391,96,301,162,362,767,1695,1022,2362,1883,4748,214,449,10960,30485
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
