UCL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL521031,29,22,43,40,26,10,33,40,4,240
UCL521032,29,33,15,24,25,12,17,17,14,196
UCL521033,23,20,12,16,20,7,17,26,6,133
UCL521034,53,43,85,32,41,20,59,46,16,380
UCL521035,29,27,32,33,15,9,27,46,0,217
UCL521036,24,28,19,23,27,18,22,28,0,195
UCL521037,11,20,62,58,20,33,73,61,4,336
UCL521038,25,23,29,33,12,10,50,43,5,233
UCL521039,51,85,67,43,28,26,20,37,13,374
UCL521040,51,60,69,45,47,13,44,41,4,367
UCL521041,17,26,106,28,21,5,118,18,5,352
UCL521042,46,33,25,35,25,27,31,80,3,292
UCL521043,36,64,43,44,29,10,20,22,0,268
UCL521044,24,24,41,28,20,12,24,32,10,210
UCL521045,40,9,12,25,7,15,15,23,0,151
UCL521046,18,24,23,50,20,11,19,27,0,185
UCL521047,36,14,45,20,33,18,42,39,6,245
UCL521048,42,51,54,42,41,20,22,36,3,318
UCL521049,20,25,0,12,13,4,0,9,0,82
UCL521050,41,40,61,35,41,29,46,48,5,343
UCL521051,16,24,64,42,47,29,47,74,10,353
UCL521052,32,49,25,59,15,8,18,24,10,231
UCL522001,7,21,6,14,0,6,5,8,6,74
UCL522002,20,18,18,13,8,3,17,17,3,108
UCL522003,7,15,4,18,10,4,8,7,0,70
UCL522004,3,0,0,9,5,3,0,6,0,33
UCL522005,3,13,0,17,10,4,3,4,3,71
UCL522006,31,64,41,24,18,18,6,16,9,224
UCL522007,28,4,22,11,9,5,10,21,0,101
UCL522008,15,3,11,11,6,0,15,13,0,76
UCL522009,11,12,53,16,25,12,31,30,0,203
UCL522010,21,39,35,23,19,17,9,4,0,161
UCL522011,27,15,24,15,15,10,18,13,0,145
UCL522012,34,17,26,23,23,7,21,45,5,196
UCL522013,15,25,49,20,16,9,30,23,5,189
UCL522014,7,6,14,13,10,3,20,13,0,91
UCL522015,25,20,18,44,17,7,6,27,4,173
UCL522016,11,0,11,10,5,6,14,21,7,95
UCL522017,20,11,22,13,22,17,18,24,0,153
UCL522018,13,5,3,6,3,3,6,6,4,44
UCL522019,20,5,13,6,5,0,7,13,0,67
UCL522020,11,12,10,11,8,3,6,5,0,65
UCL522021,31,17,18,15,15,7,20,22,4,140
UCL522022,11,7,20,16,12,9,15,11,3,93
UCL522023,8,13,18,21,8,3,22,21,6,136
UCL522024,6,44,8,12,13,9,6,8,0,106
UCL522025,18,17,28,21,24,14,31,27,3,174
UCL522026,16,10,18,7,11,7,12,16,0,101
UCL522027,13,15,23,9,12,4,27,18,4,129
UCL522028,14,0,6,3,3,0,4,13,0,52
UCL522029,10,15,35,22,17,15,19,16,5,159
UCL522030,12,15,16,7,17,10,21,19,0,115
UCL522031,11,18,0,8,0,4,0,0,0,42
UCL522032,4,16,0,22,11,0,0,3,3,53
UCL522033,12,10,19,22,4,6,5,38,4,129
UCL522034,3,8,0,4,0,0,0,0,0,26
UCL522035,24,3,17,10,10,4,11,21,7,105
UCL522036,17,4,12,8,8,3,24,11,3,101
UCL522037,15,15,20,12,10,8,19,22,4,126
UCL522038,52,32,51,25,28,22,28,27,9,272
UCL522039,23,27,21,30,21,4,22,14,4,160
UCL522040,9,13,10,8,10,7,8,16,4,79
UCL522041,14,8,23,8,14,7,20,16,5,116
UCL522042,13,12,47,19,23,9,50,21,5,189
UCL522043,0,5,5,12,6,5,0,12,4,47
UCL522044,6,4,5,18,5,3,6,9,3,59
UCL522045,3,9,4,4,0,0,0,4,0,30
UCL522046,18,8,10,9,7,8,15,14,3,86
UCL522047,19,19,17,22,19,11,19,18,5,134
UCL522048,17,14,34,12,9,7,11,6,0,114
UCL522049,7,15,7,20,12,0,8,12,0,81
UCL522050,33,16,26,17,18,17,19,29,0,165
UCL522051,16,3,32,13,15,16,9,13,0,110
UCL522052,6,3,4,20,0,0,0,5,0,39
UCL522053,6,10,4,5,6,0,0,3,0,34
UCL522054,20,6,10,10,13,3,10,4,0,80
UCL522055,25,17,20,21,20,0,21,21,0,142
UCL522056,22,17,29,4,19,9,39,16,7,176
UCL522057,28,6,25,34,10,6,0,15,0,126
UCL522058,17,6,17,8,6,0,12,10,0,71
UCL522059,17,12,23,17,12,3,19,14,4,122
UCL522060,7,5,0,0,0,0,0,0,0,16
UCL522061,33,18,12,8,11,16,7,13,3,119
UCL522062,3,11,0,6,0,6,3,0,4,37
UCL522063,8,22,0,4,4,0,0,0,0,37
UCL522064,8,13,12,34,9,5,5,14,10,104
UCL522065,22,14,17,11,10,4,15,21,0,102
UCL522066,31,14,22,20,15,19,22,35,3,189
UCL522067,8,10,17,12,10,5,13,17,8,102
UCL522068,20,40,40,32,23,11,15,15,3,202
UCL522069,12,12,15,10,11,5,9,19,4,96
UCL522070,14,9,26,13,12,10,16,30,0,130
UCL522071,4,9,7,3,8,4,4,10,18,66
UCL531001,18991,10329,12899,6510,7848,4167,8214,9320,1511,79789
UCL579997,9,33,83,9,10,0,31,98,6,277
UCL599994,107,257,272,223,150,77,213,292,33,1614
