UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL513005,17,8,9,3,3,0,33,3,4,0,0,0,0,8,3,0,0,7,0,0,13,7,0,7,0,0,0,18,8,6,0,3,0,0,26,14,17,4,4,5,0,49,16,20,13,8,4,0,64,39,52,14,17,18,0,136,52,67,18,21,13,5,168,46,100,23,21,11,3,204,41,110,24,18,8,0,204,56,144,47,34,12,3,291,14,70,15,8,5,0,122,23,42,3,3,0,0,70,37,65,18,3,9,0,129,30,44,27,6,6,0,108,13,11,7,0,0,0,32,6,11,4,0,0,0,19,41,48,20,3,9,4,117,464,821,259,157,96,13,1810
UCL514001,9,3,0,4,0,0,15,3,0,0,0,3,0,9,12,9,4,4,6,0,26,14,0,0,3,6,0,26,27,17,0,0,9,0,53,27,27,11,10,11,0,85,29,43,8,5,8,0,99,21,33,16,6,3,0,79,23,27,10,6,6,0,67,14,42,14,4,0,0,74,3,25,9,4,4,0,37,21,28,11,4,3,0,63,6,9,6,0,0,0,16,0,0,3,0,0,0,0,3,10,0,0,0,0,19,3,11,7,0,0,0,21,3,5,4,0,0,0,11,7,0,0,0,0,0,5,21,12,13,5,3,0,49,236,291,107,54,62,7,750
UCL514002,12,0,9,3,0,0,26,5,3,0,0,0,0,13,7,4,0,4,0,0,12,5,5,0,0,3,0,17,11,6,6,6,3,0,23,11,14,5,4,8,0,36,12,10,3,3,3,0,31,13,15,5,9,5,0,42,13,35,6,6,5,0,59,29,53,8,6,0,0,101,20,54,3,4,0,0,88,31,62,10,8,0,0,118,11,40,4,3,0,0,61,12,32,3,3,0,0,51,20,34,3,6,0,0,65,13,51,9,0,3,0,79,3,16,3,0,0,0,25,5,14,4,0,0,0,29,12,15,3,9,3,0,43,249,462,92,72,35,0,912
UCL514003,9,3,5,0,0,0,21,0,5,0,0,0,0,3,0,0,0,0,3,0,6,3,7,0,4,0,0,10,6,9,4,3,0,0,22,11,9,0,7,5,0,36,23,22,3,7,9,0,67,20,47,4,12,6,0,97,29,51,0,3,4,0,96,37,69,11,18,3,0,137,17,47,3,5,5,0,78,20,42,10,12,0,0,86,9,31,3,0,0,0,42,6,13,6,0,0,0,23,13,31,7,0,0,0,57,12,36,7,0,0,0,52,0,8,4,0,0,0,13,0,0,0,0,0,0,8,15,13,7,4,0,0,46,239,446,82,87,46,3,904
UCL514004,9,4,0,0,5,4,22,3,0,0,0,0,0,4,5,4,0,5,0,0,11,11,0,3,3,4,0,23,19,11,9,5,8,0,51,18,16,4,6,12,0,58,30,30,9,3,4,0,80,23,36,0,3,6,6,74,20,29,15,3,4,0,69,12,32,0,5,4,0,51,9,12,3,3,0,0,28,11,24,3,4,0,0,43,0,5,0,0,0,0,11,4,0,0,0,3,0,15,14,11,3,5,0,0,34,11,4,3,4,0,0,24,3,0,5,0,0,0,7,0,0,0,0,0,0,0,10,8,4,5,0,0,26,217,233,69,49,49,5,627
UCL515001,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,5,0,0,0,0,0,5,0,0,0,0,0,9,0,3,0,0,0,0,5,0,4,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22,9,0,3,0,61
UCL515002,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,4,4,7,0,0,0,0,8,10,7,0,0,0,0,17,9,6,4,0,0,0,21,5,5,0,0,0,0,17,5,0,3,0,0,0,9,5,15,0,0,0,0,19,0,8,0,0,0,0,6,0,0,0,0,0,0,4,5,7,0,0,0,0,7,0,6,0,0,0,0,5,0,4,3,0,0,0,4,0,0,0,0,0,0,5,5,0,0,0,0,0,6,53,58,24,10,4,0,153
UCL515003,9,0,0,0,0,0,10,6,0,0,0,0,0,8,8,0,0,0,0,0,7,0,0,0,0,0,0,3,5,3,0,0,3,0,12,5,4,0,0,0,0,12,8,10,0,3,4,0,24,13,21,3,4,0,0,39,7,7,3,0,0,0,28,7,4,0,0,5,0,24,0,8,0,0,0,0,11,4,11,6,0,0,0,21,8,0,0,0,0,0,11,0,0,0,0,0,0,3,0,3,0,0,0,0,10,0,3,0,0,0,0,11,0,0,0,0,0,0,4,4,0,0,0,0,0,4,10,6,0,0,0,0,14,97,90,25,10,14,0,242
UCL515004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,3,0,0,0,0,12,3,16,3,3,0,0,29,12,17,6,0,5,0,41,12,21,8,5,3,0,43,12,26,3,7,3,0,51,10,20,4,4,4,0,45,7,27,3,0,5,0,48,3,17,3,0,0,0,23,6,0,0,0,0,0,7,3,6,3,0,0,0,20,5,9,0,0,0,0,11,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,11,85,172,36,35,29,3,354
UCL515005,3,0,0,0,0,0,3,4,0,0,0,0,0,9,3,0,5,0,0,0,7,3,0,3,3,0,0,12,9,4,4,0,0,0,11,3,14,0,0,0,0,21,14,14,8,10,5,0,40,14,26,0,13,8,0,60,11,20,4,6,0,0,41,10,25,6,3,0,0,45,8,13,0,0,0,0,30,3,17,4,7,3,0,30,3,6,0,0,0,0,9,3,0,0,0,0,0,3,6,3,0,0,0,0,7,10,0,0,0,0,0,10,0,0,0,0,0,0,3,3,0,0,0,0,0,4,5,4,0,0,0,0,9,103,143,45,41,20,0,364
UCL515006,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,0,3,0,0,0,10,3,3,0,3,3,0,17,5,8,4,3,0,0,19,13,12,3,5,0,0,36,11,9,0,3,0,0,25,4,7,0,6,0,0,19,4,8,0,0,4,0,19,3,0,0,0,0,0,4,11,10,5,0,0,0,23,0,4,0,0,0,0,3,0,9,3,0,0,0,12,4,7,0,3,0,0,14,5,3,0,0,6,0,13,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,5,0,0,0,0,13,86,95,30,23,16,0,249
UCL515007,0,5,0,0,0,0,8,3,0,0,0,0,0,3,0,3,0,0,0,0,8,0,5,0,0,0,0,5,0,9,0,0,0,0,10,6,5,0,0,0,0,10,6,10,3,0,0,0,19,7,10,0,8,0,0,28,8,11,0,7,6,0,22,9,19,0,9,0,0,30,11,15,3,0,0,0,25,10,32,5,0,0,0,44,8,12,0,0,0,0,19,0,7,0,0,0,0,13,7,20,5,0,0,0,36,4,19,0,3,0,0,29,0,4,0,0,0,0,6,0,3,0,0,0,0,9,10,6,0,0,0,0,16,92,199,22,18,8,0,340
UCL515008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,3,7,0,0,0,0,7,0,6,0,0,0,0,9,7,9,3,0,0,0,19,0,6,0,0,0,0,9,0,3,0,0,0,0,10,4,12,0,0,0,0,17,5,17,0,0,0,0,29,0,9,0,0,0,0,11,5,3,0,0,0,0,8,0,5,0,0,0,0,0,31,88,17,7,0,0,140
UCL515009,8,0,0,0,0,0,7,0,0,0,0,0,0,6,4,0,0,0,0,0,4,0,4,0,0,0,0,5,3,0,0,0,4,0,12,0,4,3,0,6,0,15,9,5,0,9,0,0,23,11,12,4,6,3,0,31,9,19,3,0,0,0,36,5,4,0,5,0,0,16,0,5,0,0,0,0,9,9,4,0,0,0,0,17,0,7,0,0,0,0,15,0,0,0,0,0,0,5,0,9,0,0,0,0,7,0,5,0,0,0,0,10,0,5,0,0,0,0,5,3,0,0,0,0,0,7,0,0,0,0,0,0,7,78,95,18,29,12,0,226
UCL515010,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,3,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,5,8,4,0,0,0,0,10,0,0,0,0,0,0,0,0,3,3,0,0,0,11,0,8,0,0,0,0,4,3,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,6,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,29,8,6,0,0,88
UCL515011,0,3,0,0,0,0,5,3,0,0,0,0,0,3,5,0,0,0,0,0,10,4,4,0,0,0,0,7,6,7,0,0,0,0,12,9,10,0,0,0,0,22,13,13,5,3,3,0,36,10,21,6,0,3,0,47,11,25,4,4,0,0,37,9,7,0,5,3,0,26,5,14,0,0,0,0,21,9,12,6,0,0,0,33,4,6,3,0,0,0,9,0,3,0,0,0,0,4,0,8,5,0,0,0,10,8,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,9,109,129,37,14,23,0,325
UCL515012,0,6,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,3,4,6,0,0,0,0,6,4,0,3,0,0,0,13,6,7,3,3,0,0,12,4,11,0,3,0,0,26,9,12,0,0,0,0,28,10,22,8,0,4,0,39,0,15,0,0,0,0,25,5,17,3,3,0,0,28,5,11,0,0,0,0,20,0,5,3,0,0,0,13,3,11,3,0,0,0,14,6,6,0,0,0,0,20,5,6,3,0,0,0,13,5,0,0,0,0,0,7,3,7,9,0,0,0,16,82,139,36,15,17,0,287
UCL515013,4,7,0,0,0,0,7,0,0,0,0,0,0,0,5,4,0,0,0,0,12,9,0,0,0,0,0,9,7,0,5,0,0,0,6,3,0,3,0,0,0,4,6,5,0,0,0,0,13,5,7,0,3,4,0,17,5,4,0,0,0,0,12,3,19,4,0,0,0,27,10,15,0,0,0,0,20,19,6,0,0,0,0,29,6,14,0,0,0,0,19,7,10,0,0,0,0,10,9,9,10,0,0,0,28,12,8,3,0,4,0,26,3,5,0,0,0,0,6,0,0,8,0,0,0,9,8,4,0,0,0,0,13,109,120,34,3,11,0,274
UCL515014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL515015,6,3,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,4,0,3,0,14,6,0,0,0,0,0,11,6,7,4,0,3,0,18,3,13,3,0,0,5,19,3,12,5,4,0,0,28,6,16,3,4,0,0,32,9,19,3,5,0,0,36,4,13,0,0,0,0,16,0,11,7,0,4,0,26,4,4,0,0,0,0,11,0,0,0,0,0,0,3,5,3,0,0,0,0,9,3,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,13,70,112,36,20,7,6,247
UCL515016,6,0,0,0,0,0,13,6,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,0,0,3,10,4,0,0,0,0,11,0,3,0,0,0,0,5,9,7,0,0,0,0,11,8,7,4,0,0,0,18,8,3,0,3,0,0,15,5,8,0,0,3,0,13,4,4,0,0,0,0,7,5,3,0,0,0,0,3,3,0,0,0,0,0,3,4,4,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,66,37,12,3,4,0,131
UCL515017,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,4,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,5,3,0,0,0,0,0,8,0,0,0,0,0,0,3,5,0,0,0,0,0,8,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,6,30,22,6,5,0,0,70
UCL515018,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,7,4,7,0,0,0,0,11,9,11,5,0,0,0,18,7,9,4,5,0,0,21,12,11,9,3,0,0,31,3,12,7,0,0,0,19,0,3,0,0,0,0,8,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,10,54,63,23,8,9,0,163
UCL515019,3,0,0,0,0,0,8,5,0,3,0,0,0,10,7,8,0,0,0,0,16,7,3,0,0,3,0,12,4,17,6,0,4,3,39,20,20,0,7,3,0,54,16,20,0,0,4,0,34,13,16,0,0,0,0,33,7,5,6,3,0,0,25,3,13,3,0,3,0,27,3,4,0,0,0,0,5,12,10,3,6,0,0,24,3,3,0,0,0,0,6,0,4,0,0,0,0,4,0,4,0,0,0,0,5,0,0,0,0,0,0,6,0,5,5,0,0,0,6,0,0,0,0,0,0,0,13,3,3,0,0,0,19,117,137,36,22,23,8,335
UCL515020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,12,5,10,0,6,0,0,17,7,3,0,0,0,0,12,6,5,3,0,0,0,14,0,7,3,0,0,0,9,4,6,0,0,0,0,14,10,20,0,4,0,0,30,0,3,0,0,0,0,8,0,4,0,0,0,0,4,6,8,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,7,0,5,3,0,0,0,11,55,81,14,8,5,0,163
