UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL513005,..,13,13,6,10,18,6,0,0,58,..,11,29,32,53,74,101,67,18,381,20,24,23,3,11,5,5,4,0,94,1290,512,745,784,672,532,428,200,41,5202,..,23,492,772,740,616,541,260,24,3470,..,90,376,273,156,92,28,8,0,1018,..,16,123,162,147,66,25,16,6,565,2606,..,..,..,..,..,..,..,..,2606,..,450,..,..,..,..,..,..,..,450,..,369,128,45,24,13,3,0,0,574,..,42,38,16,23,25,26,15,11,191,..,27,24,5,8,3,3,0,0,73,..,25,31,15,27,35,8,5,0,143,..,24,85,87,138,142,144,96,25,742,36,46,33,20,13,17,6,4,0,182,2639,1101,1327,1398,1274,1001,791,411,72,10016
UCL514001,..,8,6,4,10,9,9,4,0,52,..,12,24,29,65,117,98,81,47,466,20,23,20,7,9,15,12,3,9,112,549,318,390,370,435,458,415,214,72,3209,..,5,175,305,367,469,518,258,22,2123,..,89,230,144,127,79,51,6,0,729,..,7,76,93,76,36,20,14,13,340,1160,..,..,..,..,..,..,..,..,1160,..,208,..,..,..,..,..,..,..,208,..,221,84,34,26,12,9,0,0,383,..,36,23,5,10,28,20,7,9,135,..,23,15,18,4,6,0,0,0,61,..,22,24,13,25,22,16,5,0,131,..,29,52,83,129,224,221,129,64,936,45,46,32,16,21,19,25,7,8,227,1199,688,715,712,791,890,880,436,119,6419
UCL514002,..,19,41,7,4,9,3,0,0,81,..,12,21,22,41,47,87,61,26,314,16,13,16,12,7,14,6,6,0,95,731,216,339,550,461,349,363,187,50,3250,..,0,176,595,514,436,484,241,46,2490,..,25,210,181,119,59,48,12,0,651,..,0,6,75,107,25,6,5,0,234,1417,..,..,..,..,..,..,..,..,1417,..,225,..,..,..,..,..,..,..,225,..,124,39,16,8,3,0,0,0,193,..,11,8,7,4,3,4,0,7,52,..,8,31,10,3,3,0,0,0,62,..,40,70,20,21,20,7,7,0,183,..,16,32,54,78,79,138,86,30,514,26,27,26,28,16,33,21,14,0,179,1443,481,601,983,871,663,714,368,90,6208
UCL514003,..,29,47,15,11,16,7,0,0,130,..,3,19,28,42,67,95,59,24,335,19,17,19,21,9,15,9,4,3,108,738,270,416,653,488,350,287,123,47,3375,..,3,215,574,467,306,286,108,27,1988,..,38,262,249,165,89,30,7,0,843,..,0,17,113,131,51,20,3,10,348,1477,..,..,..,..,..,..,..,..,1477,..,239,..,..,..,..,..,..,..,239,..,173,53,19,5,4,0,0,0,254,..,22,8,10,6,5,14,9,0,77,..,28,43,25,5,4,11,0,0,119,..,62,155,48,39,31,14,0,3,353,..,14,46,79,104,119,146,74,35,618,33,27,29,37,20,24,18,3,3,195,1510,605,831,1151,938,647,530,211,83,6510
UCL514004,..,13,8,4,9,13,4,5,0,62,..,4,22,27,60,95,106,74,53,447,8,8,5,10,11,9,7,0,3,61,562,319,323,343,380,436,361,198,74,3002,..,19,177,301,320,413,407,210,30,1882,..,103,163,97,80,78,31,4,0,555,..,12,59,86,102,45,26,18,8,352,1118,..,..,..,..,..,..,..,..,1118,..,202,..,..,..,..,..,..,..,202,..,208,85,30,23,17,3,0,0,370,..,43,14,9,11,26,23,14,6,141,..,17,20,4,8,8,0,0,0,58,..,32,33,17,22,30,16,6,0,154,..,19,64,59,103,176,189,114,68,796,20,22,17,19,20,15,13,3,0,134,1136,671,635,626,689,802,702,372,119,5760
UCL515001,..,0,0,0,0,0,0,0,4,6,..,0,0,5,10,23,37,24,26,128,0,0,6,0,0,3,9,0,3,17,52,26,29,40,65,89,128,72,43,541,..,0,17,33,54,97,147,89,26,454,..,7,29,15,20,15,15,9,0,104,..,0,0,8,6,5,0,0,6,29,96,..,..,..,..,..,..,..,..,96,..,14,..,..,..,..,..,..,..,14,..,22,4,3,6,4,0,0,0,39,..,0,0,0,4,0,0,0,0,7,..,3,0,0,0,0,0,0,0,6,..,0,3,0,0,4,0,0,4,15,..,0,8,11,17,34,65,44,45,219,0,5,6,0,0,5,8,3,3,35,97,51,58,69,111,169,241,152,81,1023
UCL515002,..,3,4,0,4,0,3,0,0,13,..,3,3,4,8,17,15,8,3,63,0,5,3,0,0,0,6,0,0,18,89,55,66,77,86,93,89,21,5,580,..,0,32,75,89,112,113,30,0,458,..,8,48,22,24,22,8,0,0,136,..,0,3,17,8,8,0,0,0,44,209,..,..,..,..,..,..,..,..,209,..,46,..,..,..,..,..,..,..,46,..,35,6,4,0,0,0,0,0,45,..,5,6,0,0,0,0,0,5,20,..,3,0,0,0,0,0,0,0,3,..,6,8,6,7,7,3,0,0,40,..,8,8,17,22,30,29,10,3,124,0,9,3,5,6,3,5,0,0,32,212,115,123,149,158,183,170,42,9,1158
UCL515003,..,5,0,0,0,3,6,0,0,14,..,4,5,5,23,42,59,40,16,200,0,3,3,7,0,3,7,5,0,35,172,101,83,100,132,191,214,96,31,1114,..,0,69,99,120,169,248,90,17,818,..,29,38,28,47,49,22,3,0,225,..,0,10,22,24,14,8,3,0,80,319,..,..,..,..,..,..,..,..,319,..,58,..,..,..,..,..,..,..,58,..,55,10,11,7,0,0,0,0,85,..,5,0,0,0,7,4,8,3,36,..,4,5,0,0,3,0,0,0,12,..,5,3,3,0,10,7,0,0,34,..,9,12,14,37,69,90,59,25,308,6,9,9,8,6,14,15,6,0,73,322,172,161,188,249,336,391,176,50,2044
UCL515004,..,0,0,0,4,0,5,0,0,11,..,0,8,5,12,10,13,5,9,68,7,7,5,0,0,0,0,0,0,31,237,110,190,131,129,85,75,27,13,991,..,3,131,128,104,78,86,39,0,570,..,35,114,51,41,15,3,0,0,259,..,4,29,34,34,10,4,3,3,123,513,..,..,..,..,..,..,..,..,513,..,74,..,..,..,..,..,..,..,74,..,85,19,5,4,4,0,0,0,117,..,18,7,0,3,13,10,0,0,50,..,3,8,0,8,0,0,0,0,20,..,0,5,0,10,5,7,0,0,20,..,3,28,16,15,22,32,12,10,137,16,17,8,6,0,0,0,0,0,50,533,242,347,237,211,145,143,65,12,1935
UCL515005,..,4,6,5,6,8,4,0,0,24,..,5,6,6,14,24,31,15,15,112,0,0,0,4,4,6,4,0,0,18,229,111,120,159,168,143,120,56,21,1131,..,5,71,125,166,128,141,70,10,714,..,27,67,61,58,51,17,6,0,284,..,3,25,40,30,12,11,7,3,124,478,..,..,..,..,..,..,..,..,478,..,96,..,..,..,..,..,..,..,96,..,73,10,17,11,7,0,0,0,117,..,7,4,0,0,12,3,0,0,30,..,6,3,3,4,0,0,0,0,12,..,7,16,3,16,9,6,0,0,61,..,11,15,25,29,38,61,31,13,217,8,5,6,6,3,5,6,0,0,41,480,233,213,277,316,260,252,119,34,2179
UCL515006,..,10,10,5,4,9,0,0,0,42,..,16,23,14,30,39,52,28,15,220,9,6,9,3,10,16,7,0,0,51,287,162,213,188,223,242,163,80,25,1592,..,5,114,168,174,219,149,80,11,918,..,45,121,77,95,65,37,9,0,446,..,8,33,33,55,27,18,8,6,190,609,..,..,..,..,..,..,..,..,609,..,60,..,..,..,..,..,..,..,60,..,107,31,24,19,8,0,0,0,188,..,33,5,4,12,20,10,11,3,104,..,12,3,6,0,7,3,3,0,34,..,26,28,12,15,19,8,0,0,107,..,24,48,42,70,103,123,53,21,495,10,13,13,7,16,25,12,9,0,105,619,333,398,363,455,494,366,171,45,3256
UCL515007,..,0,6,0,0,5,0,0,0,17,..,0,5,4,8,14,7,4,5,48,3,0,0,3,5,3,0,0,0,24,258,57,94,217,139,98,60,15,10,936,..,7,59,253,164,107,84,28,5,710,..,7,48,78,58,18,4,0,0,207,..,0,9,23,19,4,0,3,3,58,525,..,..,..,..,..,..,..,..,525,..,57,..,..,..,..,..,..,..,57,..,35,4,0,6,0,0,0,0,42,..,5,0,0,0,4,4,0,0,18,..,0,3,3,3,0,0,0,0,14,..,8,16,9,0,4,0,0,0,32,..,0,16,13,20,24,10,12,7,96,12,6,3,11,11,7,0,0,0,46,536,121,151,382,275,184,101,41,18,1808
UCL515008,..,0,0,0,0,0,0,0,0,3,..,0,0,0,3,11,0,4,0,18,6,0,3,6,0,0,0,0,0,9,152,34,64,103,94,52,16,9,0,523,..,0,46,155,151,76,18,4,0,447,..,7,41,28,22,16,4,0,0,124,..,4,5,6,3,3,0,3,0,19,323,..,..,..,..,..,..,..,..,323,..,36,..,..,..,..,..,..,..,36,..,27,9,0,4,0,0,0,0,41,..,4,3,0,0,4,0,0,0,8,..,0,0,0,0,0,0,0,0,4,..,4,9,3,0,0,0,0,0,11,..,4,14,7,10,20,0,3,0,56,5,3,3,7,3,5,0,0,0,20,329,88,117,209,194,130,34,5,0,1105
UCL515009,..,7,5,0,5,14,4,7,0,41,..,3,13,10,21,50,72,58,41,264,7,3,6,5,8,11,9,5,0,54,203,100,95,162,171,188,210,139,55,1319,..,0,42,143,141,147,193,144,23,840,..,9,57,53,43,47,38,8,3,258,..,0,11,42,45,19,3,8,4,133,421,..,..,..,..,..,..,..,..,421,..,101,..,..,..,..,..,..,..,101,..,44,13,7,12,7,0,0,0,74,..,0,0,8,0,6,5,3,3,26,..,8,5,3,3,0,0,0,0,21,..,9,9,0,13,23,12,4,0,66,..,5,24,25,44,83,117,83,51,432,13,11,10,18,19,11,24,3,5,113,429,185,167,291,312,340,403,256,83,2473
UCL515010,..,5,6,5,4,4,0,0,0,22,..,8,26,16,11,30,25,14,6,129,6,3,8,9,7,12,5,0,0,46,215,133,173,139,132,134,83,29,6,1040,..,7,79,86,86,116,74,25,3,475,..,55,91,57,51,36,15,9,0,306,..,9,37,28,22,14,13,4,0,119,437,..,..,..,..,..,..,..,..,437,..,30,..,..,..,..,..,..,..,30,..,75,31,14,3,6,0,0,0,130,..,31,21,22,16,10,14,3,0,121,..,10,7,4,0,6,3,0,0,23,..,5,8,8,8,9,4,0,0,41,..,16,49,36,44,56,61,15,4,281,16,16,12,11,14,20,7,0,0,92,453,250,329,258,253,274,180,54,13,2056
UCL515011,..,3,10,3,3,6,3,0,0,31,..,3,8,11,23,30,34,41,23,173,4,5,5,0,4,4,8,6,0,34,241,114,129,163,148,181,173,123,38,1309,..,5,61,159,151,194,204,131,29,937,..,25,70,59,36,31,26,4,0,251,..,3,14,32,29,13,8,7,3,117,479,..,..,..,..,..,..,..,..,479,..,87,..,..,..,..,..,..,..,87,..,72,22,10,11,5,4,0,0,128,..,5,4,3,0,8,9,9,3,44,..,18,10,0,3,3,0,0,0,33,..,10,8,3,7,11,8,0,0,52,..,8,16,28,38,53,58,58,27,291,3,10,5,4,10,6,12,6,3,64,489,246,222,300,291,328,324,220,66,2481
UCL515012,..,8,3,0,4,0,0,0,0,18,..,4,7,0,11,6,13,5,0,55,8,6,4,6,0,3,0,0,0,24,258,118,181,146,154,82,68,16,7,1039,..,3,140,157,180,108,81,30,3,699,..,25,119,62,33,12,13,0,0,273,..,0,19,24,25,15,6,3,0,89,537,..,..,..,..,..,..,..,..,537,..,91,..,..,..,..,..,..,..,91,..,66,12,5,5,0,0,0,0,80,..,15,3,0,4,4,3,0,0,36,..,0,0,0,0,5,0,0,0,3,..,11,12,0,10,0,5,0,0,33,..,13,22,7,30,22,19,11,8,117,8,12,7,6,0,4,5,0,5,40,540,233,324,262,281,168,133,43,14,2001
UCL515013,..,20,55,7,3,4,3,0,0,102,..,7,14,0,9,22,22,8,0,86,3,11,7,4,0,9,5,0,0,33,221,128,247,190,153,130,88,40,10,1203,..,0,101,205,181,144,102,43,5,781,..,38,129,87,64,40,20,6,0,391,..,0,4,16,22,11,4,3,0,65,453,..,..,..,..,..,..,..,..,453,..,60,..,..,..,..,..,..,..,60,..,64,10,3,9,4,0,0,0,85,..,8,6,0,0,5,0,5,3,31,..,32,30,7,0,0,0,0,0,69,..,33,98,27,15,14,8,0,0,197,..,11,30,23,35,57,58,27,4,236,4,9,11,11,7,11,10,0,0,74,459,257,427,386,330,287,194,82,13,2437
