UCL_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL514001,1241,687,733,750,818,905,892,463,156,6641,7,6,4,0,0,0,11,0,0,34,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,30,44,52,54,38,53,23,13,3,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,47,52,56,46,62,23,13,3,327,40,53,56,52,44,61,31,13,3,364,1283,736,785,801,860,968,926,480,163,7001
UCL514002,1492,482,620,1013,873,661,708,387,91,6325,3,0,0,9,0,4,9,4,3,42,0,4,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,23,61,53,41,69,123,32,4,461,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,56,35,62,56,45,76,125,30,4,489,62,35,66,60,47,80,138,41,7,532,1550,517,689,1068,927,744,845,425,97,6855
UCL514003,1569,619,864,1167,985,646,544,223,109,6717,4,4,3,7,4,3,0,0,0,20,3,0,0,3,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,0,0,7,4,3,12,10,0,0,33,0,0,0,4,7,0,0,0,0,11,38,44,91,58,59,133,66,28,9,519,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,40,42,103,61,71,149,84,29,9,594,48,46,104,68,73,152,86,29,9,611,1614,663,972,1235,1059,797,629,246,120,7331
UCL514004,1256,738,681,677,746,851,752,409,174,6281,0,3,0,4,0,5,0,4,0,22,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,3,0,0,0,4,0,0,4,0,0,9,0,0,0,0,0,0,0,6,0,8,30,32,32,26,48,45,36,16,5,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,34,35,31,55,47,42,17,5,299,30,37,36,35,54,52,50,26,7,324,1287,775,718,709,798,903,794,434,188,6610
UCL515001,107,55,61,80,115,169,249,148,93,1074,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,4,4,7,9,9,26,44,6,3,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,9,13,29,52,13,3,135,4,4,7,9,13,31,56,14,3,144,114,54,74,92,128,198,299,166,98,1218
UCL515002,220,104,118,153,162,184,164,44,10,1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,4,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,8,4,4,0,0,0,36,0,4,5,8,4,4,0,0,0,36,222,104,126,164,167,192,164,49,10,1203
UCL515003,342,177,159,187,259,340,394,188,67,2113,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,8,8,9,5,17,19,16,4,12,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,11,17,21,16,4,12,105,8,7,13,11,21,23,16,4,12,113,347,188,177,196,280,360,410,191,71,2221
UCL515004,528,303,385,239,231,156,145,65,16,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,10,7,5,14,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,8,5,14,4,3,0,0,54,7,9,8,5,14,4,7,0,0,52,539,313,394,248,243,159,149,66,19,2123
UCL515005,486,238,212,278,326,261,253,124,38,2208,3,0,0,3,4,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,11,8,4,3,3,4,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,4,3,8,4,4,0,48,6,11,8,3,5,9,16,4,0,66,500,253,219,287,330,271,265,127,36,2276
UCL515006,747,432,500,452,540,539,390,192,54,3862,0,5,0,0,0,0,3,3,0,16,9,3,5,10,3,17,37,3,0,86,6,0,4,4,3,22,46,4,0,94,7,0,4,8,6,18,7,3,0,45,0,0,0,0,3,17,21,11,0,48,52,30,70,64,97,189,404,222,28,1153,0,0,0,5,0,0,9,0,0,17,0,0,0,3,0,3,0,0,0,7,4,0,0,3,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,74,36,86,94,110,268,521,239,28,1461,76,42,88,90,112,270,529,238,29,1476,828,473,590,546,658,805,917,437,88,5333
UCL515007,586,121,157,411,287,183,110,42,20,1919,0,0,0,0,5,0,0,0,0,10,6,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,4,4,10,4,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,12,8,5,15,4,0,0,51,7,6,12,14,9,15,7,0,0,63,590,125,174,420,299,198,118,46,20,1982
UCL515008,345,97,142,225,209,134,32,7,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,3,0,0,0,3,0,5,0,3,0,8,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,6,4,0,10,18,4,8,13,13,25,38,14,0,124,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,8,19,16,33,46,18,0,157,18,4,8,19,16,33,46,18,0,157,363,106,148,241,226,174,78,30,0,1353
UCL515009,473,271,181,299,337,350,407,263,95,2666,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,23,35,31,33,43,47,32,12,13,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,35,31,29,47,56,38,14,13,290,26,36,31,31,47,56,38,18,13,299,493,305,213,334,384,405,448,281,111,2966
UCL515010,626,324,444,341,339,355,238,80,23,2770,0,3,4,0,3,5,0,0,0,14,12,0,9,0,7,22,42,4,0,104,3,7,7,13,9,27,35,0,0,102,3,0,3,0,6,23,16,0,0,66,0,0,0,0,10,20,21,5,0,59,31,35,72,49,73,110,120,30,4,518,0,0,0,3,0,6,0,0,0,7,0,0,3,0,3,0,0,0,0,8,0,0,0,0,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,58,41,103,67,111,203,237,42,4,874,60,41,106,72,117,207,237,45,4,889,683,367,549,413,458,564,478,127,26,3659
UCL515011,503,246,236,314,290,338,327,231,87,2572,0,0,3,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,18,3,13,9,14,10,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,36,18,3,13,13,14,10,0,110,10,41,17,3,13,13,24,10,0,120,509,282,256,315,303,350,349,238,88,2687
UCL515012,550,237,332,269,281,164,135,44,12,2031,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,5,9,11,10,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,6,8,11,8,0,0,61,0,14,11,6,8,11,15,0,0,67,560,248,346,272,289,178,143,46,15,2099
UCL515013,484,267,458,403,346,292,198,91,17,2551,0,0,3,0,0,0,0,0,0,5,13,9,3,9,5,17,17,0,0,75,18,0,16,15,15,21,26,4,0,118,0,3,3,6,0,14,15,0,0,42,10,3,5,3,0,4,12,5,0,47,144,104,259,189,165,355,591,235,25,2079,0,3,0,3,4,12,9,3,0,32,0,0,0,0,0,8,3,0,0,11,4,0,0,3,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,191,121,297,225,207,431,675,255,25,2422,191,120,300,225,207,429,675,255,25,2430,682,386,754,627,549,718,878,341,41,4984
UCL515014,194,119,195,143,122,130,51,10,3,963,0,0,0,0,4,0,0,0,0,4,0,0,5,5,6,3,19,0,0,32,8,0,6,5,8,25,16,8,0,76,0,0,0,0,0,7,16,3,0,22,0,0,0,0,3,4,10,0,0,22,8,27,30,27,54,47,42,13,0,252,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,40,35,76,85,105,24,0,409,14,30,40,37,77,85,105,24,0,418,210,151,236,184,202,216,154,35,3,1379
