UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL522043,0,0,4,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,10,9,5,0,0,0,47
UCL522044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,4,0,9,5,11,16,7,3,0,59
UCL522045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,10,9,0,0,0,30
UCL522046,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,11,22,17,20,6,0,0,86
UCL522047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,25,22,26,39,8,0,0,134
UCL522048,0,0,3,0,0,0,6,3,0,14,0,0,0,0,0,0,0,0,0,0,3,3,21,27,24,19,11,3,0,114
UCL522049,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,19,14,22,25,11,0,0,81
UCL522050,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,32,27,32,46,20,3,0,165
UCL522051,0,0,4,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,10,12,6,17,14,34,17,3,0,0,110
UCL522052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,8,7,4,6,0,0,39
UCL522053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,8,6,0,0,0,34
UCL522054,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,10,14,16,28,15,0,0,0,80
UCL522055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,26,27,43,25,10,0,0,142
UCL522056,0,0,0,0,0,6,0,0,0,7,0,0,0,0,4,0,0,4,0,12,8,11,33,37,38,28,8,3,0,176
UCL522057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,41,16,17,16,0,0,0,126
UCL522058,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,7,10,9,13,26,7,0,0,71
UCL522059,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,6,17,31,19,25,11,0,0,122
UCL522060,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,16
UCL522061,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,5,15,20,33,42,10,0,0,119
UCL522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,11,0,0,0,0,0,37
UCL522063,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,11,4,3,0,37
UCL522064,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,12,0,13,35,24,21,5,6,0,0,104
UCL522065,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,9,16,17,11,38,9,3,0,102
UCL522066,0,0,4,0,0,5,0,0,0,7,0,0,5,0,0,0,0,0,0,6,3,15,42,46,36,31,10,3,0,189
UCL522067,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,11,22,18,24,11,3,3,0,102
UCL522068,0,0,0,4,0,0,0,0,0,4,0,6,0,3,0,3,3,0,0,16,25,20,29,39,43,37,11,3,0,202
UCL522069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,3,23,16,19,24,18,0,0,96
UCL522070,0,0,0,0,0,0,0,0,0,6,0,0,4,0,4,0,0,0,0,10,4,13,22,23,29,27,4,0,0,130
UCL522071,0,0,0,0,0,0,0,0,0,4,0,4,5,5,0,0,0,0,0,20,5,9,23,14,12,0,0,0,0,66
UCL531001,230,242,417,522,578,534,166,12,0,2699,227,252,421,535,742,707,320,117,16,3337,4212,5141,11122,14540,18726,17795,6706,1400,147,79789
UCL579997,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
UCL599994,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
