UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL513005,115,125,239,491,463,951,45,32,81,131,136,270,664,636,1297,269,245,517,47,46,97,98,83,181,415,380,798,27,29,60,17,38,54,38,19,54,36,60,100,0,0,0,119,146,270,26,56,84,14,45,56,12,12,21,30,69,97,0,0,0,82,178,264,204,328,531,19,19,29,32,40,73,0,0,0,48,60,104,349,307,656,1798,1831,3629
UCL514001,50,61,114,213,182,397,56,57,110,5,4,5,277,240,520,188,150,336,25,30,52,12,14,23,225,196,421,14,16,26,3,14,21,19,18,36,21,39,55,0,0,4,59,84,142,6,19,20,6,15,18,3,4,4,0,15,14,0,0,0,15,49,57,70,130,200,8,8,17,9,27,30,0,0,0,18,36,50,334,312,647,967,981,1945
UCL514002,58,54,113,227,203,438,142,130,276,21,37,56,393,370,763,112,89,201,95,94,187,40,63,104,247,248,492,10,0,10,4,16,19,23,10,31,36,37,72,0,0,0,66,69,128,10,20,26,5,23,29,3,4,5,17,52,68,0,0,0,27,99,127,95,164,260,4,0,7,11,28,40,0,0,0,16,31,50,291,221,512,1100,1090,2191
UCL514003,70,83,147,290,253,539,38,32,73,53,53,108,378,334,719,244,242,486,11,5,13,14,17,26,264,262,524,9,7,15,6,17,17,29,13,40,35,73,111,0,0,0,73,110,185,6,9,18,10,22,36,0,5,5,16,54,71,0,0,0,29,96,128,109,205,314,10,9,17,20,32,50,0,0,0,23,42,66,300,235,535,1149,1161,2312
UCL514004,55,51,101,161,155,313,95,98,190,9,14,22,265,265,527,145,127,274,63,66,131,11,21,28,224,214,437,0,7,6,9,11,13,25,23,47,7,49,54,0,0,0,41,83,124,8,8,14,3,10,13,3,4,11,15,24,37,0,0,0,32,49,78,76,134,204,8,15,16,11,13,30,0,0,0,15,31,42,377,350,725,1009,1033,2039
UCL515001,9,4,9,17,24,34,0,0,5,3,0,3,19,23,38,14,13,31,0,0,0,0,0,3,19,18,34,0,0,0,0,5,5,5,0,5,3,9,8,0,0,0,3,12,18,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,10,19,0,0,0,0,5,5,0,0,0,0,5,5,52,39,89,104,102,197
UCL515002,10,6,18,40,30,73,7,4,6,0,0,0,51,29,80,35,29,61,21,14,31,8,0,8,53,39,101,3,0,3,0,0,3,0,0,0,0,9,6,0,0,0,7,11,18,4,3,9,0,4,3,0,3,0,3,6,9,0,0,0,10,17,20,16,26,39,0,0,0,0,3,6,0,0,0,0,3,6,49,23,73,178,134,319
UCL515003,16,16,28,45,57,98,20,29,49,0,0,0,68,83,147,57,57,120,8,13,22,0,0,0,64,79,140,0,3,3,0,8,8,7,10,13,7,10,18,0,0,0,16,29,40,0,10,8,0,5,9,0,3,3,6,11,17,0,0,0,8,25,35,17,55,74,0,3,7,7,6,5,0,0,0,6,6,18,75,79,160,247,319,568
UCL515004,27,24,46,88,79,166,22,15,41,15,6,21,130,104,234,61,43,107,12,10,21,7,11,18,79,65,146,7,0,7,0,4,4,14,4,14,5,15,18,0,0,0,29,23,53,6,10,10,4,4,5,0,7,6,0,15,16,0,0,0,7,30,36,34,54,86,5,4,9,8,15,27,0,0,0,13,19,32,80,63,141,363,326,690
UCL515005,17,21,33,91,102,193,6,0,5,19,20,32,117,116,237,81,62,135,11,12,21,19,22,43,113,92,200,10,0,14,0,5,4,11,0,11,3,17,31,0,0,0,22,33,51,0,4,4,0,4,5,0,0,0,4,20,25,0,0,0,4,34,36,32,61,89,4,0,6,3,12,14,0,0,0,7,14,17,82,56,140,363,362,723
UCL515006,38,37,77,52,62,116,60,58,120,23,23,43,137,140,274,51,38,93,34,25,59,8,3,5,92,68,157,0,0,3,0,0,7,8,6,13,12,27,35,0,0,0,21,36,59,0,0,4,3,8,4,5,0,3,4,21,21,0,0,0,10,27,38,35,58,97,4,0,5,4,5,11,0,0,0,12,9,21,434,361,793,741,676,1417
UCL515007,22,25,49,136,105,237,10,3,7,11,14,31,153,128,280,53,55,104,4,11,16,4,10,16,63,71,128,0,0,0,3,0,7,5,0,4,5,21,29,0,0,0,11,25,38,0,0,3,0,6,8,0,0,0,3,18,24,0,0,0,5,28,34,20,54,72,0,0,5,7,8,15,0,0,0,8,9,16,112,114,225,379,394,774
UCL515008,14,14,29,85,66,147,0,6,8,3,0,10,92,71,163,22,24,48,24,29,53,0,0,0,50,55,104,0,0,0,0,0,0,8,0,11,4,8,16,0,0,0,16,7,26,0,0,0,0,3,3,0,4,4,0,12,15,0,0,0,0,15,19,16,30,46,0,0,0,3,6,3,0,0,0,7,6,5,63,73,136,236,245,482
UCL515009,17,24,43,77,70,146,0,5,3,31,26,61,115,97,212,128,109,241,4,8,10,3,8,10,142,125,262,5,0,14,4,6,13,3,5,10,11,32,39,0,0,0,32,43,70,0,5,5,0,4,8,0,0,0,5,22,28,0,0,0,10,33,36,36,74,108,3,0,7,6,10,10,0,0,0,9,5,20,131,148,278,445,474,921
UCL515010,28,22,47,69,69,143,35,25,63,5,0,3,105,96,204,51,37,89,4,0,4,4,5,9,56,41,101,6,0,5,0,0,0,0,9,6,5,17,20,0,0,0,11,18,35,0,4,7,0,4,8,0,7,5,9,9,16,0,0,0,10,20,33,21,44,67,0,0,0,4,5,7,0,0,0,4,5,7,363,435,799,573,641,1219
UCL515011,19,19,39,68,67,136,39,38,73,4,9,14,110,117,233,56,45,99,24,19,43,11,20,33,90,82,178,3,0,7,0,10,10,4,4,10,6,15,22,0,0,3,18,31,52,3,9,6,0,7,10,0,0,0,0,9,9,0,0,0,8,26,31,16,55,75,6,7,13,0,7,5,0,0,0,6,13,24,95,73,163,340,360,702
UCL515012,32,27,61,48,44,95,44,50,99,29,31,52,123,127,244,33,49,83,48,37,84,12,13,31,97,97,198,5,0,6,3,11,11,11,6,19,8,26,33,0,0,0,25,50,68,3,0,10,0,7,10,3,0,6,6,22,27,0,0,0,15,35,46,39,79,117,0,0,0,4,6,11,0,0,0,4,5,9,68,47,116,353,386,747
UCL515013,23,19,41,118,100,214,0,3,6,5,0,7,119,108,224,52,46,94,0,0,3,0,3,8,55,58,107,3,0,4,4,4,3,9,4,16,6,19,27,0,0,0,23,27,54,0,6,8,3,3,9,0,9,9,4,30,33,0,0,0,10,41,54,36,72,103,9,6,6,4,7,13,0,0,0,12,11,20,147,107,250,384,369,754
UCL515014,8,5,12,53,32,82,0,0,0,0,3,5,50,36,87,14,19,31,0,0,0,0,3,4,10,23,33,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,7,8,0,0,0,3,0,4,0,0,0,0,9,11,0,0,0,0,8,13,4,13,21,0,0,0,0,5,5,0,0,0,3,4,3,52,53,108,129,139,270
UCL515015,22,18,32,61,50,111,44,36,86,8,12,20,114,95,213,54,52,103,20,21,39,11,14,21,83,85,166,0,4,3,0,11,10,10,9,12,11,19,31,0,0,0,20,42,62,3,0,5,0,3,3,0,0,3,7,8,11,0,0,0,12,11,19,29,54,85,0,0,0,9,7,14,0,0,0,7,7,9,93,92,189,344,351,695
UCL515016,7,9,20,66,47,110,0,0,0,0,0,4,65,52,116,34,26,64,0,0,0,0,0,0,36,25,65,0,0,0,4,0,4,0,0,3,4,7,7,0,0,0,3,12,18,0,0,0,4,4,9,0,0,0,3,5,8,0,0,0,3,7,13,10,21,31,0,3,3,0,4,3,0,0,0,0,4,6,81,78,154,198,188,386
UCL515017,13,8,17,24,27,55,0,0,0,0,0,0,24,30,60,27,12,46,0,0,4,0,0,0,26,12,45,0,0,3,0,0,0,0,0,5,0,5,5,0,0,0,3,10,10,0,0,0,0,0,4,0,3,3,0,3,5,0,0,0,5,11,10,8,18,24,0,0,0,0,0,3,0,0,0,0,0,3,107,89,194,183,156,340
UCL515018,12,15,25,68,65,133,0,4,4,4,6,10,72,70,145,42,38,79,8,9,23,0,4,5,49,56,106,4,7,5,0,3,0,3,5,9,8,18,21,0,0,0,14,27,37,0,0,0,0,3,0,0,3,3,3,4,5,0,0,0,4,11,19,13,36,56,0,3,5,0,4,3,0,0,0,3,8,6,132,127,261,287,307,599
UCL515019,24,25,53,122,112,233,19,20,40,3,3,9,146,142,287,100,80,183,0,0,0,5,11,16,107,97,204,8,3,10,0,8,12,14,15,24,9,31,43,3,0,3,28,57,87,0,4,5,0,5,6,0,3,5,3,6,11,0,0,0,9,24,29,40,76,118,3,3,10,3,9,12,0,0,0,9,15,24,219,177,400,548,536,1079
UCL515020,43,38,77,177,144,316,32,44,82,7,3,11,215,197,406,85,87,173,3,3,7,4,10,14,89,100,194,0,0,0,6,3,8,8,12,22,24,23,44,0,0,0,35,43,77,3,6,10,11,8,20,5,4,5,22,30,44,0,0,0,35,54,86,64,97,161,4,0,10,5,9,17,0,0,0,9,15,20,383,410,794,812,852,1660
UCL515021,11,18,24,42,41,80,4,3,7,9,18,23,53,59,114,67,29,92,3,3,7,16,20,35,91,49,140,9,0,10,0,0,4,13,9,17,0,5,5,0,0,0,18,21,35,0,0,0,0,3,5,5,0,3,11,6,19,0,0,0,10,15,26,33,35,64,0,0,0,3,5,6,0,0,0,3,8,11,39,31,68,225,194,422
UCL515022,39,29,68,137,137,279,40,33,71,0,0,6,181,173,353,136,94,230,23,22,43,0,7,9,160,125,282,4,5,9,3,4,5,14,12,25,11,23,35,0,0,0,33,40,68,0,5,7,0,3,5,0,3,3,8,9,16,0,0,0,12,23,36,43,64,107,4,7,10,3,8,14,0,0,0,11,13,24,126,104,230,554,503,1055
UCL515023,23,14,37,55,52,108,34,31,63,0,0,0,89,83,171,78,71,152,0,0,0,0,9,4,79,84,158,0,0,4,0,4,7,12,5,20,10,13,21,0,0,0,24,21,47,3,7,10,0,6,0,0,9,3,7,7,14,0,0,0,15,22,35,33,44,80,0,0,0,0,0,5,0,0,0,0,0,6,145,122,267,366,347,711
UCL515024,6,9,18,20,24,42,33,35,72,0,0,0,56,61,115,66,49,119,0,0,4,0,4,4,65,54,126,0,0,6,3,0,4,8,3,12,6,8,13,0,0,0,16,14,32,0,3,3,0,0,0,0,0,0,0,7,7,0,0,0,0,12,10,11,27,40,0,0,0,0,4,9,0,0,4,0,7,8,105,101,207,246,265,514
UCL515025,13,11,24,74,61,133,0,0,7,5,4,10,75,59,140,55,50,108,0,0,0,11,9,18,69,63,128,8,4,13,0,0,0,9,5,9,3,16,23,0,0,0,19,21,42,0,0,0,4,5,3,0,4,4,0,8,13,0,0,0,6,16,25,22,39,64,3,3,7,0,0,3,0,0,0,5,4,10,114,110,232,302,294,592
UCL515026,30,21,54,77,76,149,20,14,37,18,34,49,118,116,234,35,53,84,7,5,7,17,17,38,54,75,129,8,5,11,4,7,10,3,6,8,12,15,24,0,0,0,25,31,62,5,9,18,0,6,7,5,0,7,5,16,19,0,0,0,13,35,46,45,62,110,0,0,0,0,7,9,0,0,0,0,7,10,75,56,131,323,339,660
UCL515027,18,24,41,93,88,181,35,38,79,0,0,6,132,135,262,107,120,226,0,0,0,4,0,4,113,127,239,6,4,11,7,4,7,14,5,24,8,26,34,0,0,0,33,47,81,5,9,14,3,6,11,3,8,7,3,17,22,0,0,0,12,39,54,50,81,133,3,0,3,5,6,13,0,0,0,3,6,17,229,229,455,544,600,1142
UCL515028,55,42,97,238,202,443,0,0,0,12,13,21,249,214,467,112,112,227,0,3,3,5,8,11,117,120,239,11,4,10,0,17,19,9,9,20,20,34,55,0,0,0,43,64,106,0,6,6,3,10,8,0,0,5,10,26,46,0,0,0,19,43,59,61,106,168,0,4,4,3,21,31,0,0,0,3,25,35,259,250,509,751,761,1510
UCL515029,11,18,25,58,52,109,0,0,0,4,0,7,63,56,118,28,34,62,0,0,0,0,5,5,30,36,67,0,0,0,0,0,0,4,0,10,3,12,19,0,0,0,9,19,25,0,0,0,0,0,4,0,0,0,4,6,7,0,0,0,0,3,5,10,23,37,0,0,0,4,7,5,0,0,0,4,7,5,188,94,282,301,232,535
UCL515030,36,24,59,89,92,190,30,41,68,24,29,55,145,164,308,88,106,198,10,19,35,20,16,39,126,141,267,7,8,14,0,7,8,13,14,30,11,25,36,0,0,0,39,53,91,4,19,21,4,12,15,0,4,0,9,14,18,0,0,0,14,45,58,51,99,151,0,0,0,0,14,18,0,0,0,0,14,16,171,158,324,523,601,1131
UCL515031,21,12,35,77,75,151,3,0,6,0,3,3,76,78,156,49,25,75,24,38,65,7,12,16,82,74,156,0,3,5,0,5,5,4,5,11,4,6,13,0,0,0,10,21,30,0,3,3,0,6,6,0,0,0,0,8,11,0,0,0,0,21,24,12,43,58,5,5,6,5,3,5,0,0,0,6,10,17,167,140,310,365,363,723
UCL515032,16,9,29,57,40,98,10,6,20,6,10,16,69,55,129,44,32,79,9,0,8,19,14,32,70,51,114,3,4,8,0,0,0,11,7,19,0,7,9,0,0,0,21,18,38,6,11,16,0,0,0,0,0,5,0,7,7,0,0,0,8,21,29,32,38,70,4,3,3,5,4,6,0,0,0,3,10,9,57,36,94,246,206,458
UCL515033,36,38,80,216,185,399,0,0,0,3,0,5,223,186,406,75,74,146,0,0,6,3,4,8,81,75,153,3,0,3,3,3,8,4,0,10,6,14,21,0,0,0,15,26,42,0,0,5,0,3,4,0,0,0,8,19,31,0,0,0,15,34,42,26,55,82,0,0,3,5,10,12,0,0,0,8,6,18,205,174,386,584,542,1124
UCL515034,28,30,61,99,87,192,14,10,27,45,39,79,153,142,294,58,42,100,12,10,21,19,21,38,87,69,156,5,7,7,0,10,15,4,11,15,7,12,21,0,0,0,20,43,62,3,4,6,5,12,13,5,4,8,8,19,24,0,0,0,19,35,58,40,82,122,0,5,9,11,15,28,0,0,0,15,26,40,132,89,217,454,435,890
UCL515035,3,5,13,35,33,61,0,3,3,0,0,0,35,32,62,27,24,49,0,0,0,0,4,4,27,27,55,5,3,3,0,0,0,3,0,6,9,0,9,0,0,0,15,7,23,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,7,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,79,84,160,154,166,321
UCL515036,17,23,37,42,43,95,44,42,86,0,0,0,87,89,173,39,43,84,18,19,34,6,11,20,64,76,141,5,10,10,0,0,0,8,3,12,8,18,20,0,0,0,21,29,44,0,3,4,0,4,7,0,0,0,0,9,12,0,0,0,7,21,26,25,47,75,0,5,4,0,7,8,0,0,0,4,10,10,104,106,211,303,345,644
UCL515037,36,16,50,103,91,192,13,4,20,0,3,3,112,98,214,56,35,91,15,17,37,4,0,7,71,60,133,0,4,4,0,5,5,7,3,6,18,24,46,0,0,0,24,36,53,0,0,0,0,3,6,0,0,0,6,12,17,0,0,0,13,16,25,34,51,84,0,3,3,3,5,9,0,0,0,3,10,11,223,147,372,484,374,861
UCL515038,10,10,17,59,59,120,8,10,21,5,12,18,78,77,156,34,39,75,13,18,28,3,0,10,57,57,114,0,0,0,0,0,3,0,0,5,3,8,11,0,0,0,5,13,23,5,0,3,0,5,5,0,4,4,5,5,11,0,0,0,9,14,15,12,27,44,0,0,0,6,5,10,0,0,0,6,5,10,123,98,224,282,274,557
UCL521001,0,5,7,21,17,36,3,0,4,0,0,0,26,19,43,22,8,35,0,0,6,0,0,4,28,17,38,3,3,8,0,0,0,0,0,5,3,6,10,0,0,0,7,8,16,0,0,8,0,0,0,0,0,0,3,0,3,0,0,0,4,3,8,13,13,23,0,0,0,4,0,4,0,0,0,4,0,4,10,3,14,83,55,138
UCL521002,5,5,9,37,17,52,0,0,4,3,0,3,39,18,59,13,20,31,0,4,7,6,0,6,20,24,41,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,6,10,0,0,0,0,0,3,0,0,0,0,5,5,0,0,0,0,9,7,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,51,44,89,111,103,221
UCL521003,4,0,8,17,17,33,0,0,0,0,0,0,20,15,36,10,12,24,3,8,12,0,0,0,15,15,33,0,0,0,0,0,3,0,0,0,0,6,7,0,0,0,7,6,9,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,11,12,18,5,8,9,0,0,0,0,0,0,5,12,9,45,43,90,94,95,187
UCL521004,0,4,13,45,47,91,0,0,0,0,0,0,46,47,91,24,14,42,0,0,0,0,0,0,24,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,24,85,86,176
UCL521005,14,12,23,55,50,109,0,0,0,0,0,3,56,50,115,27,25,54,0,0,0,4,0,4,26,28,60,0,0,0,0,0,0,3,0,7,0,4,4,0,0,0,8,10,17,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,6,0,5,13,15,28,5,4,3,0,3,0,0,0,0,6,4,5,56,56,114,169,168,339
UCL521006,4,3,16,31,30,58,3,9,10,5,5,9,38,37,78,16,27,47,4,11,17,0,8,8,27,39,60,0,3,3,0,0,0,0,3,3,0,7,6,0,0,0,4,8,11,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,6,4,11,18,0,0,0,0,0,0,3,0,6,0,4,5,29,27,56,105,132,240
UCL521007,4,7,6,8,8,17,4,0,7,0,0,0,13,14,26,8,10,15,0,5,6,0,0,0,10,15,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,4,15,0,0,0,0,0,0,0,0,0,0,0,0,38,33,65,65,76,138
UCL521008,8,5,11,16,20,30,0,0,0,0,0,0,16,20,30,8,6,12,0,0,0,0,0,0,8,8,13,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,36,29,67,64,66,137
