UCL_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
UCL513005,4,9,0,0,13,21,3,18,0,64,64,7,6,4,16,25,25,272,14,432,4,3,5,0,36,37,17,32,0,139,0,0,0,0,4,10,4,6,0,26,20,23,29,36,69,174,49,137,5,546,0,3,0,3,21,15,12,12,0,74,4,30,16,14,36,30,12,15,0,155,5,33,20,6,5,17,0,26,0,120,11,5,3,0,20,19,8,33,0,107,0,3,0,4,4,9,0,0,0,19,0,0,0,0,11,7,0,5,0,30,5,0,3,4,0,8,4,4,0,30,5,5,8,0,26,29,6,19,0,95,3,17,11,4,10,12,3,16,0,73,9,0,4,3,38,54,15,17,3,136,4,8,7,6,18,17,3,9,0,80,0,15,9,16,27,20,6,13,4,102,0,7,0,0,3,9,3,6,0,29,3,3,3,3,18,27,5,17,0,81,0,8,4,4,17,25,11,21,31,133
UCL514001,0,6,0,4,0,0,4,4,0,17,20,3,13,0,17,140,75,118,10,402,8,6,6,3,14,64,11,32,4,143,0,0,4,4,38,42,16,24,0,136,8,9,13,7,20,35,16,50,5,163,0,0,0,0,0,0,4,3,0,11,0,18,8,9,11,6,0,7,0,69,10,31,9,4,9,3,0,6,0,74,4,8,5,0,6,6,0,11,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,8,0,3,0,0,8,9,3,6,0,26,0,9,7,5,0,0,0,8,0,32,5,3,0,3,24,18,4,9,0,72,5,6,3,3,6,0,5,3,0,23,0,0,5,0,5,7,4,6,0,31,0,0,4,0,0,0,0,0,0,8,3,8,0,4,10,15,8,18,0,64,8,6,3,5,4,12,3,11,13,67
UCL514002,3,8,3,9,3,11,0,4,0,36,44,4,4,0,9,7,17,131,4,219,8,15,9,11,22,39,16,26,0,154,0,0,0,0,0,4,0,10,0,18,25,17,18,23,62,111,22,104,4,388,5,0,9,0,9,3,6,3,0,34,9,25,8,9,24,14,0,16,3,105,11,48,33,18,37,29,18,28,4,220,3,5,5,3,3,9,0,8,0,37,0,0,0,0,5,0,0,0,0,5,0,0,4,0,3,15,0,0,0,28,0,0,5,4,0,8,3,13,0,37,7,10,3,7,17,30,0,18,0,100,3,13,14,6,8,14,3,8,0,67,0,0,0,0,5,8,7,12,0,46,0,10,4,3,10,5,6,5,0,49,0,6,12,11,11,7,0,7,3,61,6,10,4,0,7,7,0,0,0,27,0,9,0,4,7,15,3,10,0,40,7,15,4,6,8,17,4,20,11,86
UCL514003,3,3,3,7,19,68,9,22,0,137,39,7,8,0,4,14,12,134,0,222,7,6,19,18,61,68,19,26,0,221,0,0,0,0,7,9,5,5,0,32,24,17,22,29,61,86,28,50,9,321,0,0,0,3,12,12,5,6,0,44,7,34,25,15,22,24,6,7,0,143,15,52,23,19,24,50,9,33,0,233,0,10,13,5,0,7,4,14,0,57,0,3,4,0,0,4,0,3,0,11,0,0,0,0,0,9,0,0,0,12,0,3,0,0,3,9,0,0,0,14,7,8,4,4,7,10,3,10,0,58,5,8,12,0,13,12,8,11,0,80,3,0,0,0,16,20,6,3,0,57,3,8,3,8,17,21,12,11,0,80,5,9,6,9,7,15,0,10,0,61,4,6,8,0,0,0,0,5,0,29,0,10,4,4,16,15,0,6,0,62,3,6,8,11,9,16,0,19,16,84
UCL514004,3,0,6,8,8,11,6,15,0,57,13,0,0,0,0,4,0,51,0,71,3,6,6,0,18,29,17,13,4,97,0,0,0,0,21,11,5,13,0,56,9,10,3,7,17,47,20,62,0,178,0,4,0,0,6,18,8,25,0,57,3,29,19,8,25,17,4,12,0,122,0,22,14,5,13,0,0,11,4,72,6,4,14,6,3,39,17,31,0,121,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,5,0,11,0,0,0,0,0,5,0,7,0,10,0,4,5,4,4,4,8,6,0,31,4,14,3,0,4,0,0,0,0,31,13,0,0,3,28,36,10,20,4,119,4,3,7,0,14,13,15,8,0,72,0,8,5,11,26,12,5,7,0,82,0,9,4,0,3,0,0,0,0,15,5,3,0,0,8,25,8,13,0,65,0,4,8,0,7,12,8,23,4,73
UCL515001,0,0,0,0,0,3,0,4,0,25,0,0,0,0,0,0,0,11,0,12,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,11,3,8,0,42,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,13,4,4,0,5,0,0,0,3,0,20,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,7,0,3,0,0,0,0,0,15,0,0,0,0,4,8,0,3,0,10,0,3,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,11
UCL515002,0,0,0,0,5,0,5,7,0,15,5,0,0,0,6,14,4,28,0,58,0,6,0,4,18,10,4,12,0,60,0,0,0,0,4,0,0,7,0,9,3,3,0,3,3,8,3,30,0,62,0,0,0,0,0,5,0,7,0,9,0,0,0,0,0,0,0,0,0,13,0,7,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,8,0,0,0,15,0,0,0,0,3,4,5,4,0,16,0,0,0,0,0,5,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,6,0,8
UCL515003,4,0,4,4,3,4,4,9,0,24,9,0,0,0,6,11,10,64,0,105,0,0,0,3,11,9,0,3,0,27,0,0,0,3,4,5,0,3,0,27,0,5,3,0,9,12,8,11,0,50,0,3,0,0,6,0,0,3,0,16,4,9,3,0,6,7,0,8,0,29,0,10,4,3,0,5,0,0,0,21,0,0,8,0,0,0,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,16,0,0,0,0,3,0,0,0,0,8,5,0,0,4,13,12,0,4,0,31,0,0,0,0,6,0,0,0,0,15,0,3,0,3,0,5,0,5,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,3,0,5,4,18
UCL515004,0,0,0,0,0,5,0,6,0,11,8,4,3,0,0,8,10,51,0,77,0,0,0,3,9,12,10,21,0,51,0,0,0,0,0,0,0,0,0,6,5,4,0,4,16,26,4,19,0,83,0,0,0,0,5,7,3,11,0,20,3,8,5,6,9,10,5,6,0,39,0,0,6,0,0,0,0,3,0,14,3,0,0,4,10,10,4,15,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,16,0,3,4,0,5,0,0,7,0,17,0,0,0,0,14,39,18,26,0,99,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,10,6,3,0,26,0,0,0,0,3,12,6,0,4,28
UCL515005,0,4,4,0,4,6,0,11,0,41,8,4,3,0,9,7,11,35,0,74,0,0,0,0,6,16,4,9,0,37,0,0,0,0,5,5,0,4,0,22,11,5,3,0,8,31,18,38,0,109,0,0,0,0,3,0,3,0,0,6,0,4,10,0,9,13,0,3,0,35,0,10,0,0,0,0,0,0,0,15,0,3,3,0,3,4,0,17,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,4,3,5,8,0,0,0,16,0,0,0,0,8,17,0,9,0,37,0,0,5,0,4,8,0,0,0,21,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,23,0,3,0,4,6,5,0,7,8,40
UCL515006,8,15,8,8,22,26,3,20,3,112,8,9,6,0,0,3,18,41,6,84,0,0,3,0,4,0,0,7,0,21,0,6,0,0,14,5,0,3,0,29,4,4,5,3,13,35,11,37,0,103,0,0,0,0,3,0,0,0,0,12,0,9,4,4,22,15,6,3,0,63,0,3,3,0,3,6,0,6,0,35,0,5,8,3,11,12,5,21,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,0,7,0,0,0,0,0,0,0,0,0,9,0,8,5,4,5,8,4,8,0,34,7,0,3,0,18,21,10,15,3,77,0,4,0,0,12,12,0,9,0,36,9,5,5,3,14,14,0,6,0,51,0,0,0,0,0,0,0,0,0,0,0,8,3,0,4,9,0,8,0,33,0,3,6,0,7,4,0,11,14,45
