UCL_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
UCL513005,271,0,0,0,0,0,0,36,312,171,23,15,3,0,0,0,21,237,131,93,78,26,5,5,0,26,372,94,80,137,65,27,8,4,32,439,62,77,153,95,22,9,7,31,469,44,49,136,73,33,4,10,17,367,41,41,131,73,30,9,8,17,341,47,49,130,76,30,6,5,17,365,34,31,94,94,19,13,3,18,304,20,32,104,76,21,10,3,15,274,20,26,83,55,30,12,4,14,242,13,17,110,48,20,5,0,5,220,9,10,62,48,11,5,0,15,165,0,8,38,19,12,9,0,10,86,5,6,24,8,14,13,6,15,87,960,553,1297,764,286,92,44,276,4275
UCL514001,168,0,0,0,0,0,0,29,200,112,22,17,4,0,0,0,13,166,83,37,55,5,3,0,0,22,218,48,32,60,39,15,7,0,14,213,28,22,70,44,15,3,0,23,207,30,25,54,32,21,6,0,15,189,23,20,82,46,13,6,6,12,211,23,21,92,62,28,5,5,17,252,25,28,76,61,21,9,4,14,239,22,25,87,73,36,10,0,18,269,19,9,84,66,34,13,0,18,239,10,8,66,70,30,11,3,13,216,4,9,27,48,27,10,0,27,161,7,0,12,27,15,12,7,21,94,5,5,9,13,19,5,10,33,100,600,260,806,600,267,104,40,289,2972
UCL514002,142,0,0,0,0,0,0,19,162,66,0,0,0,0,0,0,9,80,92,16,10,3,0,0,0,11,129,103,51,52,19,4,0,0,27,254,46,59,120,40,7,0,0,26,300,44,29,151,70,9,0,0,10,318,34,51,120,57,11,0,0,9,286,35,20,85,45,12,3,0,14,204,32,20,81,41,12,4,0,15,198,16,17,84,60,13,8,0,14,215,21,17,84,65,17,7,0,10,215,15,14,100,64,8,0,0,24,229,19,5,58,44,15,3,0,15,162,5,0,15,27,11,6,0,12,74,0,8,16,15,5,7,0,4,58,670,323,970,541,131,28,11,222,2880
UCL514003,167,0,0,0,0,0,0,19,183,96,0,0,0,0,0,0,16,115,134,25,10,10,0,0,0,16,191,127,57,48,19,4,0,0,16,275,82,85,126,47,6,3,0,22,371,57,62,128,50,24,4,6,21,343,35,52,125,57,14,3,0,19,313,38,38,83,36,7,4,0,17,228,29,21,69,33,10,4,3,10,185,31,15,82,46,14,4,3,7,212,27,16,64,31,17,4,3,11,174,10,22,71,40,12,6,5,6,160,8,4,32,25,5,3,3,3,83,5,0,13,16,9,0,0,5,49,3,0,12,21,12,10,0,11,72,852,413,873,430,142,34,19,192,2960
UCL514004,172,0,0,0,0,0,0,26,200,109,25,9,3,0,0,0,28,175,75,29,31,17,0,0,0,12,163,51,29,45,32,12,4,8,20,196,33,20,56,48,16,6,3,22,202,34,13,49,29,21,7,9,19,186,30,12,61,48,16,9,5,36,215,23,30,77,30,25,12,3,25,224,24,26,77,47,25,10,9,24,247,16,22,60,75,26,7,7,19,230,24,15,67,51,30,8,4,19,222,6,10,42,59,25,12,6,16,181,13,9,27,35,12,12,3,27,143,7,3,16,17,16,7,3,14,82,3,3,26,23,17,15,14,24,119,625,264,638,511,247,110,79,315,2782
UCL515001,14,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,12,5,0,5,0,0,0,0,0,17,7,4,5,0,0,0,0,0,19,6,7,10,4,0,0,0,0,27,3,8,6,0,6,0,0,0,22,4,6,3,8,0,0,0,4,24,6,11,18,9,0,0,0,5,42,5,4,14,14,4,0,0,3,37,9,5,23,19,7,0,0,0,65,13,4,24,19,13,0,0,5,74,4,3,23,21,15,0,0,9,75,4,4,19,9,3,0,0,0,44,4,0,7,13,4,0,0,12,41,4,0,8,18,9,3,0,0,52,106,51,164,125,60,10,7,43,570
UCL515002,28,0,0,0,0,0,0,0,28,23,0,0,0,0,0,0,0,29,16,5,3,0,0,0,0,0,40,3,4,14,5,0,0,0,0,30,5,3,14,4,0,0,0,0,32,4,10,12,11,4,0,0,3,42,3,3,22,11,4,0,0,0,43,3,7,18,10,0,4,0,0,41,11,3,27,5,0,0,0,0,47,8,9,23,9,7,3,0,0,51,3,4,28,18,5,0,0,6,65,3,4,12,12,3,4,0,0,44,0,0,10,4,0,0,0,0,19,0,0,0,0,4,0,0,0,11,0,0,0,4,0,0,0,4,8,123,48,182,100,35,12,5,17,528
UCL515003,58,0,0,0,0,0,0,11,70,28,5,0,0,0,0,0,9,43,19,13,0,4,0,0,0,5,42,15,13,11,5,3,3,0,5,49,8,6,14,8,3,0,0,4,48,5,9,23,13,3,0,0,3,65,12,14,21,11,7,4,0,3,72,18,8,26,16,4,0,0,7,83,20,15,26,22,15,3,0,7,106,7,13,37,25,12,0,0,6,107,16,20,57,23,18,0,0,5,140,5,10,27,28,10,0,0,0,88,9,3,27,12,11,0,0,7,73,0,3,16,4,5,0,0,3,42,0,5,11,10,3,0,4,8,45,230,125,291,194,97,22,15,91,1061
UCL515004,42,0,0,0,0,0,0,5,53,55,5,3,0,0,0,0,10,78,34,30,20,5,0,0,0,6,101,18,26,27,17,10,4,0,4,109,15,15,25,19,4,5,0,3,78,6,6,29,14,6,0,0,9,64,9,12,22,9,3,10,0,6,74,8,5,24,16,4,3,5,5,62,7,6,19,13,5,0,6,9,54,3,3,17,8,5,4,0,0,39,3,4,19,13,7,0,0,8,45,5,0,10,16,4,0,0,0,36,0,0,5,5,3,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,11,207,122,224,127,45,25,16,58,834
UCL515005,67,0,0,0,0,0,0,13,78,33,6,0,5,0,0,0,4,45,25,15,7,9,3,0,0,0,67,17,10,27,10,5,3,0,0,63,15,11,27,17,4,3,0,0,87,10,3,31,19,6,3,0,10,80,10,14,24,25,20,0,0,5,91,8,20,27,21,8,4,4,4,88,8,11,30,17,3,0,0,0,75,11,3,29,19,4,0,0,9,80,4,4,23,15,3,0,3,0,59,10,0,25,22,7,4,3,9,77,0,0,4,17,5,0,0,0,35,3,0,4,9,6,3,0,9,34,0,0,0,0,5,3,5,0,20,218,105,268,201,85,32,9,71,981
UCL515006,68,3,0,0,0,0,0,24,98,64,15,10,0,0,0,0,41,122,59,19,20,3,3,0,0,28,126,40,15,30,14,4,0,0,30,148,30,18,37,13,3,3,0,31,134,22,15,38,9,5,0,5,18,111,11,9,33,13,18,9,3,28,133,24,19,32,27,21,4,4,22,147,30,13,41,24,15,10,5,25,158,13,6,33,40,8,3,6,24,129,11,6,36,18,9,6,0,15,105,7,3,20,21,14,4,3,15,84,3,4,9,11,10,0,6,12,62,0,0,4,10,7,0,0,11,34,0,0,12,5,0,0,6,4,37,382,148,366,216,113,56,39,321,1638
UCL515007,42,0,0,0,0,0,0,5,45,14,0,0,0,0,0,0,0,13,23,10,8,0,0,0,0,6,40,20,14,19,8,0,0,0,7,68,23,22,50,13,4,0,0,19,120,9,24,57,21,3,0,0,7,127,13,19,34,11,6,0,0,5,82,4,12,33,9,0,0,0,8,79,10,7,16,9,5,3,0,4,56,16,5,21,17,0,0,0,4,61,8,3,18,13,3,0,0,5,44,3,0,14,0,7,0,0,5,29,0,0,6,3,0,0,0,0,13,0,0,4,3,0,0,0,0,3,0,0,0,5,3,0,0,0,10,185,118,277,111,31,7,4,76,796
UCL515008,21,0,0,0,0,0,0,4,25,11,3,0,0,0,0,0,0,14,15,0,4,4,0,0,0,7,36,18,6,12,3,0,0,0,5,56,9,9,35,13,0,0,0,5,60,8,6,19,9,3,4,0,3,51,7,7,23,14,0,0,0,9,56,5,8,21,9,6,0,0,5,56,4,8,16,7,0,0,0,4,37,0,0,14,9,0,0,0,4,28,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,107,49,141,72,14,6,3,62,449
UCL515009,91,0,0,0,0,0,0,14,109,23,0,0,0,0,0,0,3,32,19,3,7,0,0,0,0,5,39,27,18,11,7,4,0,0,9,76,10,9,36,14,3,0,0,10,87,14,10,30,15,9,0,0,8,92,14,9,33,15,10,0,3,17,102,11,17,35,16,3,3,0,11,98,19,13,29,25,7,0,0,4,92,30,15,41,22,8,3,0,9,125,19,13,36,24,7,4,5,6,110,23,16,52,22,4,0,0,17,141,7,7,32,29,11,3,3,15,106,0,3,10,20,9,0,0,3,50,9,4,12,16,18,3,3,0,67,332,136,372,217,96,22,17,128,1322
UCL515010,45,4,0,0,0,0,0,33,75,54,15,10,0,0,0,0,33,108,63,13,17,8,4,0,0,39,142,33,12,15,10,11,0,0,38,124,26,12,15,10,3,6,7,31,106,18,13,14,8,4,0,9,31,93,16,8,20,11,16,0,8,25,107,9,7,25,8,9,4,11,41,106,11,3,21,16,14,6,4,26,102,11,3,25,15,12,0,4,22,89,7,9,9,15,12,4,0,15,70,6,9,10,4,6,3,0,12,50,0,0,0,4,4,4,4,8,25,0,0,0,0,0,4,4,8,15,0,0,0,0,4,5,4,5,16,298,110,182,102,87,37,48,359,1224
UCL515011,65,0,0,0,0,0,0,12,74,39,3,4,3,0,0,0,0,48,27,4,5,4,7,0,0,0,57,31,19,18,13,3,0,0,3,81,18,14,26,13,6,0,0,5,82,18,4,33,22,8,0,4,9,93,18,5,24,24,11,0,0,3,83,7,4,34,20,8,0,0,0,77,14,10,37,21,6,3,0,9,99,14,7,41,20,8,3,0,3,101,9,7,27,33,13,8,6,7,108,8,10,24,30,10,0,0,11,101,5,4,19,25,8,5,6,7,72,3,5,10,9,19,8,0,3,57,3,4,9,8,11,3,4,3,56,272,116,327,238,117,36,19,76,1198
UCL515012,77,0,0,0,0,0,0,4,87,35,3,0,0,0,0,0,4,46,42,19,24,9,0,0,0,6,91,32,15,25,15,4,0,0,6,108,5,13,31,15,3,0,0,3,76,6,3,35,24,11,3,5,0,86,17,9,32,12,9,5,0,0,82,8,18,32,16,0,5,0,0,76,0,0,16,19,5,0,0,0,47,5,4,19,19,3,0,0,0,48,6,5,18,13,0,0,0,0,45,0,0,8,8,4,0,0,0,31,0,0,4,4,3,0,0,0,20,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,7,239,92,250,152,49,14,12,44,848
