UCL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
UCL521052,36,1387,564,168,1156,1,1125,2.7
UCL522001,28,0,312,60,746,1.5,1212,4.2
UCL522002,56,1250,552,258,1312,0.7,881,1.9
UCL522003,26,0,397,100,966,1.1,1083,3.3
UCL522004,23,0,253,60,694,1.1,711,3.8
UCL522005,30,0,381,120,1111,1.2,1057,3.1
UCL522006,44,2514,838,300,2302,0.8,2177,3
UCL522007,57,1517,704,210,1424,0.6,1021,1.7
UCL522008,50,782,506,200,1328,0.6,942,2.1
UCL522009,40,1584,839,315,1812,0.8,1550,2.7
UCL522010,42,2167,880,270,2727,0.8,2281,3
UCL522011,42,809,792,150,1812,0.7,1240,1.9
UCL522012,55,1427,628,300,1401,0.6,1044,2
UCL522013,45,1735,610,350,1792,0.8,1773,2.7
UCL522014,38,1408,693,290,2041,0.8,2035,3
UCL522015,33,3390,871,160,2349,1.4,1166,2
UCL522016,45,723,552,169,1178,0.7,937,2.2
UCL522017,52,1300,557,300,1268,0.7,1134,2.3
UCL522018,63,725,533,100,1375,0.6,703,1.5
UCL522019,52,870,638,156,1312,0.6,966,1.8
UCL522020,29,0,388,125,916,1,1100,3.1
UCL522021,45,650,645,170,1281,0.6,1042,2.1
UCL522022,50,515,638,175,1517,0.6,1089,1.9
UCL522023,51,1604,599,279,1478,0.7,1125,2.2
UCL522024,63,2000,774,368,1531,0.6,1233,2
UCL522025,55,910,638,180,1607,0.7,900,2
UCL522026,66,1428,503,245,993,0.6,860,1.8
UCL522027,52,985,482,200,1446,0.7,979,2
UCL522028,62,1235,599,255,1303,0.6,949,2
UCL522029,38,1695,683,300,1708,0.8,1388,2.8
UCL522030,33,1004,924,176,2031,0.8,1687,2.4
UCL522031,21,0,268,80,628,1.3,837,4.2
UCL522032,27,0,315,75,766,1.3,1031,4
UCL522033,58,1016,469,240,1125,0.7,789,1.9
UCL522034,31,0,232,50,665,1.7,1350,5
UCL522035,49,650,687,120,1625,0.7,877,2
UCL522036,54,542,643,129,1083,0.6,1017,2
UCL522037,44,550,719,173,2022,0.8,1268,2.2
UCL522038,36,1083,987,180,2171,0.7,1663,2.3
UCL522039,39,426,823,150,1792,0.9,1399,2.3
UCL522040,60,1133,627,300,1474,0.6,1149,1.8
UCL522041,57,1375,548,210,1399,0.7,962,2.1
UCL522042,30,520,1672,44,3023,0.8,2531,2.7
UCL522043,26,0,274,83,745,1.2,836,3.7
UCL522044,42,0,517,126,1281,1.1,1152,2
UCL522045,25,0,278,60,617,1.2,749,3.5
UCL522046,55,1083,547,150,1562,0.8,1071,2.2
UCL522047,44,500,636,190,1583,0.7,1238,2.1
UCL522048,46,704,666,153,1875,0.7,1158,2
UCL522049,45,625,495,150,1375,0.7,814,2
UCL522050,54,867,808,160,1625,0.7,1319,2.1
UCL522051,48,1571,606,250,1887,0.8,1837,2.6
UCL522052,38,0,296,40,780,1.1,1357,2.9
UCL522053,25,0,316,70,762,1.1,875,3.6
UCL522054,43,780,825,170,1937,0.7,1575,2.1
UCL522055,45,1950,1547,500,3750,0.8,2562,2.3
UCL522056,40,830,1080,208,2023,0.8,1773,2.3
UCL522057,33,0,1112,113,2340,0.8,2042,1.9
UCL522058,43,693,480,172,1140,0.7,987,2.5
UCL522059,46,596,571,115,1395,0.7,1212,2.2
UCL522060,41,0,380,13,784,0.9,1354,2.4
UCL522061,62,964,489,222,979,0.6,728,1.8
UCL522062,27,0,254,60,655,1.1,708,3.6
UCL522063,33,0,305,70,619,1.3,900,3.9
UCL522064,26,373,325,90,746,1.8,1281,4.2
UCL522065,47,910,677,139,1359,0.7,1125,2.1
UCL522066,38,1083,921,220,2073,0.7,1441,2.3
UCL522067,38,0,1086,140,900,1,1271,2.3
UCL522068,42,1539,697,365,1937,0.8,1625,2.6
UCL522069,55,550,467,150,850,0.6,762,1.7
UCL522070,44,1400,540,270,1267,0.8,1008,2.4
UCL522071,22,0,281,75,601,1.4,939,4.3
UCL531001,45,1950,838,245,2042,0.8,1725,2.6
UCL579997,40,1733,2123,0,1375,0.7,2250,1.7
UCL599994,40,0,420,0,0,0,0,0
