UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL521003,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,4,0,0,0,10,17,33,38,20,31,46,16,47,0,257
UCL521004,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,5,9,3,36,18,9,15,4,112
UCL521005,0,0,4,5,4,3,3,3,0,16,3,3,3,0,3,0,0,0,4,14,39,56,55,17,51,54,41,142,13,484
UCL521006,0,5,0,0,3,0,3,0,0,14,0,0,0,0,3,0,0,0,8,24,35,56,45,32,54,70,24,68,24,404
UCL521007,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,5,6,21,28,19,15,20,43,9,27,6,194
UCL521008,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,4,8,12,35,25,9,22,31,12,21,7,170
UCL521009,0,0,6,0,3,0,0,4,0,10,0,0,0,0,3,0,0,0,3,6,0,20,25,9,29,35,21,54,5,196
UCL521010,0,3,0,3,0,5,4,4,0,13,0,0,0,0,0,0,3,0,5,16,20,35,35,20,47,46,18,67,12,292
UCL521011,0,4,0,0,0,6,0,3,0,13,0,0,0,0,0,0,0,3,0,3,13,34,31,22,38,67,21,72,8,306
UCL521012,0,0,0,0,3,0,0,0,0,9,0,0,3,0,0,0,0,0,3,9,14,28,18,19,47,46,14,56,4,257
