UCL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL521036,0,3,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,14,0,5,7,4,0,9,4,5,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,15,19,12,14,9,6,5,9,3,91
UCL521037,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,3,0,15,3,0,35,23,9,7,14,7,0,108,0,0,0,6,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,5,0,12,3,21,47,41,16,19,13,24,0,182
UCL521038,3,3,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,11,7,3,20,12,3,3,12,10,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,21,21,27,9,3,15,9,0,127
UCL521039,8,6,0,3,6,0,0,0,0,23,4,4,7,4,6,9,0,0,0,26,3,4,41,10,0,6,7,7,0,78,0,0,0,0,0,0,0,0,0,8,3,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,7,42,83,59,38,17,11,9,21,8,283
UCL521040,0,0,3,0,4,0,0,0,0,11,6,3,0,8,4,0,0,0,0,25,10,8,40,5,18,0,21,11,0,115,0,0,6,3,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,8,35,54,55,25,29,6,30,18,4,261
UCL521041,0,0,3,0,3,0,0,0,0,10,0,0,8,8,4,0,3,0,0,25,6,0,84,12,9,0,43,7,3,164,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,20,23,98,24,21,3,58,11,3,256
UCL521042,0,0,0,0,0,0,0,0,0,5,4,0,0,5,0,0,0,0,0,16,8,0,11,13,6,3,8,10,0,64,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,6,0,4,0,10,0,3,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,0,12,25,27,15,24,12,8,12,28,0,151
UCL521043,5,3,0,0,0,0,0,0,0,11,0,7,3,0,3,0,0,0,0,18,10,5,23,8,5,4,4,8,0,75,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,33,62,32,25,18,6,4,19,0,198
UCL521044,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,10,7,3,19,11,5,0,8,3,3,64,0,0,0,0,0,3,0,3,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,26,24,6,3,8,13,6,117
UCL521045,3,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,11,3,0,12,7,0,4,0,0,0,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,14,17,5,8,5,4,0,76
