UCL_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL513005,166,176,538,610,544,362,71,0,0,2471,129,39,210,179,136,188,368,216,59,1521,15,17,54,40,32,23,22,37,34,279,312,237,810,833,712,577,462,255,87,4275,63,202,654,694,711,425,53,0,0,2797,185,122,286,392,281,240,80,8,0,1593,8,22,69,62,67,45,10,0,0,276,5,6,39,23,13,10,0,0,0,102,258,351,1046,1171,1072,720,140,12,0,4766,27,30,29,29,42,19,8,0,0,186,54,18,35,24,15,22,4,0,0,168,80,44,62,54,54,40,14,0,0,349,338,393,1115,1228,1127,758,153,12,0,5115,298,77,265,226,199,296,662,429,95,2547,39,36,111,106,81,64,39,56,46,589,677,505,1488,1553,1409,1115,850,503,151,8253
UCL514001,112,108,264,274,322,229,51,9,0,1379,66,42,134,88,112,245,380,201,66,1333,23,17,34,36,27,29,33,37,36,263,200,166,428,401,461,502,460,253,100,2972,57,146,289,335,365,249,49,6,0,1494,106,65,179,176,163,169,54,11,0,931,9,8,30,23,35,42,10,5,0,148,6,10,16,12,13,8,0,0,0,70,169,234,517,543,575,467,112,21,5,2645,16,14,54,26,28,30,9,0,0,180,19,14,7,14,18,16,3,0,0,82,37,23,55,37,45,43,8,0,0,260,209,259,579,584,623,509,125,21,5,2903,164,65,163,134,182,417,801,405,108,2452,54,22,63,74,62,56,71,72,59,532,419,350,809,790,868,988,992,502,162,5884
UCL514002,111,68,295,507,431,272,79,7,0,1772,41,4,57,73,42,122,335,200,49,922,6,7,28,35,14,27,25,26,6,184,162,80,380,615,493,419,442,233,58,2880,44,73,336,497,468,253,44,0,0,1711,157,63,190,368,324,234,120,19,0,1468,13,5,39,76,47,49,19,4,0,254,11,4,7,16,14,7,0,0,0,61,226,140,570,952,845,545,191,23,0,3494,0,0,11,9,5,3,0,0,0,29,14,0,0,8,7,12,3,0,0,43,15,4,8,17,11,11,3,0,0,69,240,149,576,967,859,560,198,23,0,3561,100,14,74,91,64,186,633,383,98,1642,15,15,70,86,59,63,47,56,6,418,360,171,711,1151,986,813,877,459,101,5629
UCL514003,118,88,372,575,439,272,65,6,0,1929,58,19,71,107,63,107,257,128,67,869,13,11,24,36,39,16,16,0,5,163,183,115,471,718,534,398,334,137,72,2960,40,92,432,582,510,240,50,0,0,1942,169,89,257,387,322,227,92,13,0,1556,17,8,63,74,43,48,17,5,0,266,9,3,14,12,6,3,0,0,0,54,230,191,770,1056,889,515,161,17,0,3819,5,8,10,13,10,9,0,0,0,60,12,3,9,11,6,13,0,0,0,61,17,17,24,21,19,22,0,0,0,124,247,207,791,1079,906,533,163,17,0,3940,140,32,104,139,99,174,436,218,106,1439,22,21,76,89,101,38,34,3,10,402,408,258,975,1309,1103,743,626,240,117,5783
UCL514004,107,125,224,266,309,277,83,3,0,1392,79,24,107,84,79,161,295,185,100,1111,18,23,26,38,51,36,24,38,19,280,200,175,361,394,444,479,403,224,119,2782,54,170,304,316,353,346,80,0,0,1632,118,53,126,142,167,181,81,10,0,869,3,9,16,21,21,33,10,0,0,115,3,6,4,9,8,3,0,0,0,34,182,239,455,480,551,560,178,14,0,2652,22,10,26,26,14,15,3,0,0,116,14,6,14,10,12,6,5,0,0,64,30,15,40,32,30,23,6,0,0,179,216,257,493,519,577,583,184,17,0,2839,179,54,152,128,126,250,556,355,155,1961,37,49,77,86,103,88,58,55,26,592,429,366,731,728,809,926,799,425,182,5392
UCL515001,9,7,21,37,55,60,23,0,0,213,5,3,13,8,13,44,115,78,50,322,0,0,0,4,0,4,7,3,5,33,17,12,32,45,70,103,151,85,52,570,4,12,26,27,42,29,17,4,0,155,15,5,17,34,39,66,29,6,0,210,4,0,4,4,9,13,3,0,0,30,0,0,0,0,0,3,0,0,0,5,14,19,49,63,95,104,52,10,3,402,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,13,14,19,49,66,96,111,53,5,3,416,9,5,8,12,26,74,224,162,87,606,0,6,8,8,15,6,19,7,9,82,30,26,64,89,134,192,293,177,96,1102
UCL515002,21,25,50,67,75,53,20,0,0,313,4,0,15,8,10,42,77,22,5,187,0,0,4,5,7,0,7,3,0,21,28,29,68,79,88,98,104,25,8,528,18,31,65,79,103,79,14,0,0,385,22,10,24,38,41,37,22,0,0,192,0,7,8,3,6,16,6,0,0,42,0,0,3,0,0,0,0,0,0,12,40,46,102,127,149,127,39,0,0,627,0,0,5,0,4,3,5,0,0,10,0,0,0,9,0,5,0,0,0,13,5,0,4,5,4,4,7,0,0,26,39,46,102,131,151,135,44,0,0,649,26,6,18,15,16,60,145,48,9,337,3,0,12,13,11,3,9,3,0,60,74,53,129,162,179,196,191,54,10,1054
UCL515003,37,29,70,85,115,126,43,6,0,503,27,10,20,21,23,69,184,94,39,483,4,8,4,8,13,9,12,6,3,79,70,43,93,107,154,206,234,107,45,1061,11,32,66,99,122,94,28,0,0,455,32,20,45,49,83,114,44,9,0,393,0,4,9,8,10,11,9,0,0,56,4,0,8,5,0,0,0,0,0,17,49,52,135,159,213,220,80,14,0,921,0,0,5,6,5,7,0,0,0,26,12,0,0,0,0,9,0,0,0,21,16,4,7,3,6,11,6,0,0,50,66,55,134,163,221,235,85,14,0,971,46,15,29,28,35,113,321,183,56,834,7,9,19,12,26,22,24,18,9,143,120,77,177,207,284,368,432,210,68,1947
UCL515004,28,60,142,109,101,60,11,0,0,520,24,12,55,26,27,28,67,26,9,262,3,5,9,11,9,5,0,0,5,46,53,78,209,148,141,92,79,27,11,834,16,117,220,148,137,70,17,0,0,721,33,20,82,53,47,29,9,0,0,279,10,7,20,10,3,4,0,0,0,52,3,3,3,0,3,0,0,0,0,16,59,141,325,214,186,107,32,0,0,1065,10,6,12,0,7,5,0,0,0,43,7,3,4,3,0,6,0,0,0,19,12,12,10,5,13,3,0,0,0,58,78,154,334,214,197,113,31,0,0,1121,57,21,60,32,34,44,110,62,13,427,7,15,30,25,18,19,3,0,7,123,138,189,423,273,245,172,150,61,19,1671
UCL515005,47,33,87,123,137,87,23,3,0,541,22,9,38,37,37,62,105,55,21,391,4,4,0,5,10,7,12,5,3,48,78,45,124,170,177,155,139,66,20,981,18,46,120,135,177,93,20,0,0,612,45,24,46,78,79,64,21,9,0,370,4,3,10,12,14,11,0,0,0,56,3,3,0,6,0,3,0,0,0,23,77,78,182,231,274,178,47,9,0,1066,0,0,5,4,6,11,0,0,0,18,12,0,3,3,0,3,0,0,0,20,11,4,3,7,6,5,0,0,0,39,85,76,190,238,280,182,47,9,0,1099,57,9,34,49,53,93,227,117,28,681,17,7,3,14,25,15,22,10,4,126,155,104,230,296,355,293,292,135,36,1905
UCL515006,38,61,169,168,192,186,57,0,0,875,37,25,56,35,44,63,108,77,22,481,21,31,52,48,42,33,21,19,11,282,98,122,281,251,278,291,188,102,37,1638,23,77,222,204,249,219,60,3,0,1059,38,23,78,79,85,99,37,0,0,449,0,10,15,12,16,20,11,0,0,91,7,0,5,14,5,13,3,6,0,58,69,112,320,307,362,352,119,11,0,1649,9,11,8,8,23,17,0,0,0,76,3,0,4,6,9,5,6,0,0,34,9,16,15,16,30,20,6,0,0,106,78,125,339,322,391,368,114,13,3,1758,79,51,86,58,90,148,264,162,47,990,46,71,122,93,99,80,51,40,15,620,205,245,547,482,579,598,433,208,67,3366
UCL515007,31,13,77,191,129,75,15,0,0,534,12,7,15,33,11,28,62,21,8,191,5,0,7,26,17,9,4,0,0,73,45,13,106,244,160,116,74,20,10,796,17,15,69,182,150,76,11,0,0,513,41,15,55,153,93,61,15,0,0,437,0,0,8,32,13,11,0,0,0,67,4,0,4,7,3,3,0,0,0,16,56,36,138,371,258,149,25,8,0,1037,0,0,4,4,4,0,0,0,0,15,5,5,0,0,4,4,0,0,0,12,5,5,4,0,10,4,0,0,0,26,61,32,140,374,268,156,28,8,0,1063,24,7,21,34,16,46,100,43,17,311,6,8,23,49,34,17,8,4,4,141,89,44,185,450,319,220,141,51,20,1512
UCL515008,19,11,61,81,87,47,3,0,0,315,10,0,13,24,11,16,9,9,0,74,3,0,17,11,13,12,0,0,0,52,25,14,91,110,109,67,15,6,0,449,11,27,78,135,139,71,13,0,0,472,23,9,22,33,26,27,6,0,0,152,3,0,12,15,19,9,0,0,0,61,0,0,0,0,3,0,0,0,0,7,37,36,116,188,188,112,16,0,0,692,0,3,4,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,3,4,0,3,3,0,0,0,16,39,37,123,189,192,119,16,0,0,706,17,0,13,26,10,21,22,7,0,115,11,0,22,28,26,21,0,0,0,104,64,41,163,235,223,156,35,13,0,928
UCL515009,43,27,72,142,152,109,34,8,0,582,60,0,26,30,25,95,195,131,58,624,3,4,15,16,29,14,19,16,4,112,109,32,110,182,197,218,251,156,67,1322,12,18,75,129,135,84,30,4,0,482,61,21,49,103,125,103,51,13,0,520,11,6,11,5,13,17,6,3,0,63,3,3,3,3,3,0,3,0,0,19,84,47,134,244,268,202,87,20,0,1094,0,3,10,3,4,3,6,0,0,27,11,0,3,3,3,4,4,0,0,26,11,3,14,10,9,9,0,0,0,49,97,50,146,254,280,216,91,20,0,1146,118,5,32,52,44,155,355,243,93,1092,18,10,24,29,41,29,31,29,10,220,230,64,201,329,366,397,480,285,102,2457
UCL515010,18,42,130,97,112,104,36,3,0,545,32,40,59,38,38,42,52,27,10,347,26,33,75,61,60,37,26,9,4,331,75,108,262,197,215,189,118,46,16,1224,17,56,183,137,149,154,57,0,0,756,19,15,33,34,28,41,29,0,0,191,0,0,10,5,13,13,9,0,0,57,0,0,9,0,0,6,0,0,0,22,35,72,233,178,198,213,90,7,0,1028,0,8,10,6,5,0,0,0,0,34,0,0,8,0,0,5,0,0,0,13,0,7,16,9,7,5,0,0,0,54,36,78,250,189,209,220,95,7,0,1076,76,61,95,81,80,87,105,57,20,669,38,57,131,101,103,93,67,23,4,614,156,202,475,369,392,400,264,87,24,2362
UCL515011,41,34,90,131,125,112,23,8,0,568,28,15,48,39,32,83,172,123,50,576,0,0,4,10,6,7,10,8,7,59,74,48,143,177,165,201,204,130,56,1198,22,46,115,156,157,134,19,3,0,646,58,21,56,73,87,66,27,6,0,390,0,6,10,14,12,13,6,0,0,62,4,4,0,3,3,0,0,0,0,24,85,65,182,246,257,216,51,17,0,1128,0,5,6,5,6,13,0,0,0,33,3,12,3,9,5,3,0,0,0,29,3,12,8,10,11,10,4,0,0,61,92,83,189,263,266,231,57,17,0,1185,61,20,57,53,46,114,301,224,86,950,9,3,17,26,15,18,28,13,8,133,159,104,256,332,326,368,384,249,88,2273
UCL515012,56,40,147,130,143,72,17,0,0,604,31,0,41,19,15,15,58,20,7,211,4,4,13,6,8,3,0,0,0,42,87,46,204,157,162,89,77,22,7,848,30,55,187,163,191,93,17,0,0,738,62,20,77,74,61,48,20,0,0,351,0,3,26,6,13,6,0,0,0,63,0,0,0,3,0,0,0,0,0,5,89,78,290,247,265,152,35,0,0,1160,0,0,3,0,4,3,0,0,0,21,12,0,0,3,0,0,0,0,0,23,7,4,9,10,4,7,0,0,0,39,99,84,298,260,269,156,35,0,0,1194,55,6,46,30,23,29,107,48,14,352,7,6,24,20,17,16,10,0,0,98,167,95,367,305,309,196,151,50,14,1644
