UCL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL513005,122,195,555,592,558,379,76,11,0,2476,0,0,4,7,9,5,0,0,0,34,0,3,20,31,10,6,0,0,0,75,0,0,10,11,14,3,0,0,0,52,0,0,6,0,8,3,0,0,0,19,0,4,23,24,18,8,4,0,0,82,0,5,10,8,11,8,3,0,0,47,30,28,52,56,56,40,6,0,0,277,62,28,33,36,22,17,3,0,0,199,0,6,14,6,7,10,0,0,0,43,0,0,0,0,0,0,0,0,0,4,3,4,10,16,12,4,0,0,0,50,0,0,8,10,8,4,0,0,0,32,0,6,25,29,21,19,3,0,0,97,4,6,16,31,25,11,0,0,0,90,0,10,21,21,24,24,8,0,0,98,9,10,58,96,93,36,7,0,0,314,11,27,119,136,129,105,22,0,0,546,3,0,4,14,8,6,0,0,0,39,8,9,45,26,22,12,0,0,0,117
UCL514001,78,134,277,283,280,256,58,12,5,1385,0,0,0,0,3,0,0,0,0,5,0,13,18,21,15,8,0,0,0,74,3,3,9,14,15,7,0,0,0,47,0,3,8,10,9,3,0,0,0,31,4,4,7,3,6,3,0,0,0,24,0,0,8,0,0,0,0,0,0,8,19,10,20,34,43,46,10,0,0,186,36,19,33,27,16,21,4,0,0,159,0,3,6,10,8,10,0,0,0,32,0,0,5,0,0,0,0,0,0,3,0,3,5,11,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,6,4,3,8,4,0,0,0,0,0,25,3,4,10,7,8,7,4,4,0,39,0,4,4,8,23,17,0,0,0,54,0,9,37,43,60,29,11,4,0,187,4,10,44,59,55,59,16,0,0,259,0,0,5,0,0,0,0,0,0,7,3,4,13,11,8,6,3,0,0,50
UCL514002,124,77,278,453,414,280,114,14,0,1765,0,0,5,3,6,5,0,0,0,21,0,0,11,11,5,0,0,0,0,27,4,8,18,31,17,3,4,0,0,89,0,0,0,4,0,3,0,0,0,4,0,0,5,23,20,16,3,0,0,65,0,0,8,6,11,9,0,0,0,33,21,10,27,47,44,32,14,0,0,196,49,25,63,67,51,32,10,0,0,285,0,0,0,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,6,13,4,4,3,0,0,30,0,0,8,19,19,9,6,0,0,60,0,0,14,39,25,16,6,0,0,104,0,0,6,34,20,9,3,0,0,84,0,0,8,11,13,5,0,0,0,37,8,5,34,67,58,28,5,0,0,206,4,3,61,71,74,55,10,0,0,282,0,0,9,9,8,4,0,0,0,35,6,0,14,24,22,11,0,0,0,75
UCL514003,118,106,411,496,456,252,94,10,0,1948,0,0,17,7,6,5,0,0,0,34,0,0,3,11,5,4,0,0,0,20,8,7,47,61,20,6,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,6,16,5,9,0,0,0,38,0,0,9,3,7,4,0,0,0,23,32,19,30,75,54,36,9,0,0,257,50,22,73,64,47,23,5,0,0,292,0,0,5,3,3,8,4,0,0,21,0,0,0,0,3,0,0,0,0,5,0,0,9,8,8,3,0,0,0,29,0,0,3,6,16,3,3,0,0,34,0,4,15,33,23,9,3,0,0,84,3,3,13,28,32,14,0,0,0,96,0,0,15,31,12,7,0,0,0,63,7,0,28,71,78,51,14,0,0,248,3,10,58,85,73,48,10,4,0,297,8,0,3,8,6,0,0,0,0,24,4,3,13,21,13,10,0,0,0,67
UCL514004,87,115,249,233,252,296,97,10,0,1339,0,3,0,4,4,3,4,0,0,11,0,0,5,0,3,0,0,0,0,13,4,4,7,11,11,6,0,0,0,39,0,0,4,0,3,4,0,0,0,13,0,8,8,8,9,4,0,0,0,30,0,5,3,4,4,5,0,0,0,14,39,19,20,33,40,34,14,0,0,202,22,19,15,14,22,18,3,0,0,117,0,0,4,0,11,7,0,0,0,27,0,0,0,0,0,0,0,0,0,4,0,4,6,3,9,4,0,0,0,26,0,0,3,0,0,0,0,0,0,15,0,9,12,10,9,3,0,0,0,48,3,3,4,11,13,11,3,0,0,47,3,8,15,30,30,30,4,0,0,124,5,12,31,46,42,44,9,4,0,183,11,17,49,62,74,77,29,0,0,317,0,0,0,0,4,0,5,0,0,6,0,4,9,9,13,11,0,0,0,49
UCL515001,5,9,33,23,36,54,26,10,0,198,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,0,5,8,6,7,4,0,0,35,3,7,7,7,14,3,4,0,0,36,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,5,0,0,5,0,0,0,6,3,4,0,0,0,12,0,0,0,0,7,0,0,0,0,5,0,0,0,3,6,4,0,0,0,19,0,0,0,3,10,19,8,0,0,35,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,3
UCL515002,20,20,52,66,77,74,17,0,0,324,0,4,5,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,4,5,0,9,4,5,0,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,8,3,0,6,4,4,10,0,0,0,28,10,0,0,5,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,7,0,0,0,3,5,3,0,0,0,15,0,0,5,0,0,0,0,0,0,5,0,0,0,7,7,3,0,0,0,17,0,0,9,15,18,10,3,0,0,49,9,11,8,14,23,17,4,0,0,69,0,0,0,0,0,0,0,0,0,5,4,0,3,5,0,0,0,0,0,16
UCL515003,18,32,64,81,97,98,44,6,0,440,0,0,0,0,0,4,4,0,0,10,0,3,4,3,5,3,0,0,0,20,0,4,3,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,9,0,0,0,0,0,4,0,0,0,5,14,5,7,9,16,17,3,0,0,63,9,8,9,7,6,12,0,0,0,41,0,0,0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,4,5,3,0,0,0,14,0,0,0,9,0,3,0,0,0,16,0,0,3,4,3,0,5,0,0,15,0,0,7,8,8,5,0,0,0,27,0,3,8,11,23,18,9,0,0,79,4,0,18,18,31,36,17,5,0,126,0,0,0,0,0,4,0,0,0,7,0,0,5,0,4,0,3,0,0,17
UCL515004,39,91,184,106,89,44,20,0,0,570,0,4,4,3,6,3,0,0,0,20,0,3,3,5,9,0,0,0,0,21,0,0,3,5,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,8,5,3,4,0,0,0,26,0,0,8,13,4,0,0,0,0,19,7,7,14,11,11,8,5,0,0,57,6,3,10,4,7,4,0,0,0,32,0,0,4,7,6,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,5,0,6,6,6,3,0,0,0,0,20,0,5,0,8,5,7,0,0,0,21,0,7,7,4,11,3,3,0,0,39,0,3,11,19,10,5,0,0,0,44,5,6,23,14,11,15,0,0,0,75,0,0,3,0,0,0,0,0,0,6,0,0,13,0,5,3,0,0,0,33
UCL515005,35,45,98,113,135,94,23,0,0,541,4,5,0,3,10,0,0,0,0,16,0,3,3,0,4,0,0,0,0,12,0,6,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,8,0,6,6,0,0,0,22,0,0,0,0,0,0,0,0,0,7,17,6,14,13,19,8,0,0,0,84,10,5,8,6,10,0,0,0,0,29,0,0,0,4,3,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,6,0,6,0,0,0,0,15,4,0,7,8,6,0,0,0,0,24,0,0,7,9,10,9,0,0,0,39,0,0,13,17,16,6,0,0,0,57,0,4,20,38,32,32,9,0,0,137,0,0,0,0,0,0,0,0,0,8,0,0,0,5,9,0,0,0,0,23
