UCL_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
UCL513005,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,10,17,40,25,48,26,10,164,3,12,17,40,27,48,26,10,177,590,606,650,605,473,333,205,42,3503,45,60,59,51,42,7,18,10,297,642,679,723,697,538,392,245,57,3978,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,5,10,5,4,0,21,0,0,4,7,10,5,4,0,32,510,747,784,671,544,433,227,67,3987,35,56,42,31,26,24,23,22,254,545,810,833,712,577,462,255,87,4275,0,3,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,9,3,10,20,43,31,56,25,3,191,5,12,23,44,35,56,25,3,207,1099,1360,1431,1277,1016,770,431,110,7497,78,121,100,82,65,28,41,26,553,1183,1488,1553,1409,1115,850,503,151,8253
UCL514001,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,10,39,81,39,19,197,0,3,13,11,39,81,39,19,201,366,345,342,355,421,416,180,26,2445,39,31,37,38,26,35,26,18,267,406,381,389,403,483,530,247,63,2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,22,0,0,0,0,8,9,0,0,22,330,389,360,439,468,428,213,64,2691,37,36,33,27,29,32,36,33,263,364,428,401,461,502,460,253,100,2972,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,7,12,44,85,41,19,218,6,5,10,15,44,85,41,19,219,692,734,703,788,888,842,395,97,5132,81,68,71,69,56,66,66,51,528,773,809,790,868,988,992,502,162,5884
UCL514002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,13,17,18,29,36,15,131,0,7,15,23,19,29,36,15,137,268,290,468,430,332,381,167,27,2363,24,43,56,46,38,22,22,4,247,292,332,529,493,390,434,226,44,2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,5,0,19,0,0,0,8,3,5,5,0,19,212,350,580,469,381,413,206,52,2661,27,32,36,15,25,28,24,7,200,237,380,615,493,419,442,233,58,2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,10,21,23,37,34,19,150,0,7,12,23,29,37,34,19,154,482,635,1045,899,717,794,374,82,5025,50,75,88,63,64,55,46,9,441,531,711,1151,986,813,877,459,101,5629
UCL514003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,14,22,14,9,81,0,0,10,21,17,22,14,9,85,337,451,532,485,307,254,88,30,2494,28,60,52,61,21,20,4,7,248,368,504,597,565,345,293,103,43,2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,15,0,0,0,5,5,0,3,0,15,275,440,676,495,380,319,132,63,2777,19,26,35,39,18,14,0,8,169,297,471,718,534,398,334,137,72,2960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,16,23,17,9,97,0,0,12,22,20,23,17,9,100,621,885,1209,980,689,576,215,92,5270,52,86,93,103,38,35,6,13,418,667,975,1309,1103,743,626,240,117,5783
UCL514004,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,3,4,12,31,50,30,15,152,3,7,4,18,34,50,30,15,160,366,312,287,310,361,316,156,39,2141,50,47,40,46,52,31,14,11,303,423,363,336,367,452,395,201,69,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,0,0,19,0,0,0,3,11,10,0,0,23,335,328,350,384,439,364,195,101,2490,38,28,39,50,33,28,28,18,273,373,361,394,444,479,403,224,119,2782,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,6,6,18,36,56,35,19,174,3,4,12,20,42,56,35,19,179,703,640,635,688,801,684,347,138,4633,96,82,85,105,87,59,44,30,582,798,731,728,809,926,799,425,182,5392
UCL515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,9,16,10,48,0,0,0,3,9,9,16,10,48,26,33,31,49,79,119,69,30,438,0,4,5,11,4,11,0,5,44,28,31,43,60,89,147,92,43,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,4,0,0,0,10,22,29,45,63,94,138,81,46,523,0,0,4,3,0,8,6,5,35,24,32,45,70,103,151,85,52,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,16,13,57,0,0,0,6,6,16,16,13,56,52,57,80,114,173,261,150,72,966,8,8,10,16,8,17,10,9,77,56,64,89,134,192,293,177,96,1102
UCL515002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,5,0,21,0,0,0,6,4,11,5,0,21,57,57,72,76,90,77,31,0,465,3,10,8,8,4,6,0,0,41,59,68,85,91,100,89,30,6,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,66,71,85,95,97,19,5,498,0,4,5,7,0,6,7,0,18,60,68,79,88,98,104,25,8,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,14,5,0,28,0,0,0,8,4,14,5,0,28,119,121,147,158,187,175,45,9,962,3,12,17,11,3,9,3,0,61,119,129,162,179,196,191,54,10,1054
UCL515003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,11,14,24,14,7,75,0,3,4,11,14,24,14,7,81,78,70,84,111,139,168,80,13,737,6,11,9,16,9,8,7,3,71,90,86,97,131,158,199,102,26,884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,18,0,0,0,3,3,6,6,3,18,97,92,100,137,196,215,98,33,973,15,4,9,11,10,8,8,3,71,116,93,107,154,206,234,107,45,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,14,19,29,20,7,97,0,6,4,14,19,29,20,7,97,181,160,186,244,330,380,177,50,1705,15,19,16,26,19,18,16,7,144,198,177,207,284,368,432,210,68,1947
UCL515004,38,25,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,4,5,9,9,19,12,0,59,38,28,8,11,10,19,12,0,127,152,168,107,90,57,46,30,3,654,10,18,9,10,16,5,0,0,71,197,215,125,108,78,67,37,9,846,7,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,11,7,3,0,3,4,5,0,0,21,110,194,137,127,86,74,27,13,762,10,10,5,9,5,0,0,0,47,134,209,148,141,92,79,27,11,834,47,28,0,0,0,0,0,0,76,0,0,0,3,0,0,0,0,7,0,4,5,9,15,21,12,0,63,44,32,8,13,15,21,12,0,150,262,365,245,214,142,120,56,15,1411,21,28,18,18,19,8,0,0,114,332,423,273,245,172,150,61,19,1671
UCL515005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,13,14,0,53,0,0,3,9,6,13,14,0,53,124,100,121,150,123,120,52,6,791,11,5,7,23,12,8,7,3,73,132,104,130,178,136,153,73,15,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,112,123,160,172,149,126,59,18,924,12,0,4,10,7,9,5,4,52,122,124,170,177,155,139,66,20,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,21,14,0,65,0,0,11,9,6,21,14,0,65,233,227,277,321,273,249,113,27,1715,25,3,15,23,18,22,10,6,124,253,230,296,355,293,292,135,36,1905
