UCL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL513005,14,28,24,22,92,104,49,109,3,444,29,62,69,58,123,137,24,87,9,596,44,58,58,53,148,248,76,210,17,912,52,146,142,83,96,73,34,47,12,685,23,92,85,62,137,117,30,48,8,599,21,130,58,30,63,45,11,17,6,380,56,26,25,14,58,42,37,232,11,504,36,119,85,39,77,87,20,81,6,545,5,6,7,5,4,21,5,15,27,101,276,663,546,373,806,862,280,852,102,4766
UCL514001,10,14,11,15,12,22,15,45,0,151,10,26,33,16,34,52,12,31,0,216,27,40,52,15,86,160,59,143,12,593,16,85,83,39,33,28,11,20,5,325,15,42,39,18,51,40,10,8,9,221,11,75,43,15,38,19,9,7,3,211,25,19,17,16,36,151,66,101,4,434,19,126,72,35,50,58,20,51,7,438,3,3,0,3,6,3,0,8,17,58,148,419,337,172,344,536,193,423,70,2645
UCL514002,31,42,45,34,63,102,45,126,0,494,60,107,92,76,93,125,31,81,5,676,59,48,50,53,128,163,46,156,5,713,24,123,90,50,36,25,12,21,8,394,17,90,85,30,43,33,8,8,5,325,18,95,67,33,38,50,13,14,3,322,17,14,7,7,10,12,3,66,3,139,26,118,62,37,33,46,11,26,9,372,3,9,3,5,9,9,4,9,13,64,254,640,503,323,460,571,176,505,61,3494
UCL514003,21,37,39,45,81,121,45,82,0,482,55,97,73,68,95,115,51,82,3,653,64,57,54,48,115,175,46,124,17,695,41,134,114,66,68,50,7,34,7,512,25,74,58,37,49,34,8,12,0,294,14,110,68,43,42,37,5,11,5,337,21,17,23,14,31,38,11,85,5,243,27,119,91,51,95,109,18,39,11,567,0,4,3,5,0,6,0,13,12,47,266,645,527,379,581,683,205,475,54,3819
UCL514004,5,13,15,13,42,58,28,93,0,277,9,29,32,37,83,77,39,47,0,344,17,32,15,22,79,108,41,89,4,397,14,49,55,45,58,65,20,32,0,344,17,49,55,32,99,61,10,20,0,344,9,79,49,27,47,31,7,14,3,269,20,15,13,9,22,49,31,84,3,248,21,83,61,20,54,52,16,65,9,385,3,11,0,3,7,0,4,3,13,47,115,355,299,213,494,511,186,449,34,2652
UCL515001,6,14,7,9,10,8,6,12,0,70,5,11,9,6,0,4,0,3,0,39,6,8,15,6,13,12,3,14,0,76,3,10,13,4,3,7,4,0,0,44,7,6,6,5,6,3,0,4,0,36,6,17,13,0,6,0,0,3,0,45,0,4,0,0,3,3,0,13,0,23,3,25,16,9,9,0,3,6,0,65,0,4,0,0,0,3,0,0,3,7,30,94,75,43,39,52,10,58,5,402
UCL515002,3,3,0,0,4,17,6,14,0,57,6,8,16,8,14,15,8,12,0,96,9,7,4,4,23,19,3,49,3,121,3,23,8,12,10,11,0,0,0,75,7,16,5,4,23,18,3,5,0,80,3,11,7,6,4,0,0,3,0,41,6,6,6,0,7,9,13,26,5,71,7,18,3,5,13,8,6,15,0,72,0,0,0,0,5,0,0,0,0,10,42,85,62,50,109,107,40,131,12,627
UCL515003,9,5,14,4,18,26,5,16,6,96,10,24,27,15,21,21,10,23,0,148,11,13,11,15,21,27,15,42,5,158,9,31,30,23,14,11,3,10,0,122,3,24,19,9,16,7,3,0,0,88,3,23,16,14,10,8,8,5,0,83,7,5,13,0,6,11,3,45,0,93,5,39,13,10,17,9,3,9,4,112,0,0,0,0,0,0,0,3,3,20,56,170,144,90,128,121,46,161,17,921
UCL515004,3,3,6,0,17,32,11,19,0,93,0,10,11,5,24,39,15,31,0,136,8,13,16,12,47,49,23,53,0,230,7,14,27,13,32,15,5,5,3,125,3,15,22,7,33,29,7,11,4,132,5,14,15,9,12,12,0,4,0,69,9,9,3,3,23,23,10,66,0,145,6,25,18,15,23,21,10,11,0,119,0,0,0,0,0,9,0,4,0,16,52,106,112,59,217,217,84,206,16,1065
UCL515005,3,12,0,0,17,26,10,15,0,86,9,15,17,12,22,31,6,15,0,124,11,8,9,12,22,56,23,52,4,201,10,30,35,24,14,18,4,9,0,142,4,11,15,12,27,16,5,8,0,91,4,33,23,9,17,8,0,0,5,94,11,5,10,5,26,23,11,56,0,141,11,31,26,15,20,24,5,27,4,170,0,0,0,0,0,5,0,0,8,15,56,156,129,88,171,204,63,181,23,1066
UCL515006,11,11,9,4,28,59,17,68,7,208,14,13,10,14,80,54,19,29,0,239,7,19,10,3,41,63,18,54,5,225,15,16,31,25,45,41,12,16,3,210,17,25,21,22,74,37,11,11,3,209,5,35,30,12,32,17,10,5,6,159,14,13,10,5,12,25,13,51,3,146,12,39,34,25,43,26,7,25,4,206,0,0,3,5,4,4,0,12,17,37,91,175,156,114,360,321,100,272,58,1649
UCL515007,10,13,13,10,21,26,10,22,4,119,15,32,37,25,25,33,13,20,7,213,18,6,13,15,32,42,16,53,3,190,5,41,24,16,3,7,5,7,0,114,3,26,39,11,15,14,5,9,0,121,3,37,16,4,10,7,0,6,0,80,13,3,6,0,17,7,3,31,0,75,9,25,20,12,18,21,4,11,6,115,0,4,0,0,0,0,0,0,0,12,67,185,167,88,135,162,59,157,16,1037
UCL515008,8,6,0,3,13,6,9,33,0,82,14,8,14,12,8,21,10,34,0,117,17,6,12,5,18,39,21,69,4,191,7,12,7,4,5,5,0,4,0,48,4,10,11,0,13,25,14,13,0,89,0,6,5,3,5,0,0,5,0,20,11,5,3,4,3,17,6,25,0,70,5,14,3,0,7,11,5,20,0,66,3,0,0,0,0,3,0,4,0,9,61,63,49,31,69,130,64,204,7,692
UCL515009,9,8,7,10,17,25,9,31,0,125,9,42,36,38,23,45,15,28,4,249,8,18,24,13,25,33,13,36,0,175,5,38,34,17,10,15,0,13,0,134,7,21,21,16,10,21,3,4,0,102,4,27,14,5,9,6,5,6,3,84,8,6,3,0,11,8,3,23,3,64,7,49,29,13,16,10,4,5,5,144,0,0,0,0,0,3,0,0,5,13,63,229,176,120,125,165,46,141,19,1094
UCL515010,3,10,3,0,28,26,15,25,0,114,13,13,16,12,63,60,23,41,4,239,9,3,11,3,28,26,7,19,4,97,16,13,13,15,52,70,15,39,3,239,10,8,10,9,38,28,10,16,3,128,0,12,9,0,10,7,7,8,0,49,0,4,5,7,4,7,7,26,0,58,6,16,8,7,20,18,5,19,4,89,3,0,0,0,3,0,0,3,9,18,57,75,63,50,242,239,82,188,22,1028
UCL515011,3,13,8,10,14,20,6,43,0,127,15,17,16,15,19,17,7,14,0,125,13,14,5,14,27,44,21,51,6,187,10,29,19,22,18,17,3,10,0,124,5,22,18,17,18,17,8,13,0,118,0,24,15,6,14,9,0,7,6,79,14,7,7,4,15,17,18,66,4,153,4,46,25,23,34,30,7,16,4,192,4,0,0,0,0,6,0,0,7,17,62,168,116,107,169,183,85,211,24,1128
UCL515012,3,4,4,7,13,24,12,37,0,109,12,15,19,24,52,49,18,23,0,205,15,15,10,10,22,54,23,67,0,208,15,36,37,19,22,46,15,17,0,200,4,22,21,16,32,22,9,8,0,140,0,30,17,4,9,18,9,6,0,91,7,7,6,6,11,8,10,50,4,107,4,21,10,4,11,12,0,14,0,80,0,3,0,0,10,3,0,4,0,19,63,144,125,83,170,246,91,229,5,1160
UCL515013,11,7,16,6,20,55,24,53,3,199,25,23,28,18,28,57,13,49,0,242,14,19,19,10,55,102,21,57,4,300,14,25,30,39,40,40,13,21,4,222,7,35,27,12,43,31,13,16,0,186,4,40,13,10,20,20,3,7,6,121,7,3,0,0,9,10,4,24,0,71,12,38,27,29,29,37,6,30,6,220,4,0,3,0,4,5,0,9,13,39,94,185,155,129,251,358,101,275,43,1596
UCL515014,4,0,0,0,15,15,5,13,0,57,5,3,8,7,25,31,9,12,4,103,0,6,4,4,8,7,3,10,0,33,3,5,15,8,25,14,8,11,0,91,3,3,6,0,16,5,6,3,0,39,0,3,5,0,10,3,0,0,0,20,0,9,0,0,0,0,0,4,0,11,4,0,4,6,0,4,3,3,0,29,0,0,0,0,4,0,0,0,0,5,18,34,29,17,101,80,36,61,12,393
UCL515015,5,8,4,5,11,24,7,27,0,89,0,15,8,8,14,22,3,12,0,86,5,19,8,4,46,40,22,51,0,211,0,22,22,15,13,10,4,7,0,97,3,28,4,4,23,14,0,5,0,88,0,22,21,0,4,16,0,4,0,63,9,8,3,0,34,27,19,41,0,133,6,64,34,12,105,78,35,36,5,383,0,5,5,6,6,3,4,4,5,37,37,190,110,60,250,237,92,193,26,1199
UCL515016,6,4,3,10,8,25,11,18,0,87,6,15,9,9,15,31,3,13,6,108,12,10,13,4,18,15,21,38,3,124,0,19,21,11,8,6,0,0,4,73,7,16,18,10,11,19,0,6,0,78,4,15,13,8,3,5,3,0,0,45,12,7,9,0,0,5,0,38,4,71,11,28,24,4,13,6,0,17,0,100,0,4,0,0,0,0,0,0,4,8,53,112,102,49,79,113,43,133,19,695
UCL515017,7,14,9,10,7,17,7,18,0,79,8,9,3,10,5,9,0,11,0,60,3,9,6,11,7,12,0,22,0,76,3,8,14,6,8,7,0,4,3,55,0,8,6,3,10,3,0,0,0,41,6,13,8,3,3,8,0,3,0,48,4,4,0,0,0,7,8,19,0,45,8,23,21,15,14,16,0,10,8,111,0,0,0,3,0,0,0,0,9,14,45,83,69,62,61,80,23,95,19,529
UCL515018,4,0,0,0,9,9,5,17,0,35,3,9,3,0,12,12,4,24,0,66,13,3,10,5,9,18,24,88,0,166,4,5,7,6,15,10,0,4,0,59,0,17,4,5,6,14,9,9,0,66,0,12,6,3,9,3,0,3,0,44,21,14,8,4,4,13,24,94,10,208,4,13,14,4,6,9,3,11,0,63,0,0,0,0,0,0,0,4,8,17,49,66,54,37,74,91,66,248,32,719
UCL515019,5,11,5,9,18,33,11,37,0,127,14,20,15,20,36,38,14,25,0,174,7,6,13,15,35,98,19,40,3,240,9,40,33,27,26,21,0,11,0,166,10,30,18,19,34,31,7,7,3,159,3,27,18,9,24,20,9,17,3,132,8,10,8,0,23,23,7,26,5,102,23,85,45,26,131,69,24,24,10,424,5,6,4,3,5,7,0,0,7,33,73,219,161,129,334,335,92,189,38,1563
UCL515020,13,5,9,7,52,65,25,93,3,269,19,31,16,39,134,98,33,70,4,444,7,13,7,14,48,70,27,66,4,264,22,29,29,19,66,85,17,48,5,319,17,19,26,17,74,64,18,28,5,266,0,28,16,13,19,22,5,4,4,115,4,3,6,6,17,15,11,51,0,123,3,35,13,14,43,43,17,39,8,219,4,4,0,0,13,9,0,3,20,57,97,162,117,134,471,464,157,404,51,2064
UCL515021,8,4,8,3,11,22,8,29,0,92,6,25,21,20,39,23,10,20,5,160,14,5,11,18,28,44,18,21,0,157,7,27,15,14,8,13,4,7,0,103,4,13,15,9,21,15,0,3,3,89,3,24,10,4,6,6,3,3,0,60,3,3,0,3,0,11,4,19,0,54,10,34,14,0,5,6,6,0,0,83,0,0,0,0,0,4,0,0,3,8,58,144,99,73,120,145,54,100,14,801
UCL515022,7,15,9,9,31,41,24,60,6,196,16,15,11,16,33,43,13,38,5,196,16,17,15,16,59,70,31,62,4,286,8,52,44,31,31,29,8,17,6,226,13,20,32,23,36,35,6,7,4,178,3,51,31,17,30,25,0,7,4,178,13,3,15,10,29,36,12,63,3,193,15,51,46,34,73,72,28,38,6,364,0,8,4,6,4,4,0,3,4,30,100,235,206,164,331,353,130,290,41,1847
UCL515023,3,9,10,3,9,25,15,42,7,124,5,18,3,10,32,29,12,18,0,128,15,13,9,8,31,48,23,41,3,186,11,35,20,12,15,23,7,10,0,130,3,21,19,6,37,29,3,0,0,119,5,26,9,7,14,9,9,7,0,93,4,17,8,9,16,27,9,50,4,139,3,27,12,14,15,20,0,13,3,113,5,0,0,0,3,5,0,7,3,26,55,165,90,75,179,205,75,192,28,1057
UCL515024,0,0,5,6,5,17,15,28,0,69,0,7,5,4,18,23,13,4,0,77,4,11,4,3,20,21,12,24,0,110,0,18,11,10,11,15,6,7,0,75,3,13,12,12,21,13,4,7,0,84,0,8,6,7,7,8,3,10,0,50,10,3,7,0,5,16,7,32,0,82,3,25,4,5,8,27,4,15,3,98,4,0,0,0,0,0,0,0,3,8,37,86,53,49,85,140,61,131,6,648
UCL515025,0,7,0,0,11,19,9,13,0,63,5,8,13,3,14,14,8,8,0,78,4,5,8,5,12,29,13,10,0,94,3,20,11,10,19,12,6,5,3,83,4,14,20,3,15,8,0,0,0,71,3,6,11,0,15,13,5,0,0,62,8,0,9,6,11,10,6,26,0,69,5,36,20,12,24,37,6,4,7,151,0,4,0,0,0,0,0,5,9,24,42,112,96,44,122,132,48,82,23,700
UCL515026,6,0,4,11,13,13,7,34,0,96,8,8,13,12,22,24,10,12,3,111,13,12,18,16,40,63,18,70,0,253,10,28,24,20,18,14,4,12,0,130,9,20,25,13,41,27,8,8,0,154,4,19,9,0,12,5,0,4,0,65,13,6,7,0,22,30,13,50,0,142,8,31,21,15,13,24,8,27,0,148,3,5,3,0,0,4,3,5,10,26,78,131,125,87,190,207,70,227,13,1126
UCL515027,10,16,8,10,27,41,15,50,0,176,8,18,27,27,43,71,20,56,0,266,10,22,15,19,46,82,25,46,4,267,4,32,44,37,30,39,11,10,4,212,10,25,25,11,42,34,3,11,0,154,11,25,15,5,18,27,13,8,0,130,10,8,11,4,12,35,3,46,0,130,14,42,43,29,34,45,14,20,8,238,0,4,0,0,0,3,0,7,10,23,67,194,185,145,254,367,106,252,38,1603
UCL515028,12,3,3,3,30,28,12,88,7,175,22,17,19,4,36,54,23,55,8,229,37,17,25,10,54,94,91,284,9,613,18,31,24,24,36,25,12,32,0,190,9,12,15,5,52,44,25,34,0,194,5,28,18,12,20,13,6,20,0,123,58,21,27,7,32,40,59,284,6,524,14,28,11,14,21,20,20,68,5,202,7,5,0,4,3,3,5,24,6,59,175,156,142,84,283,316,245,879,37,2314
UCL515029,0,4,0,0,0,4,0,19,0,29,4,0,4,3,0,12,3,8,0,35,12,4,0,0,5,11,14,90,4,145,10,0,5,4,13,0,0,8,0,34,4,10,0,0,4,9,3,6,0,44,0,0,7,5,0,0,4,0,3,24,42,14,4,3,5,12,8,166,10,259,4,3,3,0,3,13,4,20,0,57,0,4,0,0,4,5,3,3,3,20,75,49,25,22,41,64,44,326,20,662
UCL515030,0,10,7,12,20,23,5,25,0,101,14,26,22,13,27,32,17,14,7,167,12,15,24,20,57,49,21,89,4,293,10,51,40,18,34,22,7,11,0,191,6,26,24,16,26,22,5,9,0,126,9,57,27,12,14,11,6,0,5,137,15,18,18,6,57,12,22,67,9,219,11,44,26,22,28,20,9,31,5,194,0,0,0,0,0,0,0,7,6,20,78,249,184,117,265,186,91,254,31,1445
UCL515031,0,8,10,7,16,31,4,41,0,136,5,18,12,11,23,26,12,18,0,127,8,18,14,13,45,39,11,51,3,202,7,25,28,16,12,14,4,0,4,115,0,22,9,11,23,22,4,11,0,102,5,32,11,7,16,12,0,5,3,92,12,15,5,4,8,9,10,54,4,113,11,53,29,12,12,11,4,22,4,163,0,3,0,3,0,0,0,3,11,33,58,191,117,87,151,174,54,209,36,1077
UCL515032,4,5,6,4,13,21,9,30,0,80,3,9,8,10,17,17,3,11,0,86,13,10,18,12,32,37,17,50,0,185,3,17,16,8,12,16,0,7,0,74,7,17,25,0,18,12,5,10,0,107,0,16,15,6,9,5,0,3,0,54,10,8,4,7,11,9,9,30,0,92,3,7,5,5,10,14,0,7,3,60,8,4,0,0,0,7,3,7,3,35,56,93,100,60,116,143,49,148,21,775
UCL515033,0,5,0,5,3,23,13,52,0,113,9,11,7,6,20,39,25,44,0,172,37,14,16,6,17,58,35,166,10,351,15,27,25,11,17,4,3,14,4,123,9,17,26,12,15,37,7,12,4,137,0,23,11,8,8,9,3,6,0,62,52,22,9,6,17,17,21,207,6,360,7,24,10,9,4,24,6,26,0,107,3,0,0,0,0,3,4,14,14,34,132,144,104,62,110,224,113,546,38,1466
UCL515034,7,4,9,6,19,24,7,30,0,110,5,13,17,15,25,34,4,17,0,133,17,21,14,13,43,48,7,79,3,243,3,51,37,16,15,7,0,8,3,151,6,20,20,3,27,18,7,8,0,106,3,17,21,11,5,9,10,3,0,80,15,11,7,3,17,17,10,61,0,148,4,26,22,12,20,33,6,29,4,159,0,0,0,0,0,0,0,7,3,17,57,158,146,81,186,188,53,244,23,1137
UCL515035,7,0,4,4,8,10,4,16,5,59,3,7,7,3,9,11,0,11,0,48,5,14,8,0,9,20,3,25,0,87,5,12,16,7,6,7,0,9,0,61,4,12,3,7,9,6,0,0,0,48,3,15,0,3,9,3,4,0,0,39,3,0,0,0,9,16,5,25,0,65,7,26,11,9,15,9,8,11,8,97,0,0,0,0,0,0,0,0,4,14,42,85,61,42,65,87,32,94,11,521
UCL515036,6,0,3,7,3,6,3,12,3,47,4,8,6,8,12,13,3,12,0,67,14,19,17,14,41,31,20,67,5,230,11,16,23,11,10,9,0,7,0,90,8,20,9,9,15,7,5,5,0,81,3,19,11,4,9,8,0,3,0,52,17,6,3,3,35,11,22,62,8,170,3,33,27,13,9,22,5,15,3,137,0,4,0,0,5,0,0,0,5,20,63,136,108,68,148,107,60,181,22,894
UCL515037,4,0,7,4,6,12,13,26,0,69,8,8,3,6,15,13,9,15,3,84,27,16,13,9,20,58,43,139,7,326,6,17,7,10,21,9,5,3,5,76,6,8,5,12,16,15,10,9,0,93,7,16,4,5,3,4,0,5,0,41,12,8,10,0,8,28,44,70,8,179,6,18,8,6,6,15,0,30,3,96,0,0,0,0,0,5,6,9,0,24,70,92,51,58,95,160,133,310,18,981
UCL515038,4,4,10,9,15,15,10,43,0,97,6,9,15,15,21,22,7,26,0,115,8,10,15,12,24,29,14,33,5,148,4,27,21,17,17,20,9,10,0,119,10,17,19,8,24,13,3,11,3,95,4,16,15,14,11,3,0,4,0,68,10,7,8,5,7,14,5,34,3,91,4,32,18,11,12,19,3,23,5,123,0,0,4,3,0,0,0,0,5,15,52,126,107,84,120,134,50,175,30,875
UCL521001,0,0,0,0,3,3,0,0,0,12,0,5,5,3,5,4,5,13,0,29,8,3,0,10,13,12,6,17,0,75,0,8,10,0,6,0,0,3,0,21,4,8,3,6,5,0,0,0,0,27,0,7,4,0,4,0,0,0,0,19,3,0,0,0,4,25,3,13,0,48,0,15,0,4,5,4,0,4,0,35,0,0,0,0,0,3,0,0,0,6,24,38,23,18,46,51,20,49,0,264
UCL521002,0,5,0,0,10,4,0,14,0,31,6,10,5,7,0,9,0,7,0,46,0,5,3,0,14,13,3,19,0,67,0,13,6,10,7,7,0,0,0,49,3,8,9,0,9,3,0,6,0,31,0,4,0,0,7,0,0,0,0,21,0,0,0,0,9,3,0,15,3,34,4,13,0,0,3,4,3,5,0,25,0,0,0,0,3,0,0,0,3,11,19,56,30,25,58,50,11,62,6,322
UCL521003,5,6,7,3,3,4,0,14,0,34,8,3,5,0,8,4,0,4,0,28,4,3,0,3,5,14,3,6,0,40,0,3,8,9,8,3,0,10,0,32,5,0,10,0,6,3,0,0,0,25,0,4,3,0,0,4,0,3,0,22,0,3,3,0,0,9,5,8,0,34,4,7,4,5,4,4,0,7,0,31,0,0,0,0,0,0,0,0,0,5,17,33,38,20,31,46,16,47,0,257
