UCL_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
UCL513005,5,0,30,17,0,19,11,40,0,122,3,11,72,12,10,19,20,40,4,195,45,28,200,37,22,26,106,74,20,555,67,63,188,38,27,17,110,70,15,592,82,74,153,40,17,22,95,46,18,558,48,48,105,27,15,15,81,38,4,379,9,12,20,4,12,8,7,7,6,76,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,256,226,761,172,101,130,439,321,65,2476,0,4,3,28,10,56,7,24,3,137,9,14,6,46,31,26,4,19,4,156,46,81,48,112,98,43,14,40,5,493,45,117,40,137,144,37,11,43,11,576,47,93,28,117,116,39,15,60,3,516,30,49,16,61,79,49,9,31,3,341,11,8,6,12,21,5,0,8,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,365,148,513,497,250,62,227,33,2288
UCL514001,0,0,28,5,0,11,5,38,0,78,4,3,57,5,0,9,16,35,4,134,9,8,135,8,5,0,57,45,7,277,16,20,95,8,11,12,75,42,12,283,16,20,114,5,0,3,83,33,5,280,11,11,73,6,8,8,96,36,10,256,9,6,10,5,5,0,20,10,0,58,0,0,3,0,0,0,3,0,5,12,0,0,0,0,0,0,0,0,0,5,68,68,507,37,30,44,348,236,45,1385,0,0,9,22,5,28,4,14,3,91,6,4,10,19,19,15,6,15,0,102,13,36,23,51,33,27,20,35,0,240,17,42,13,66,48,30,17,27,3,265,26,35,17,67,52,29,17,47,5,298,14,22,15,50,27,29,10,39,0,212,0,12,0,8,9,3,0,14,0,51,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,77,151,86,282,193,165,83,197,17,1255
UCL514002,0,0,27,18,0,39,0,37,0,124,3,5,33,13,0,3,4,15,0,77,30,30,114,17,7,3,17,41,4,278,72,80,191,18,6,14,24,36,7,453,82,83,132,14,6,22,38,38,3,414,62,50,70,11,5,20,24,36,9,280,20,19,18,0,13,12,15,10,3,114,8,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,273,266,594,99,37,111,122,220,33,1765,0,0,11,41,0,29,0,12,4,99,0,0,3,21,5,16,0,8,5,68,35,80,30,63,31,14,9,20,3,291,81,144,31,65,88,49,3,31,11,495,57,103,26,62,82,48,4,41,3,431,25,60,17,34,57,42,0,24,4,260,14,14,5,10,16,16,0,5,0,74,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,221,404,121,302,291,209,18,148,24,1733
UCL514003,0,0,25,18,0,26,7,36,0,118,8,0,29,7,0,11,9,43,0,106,50,39,148,32,8,14,29,89,8,411,73,71,153,28,13,8,61,84,6,496,78,82,116,17,10,24,63,64,4,456,41,32,65,12,10,12,38,37,3,252,19,24,15,4,3,6,11,10,0,94,3,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,262,254,559,125,46,104,215,356,29,1948,6,3,8,36,0,44,0,18,0,111,3,7,4,34,4,17,0,13,0,84,39,63,35,86,37,32,7,48,0,358,80,145,47,106,68,44,13,51,8,565,59,101,26,82,68,51,5,39,0,425,30,50,14,36,52,31,6,30,4,261,5,19,3,5,15,10,0,7,0,62,0,5,0,4,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,217,393,140,386,246,232,30,211,15,1873
UCL514004,0,0,20,3,0,28,4,33,5,87,5,9,48,0,3,9,9,34,0,115,23,21,82,10,10,11,33,56,3,249,31,42,58,24,17,11,24,29,7,233,40,14,58,17,11,10,55,37,6,252,36,35,64,23,17,10,65,39,5,296,22,5,16,3,0,4,32,13,0,97,3,0,0,4,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,157,130,336,85,58,82,220,244,25,1339,0,0,10,11,11,46,0,13,3,93,6,12,9,28,29,19,0,17,4,117,14,53,14,35,39,23,10,14,4,204,26,50,17,58,46,28,3,31,6,253,35,49,6,62,68,28,9,32,0,297,31,48,17,45,73,32,3,25,0,271,5,8,3,22,15,13,0,8,5,74,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,119,218,63,258,286,185,22,144,21,1316
UCL515001,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,3,0,9,3,0,12,0,0,4,3,12,0,33,4,0,10,0,0,0,8,0,0,23,3,5,14,3,0,0,5,6,0,36,15,0,10,4,0,0,6,6,0,54,8,4,8,0,0,0,4,9,0,26,3,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,38,10,51,7,0,13,21,44,3,198,0,0,0,4,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,0,3,3,0,0,0,3,0,21,3,6,0,7,8,6,0,7,0,37,10,6,7,6,11,3,0,4,0,53,3,9,4,9,12,11,0,9,0,54,7,7,0,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,24,18,35,36,28,0,24,3,209
UCL515002,0,0,3,0,0,0,4,5,0,20,0,4,5,0,0,0,3,3,0,20,8,0,25,0,0,4,4,7,0,52,8,3,23,0,4,0,14,11,3,66,12,3,27,4,7,4,16,3,0,77,6,10,22,8,5,0,18,7,0,74,3,9,6,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,108,10,16,12,59,51,3,324,0,0,0,11,3,0,0,3,0,27,0,5,0,9,7,3,0,0,0,25,4,6,4,0,19,3,4,7,0,47,3,24,4,11,13,8,0,3,0,59,5,17,4,18,19,8,0,4,0,71,4,16,0,10,11,7,0,7,0,52,0,0,0,3,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,62,12,63,66,30,8,24,3,299
UCL515003,0,0,3,3,0,0,0,7,0,18,0,0,7,0,0,4,5,4,0,32,7,8,22,0,0,4,16,12,4,64,5,15,26,0,5,5,13,7,3,81,13,17,27,0,0,4,17,8,4,97,12,12,25,3,3,4,25,13,0,98,10,7,14,0,4,4,9,3,0,44,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,56,49,122,12,14,21,82,62,15,440,0,0,0,10,0,13,0,3,0,31,0,7,0,3,3,5,0,8,0,25,7,17,9,17,4,5,0,6,0,68,6,19,6,17,11,9,0,8,0,79,8,32,4,28,13,14,0,12,0,115,12,19,3,25,18,15,3,13,0,123,6,7,0,8,7,0,0,7,0,40,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,41,98,31,111,71,57,8,55,4,484
UCL515004,3,0,4,0,0,9,3,14,0,39,5,30,32,7,5,3,5,4,0,91,14,25,73,4,13,3,33,16,5,184,8,0,26,3,7,0,33,15,0,106,14,5,27,0,6,6,25,7,4,89,4,0,14,4,3,5,11,0,0,44,3,0,0,3,0,0,8,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,68,182,20,26,21,127,66,8,570,0,0,3,8,5,4,0,3,0,20,5,15,3,14,4,7,4,6,0,58,14,20,15,27,39,13,6,9,0,139,10,15,19,16,26,4,4,13,0,109,11,7,3,19,26,8,3,11,0,95,8,6,10,11,14,8,0,6,0,60,0,4,0,3,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,63,51,100,109,48,22,55,3,493
UCL515005,0,0,7,5,0,8,0,14,0,35,0,0,22,3,0,0,7,13,0,45,9,10,36,0,5,3,14,16,3,98,7,11,36,6,4,6,25,13,5,113,8,6,34,10,5,6,40,22,6,135,3,4,21,3,8,5,33,18,6,94,0,0,9,0,0,0,5,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,36,163,31,19,19,117,105,12,541,4,0,4,5,0,22,0,8,0,44,0,0,9,8,4,3,0,0,0,30,5,12,0,19,14,11,0,13,0,88,10,27,10,21,15,12,4,17,0,121,19,27,12,23,21,12,7,18,0,137,3,12,9,27,9,8,6,7,0,82,0,5,0,5,5,5,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,91,37,118,73,67,23,63,3,524
