UCL_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL513005,23,64,104,100,85,62,59,39,6,537,12,65,171,139,98,82,42,19,0,625,7,47,175,146,125,103,37,8,0,647,0,29,136,151,111,100,26,8,4,570,0,18,118,117,124,68,15,0,0,459,0,5,71,104,89,66,5,0,0,348,0,14,128,186,230,96,12,5,0,680,0,0,29,48,57,19,5,3,0,156,0,0,27,53,41,30,8,0,0,159,46,47,124,112,96,79,45,74,70,689,677,505,1488,1553,1409,1115,850,503,151,8253
UCL514001,17,38,57,64,54,71,85,34,7,425,4,38,70,56,55,54,49,20,0,348,13,32,58,70,50,75,48,10,0,360,4,27,51,52,65,54,18,5,0,269,0,18,51,46,42,52,13,0,0,227,0,21,48,43,47,34,13,0,0,205,0,12,83,100,133,83,11,0,0,426,0,5,15,21,29,11,4,0,0,84,0,0,12,18,10,16,0,4,0,62,57,28,68,71,71,65,84,70,54,566,419,350,809,790,868,988,992,502,162,5884
UCL514002,12,37,56,108,73,53,76,43,14,475,4,39,89,116,90,69,79,31,0,520,6,15,109,124,102,91,67,23,4,541,0,6,68,86,74,71,45,22,3,377,0,4,55,80,92,71,28,20,5,357,0,7,39,75,77,26,13,0,0,241,0,0,70,146,119,68,16,11,0,431,0,0,11,45,43,19,0,3,0,129,0,0,10,53,79,35,20,7,0,213,36,16,69,96,65,69,52,50,9,476,360,171,711,1151,986,813,877,459,101,5629
UCL514003,12,36,98,103,78,60,49,16,4,457,6,54,143,135,123,73,59,14,6,620,0,32,153,194,171,78,39,9,8,688,0,6,113,121,86,66,15,4,0,411,0,7,54,105,78,44,18,4,0,310,0,0,33,56,65,29,15,6,0,205,0,0,70,121,101,57,17,3,0,367,0,0,13,30,40,9,3,0,0,96,0,0,9,40,33,17,10,0,5,114,31,16,84,94,107,36,41,9,18,433,408,258,975,1309,1103,743,626,240,117,5783
UCL514004,16,37,41,45,51,48,46,39,14,341,8,49,69,54,77,70,33,6,3,368,10,45,84,94,83,95,49,5,0,463,4,29,74,53,68,56,20,4,0,307,3,21,48,37,54,49,18,5,0,239,0,8,33,50,37,47,13,0,0,190,0,7,46,78,86,84,24,0,0,324,0,5,7,11,16,21,3,0,0,60,0,5,8,12,13,14,9,0,0,58,46,48,87,90,110,102,80,61,51,684,429,366,731,728,809,926,799,425,182,5392
UCL515001,0,0,6,13,11,21,24,13,11,101,0,0,14,9,5,13,20,0,11,65,0,5,9,9,5,21,24,11,0,78,0,5,5,9,6,7,6,0,0,42,0,0,4,0,9,6,5,0,6,31,0,0,0,3,3,3,0,4,0,22,0,0,0,3,9,14,9,3,0,36,0,0,3,0,0,0,0,0,0,11,0,0,0,0,3,0,4,0,4,10,0,6,8,8,13,15,21,17,9,98,30,26,64,89,134,192,293,177,96,1102
UCL515002,0,0,7,9,14,5,19,6,0,62,3,9,9,11,17,14,10,6,0,78,0,4,18,16,9,15,10,0,0,74,3,4,16,9,15,13,4,0,0,69,0,3,14,19,20,19,3,0,0,71,0,0,5,7,11,12,0,0,0,41,0,0,16,28,30,24,7,0,0,112,0,0,0,6,11,6,0,0,0,30,0,0,0,0,11,9,0,0,0,20,6,0,13,15,11,8,6,3,0,68,74,53,129,162,179,196,191,54,10,1054
UCL515003,4,5,10,19,23,34,33,18,5,148,3,10,11,20,35,31,24,9,4,144,6,8,18,16,30,36,20,7,0,132,0,4,10,15,17,17,7,0,0,73,0,6,10,12,16,15,4,6,3,73,0,4,10,21,18,9,4,0,0,67,0,0,19,29,33,24,3,0,0,107,0,0,0,0,3,7,0,0,0,13,0,0,4,3,5,6,3,0,0,24,8,13,16,15,26,20,30,15,6,156,120,77,177,207,284,368,432,210,68,1947
UCL515004,12,24,27,8,17,7,7,9,0,120,5,16,35,27,15,17,4,0,0,121,0,17,51,27,35,18,8,3,0,168,0,14,51,31,28,8,3,0,0,148,0,23,40,26,17,15,0,0,0,127,0,15,32,14,13,10,10,0,0,86,0,8,39,39,21,11,3,0,0,118,0,5,12,9,4,0,0,0,0,32,0,0,4,0,5,0,0,0,0,17,9,21,31,24,24,21,3,4,0,145,138,189,423,273,245,172,150,61,19,1671
UCL515005,5,15,24,19,25,18,24,14,4,150,5,12,23,34,29,22,9,4,0,140,4,16,39,47,42,18,12,11,0,177,0,6,22,33,25,31,10,0,0,128,0,9,17,20,31,17,3,0,0,101,0,0,11,11,32,14,0,0,0,78,0,6,25,16,42,26,4,0,0,126,0,0,0,3,4,0,0,0,0,17,0,0,0,3,3,3,0,0,0,13,17,12,10,17,31,23,23,11,6,147,155,104,230,296,355,293,292,135,36,1905
UCL515006,8,15,35,31,33,42,23,4,5,193,6,21,51,34,39,52,19,9,4,249,3,20,53,38,61,55,33,7,4,264,3,16,45,29,43,38,14,3,0,187,0,10,46,29,32,39,9,0,0,170,0,6,21,30,36,24,10,0,0,134,0,4,35,59,55,38,11,0,0,200,0,0,8,8,12,14,0,0,0,41,0,0,9,11,18,18,0,0,0,57,57,69,133,99,108,85,65,55,14,683,205,245,547,482,579,598,433,208,67,3366
UCL515007,3,7,13,39,18,19,14,3,0,113,0,11,14,22,36,22,9,7,5,125,0,4,14,54,46,22,10,3,0,148,0,0,15,42,24,14,8,0,0,96,0,0,12,40,23,15,3,0,0,90,0,0,13,21,22,6,0,0,0,67,0,0,20,62,33,22,6,0,0,148,0,0,9,14,4,0,0,0,0,31,0,0,4,15,10,0,0,0,0,33,10,6,23,46,36,18,8,4,0,146,89,44,185,450,319,220,141,51,20,1512
UCL515008,0,0,6,9,11,4,0,0,0,38,5,3,10,8,5,13,5,0,0,44,5,7,21,5,11,10,6,0,0,61,0,7,12,3,16,6,0,0,0,54,0,3,10,17,10,9,0,0,0,54,0,5,6,16,11,5,9,0,0,57,0,3,17,44,41,28,0,0,0,132,0,3,13,31,28,15,0,0,0,87,0,0,14,41,45,17,5,0,0,115,12,0,29,24,26,14,3,6,0,113,64,41,163,235,223,156,35,13,0,928
UCL515009,0,6,30,29,35,40,36,19,10,191,3,8,15,32,29,28,31,27,7,189,0,4,29,36,44,35,26,8,0,185,0,3,11,24,31,18,10,3,3,107,0,0,19,23,18,9,12,5,0,86,0,0,11,21,15,18,7,5,0,74,0,0,12,34,30,17,10,0,0,102,0,0,3,4,7,7,0,0,0,24,0,0,0,7,11,6,3,4,0,35,21,14,29,29,44,30,39,28,12,243,230,64,201,329,366,397,480,285,102,2457
UCL515010,6,11,20,22,13,15,9,5,0,95,5,20,18,17,15,14,17,3,0,104,6,15,33,19,24,24,14,0,0,135,0,21,41,22,28,26,11,0,0,157,0,10,43,31,38,34,12,0,0,169,0,6,24,23,21,26,11,0,0,105,0,3,33,39,33,36,13,0,0,163,0,0,5,10,10,6,0,0,0,24,0,0,4,9,6,7,6,0,0,32,42,59,129,98,105,100,69,23,8,627,156,202,475,369,392,400,264,87,24,2362
UCL515011,13,18,35,23,30,26,26,19,0,189,6,6,30,36,39,27,20,9,0,176,0,16,16,42,23,46,14,4,0,158,0,9,13,18,31,30,10,0,0,112,0,4,18,28,20,19,11,5,0,105,0,3,6,25,26,17,6,0,0,79,0,3,24,37,41,24,12,0,0,151,0,0,6,8,4,12,0,4,0,31,0,3,0,6,10,8,3,0,0,30,13,3,19,24,15,19,31,16,5,148,159,104,256,332,326,368,384,249,88,2273
UCL515012,5,14,27,21,18,15,15,4,0,116,5,12,22,17,21,11,4,4,0,102,3,8,38,27,31,27,9,0,0,144,0,10,33,26,25,9,10,0,0,113,0,8,42,20,27,16,8,0,0,120,0,0,31,38,27,16,0,0,0,119,5,6,45,52,67,29,3,0,0,205,0,0,4,16,16,11,0,0,0,38,0,0,11,6,14,8,0,0,0,38,9,6,32,21,17,15,9,5,0,116,167,95,367,305,309,196,151,50,14,1644
UCL515013,14,29,64,24,21,14,16,4,0,182,8,34,77,51,35,18,6,9,0,240,3,18,72,42,42,27,16,6,0,239,0,8,44,42,43,26,12,0,0,179,0,10,33,40,37,25,3,0,0,151,0,0,30,41,32,22,0,0,0,130,0,3,39,51,53,42,11,0,0,196,0,0,5,13,19,6,4,0,0,44,0,0,3,26,11,9,5,0,0,51,18,25,43,46,38,25,33,15,3,240,135,164,500,453,384,329,219,96,17,2291
UCL515014,0,4,9,3,5,4,3,0,0,27,0,6,11,9,5,12,5,3,0,38,0,10,29,14,17,8,9,0,0,77,0,5,26,11,10,9,0,0,0,54,0,0,19,9,7,6,4,0,0,52,0,4,5,8,3,8,0,0,0,35,0,0,14,5,14,11,3,0,0,58,0,0,4,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,15,16,32,15,10,16,3,0,0,102,50,83,208,148,138,133,53,13,3,828
UCL515015,5,12,24,23,21,24,15,10,5,153,6,24,50,42,33,20,13,8,4,205,0,21,77,37,41,29,18,3,0,234,0,10,46,35,32,24,8,0,0,153,0,12,29,22,32,23,10,5,0,133,0,0,7,14,25,13,7,0,0,72,0,6,17,16,30,23,9,0,0,105,0,0,4,5,5,3,0,0,0,26,0,0,0,6,5,0,4,4,0,17,14,11,20,15,28,28,28,48,40,228,131,116,381,315,354,319,311,264,124,2320
UCL515016,0,5,14,13,18,19,23,5,0,103,3,8,23,7,11,14,10,5,0,84,0,6,22,7,15,7,15,3,0,78,0,0,14,15,18,12,7,3,0,59,0,0,16,9,14,10,4,0,0,61,0,0,10,9,4,15,10,0,0,46,0,0,18,20,29,31,6,0,0,113,0,0,3,4,11,11,3,0,0,29,0,0,0,10,6,7,0,0,0,26,0,8,16,16,25,26,36,16,8,152,48,43,163,172,189,274,300,133,36,1364
UCL515017,0,7,8,7,12,21,14,6,4,74,5,6,10,10,23,18,11,8,0,79,0,6,5,9,11,32,8,7,0,84,0,0,3,10,12,11,3,0,0,44,0,0,14,0,15,8,7,0,0,49,0,0,6,10,6,12,4,0,0,33,0,0,4,6,18,16,3,0,0,52,0,0,4,5,6,5,0,0,0,14,0,0,0,4,0,3,3,0,0,13,14,8,24,25,31,38,40,18,4,194,46,42,112,122,172,248,222,101,27,1106
UCL515018,0,4,10,6,8,11,3,0,0,46,4,7,12,10,12,7,0,0,0,53,0,10,12,13,18,9,12,0,0,76,0,8,12,9,7,10,0,0,0,54,4,10,13,4,11,12,0,0,0,60,0,5,6,15,16,6,0,0,0,52,0,7,37,45,51,40,7,0,0,179,0,0,15,17,15,11,0,0,0,55,0,0,10,15,18,15,5,0,0,62,20,21,44,51,44,29,19,4,0,240,105,106,213,242,244,230,118,33,11,1290
UCL515019,14,31,55,35,50,43,24,17,11,275,8,34,61,56,63,58,19,9,5,317,3,36,44,37,37,58,21,5,0,241,0,10,40,28,28,31,10,9,0,155,0,6,29,25,22,22,3,0,0,114,0,10,27,25,17,21,4,0,0,105,0,5,23,27,26,29,5,0,0,113,0,0,0,5,6,10,0,0,0,18,0,5,4,3,7,10,3,4,0,35,40,18,58,56,52,37,33,25,20,343,240,227,481,429,423,455,378,214,89,2929
UCL515020,8,18,30,23,25,17,10,4,0,134,6,43,77,40,33,24,13,5,0,231,6,47,105,75,44,66,14,5,0,353,3,31,99,60,61,49,13,7,0,319,6,14,82,64,53,36,10,0,0,256,0,3,70,47,40,40,5,0,0,203,0,3,87,78,69,44,19,0,0,301,0,0,6,14,23,9,4,0,0,52,0,0,10,19,16,16,0,0,0,68,58,57,181,120,120,80,51,17,11,703,224,289,903,643,593,490,222,68,16,3452
UCL515021,5,10,9,7,17,18,12,13,0,88,0,12,19,17,24,18,20,10,0,126,7,3,13,19,29,19,25,5,0,121,0,0,13,14,19,19,8,4,0,85,0,0,12,18,20,27,5,3,0,93,0,0,8,10,17,20,5,0,0,68,0,0,9,25,26,23,8,4,0,93,0,0,0,3,7,7,0,0,0,16,0,0,0,5,3,4,0,0,0,11,3,4,7,9,13,15,12,3,5,78,114,59,122,174,221,269,257,136,36,1383
UCL515022,14,28,43,34,40,40,49,23,5,283,11,46,66,62,57,59,27,20,5,349,7,38,60,48,56,67,31,8,0,308,0,21,48,32,36,50,9,4,0,191,0,8,37,31,37,51,10,0,0,177,0,6,25,28,23,24,10,5,0,114,5,6,30,37,43,26,6,0,0,146,0,0,3,6,5,3,0,0,0,15,0,0,4,6,9,5,4,0,0,25,27,16,23,31,51,21,33,28,13,238,259,233,493,442,489,559,477,301,112,3366
UCL515023,8,26,22,20,19,15,17,5,0,135,3,20,30,21,32,30,9,6,0,149,0,25,31,25,31,34,11,3,0,169,0,14,23,29,23,19,9,0,0,126,0,6,29,18,22,19,8,3,0,104,0,4,21,11,18,14,4,0,0,78,0,5,30,15,26,31,9,0,0,112,0,3,4,8,8,3,0,0,0,25,0,5,4,7,8,5,3,0,0,24,24,14,48,41,30,39,30,21,3,247,144,144,319,273,291,322,274,122,61,1946
UCL515024,4,6,16,11,14,15,20,7,7,96,6,21,24,16,13,18,10,4,0,103,0,9,23,12,22,27,7,0,0,103,0,3,10,12,10,16,6,0,0,63,0,7,15,17,8,32,3,3,0,81,0,0,12,17,12,17,3,0,0,56,0,0,17,16,14,16,6,0,0,64,0,0,0,5,0,10,0,0,0,12,0,0,0,5,0,0,0,0,0,13,7,7,32,21,29,25,28,18,20,193,88,87,192,163,175,224,194,103,47,1269
UCL515025,7,8,17,17,19,21,9,11,0,111,3,9,17,22,24,23,17,3,3,122,0,9,28,26,26,31,7,0,3,120,0,11,12,13,12,7,3,0,0,61,0,3,11,4,17,9,0,0,0,50,0,0,3,11,13,7,3,0,0,35,0,0,9,14,18,12,3,0,0,53,0,0,3,0,5,3,0,0,0,10,0,0,6,3,7,7,0,0,0,15,22,11,14,25,32,33,31,29,34,224,138,74,177,183,230,271,242,140,82,1541
UCL515026,3,29,37,18,26,18,6,7,0,139,11,17,40,30,22,16,9,0,0,144,3,20,49,27,33,25,12,3,0,176,0,19,41,28,33,19,6,0,0,143,0,7,39,18,20,18,0,0,0,101,0,0,31,23,21,12,3,0,0,93,0,8,59,36,27,16,0,0,0,142,0,5,3,10,5,10,0,0,0,31,0,0,3,9,11,4,0,0,0,32,6,9,33,14,17,26,8,7,3,120,143,163,419,255,276,247,153,63,23,1739
UCL515027,16,29,49,37,33,37,32,15,4,250,6,40,48,46,39,32,22,6,5,244,8,20,60,51,52,55,33,11,5,293,0,14,37,35,24,30,13,0,0,158,0,6,46,24,30,28,10,5,0,156,0,0,21,19,23,23,7,0,0,99,0,4,32,31,44,51,13,0,0,177,0,0,0,0,12,9,6,0,0,31,0,0,9,7,12,8,11,0,0,47,26,27,62,51,55,46,46,35,47,400,221,231,460,408,451,488,450,246,143,3090
UCL515028,7,19,26,18,12,8,6,0,0,99,9,24,35,25,19,16,9,0,0,139,12,31,65,40,37,21,0,0,0,218,0,37,86,59,47,21,11,0,0,257,3,21,93,58,50,26,3,0,0,256,0,16,72,67,50,34,5,0,0,247,0,13,158,164,129,70,9,0,0,546,0,4,55,65,55,31,5,0,0,217,0,0,44,73,37,34,4,0,0,199,34,24,120,99,61,43,15,0,0,394,205,228,864,766,543,360,87,7,0,3060
UCL515029,0,0,5,7,4,4,0,0,0,21,0,0,6,6,3,7,0,0,0,26,4,6,8,17,3,0,0,0,0,37,0,7,10,8,10,11,0,0,0,50,0,4,14,12,13,9,4,0,0,48,0,3,10,24,13,11,0,0,0,64,0,4,52,71,48,40,0,0,0,215,0,0,17,25,29,11,3,0,0,90,0,0,17,25,13,8,4,0,0,73,14,12,48,75,47,33,3,4,0,231,55,66,220,292,200,142,16,6,0,1009
UCL515030,5,21,24,28,36,35,33,23,10,216,6,19,37,30,30,29,18,8,0,181,3,19,28,46,33,32,13,6,0,177,0,9,18,22,22,26,10,3,0,113,0,6,22,31,26,26,7,0,0,125,0,9,15,25,41,23,11,0,0,116,0,7,31,55,67,58,11,0,0,221,0,0,14,25,14,12,6,0,0,60,0,0,3,10,12,4,4,0,0,38,29,17,35,45,40,40,33,48,47,331,270,164,355,442,453,506,512,327,126,3160
UCL515031,5,13,24,20,11,29,27,17,7,145,0,11,16,21,25,22,25,19,3,147,0,5,16,25,38,42,25,7,0,158,0,0,15,20,14,29,19,11,0,98,0,5,13,20,23,15,16,8,0,105,0,4,3,18,17,27,15,8,0,91,0,3,17,31,47,51,16,10,0,174,0,0,0,11,9,13,0,0,0,38,0,0,4,11,12,12,12,7,0,48,15,12,32,35,37,57,42,54,17,305,131,93,206,268,336,476,541,309,71,2429
