UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL521011,0,0,0,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,14,18,25,65,103,87,63,36,14,0,411
UCL521012,0,0,0,0,0,4,6,6,0,19,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,15,11,4,5,39,11,13,60,48,77,107,99,23,9,451
UCL521013,0,0,0,0,0,0,5,0,5,11,0,0,0,0,6,6,0,0,0,8,0,0,16,10,4,11,7,4,0,53,27,35,113,94,141,137,99,27,8,685
UCL521014,0,0,0,0,0,5,15,4,3,33,0,0,0,0,0,0,0,3,0,7,8,3,13,25,29,27,20,7,0,137,27,29,63,84,132,151,113,35,4,631
UCL521015,0,0,0,0,0,0,4,9,9,26,0,0,0,0,0,0,0,0,0,0,4,0,4,0,10,8,8,0,10,42,15,27,67,59,65,85,115,60,38,523
UCL521016,0,0,5,0,0,6,8,7,6,22,0,0,0,0,0,0,0,0,0,0,3,5,6,12,5,7,3,0,3,49,22,37,101,69,84,75,74,40,25,514
UCL521017,0,0,0,0,0,8,5,4,3,22,0,0,0,0,0,0,0,0,0,0,0,6,16,17,15,11,9,5,0,80,14,49,105,107,74,80,56,38,19,539
UCL521018,0,0,0,0,0,0,8,3,6,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,17,13,33,64,61,77,59,57,34,11,413
UCL521019,0,0,0,0,0,0,11,6,0,25,0,0,0,0,0,0,0,0,0,4,4,9,17,12,15,22,15,15,5,115,14,34,73,88,95,127,129,61,8,615
UCL521020,0,0,5,0,0,4,9,11,0,33,0,0,0,0,0,0,4,0,0,4,0,3,0,4,16,3,5,3,6,40,17,26,52,72,125,126,146,55,8,632
