UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL522040,0,30,42,22,8,104,0,103
UCL522041,0,40,43,28,12,124,0,123
UCL522042,9,47,33,6,0,98,0,99
UCL522043,55,32,8,0,5,94,4,101
UCL522044,5,28,13,3,3,50,4,61
UCL522045,29,16,3,0,0,53,0,55
UCL522046,7,28,37,12,6,90,4,96
UCL522047,8,57,55,16,6,144,3,143
UCL522048,5,41,47,17,11,115,6,123
UCL522049,8,48,24,19,8,106,3,107
UCL522050,4,58,66,16,5,154,0,159
UCL522051,0,13,30,24,16,84,3,89
UCL522052,8,15,4,3,0,34,3,35
UCL522053,23,12,3,0,0,37,5,37
UCL522054,4,22,20,5,9,59,6,63
UCL522055,0,23,43,9,7,90,4,93
UCL522056,6,49,44,20,11,122,5,126
UCL522057,46,3,5,0,0,52,3,61
UCL522058,6,41,23,20,3,93,9,104
UCL522059,6,54,43,9,8,122,4,122
UCL522060,3,8,0,0,0,14,0,16
UCL522061,4,79,58,12,3,157,3,161
UCL522062,42,15,0,0,0,55,0,59
UCL522063,16,13,3,0,0,37,0,41
UCL522064,33,29,11,9,6,76,14,94
UCL522065,6,28,47,6,7,89,0,89
UCL522066,8,51,61,21,6,150,9,156
UCL522067,10,27,12,0,4,49,4,55
UCL522068,0,30,64,23,28,152,5,150
UCL522069,8,68,49,14,0,139,0,141
UCL522070,0,43,57,24,8,132,9,139
UCL522071,56,25,6,0,0,84,10,96
UCL531001,1033,9396,18252,10777,10312,49766,972,50741
UCL579997,0,0,0,0,0,3,0,3
UCL599994,0,0,0,0,0,0,0,0
