UCL_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
UCL513005,0,0,0,12,0,6,9,9,5,38,0,0,3,4,3,24,33,35,3,107,40,89,158,135,95,86,43,39,34,717,0,0,0,0,0,6,10,6,11,37,36,26,66,64,100,78,61,53,41,529,1095,344,485,501,386,262,153,52,4,3287,110,53,75,72,52,39,29,16,10,451,1344,545,810,833,712,577,462,255,87,5618,0,10,20,41,118,174,237,156,40,797,186,99,140,142,114,98,70,43,5,892,0,0,6,17,39,50,81,73,24,291,0,0,0,0,0,3,16,46,58,121,11,5,18,27,52,112,110,79,24,430,3,0,3,7,28,73,119,106,43,394,5,0,5,12,5,11,17,22,5,78,3,0,4,6,10,51,61,65,7,213,89,144,229,193,153,132,83,61,51,1130,0,0,0,0,3,18,19,22,21,88,119,58,106,96,157,128,117,100,61,932,2169,800,938,992,817,510,271,97,8,6613
UCL514001,0,0,5,3,5,4,10,4,4,34,0,0,0,0,14,21,39,16,14,106,19,63,79,77,82,81,44,19,16,494,0,0,0,0,6,8,13,12,6,55,22,26,28,44,50,68,38,29,18,320,432,219,233,203,226,197,141,57,16,1723,85,41,49,47,38,45,35,28,15,380,591,364,428,401,461,502,460,253,100,3567,4,5,12,35,112,211,285,181,64,917,107,78,84,99,91,88,92,42,9,685,5,0,6,8,19,61,99,55,17,259,0,0,0,0,0,7,14,24,21,67,0,7,19,30,56,115,185,82,18,520,4,0,0,8,29,62,122,80,30,336,0,3,5,4,8,9,25,9,3,67,0,0,0,5,17,45,93,35,17,225,30,96,116,118,132,137,88,41,25,781,0,0,5,0,8,12,34,33,9,106,64,53,44,59,78,115,90,56,33,593,922,490,487,437,429,403,298,122,25,3606
UCL514002,0,0,0,0,0,0,0,3,3,14,0,0,0,0,0,8,12,9,5,42,19,33,52,60,62,26,25,12,3,288,0,0,0,0,5,0,5,10,4,25,11,9,27,32,36,32,42,30,4,224,659,161,252,425,320,239,183,64,17,2328,55,27,39,52,26,34,45,27,3,315,781,237,380,615,493,419,442,233,58,3659,0,0,10,27,38,107,178,142,42,540,77,34,43,80,55,41,55,26,13,431,0,0,4,14,21,50,74,50,15,221,0,0,0,0,0,3,3,12,8,31,4,0,3,3,12,29,57,39,3,160,0,0,0,0,12,19,89,77,16,214,0,0,0,6,5,4,3,9,3,36,5,0,0,0,0,19,26,23,10,83,33,46,71,96,78,55,50,19,5,456,0,0,0,0,6,0,19,17,8,47,41,21,32,47,62,56,83,52,9,392,1301,387,495,801,675,467,373,128,26,4646
UCL514003,0,0,0,0,4,0,6,3,3,22,0,0,0,0,4,8,19,10,5,47,15,29,58,94,57,59,38,13,4,363,0,0,0,0,4,7,6,5,9,26,19,23,23,49,38,32,38,26,15,264,652,213,335,460,338,222,134,37,10,2399,92,30,39,62,47,30,24,0,9,324,803,297,471,718,534,398,334,137,72,3760,0,4,7,47,61,89,149,65,30,455,71,47,68,98,66,40,55,13,5,470,0,0,0,16,33,33,61,28,5,175,0,0,0,0,0,4,5,23,26,50,6,8,4,10,24,27,43,26,9,145,0,0,4,3,19,30,66,35,24,188,0,0,0,7,4,0,10,8,3,36,0,0,3,6,7,17,35,15,5,80,29,52,83,150,112,86,54,13,0,584,0,0,0,0,11,8,11,9,9,44,48,36,40,74,73,67,69,47,25,474,1319,477,710,868,696,419,245,71,22,4821
UCL514004,0,0,0,0,5,0,15,12,3,40,0,0,0,0,8,18,24,16,7,73,12,57,70,69,88,68,38,13,6,419,0,0,0,0,4,8,8,13,10,48,27,13,26,37,49,57,37,28,14,285,448,236,203,195,189,195,133,51,17,1666,107,51,36,52,58,38,30,33,25,432,639,373,361,394,444,479,403,224,119,3424,0,0,15,22,77,151,203,150,64,680,93,62,85,67,81,88,52,44,8,575,3,6,0,8,17,41,63,52,11,205,0,0,0,0,0,6,8,20,26,53,4,7,11,36,58,131,167,87,16,509,3,3,3,14,23,66,103,76,49,338,0,3,5,0,14,10,29,17,9,91,3,0,0,4,15,29,52,27,13,146,29,88,101,109,125,112,73,23,12,675,3,0,0,4,3,18,26,23,17,94,68,24,50,54,87,94,76,45,21,529,903,507,417,390,370,385,258,101,30,3362
UCL515001,0,0,0,0,0,0,5,4,0,6,0,0,0,0,3,7,3,8,7,25,4,0,4,14,8,12,11,7,0,58,0,0,0,0,0,0,7,0,4,16,0,0,0,8,4,17,14,11,5,57,35,20,17,27,40,54,69,25,10,300,9,4,0,3,3,10,10,4,9,48,56,24,32,45,70,103,151,85,52,624,0,0,0,0,14,23,69,48,34,198,6,3,7,8,10,14,17,16,9,87,0,0,0,0,0,11,23,26,13,74,0,0,0,0,0,0,7,6,4,20,0,0,0,0,0,11,18,11,10,61,0,0,0,0,3,11,37,35,21,107,0,0,0,0,0,0,8,5,5,16,0,0,0,0,3,7,14,19,4,51,3,7,10,20,18,27,25,10,0,107,0,0,0,0,0,0,13,7,9,27,3,0,0,6,12,23,24,21,20,109,75,39,46,49,67,95,125,63,15,581
UCL515002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12,0,3,13,11,11,19,8,0,0,60,0,0,0,0,0,0,0,0,0,0,0,5,0,7,5,12,9,0,0,39,79,38,48,52,57,45,46,5,0,376,7,4,0,7,3,3,5,0,0,41,93,60,68,79,88,98,104,25,8,620,0,0,0,9,18,45,35,19,0,129,12,10,10,16,19,11,11,0,0,84,0,0,0,0,0,10,19,8,5,47,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9,21,16,14,0,58,0,0,0,0,0,14,20,9,3,51,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,9,6,0,0,28,0,4,15,20,12,37,12,0,0,102,0,0,0,0,0,0,4,0,0,7,3,4,0,10,8,18,16,4,0,64,190,88,92,97,115,95,83,14,0,778
UCL515003,0,0,0,0,0,3,4,4,0,9,0,0,0,0,4,8,14,7,4,37,6,33,23,23,28,33,27,4,7,189,0,0,0,0,0,0,7,4,9,15,7,8,8,12,16,25,29,18,3,127,140,53,62,64,77,100,79,22,5,602,9,14,7,8,17,19,16,6,5,110,180,116,93,107,154,206,234,107,45,1246,0,0,4,13,23,60,119,64,28,317,21,27,14,25,19,32,36,11,3,188,0,0,3,0,5,21,41,29,5,105,0,0,0,0,0,0,0,6,15,20,0,0,3,0,14,20,43,32,9,123,0,0,0,0,4,10,52,27,18,110,4,0,0,0,6,3,5,3,0,22,0,0,0,4,9,11,20,22,5,70,14,48,28,38,46,53,36,16,7,291,0,0,0,0,0,3,14,13,10,35,17,17,10,25,24,44,47,25,3,223,271,109,119,122,155,180,156,58,7,1172
UCL515004,0,0,0,0,5,0,0,0,0,8,0,0,0,0,4,4,4,3,0,17,10,22,51,22,30,8,4,0,0,143,0,0,0,0,0,3,3,0,3,12,11,15,22,19,26,11,6,0,0,100,196,81,113,79,58,44,18,7,3,598,23,13,13,20,15,8,9,0,0,104,247,134,209,148,141,92,79,27,11,1079,0,3,5,16,22,30,51,20,4,159,45,27,45,27,23,17,15,4,0,203,0,0,3,0,4,8,16,7,3,45,0,0,0,0,0,0,0,0,0,7,0,0,8,7,16,18,28,16,4,97,0,0,4,5,9,8,21,17,3,71,7,0,0,0,4,6,3,0,0,16,0,0,0,0,5,11,10,7,0,32,22,39,71,37,38,17,9,7,0,240,0,0,0,0,5,5,7,3,3,20,28,25,25,20,35,16,15,7,0,177,409,228,265,150,120,67,37,14,7,1300
UCL515005,0,0,0,0,6,0,0,5,0,12,0,0,0,4,3,10,11,0,4,35,10,14,24,39,32,33,16,0,0,176,0,0,0,0,0,0,0,0,0,6,3,13,18,18,33,21,18,0,0,129,195,72,78,81,75,52,31,18,3,607,15,19,9,11,14,7,22,7,4,102,242,122,124,170,177,155,139,66,20,1221,0,0,8,30,48,89,95,46,16,330,37,16,19,41,37,31,26,8,3,230,0,0,0,9,9,11,25,17,4,69,0,0,0,0,0,0,3,0,7,20,0,0,7,13,28,42,53,28,4,166,0,0,0,3,14,23,33,20,8,109,0,0,0,0,6,4,5,6,3,23,3,0,4,4,9,19,28,10,4,64,18,22,41,60,50,52,30,6,4,283,0,0,0,0,0,4,11,6,3,24,19,19,18,31,44,42,44,15,0,235,384,163,149,164,168,101,68,28,7,1237
UCL515006,0,0,4,5,0,0,5,9,0,33,4,0,0,0,3,16,11,3,0,43,5,16,29,23,16,16,16,5,0,136,0,0,0,0,0,0,0,5,3,17,3,10,9,17,27,24,26,9,7,124,249,122,166,134,129,125,69,23,4,1028,97,59,59,49,51,50,18,16,9,413,369,219,281,251,278,291,188,102,37,2011,6,0,5,9,34,65,86,52,18,274,31,25,28,36,45,57,30,5,0,266,0,0,4,3,8,26,29,12,4,91,0,0,0,0,0,0,6,8,6,23,0,9,3,14,48,67,52,35,10,238,3,0,6,10,21,43,54,29,11,184,0,0,4,5,8,7,14,21,5,54,4,0,3,0,9,26,22,20,3,92,9,23,38,33,37,35,32,8,0,218,0,0,0,0,7,3,3,10,3,32,18,13,19,30,41,46,50,17,4,244,539,256,329,266,294,267,159,46,10,2169
UCL515007,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,4,0,0,0,3,0,14,22,30,16,9,3,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,5,13,10,10,8,0,0,59,239,38,65,165,101,61,37,3,0,714,33,10,13,33,18,12,4,0,0,126,287,66,106,244,160,116,74,20,10,1086,3,0,6,0,13,27,29,14,3,101,27,11,15,25,25,11,8,3,0,117,0,0,0,6,0,5,11,3,0,30,0,0,0,0,0,0,0,4,0,5,0,0,0,0,9,10,7,6,4,38,0,0,0,0,0,10,11,14,10,44,3,0,0,3,0,0,3,0,8,19,0,0,0,0,0,4,0,0,0,12,4,20,28,42,21,14,8,0,0,142,0,0,0,0,0,3,0,0,3,9,9,4,7,19,22,15,15,3,0,97,478,82,116,309,211,116,68,16,0,1402
