UCL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
UCL522023,8,0,9,37,73,43,33,59,27,279
UCL522024,0,4,10,42,77,52,31,25,8,232
UCL522025,8,6,20,68,88,49,28,97,64,391
UCL522026,0,0,10,38,82,51,34,62,17,276
UCL522027,6,0,7,49,58,46,41,80,28,304
UCL522028,0,0,5,11,44,25,17,22,15,137
UCL522029,4,0,3,49,60,31,47,89,11,298
UCL522030,0,0,0,35,59,22,23,30,33,198
UCL522031,0,0,0,24,32,34,75,19,6,187
UCL522032,0,0,0,54,124,27,8,49,24,292
UCL522033,3,0,4,61,75,52,52,97,36,370
UCL522034,0,0,0,22,43,29,0,48,7,146
UCL522035,6,0,10,37,43,22,17,55,19,193
UCL522036,0,0,0,27,53,19,12,50,18,185
UCL522037,4,0,9,36,67,23,23,48,34,234
UCL522038,5,6,9,70,103,58,39,83,24,379
UCL522039,0,0,5,46,82,39,19,110,54,345
UCL522040,0,0,3,33,49,23,31,42,28,204
UCL522041,0,3,8,48,71,28,29,78,51,306
UCL522042,0,0,0,52,69,22,24,55,54,277
UCL522043,0,0,0,100,43,41,29,44,23,283
UCL522044,0,0,0,11,36,18,17,27,22,136
UCL522045,0,0,0,37,24,22,25,10,21,142
UCL522046,6,4,9,19,51,26,16,57,44,210
UCL522047,9,8,18,39,75,32,33,87,97,349
UCL522048,3,4,11,47,59,23,25,57,26,234
UCL522049,7,0,3,35,30,24,14,61,78,248
UCL522050,12,14,36,48,93,29,34,85,60,357
UCL522051,4,0,4,36,52,23,33,46,23,210
UCL522052,0,0,0,20,38,19,17,22,17,124
UCL522053,0,0,0,16,41,30,7,3,21,124
UCL522054,3,4,5,31,32,12,4,35,26,140
UCL522055,0,0,0,31,55,27,23,39,29,198
UCL522056,8,0,8,44,75,36,27,70,33,285
UCL522057,0,0,0,42,32,0,7,42,21,149
UCL522058,8,0,8,36,36,21,31,58,44,228
UCL522059,4,0,6,30,70,27,26,75,58,286
UCL522060,0,0,0,10,26,6,0,5,4,50
UCL522061,4,0,8,40,78,45,51,67,20,308
UCL522062,0,0,0,64,42,3,0,49,10,168
UCL522063,0,0,0,32,47,25,5,15,31,143
UCL522064,0,0,0,90,123,35,8,60,31,344
UCL522065,3,4,5,29,47,27,18,40,42,212
UCL522066,0,3,13,63,79,37,31,58,48,316
UCL522067,0,0,0,32,41,10,0,65,47,200
UCL522068,3,3,5,65,96,45,43,76,45,364
UCL522069,4,0,4,30,54,30,17,86,41,266
UCL522070,0,0,4,48,79,24,47,60,21,277
UCL522071,0,0,0,173,28,4,0,76,13,295
UCL531001,618,172,1649,24533,34068,17355,15033,26461,19615,137066
UCL579997,0,0,0,33,21,10,15,214,222,516
UCL599994,10,23,30,870,963,339,278,1476,3362,7285
