UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL521031,85,54,112,80,81,89,45,17,4,567
UCL521032,144,95,130,64,77,106,50,20,0,675
UCL521033,117,43,56,82,93,96,63,24,9,576
UCL521034,117,89,71,85,129,139,80,44,11,762
UCL521035,73,37,38,51,74,98,93,67,19,538
UCL521036,60,52,70,36,87,113,84,44,3,555
UCL521037,205,100,92,155,136,127,109,66,11,989
UCL521038,122,53,47,71,95,136,161,94,44,821
UCL521039,150,70,46,95,115,163,111,64,19,822
UCL521040,203,38,154,147,102,99,45,15,6,813
UCL521041,237,38,164,121,53,47,11,0,0,685
UCL521042,91,72,68,63,101,82,75,40,29,617
UCL521043,98,38,36,55,84,107,76,27,4,518
UCL521044,109,58,65,64,73,121,122,89,23,722
UCL521045,77,38,48,39,51,97,140,62,34,582
UCL521046,140,112,100,81,102,80,51,24,3,700
UCL521047,78,26,63,62,84,89,68,36,12,523
UCL521048,146,68,90,85,86,161,181,95,34,953
UCL521049,108,102,88,87,66,46,11,4,0,511
UCL521050,133,66,97,95,69,95,108,43,19,725
UCL521051,163,113,82,92,122,152,80,49,10,868
UCL521052,172,82,101,118,101,90,49,25,0,745
UCL522001,113,96,89,71,54,30,17,4,3,472
UCL522002,29,22,30,23,38,41,64,29,9,280
UCL522003,112,51,53,38,37,14,11,6,4,325
UCL522004,81,82,45,38,26,25,9,3,0,308
UCL522005,95,41,55,55,24,22,9,9,0,307
UCL522006,79,63,33,46,70,69,52,21,8,449
UCL522007,21,16,22,17,17,42,58,21,9,211
UCL522008,40,15,22,19,21,40,37,14,4,211
UCL522009,58,60,42,49,79,49,25,10,0,370
UCL522010,87,52,31,40,43,52,58,26,10,401
UCL522011,49,31,36,54,26,41,52,20,9,314
UCL522012,61,23,55,36,49,92,92,53,16,480
UCL522013,72,57,35,49,74,79,44,19,8,435
UCL522014,51,20,25,29,26,36,19,9,0,218
UCL522015,30,33,63,39,24,31,23,3,0,245
UCL522016,68,19,21,30,29,46,33,29,5,288
UCL522017,64,25,35,36,49,75,76,27,5,384
UCL522018,4,11,9,5,16,22,52,11,0,135
UCL522019,42,15,10,25,22,38,26,9,8,194
UCL522020,65,40,39,26,26,43,15,0,0,253
UCL522021,74,29,22,49,35,38,71,30,4,357
UCL522022,35,11,30,24,37,36,39,26,0,238
UCL522023,53,17,33,33,47,64,57,21,9,332
UCL522024,22,14,11,12,23,62,74,37,10,258
UCL522025,67,34,34,49,43,75,91,49,20,463
UCL522026,16,10,19,12,24,49,93,58,10,293
UCL522027,57,32,28,42,35,64,51,37,7,361
UCL522028,22,4,18,6,6,38,33,24,5,158
UCL522029,98,33,49,55,43,42,44,16,3,395
UCL522030,71,27,37,33,27,42,22,8,0,265
UCL522031,102,44,52,34,27,21,7,0,0,289
UCL522032,99,87,45,53,49,38,11,3,0,388
UCL522033,52,32,29,24,53,75,101,53,4,422
UCL522034,35,35,38,29,15,20,10,4,0,180
UCL522035,34,16,22,20,38,43,32,11,10,226
UCL522036,27,13,12,18,39,38,44,16,0,213
UCL522037,61,16,31,37,36,39,38,25,9,294
UCL522038,98,58,66,59,47,56,43,35,9,477
UCL522039,67,40,73,48,48,82,35,4,5,407
UCL522040,8,7,10,5,42,46,61,24,3,209
UCL522041,45,19,26,25,38,85,86,17,8,351
UCL522042,118,44,75,58,51,33,9,0,0,395
UCL522043,126,76,79,59,41,25,12,0,0,412
UCL522044,25,19,19,20,21,26,22,7,0,153
UCL522045,62,40,41,23,24,14,5,0,0,202
UCL522046,38,11,18,25,28,53,41,24,9,249
UCL522047,96,48,38,40,40,56,75,28,18,443
UCL522048,48,25,35,30,31,36,30,30,11,284
UCL522049,64,22,33,34,42,50,47,17,3,312
UCL522050,71,22,38,38,48,63,58,45,36,423
UCL522051,32,24,26,23,45,43,24,20,4,242
UCL522052,21,23,23,19,16,14,12,7,0,147
UCL522053,38,31,31,17,26,15,6,0,0,162
UCL522054,32,21,12,22,38,23,15,7,5,176
UCL522055,36,10,35,30,50,40,27,8,0,235
UCL522056,68,39,48,50,51,56,28,17,8,350
UCL522057,14,27,52,19,23,19,3,0,0,166
UCL522058,56,42,21,26,24,42,25,26,8,281
UCL522059,71,20,33,40,37,49,46,43,6,356
UCL522060,11,4,7,9,9,13,3,0,0,64
UCL522061,28,9,24,23,39,73,68,59,8,336
UCL522062,71,34,44,33,35,10,6,4,0,231
UCL522063,42,34,30,33,21,22,10,3,0,185
UCL522064,109,103,79,58,58,25,13,8,0,457
UCL522065,48,24,29,15,23,49,33,31,5,266
UCL522066,107,23,53,61,39,48,38,29,13,424
UCL522067,46,30,33,38,44,19,25,3,0,240
UCL522068,87,64,37,56,67,69,43,29,5,445
UCL522069,39,17,28,32,32,41,60,42,4,304
UCL522070,76,34,32,35,46,57,56,14,4,357
UCL522071,141,92,75,51,40,21,8,0,0,434
UCL531001,26586,16650,17368,20805,25420,27127,19970,8074,1649,163652
UCL579997,0,42,116,170,109,62,18,0,0,514
UCL599994,772,820,1512,1543,1313,1144,758,155,30,8055
