UCL_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
UCL513005,4,4,3,5,0,0,0,0,0,14,6,14,4,0,0,7,0,6,4,53,49,41,293,14,21,9,78,51,11,564,27,4,180,12,7,3,41,36,3,311,4,6,10,3,0,0,5,8,3,42,16,39,5,16,0,0,3,4,0,90,0,20,0,8,0,0,7,0,0,38,44,26,16,11,19,19,20,11,6,165,10,24,9,35,7,3,12,8,0,102,5,14,0,0,0,10,4,5,0,40,10,3,30,5,0,4,22,11,0,78,0,0,0,0,0,0,0,0,0,0,6,3,7,9,0,0,6,6,6,37,10,3,25,3,0,7,17,11,10,87,188,198,592,126,71,59,204,150,50,1632,5,7,4,0,8,3,0,0,0,26,0,4,0,0,3,0,0,0,0,13,0,5,6,4,0,0,4,4,0,34,0,4,0,0,7,4,0,0,0,13,9,3,5,3,0,0,0,4,0,28
UCL514001,3,3,5,0,0,0,0,0,0,4,0,4,6,0,4,3,0,3,0,20,17,24,317,4,8,5,72,41,8,494,5,0,32,0,0,0,26,19,4,84,0,6,10,0,0,0,5,3,0,25,0,7,8,4,0,0,3,3,0,24,3,11,5,0,0,0,3,0,0,19,11,0,8,0,3,6,7,5,0,43,3,4,0,10,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,12,0,0,17,3,0,0,15,6,5,42,40,58,411,25,22,17,151,82,22,830,0,3,7,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,5,0,4,4,0,0,3,0,0,0,14
UCL514002,4,29,5,3,5,0,0,9,0,64,4,4,3,0,0,0,0,0,0,14,37,44,184,6,4,10,29,32,9,346,41,4,146,3,3,0,7,22,4,237,12,7,19,3,0,0,6,9,0,58,5,49,0,8,3,0,6,4,0,69,3,29,6,3,0,3,0,9,0,55,49,38,17,9,5,20,3,11,7,167,11,20,5,19,0,5,3,9,4,70,0,10,5,3,0,0,0,9,0,29,22,0,53,9,4,4,9,3,0,103,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,16,11,3,18,0,0,11,0,5,4,52,207,247,465,64,27,55,71,114,24,1275,4,14,0,7,9,3,0,0,0,39,0,0,0,0,4,0,0,0,0,9,0,0,8,4,0,7,5,0,0,20,5,3,4,0,0,0,0,0,0,18,7,3,7,5,3,3,0,0,0,39
UCL514003,8,34,8,5,3,4,0,9,0,74,4,11,9,0,0,3,0,5,0,27,32,31,153,9,6,7,30,36,11,314,28,8,113,0,0,0,22,21,0,202,17,23,29,7,0,5,11,15,0,106,10,31,8,10,0,0,4,0,0,59,9,37,8,6,0,0,4,4,0,65,30,23,18,16,15,5,17,16,3,143,10,20,13,10,0,3,5,6,0,74,3,10,9,4,0,0,7,4,0,39,18,0,76,7,6,4,8,21,3,148,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,10,0,26,4,4,18,4,0,0,7,6,0,49,180,237,459,74,34,38,110,167,19,1319,12,20,6,3,6,4,0,5,0,58,0,0,0,0,0,0,0,3,0,9,6,0,4,3,5,0,5,3,0,22,9,6,0,0,5,0,0,0,0,25,5,14,8,0,0,0,0,10,0,44
UCL514004,0,5,0,3,0,0,0,5,0,18,4,0,4,0,0,0,0,4,0,14,30,10,139,8,9,9,42,29,5,280,11,0,57,0,4,4,6,17,0,110,3,9,6,6,4,0,0,4,0,31,3,19,5,0,0,0,3,0,0,34,4,32,0,0,0,0,0,0,0,41,20,20,7,9,4,18,6,8,0,96,7,11,0,23,0,0,0,5,0,53,0,5,4,0,0,0,0,4,0,12,5,0,20,0,0,0,3,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,11,3,0,4,0,5,0,3,0,3,22,101,114,243,54,30,34,87,91,8,760,0,8,3,0,0,4,0,0,0,19,0,0,0,0,3,0,0,0,0,3,0,0,3,5,3,0,3,4,0,21,0,0,0,0,0,0,0,0,0,9,5,7,0,3,0,6,0,6,0,22
UCL515001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,16,0,0,5,3,5,0,35,6,0,16,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,9,4,0,0,4,0,0,0,0,0,9,3,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,3,0,11,30,10,42,7,0,11,9,15,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5
UCL515002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,9,65,3,6,0,3,13,0,109,4,4,11,4,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,8,0,9,3,5,0,0,4,0,0,11,6,4,0,0,0,0,0,0,0,13,3,5,0,0,0,0,9,0,0,19,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,13,25,28,87,8,10,3,25,19,0,212,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
UCL515003,5,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,4,5,62,6,3,3,14,15,3,106,3,5,21,0,0,0,9,3,0,44,4,0,3,0,0,0,0,7,0,16,0,12,0,0,0,0,0,0,0,13,0,9,0,0,0,0,5,0,0,13,7,5,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,11,3,0,5,0,0,0,0,0,0,14,0,0,4,0,3,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,4,11,32,44,99,11,7,10,35,34,10,279,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,0,0,12
UCL515004,7,6,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,7,13,21,86,0,6,6,20,12,0,161,0,0,19,0,0,0,6,5,0,28,4,0,7,0,0,0,4,6,0,21,0,3,0,0,0,0,4,0,0,11,0,7,0,0,0,0,0,0,0,9,10,9,3,3,0,0,5,0,0,33,4,0,0,4,3,0,0,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,4,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,6,0,0,0,0,0,0,3,0,3,8,36,51,123,20,12,8,60,22,7,331,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6
UCL515005,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,7,12,75,3,9,0,10,8,0,123,0,0,29,0,0,0,3,9,0,53,5,4,6,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,12,4,3,3,0,0,0,5,4,0,21,0,4,0,11,0,0,0,3,0,22,0,0,0,0,0,0,0,3,0,3,0,0,9,0,0,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,3,0,0,6,11,22,28,126,21,10,8,26,43,11,300,0,0,9,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,3,0,3,0,10
UCL515006,3,0,0,3,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,7,22,13,84,3,4,3,30,15,5,189,6,0,37,3,3,3,4,14,0,69,0,6,4,0,0,0,4,0,0,20,0,13,0,0,0,0,0,0,0,20,6,9,0,6,4,0,0,3,0,29,14,5,6,9,5,3,3,4,0,52,3,9,0,9,0,0,0,6,0,34,0,0,0,5,0,0,0,0,0,9,6,0,6,4,0,8,7,9,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,14,6,3,5,3,0,0,10,0,3,34,72,59,150,49,23,26,66,50,16,505,0,7,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,5,0,6,0,0,0,0,0,3,0,13
UCL515007,0,15,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,5,10,13,72,0,3,5,8,6,0,114,8,0,26,3,0,0,4,9,0,55,14,3,4,0,0,0,7,0,0,28,5,12,0,0,0,0,0,0,0,20,0,13,0,4,0,0,0,0,0,20,7,0,7,6,3,0,0,0,0,24,0,8,0,6,0,0,0,0,0,22,4,4,3,0,0,0,0,0,0,11,5,0,12,0,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,3,3,0,12,49,65,133,24,9,5,29,38,6,367,4,3,5,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,3,4,9,0,5,5,0,0,3,0,17
UCL515008,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,25,35,92,0,5,5,13,6,5,190,0,0,16,0,0,0,7,3,0,26,0,0,3,0,0,0,3,0,0,9,0,3,0,0,0,0,0,0,0,8,0,5,3,0,0,0,0,0,0,5,9,3,3,3,3,0,0,0,0,17,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,3,0,7,0,0,0,0,6,0,10,35,51,129,6,10,0,29,23,5,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL515009,7,9,0,0,0,0,0,6,0,15,0,3,0,0,0,0,0,0,0,11,8,6,43,0,5,4,9,7,0,94,3,4,31,4,0,0,8,0,0,48,7,5,12,0,0,0,3,11,0,32,0,13,0,5,0,0,0,5,0,25,7,23,0,0,0,5,0,0,0,34,7,5,0,0,3,4,0,0,0,21,3,10,0,7,8,0,0,4,0,32,0,4,0,4,0,0,0,5,0,18,3,0,17,3,0,0,3,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,3,0,0,0,0,0,6,0,7,54,95,111,18,14,14,31,37,4,376,5,6,0,0,0,0,0,4,0,18,0,0,0,0,3,3,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,5,0,5,0,21
UCL515010,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,18,21,36,17,7,3,11,19,6,124,4,7,13,11,0,0,0,0,0,39,5,4,0,5,0,0,0,0,0,10,0,16,0,3,0,0,0,3,0,29,0,14,0,0,0,0,0,5,0,16,6,3,3,8,0,5,0,0,0,35,0,6,0,21,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,3,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,0,0,0,0,0,16,44,71,63,72,18,11,19,35,4,336,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,11
UCL515011,0,0,4,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,8,13,9,73,5,10,4,21,11,3,140,7,0,17,0,0,0,3,3,0,31,4,3,3,4,0,0,6,5,0,18,0,3,0,4,0,0,0,0,0,11,0,4,4,0,0,0,0,0,0,10,6,0,7,0,7,3,0,5,0,26,3,4,3,5,0,0,0,6,0,28,0,0,0,3,0,0,5,4,0,8,0,0,12,0,0,0,4,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,5,4,0,9,34,27,119,23,20,7,50,45,3,321,0,6,3,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,11
UCL515012,0,7,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,0,12,19,10,85,8,0,0,21,14,0,160,5,0,36,4,0,0,8,5,0,63,6,4,3,0,0,0,4,0,0,7,0,0,0,3,0,0,0,0,0,5,8,9,4,0,0,0,0,0,0,25,9,7,5,5,6,3,0,4,0,38,0,7,0,11,0,0,0,3,0,22,0,0,0,6,0,0,0,0,0,4,0,0,7,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,10,0,0,4,0,0,0,4,0,4,8,48,50,146,41,7,8,46,27,3,383,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,4,0,5,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8
UCL515013,9,7,8,3,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,3,22,45,106,16,9,0,11,23,0,239,20,3,39,0,4,5,10,17,3,98,5,6,7,0,0,0,0,3,4,28,3,3,0,0,0,0,6,0,0,15,4,14,0,5,0,0,0,0,0,18,16,7,3,6,6,5,0,5,0,46,4,0,6,5,0,0,0,4,0,20,0,3,3,0,0,3,0,0,0,14,8,0,23,0,0,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,4,6,0,0,0,0,6,5,34,94,99,212,42,16,19,33,64,14,588,4,13,3,14,7,4,0,4,4,48,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,3,0,19,0,0,0,0,3,0,0,0,0,10,5,6,0,4,0,0,0,3,0,19
UCL515014,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,8,3,3,0,0,3,0,28,5,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,11,5,10,0,0,0,0,0,0,0,18,3,0,0,0,6,0,0,0,0,11,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,26,20,15,3,9,4,11,0,102,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
UCL515015,0,0,4,0,0,0,0,3,0,3,0,3,3,0,0,0,0,9,0,18,8,6,83,3,0,0,19,40,3,173,5,0,15,0,0,0,9,0,0,31,9,0,3,0,0,0,3,7,0,26,0,9,0,0,0,0,0,7,0,16,3,6,0,0,0,0,0,3,0,15,5,0,3,0,3,5,4,17,0,41,0,0,3,9,0,0,3,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,3,0,0,0,9,6,24,34,24,131,17,3,8,43,102,13,385,0,0,3,3,0,0,0,5,0,7,0,0,0,0,0,0,0,6,0,4,0,0,10,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,11
UCL515016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,55,0,0,3,14,9,0,94,6,0,10,0,0,0,0,3,0,27,0,5,0,3,0,0,5,3,0,12,0,8,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,6,6,3,3,6,0,0,3,0,0,28,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,4,0,10,0,0,0,5,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,3,0,0,0,0,3,0,4,0,16,32,42,82,9,0,14,29,23,0,227,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6
UCL515017,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,7,18,7,0,4,7,8,0,55,3,0,17,0,0,0,6,8,4,40,0,3,3,0,0,0,0,0,0,9,0,6,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,0,6,3,0,4,0,0,0,0,4,0,9,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,3,0,8,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,4,15,26,20,54,8,0,0,23,32,8,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8
UCL515018,3,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,6,91,0,0,0,31,4,0,142,0,0,0,0,0,0,4,4,0,14,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,11,0,4,0,0,0,0,5,0,0,4,6,0,5,0,0,0,4,0,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,5,0,24,17,16,101,6,0,0,54,11,3,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
UCL515019,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,4,12,5,81,3,3,3,15,21,4,148,3,0,17,0,0,3,0,8,0,35,8,10,12,0,3,7,4,12,0,48,0,8,0,5,0,0,0,0,0,19,7,10,0,0,0,0,0,0,0,20,6,12,3,0,3,9,4,7,0,49,0,0,4,8,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,4,8,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,14,3,31,39,51,130,25,11,20,36,85,14,408,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,0,7,0,24
UCL515020,0,4,4,0,5,0,0,0,0,13,0,3,0,0,0,0,0,0,0,5,27,39,88,11,4,7,24,13,7,206,11,4,34,8,4,0,10,9,0,75,12,8,0,7,4,0,5,5,0,46,3,20,0,8,0,0,0,0,0,31,3,23,0,6,0,0,0,0,0,32,23,11,0,8,10,0,7,3,0,60,10,23,6,27,9,0,0,3,0,74,6,5,0,0,0,0,0,0,0,11,4,0,16,4,0,0,8,8,0,44,0,0,0,0,0,0,0,0,0,4,4,4,0,3,3,0,0,3,0,23,4,0,6,5,0,0,3,12,10,40,99,144,171,85,33,18,55,62,19,675,3,7,0,3,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,5,3,7,0,3,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,8,6,5,3,5,9,0,0,0,0,26
UCL515021,4,4,0,0,0,0,0,0,0,10,0,4,5,0,0,0,0,0,0,8,13,11,45,10,0,3,8,8,0,96,10,0,26,0,0,0,3,0,0,45,7,10,4,3,4,0,0,0,0,25,0,3,4,0,0,0,0,0,0,15,8,14,0,4,0,0,0,6,0,23,8,4,0,0,0,5,0,4,0,24,0,7,9,8,0,3,0,0,0,26,0,0,0,6,0,0,0,3,0,8,3,0,5,0,0,0,3,4,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,12,45,56,103,26,6,13,21,21,0,297,0,8,0,0,6,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,3,0,14
