UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL522001,..,16,16,9,5,13,12,0,13,12,0,12,16,0,16,29,0,29,81,21,100
UCL522002,..,55,55,52,0,55,11,0,11,8,0,8,4,0,4,0,0,0,76,58,134
UCL522003,..,22,22,18,3,20,14,0,14,13,0,13,12,0,12,13,0,13,73,28,95
UCL522004,..,8,8,10,0,10,12,0,12,17,0,17,12,0,12,11,0,11,61,8,72
UCL522005,..,31,31,14,0,14,6,0,6,18,0,18,13,0,13,7,0,7,65,32,96
UCL522006,..,14,14,48,0,48,22,0,22,31,0,31,16,0,16,7,0,7,128,21,142
UCL522007,..,46,46,32,0,37,4,0,4,3,0,3,0,0,0,0,0,0,47,48,94
UCL522008,..,32,32,35,0,38,8,0,8,9,0,9,0,0,0,0,0,0,58,30,83
UCL522009,..,22,22,42,4,44,19,0,24,17,0,17,9,0,9,3,0,3,97,30,123
UCL522010,..,17,17,31,0,32,16,0,16,33,0,33,4,0,4,3,0,3,90,18,108
UCL522011,..,59,59,49,0,50,11,0,11,14,0,14,3,0,3,0,0,0,73,59,132
UCL522012,..,72,72,74,4,77,21,0,21,12,0,12,10,0,10,0,0,0,118,76,195
UCL522013,..,25,25,56,4,62,25,0,25,23,0,23,9,0,9,9,0,9,123,29,154
UCL522014,..,9,9,27,0,27,10,0,10,7,0,7,10,0,10,9,0,9,64,9,74
UCL522015,..,32,32,15,6,18,0,0,0,0,0,0,4,0,4,0,0,0,27,36,64
UCL522016,..,41,41,41,0,45,9,0,9,7,0,7,5,0,5,0,0,0,72,38,107
UCL522017,..,37,37,73,5,76,16,0,16,19,0,18,5,0,5,0,0,0,111,42,151
UCL522018,..,38,38,15,0,23,0,5,5,0,0,0,0,0,0,0,0,0,19,44,70
UCL522019,..,36,36,27,3,33,3,0,3,0,0,0,7,0,7,0,0,0,38,36,74
UCL522020,..,16,16,20,3,20,12,0,12,11,0,11,6,0,6,5,0,5,54,11,73
UCL522021,..,66,66,52,6,55,10,0,10,16,0,16,13,0,13,0,0,0,89,70,162
UCL522022,..,44,44,36,3,38,4,0,7,12,0,12,0,0,0,0,0,0,53,47,100
UCL522023,..,46,46,49,4,48,15,0,15,9,0,9,8,0,8,3,0,3,83,47,133
UCL522024,..,34,34,69,4,67,4,0,4,11,0,11,0,0,0,0,0,0,83,35,118
UCL522025,..,92,92,64,6,73,13,0,13,14,0,14,9,0,9,0,0,0,104,96,200
UCL522026,..,48,48,76,0,78,8,0,8,5,0,5,0,0,0,0,0,0,91,52,145
UCL522027,..,65,65,54,5,60,14,0,9,16,0,16,9,0,9,3,0,3,89,73,158
UCL522028,..,25,25,25,0,28,6,0,6,0,0,0,3,0,3,0,0,0,39,25,62
UCL522029,..,34,34,39,3,46,26,0,26,20,0,20,10,0,10,9,0,9,99,35,141
UCL522030,..,36,36,33,0,33,6,0,6,8,0,8,11,0,11,4,0,4,62,36,94
UCL522031,..,14,14,3,0,3,11,0,11,11,0,11,12,0,12,14,0,14,48,14,58
UCL522032,..,16,16,10,0,10,8,0,8,7,0,7,13,0,13,27,0,27,68,16,85
UCL522033,..,82,82,69,7,69,25,0,28,8,0,8,3,0,3,10,0,10,107,93,200
UCL522034,..,6,6,3,0,3,0,0,0,3,0,3,3,0,3,15,0,15,28,6,33
UCL522035,..,40,40,35,4,37,12,0,13,8,0,8,4,0,4,0,0,0,55,48,96
UCL522036,..,45,45,34,0,34,10,0,10,5,0,5,9,0,9,0,0,0,52,43,99
UCL522037,..,38,38,41,4,43,7,0,7,12,0,12,7,0,7,3,0,3,67,45,110
UCL522038,..,63,63,53,6,61,18,0,18,27,0,27,15,0,15,0,0,0,115,66,185
UCL522039,..,45,45,42,0,42,16,0,16,10,0,10,0,0,0,6,0,6,78,45,120
UCL522040,..,33,33,54,3,57,0,0,0,0,0,0,0,0,0,0,0,0,63,41,103
UCL522041,..,42,42,49,3,52,7,0,7,12,0,12,0,0,0,3,0,3,75,46,123
UCL522042,..,18,18,36,0,41,12,0,12,23,0,23,8,0,8,0,0,0,81,22,99
UCL522043,..,16,16,21,0,21,20,0,20,15,0,15,8,0,8,23,0,23,85,16,101
UCL522044,..,35,35,10,0,16,0,0,0,0,0,0,3,0,3,4,0,4,23,33,61
UCL522045,..,12,12,10,0,10,7,0,7,16,0,16,8,0,8,8,0,8,48,12,55
UCL522046,..,30,30,38,0,38,7,0,7,8,0,8,8,0,8,0,0,0,62,30,96
UCL522047,..,61,61,43,7,52,17,0,17,7,0,7,7,0,7,7,0,7,80,65,143
UCL522048,..,54,54,42,0,48,3,0,3,6,0,6,5,0,5,3,0,3,72,52,123
UCL522049,..,48,48,24,10,36,8,0,11,9,0,9,4,0,4,5,0,5,52,57,107
UCL522050,..,49,49,62,4,68,20,0,20,14,0,14,0,0,0,0,0,0,100,55,159
UCL522051,..,15,15,40,0,37,13,0,13,10,0,10,7,0,7,0,0,0,73,11,89
UCL522052,..,13,13,5,0,5,4,0,4,0,0,0,0,0,0,9,0,9,22,13,35
UCL522053,..,7,7,4,0,4,13,0,13,3,0,3,6,0,6,9,0,9,36,7,37
UCL522054,..,27,27,23,0,25,8,0,8,10,0,10,0,0,0,0,0,0,44,27,63
UCL522055,..,24,24,35,0,37,8,4,11,9,0,9,9,0,9,0,0,0,60,30,93
UCL522056,..,35,35,46,3,46,20,0,18,17,0,17,7,0,7,6,0,6,87,39,126
UCL522057,..,25,25,20,4,25,3,0,3,3,4,4,0,0,0,0,0,0,24,32,61
UCL522058,..,38,38,31,5,36,10,0,10,6,0,6,8,0,8,7,0,7,61,39,104
UCL522059,..,43,43,48,0,48,10,0,10,10,0,10,5,0,5,5,0,5,75,43,122
UCL522060,..,7,7,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,12,7,16
UCL522061,..,73,73,69,7,73,5,0,5,11,0,11,3,0,3,0,0,0,81,76,161
UCL522062,..,10,10,7,0,7,11,0,11,10,0,10,6,0,6,15,0,15,47,10,59
UCL522063,..,6,6,6,0,8,5,0,5,7,0,7,9,0,9,13,0,13,30,9,41
UCL522064,..,23,23,3,0,5,14,0,18,7,0,7,11,0,11,36,0,36,70,20,94
UCL522065,..,34,34,31,0,36,7,0,7,0,0,0,5,0,5,0,0,0,54,39,89
UCL522066,..,58,58,46,5,51,9,0,15,14,0,14,12,0,12,9,0,9,94,64,156
UCL522067,..,25,25,17,0,17,3,0,3,0,0,0,4,0,4,5,0,5,26,25,55
UCL522068,..,35,35,53,0,53,20,0,20,23,0,23,13,0,13,3,0,3,118,35,150
UCL522069,..,72,72,40,9,43,11,0,11,6,0,6,0,0,0,0,0,0,60,83,141
UCL522070,..,38,38,59,9,60,13,0,13,17,0,17,6,0,6,7,0,7,97,43,139
UCL522071,..,16,16,13,0,13,12,0,12,6,0,6,18,0,18,29,0,29,78,16,96
UCL531001,..,10371,10371,19573,811,20383,6774,103,6879,7206,20,7225,3825,7,3834,2014,24,2035,39395,11339,50741
UCL579997,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL599994,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
