UCL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL513005,3,0,21,21,14,13,3,0,0,76,137,156,493,576,516,341,68,0,0,2288,5,14,33,17,14,17,8,0,0,95,0,29,126,175,116,65,0,0,0,517,8,13,41,48,57,20,6,4,0,196,0,5,6,4,12,11,0,0,0,45,21,56,163,164,121,90,17,0,0,633,0,10,23,26,29,19,0,0,0,120,46,55,89,80,87,58,12,3,0,433,98,46,58,55,35,29,4,0,0,323,4,3,33,30,42,36,6,0,0,150,0,4,5,4,0,7,0,0,0,22,3,10,14,27,9,13,0,0,0,72,0,0,14,16,20,8,3,0,0,56,0,8,43,53,44,34,13,0,0,191,3,8,30,42,41,32,6,0,0,164,0,10,49,50,76,36,8,0,0,234,9,15,67,114,116,53,13,0,0,388,13,33,128,160,153,132,27,0,0,643,13,3,9,18,12,15,0,0,0,69
UCL514001,3,5,5,15,11,3,0,0,0,44,91,102,240,265,298,212,51,9,0,1255,0,0,5,0,6,5,0,0,0,23,10,40,97,94,127,94,17,0,0,472,6,20,50,48,45,25,5,0,0,189,5,15,27,42,43,27,6,0,0,166,15,15,51,31,38,34,3,0,0,189,0,0,7,4,6,0,0,0,0,16,35,27,40,42,55,53,8,0,0,251,63,33,49,32,24,21,13,0,0,232,0,5,6,12,12,26,9,0,0,79,0,0,0,0,0,0,0,0,0,6,0,3,5,11,3,5,0,0,0,22,0,0,0,4,0,4,0,0,0,10,4,10,11,8,7,9,3,0,0,51,3,4,17,13,9,17,3,3,0,72,0,8,13,24,36,34,6,0,0,124,0,7,40,47,62,37,11,4,0,209,4,12,49,67,63,65,20,5,0,281,0,0,6,0,4,0,3,0,0,15
UCL514002,8,11,7,24,24,7,5,0,0,76,99,68,291,495,431,260,74,7,0,1733,0,6,4,9,14,14,10,4,0,58,0,3,41,91,73,22,12,0,0,249,21,15,43,68,45,38,12,0,0,239,0,0,3,8,4,5,0,0,0,29,23,15,80,133,111,78,10,0,0,458,0,0,17,10,21,11,8,0,0,61,43,17,32,72,64,56,20,6,0,305,87,43,111,119,73,55,20,0,0,508,0,0,6,15,14,4,10,0,0,48,0,0,3,7,0,5,0,0,0,15,0,0,6,15,18,10,5,0,0,57,0,0,8,23,27,22,8,0,0,94,0,0,30,55,57,39,19,0,0,199,8,3,20,53,44,26,3,0,0,154,0,0,11,23,22,12,3,3,0,84,4,5,35,87,69,38,17,0,0,256,4,3,71,85,94,71,12,3,0,343,10,0,17,17,16,4,4,0,0,63
UCL514003,3,0,15,26,12,7,7,0,0,77,111,84,358,565,425,261,62,6,0,1873,0,8,58,38,42,15,8,5,0,177,0,0,47,91,73,15,7,0,0,248,13,16,106,120,73,35,10,0,0,368,0,0,4,7,11,6,0,0,0,28,25,15,69,107,72,52,8,0,0,359,0,5,6,11,18,11,5,0,0,62,58,43,53,88,86,56,12,0,0,403,92,38,135,127,73,45,16,0,0,526,0,5,3,11,17,26,16,0,0,76,0,0,0,4,7,3,0,0,0,19,0,0,8,9,11,10,3,0,0,40,0,0,6,4,15,7,5,0,0,46,0,4,27,43,34,25,7,0,0,140,4,3,28,42,50,30,3,0,0,173,0,0,17,48,26,21,0,0,0,120,5,0,38,97,101,71,19,0,0,332,3,15,72,105,90,61,16,4,0,356,7,3,9,7,11,3,5,0,0,52
UCL514004,0,0,5,8,7,4,0,0,0,31,93,117,204,253,297,271,74,3,0,1316,3,9,18,8,11,12,10,0,0,71,0,11,19,17,21,21,5,0,0,83,12,15,33,19,33,22,4,0,0,135,0,4,13,16,22,12,4,0,0,69,5,27,43,52,35,35,11,0,0,213,0,9,14,11,21,18,0,0,0,82,65,33,48,53,55,55,20,0,0,325,45,28,29,16,30,18,8,0,0,179,4,7,19,12,33,46,17,0,0,149,0,0,0,5,0,6,3,0,0,11,0,4,6,9,14,11,0,0,0,33,0,3,3,0,3,4,8,0,0,25,0,9,17,19,21,11,0,0,0,80,3,5,10,15,21,14,3,0,0,77,9,15,40,48,47,69,13,0,0,246,5,13,43,62,58,59,13,7,0,249,13,24,61,81,77,101,36,0,0,395,0,0,0,4,3,3,5,3,0,23
UCL515001,0,0,0,0,4,0,0,0,0,9,9,7,21,37,53,54,24,0,0,209,0,0,7,3,4,3,10,0,0,33,0,0,4,3,6,0,0,0,0,17,0,0,4,3,10,5,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,6,9,10,13,3,0,0,46,0,0,0,0,0,3,0,0,0,8,3,4,8,8,6,12,5,0,0,45,7,5,9,7,13,0,4,3,0,59,0,0,0,0,0,3,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,4,0,0,13,0,0,3,7,11,3,0,0,0,22,0,0,0,0,8,10,0,0,0,18,0,0,0,4,6,10,0,0,0,21,0,0,0,4,12,17,8,0,0,41,0,0,0,0,0,0,0,0,0,9
UCL515002,0,0,0,0,0,0,0,0,0,3,27,25,47,59,71,52,20,0,0,299,0,4,11,7,5,6,0,0,0,30,3,5,11,15,19,20,3,0,0,67,8,0,14,18,14,19,0,0,0,82,0,0,8,0,0,0,0,0,0,8,8,3,17,15,18,12,3,0,0,81,0,3,4,6,3,3,5,0,0,16,0,4,4,9,9,10,0,0,0,34,13,0,0,5,3,7,0,0,0,27,0,0,0,6,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,6,0,3,0,0,5,0,0,0,0,7,0,0,5,4,5,3,0,0,0,19,0,0,0,4,0,0,0,0,0,13,0,0,0,7,12,12,3,0,0,31,0,3,9,16,16,17,4,0,0,70,8,14,7,14,23,14,4,0,0,79,0,0,0,4,0,0,0,0,0,9
UCL515003,0,0,0,0,0,3,0,0,0,12,31,25,68,79,115,123,40,6,0,484,4,0,6,5,0,5,12,0,0,30,3,13,19,35,25,27,0,0,0,121,4,3,11,7,15,7,3,0,0,38,0,0,0,6,9,9,0,0,0,27,3,9,8,7,12,16,8,0,0,61,0,0,0,4,6,4,6,0,0,14,12,6,14,16,19,23,9,0,0,89,9,8,9,7,12,17,0,0,0,65,0,0,5,3,5,16,5,0,0,30,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,8,0,0,4,4,5,3,0,0,0,14,0,0,3,10,7,9,6,4,0,29,0,0,5,7,4,6,5,0,0,25,0,0,8,18,18,6,8,0,0,60,0,3,14,17,28,21,6,0,0,91,3,4,13,25,37,42,19,5,0,151,0,0,0,0,0,5,5,0,0,11
UCL515004,3,3,8,5,5,4,0,0,0,23,20,58,139,109,95,60,11,0,0,493,3,6,9,9,5,3,0,0,0,32,0,7,37,19,17,8,0,0,0,98,3,0,18,24,16,9,4,0,0,68,4,5,0,0,0,3,0,0,0,13,7,5,34,27,24,6,5,0,0,107,0,3,15,13,6,3,0,0,0,40,13,13,21,15,19,5,3,0,0,95,11,6,16,3,14,0,0,0,0,47,6,5,15,18,16,4,3,0,0,68,0,0,4,0,0,0,0,0,0,7,0,0,4,3,0,4,0,0,0,12,0,0,3,0,0,0,0,0,0,9,0,4,16,8,3,3,4,0,0,31,0,0,11,5,9,5,3,0,0,38,0,51,46,7,23,7,5,0,0,139,0,3,13,22,11,3,0,0,0,54,5,6,30,14,11,15,5,0,0,90,0,5,6,0,0,0,0,0,0,9
UCL515005,0,0,4,5,0,0,0,0,0,8,44,30,88,121,137,82,23,3,0,524,7,3,10,12,15,4,8,5,0,60,0,4,16,12,27,18,3,0,0,82,0,6,3,9,17,3,3,0,0,47,0,4,4,4,3,3,0,0,0,17,4,15,27,27,30,18,0,0,0,130,0,0,0,6,0,0,0,0,0,15,23,6,19,24,24,11,0,0,0,114,23,5,8,8,10,0,0,0,0,44,0,4,3,12,19,17,5,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,8,0,0,4,4,3,3,3,0,0,29,4,0,10,10,16,4,0,0,0,41,0,10,12,16,20,13,0,0,0,72,0,0,15,20,25,14,0,0,0,76,0,3,22,38,38,36,5,0,0,150,0,0,7,0,3,0,0,0,0,13
